date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,25.3,25.5,25.1,25.3,1028100.0,25.5,26.0,25.1,25.6,1637600.0,25.35,25.35,25.15,25.25,1281100.0,25.85,26.0,25.1,25.25,1020800.0,25.8,26.0,25.5,25.8,600200.0,24.75
2000-01-13,25.2,25.55,24.95,25.0,874500.0,25.3,25.5,25.1,25.3,1028100.0,25.5,26.0,25.1,25.6,1637600.0,25.35,25.35,25.15,25.25,1281100.0,25.85,26.0,25.1,25.25,1020800.0,24.65
2000-01-14,24.95,24.95,24.5,24.65,1744500.0,25.2,25.55,24.95,25.0,874500.0,25.3,25.5,25.1,25.3,1028100.0,25.5,26.0,25.1,25.6,1637600.0,25.35,25.35,25.15,25.25,1281100.0,24.0
2000-01-17,24.9,25.0,24.75,24.95,268800.0,24.95,24.95,24.5,24.65,1744500.0,25.2,25.55,24.95,25.0,874500.0,25.3,25.5,25.1,25.3,1028100.0,25.5,26.0,25.1,25.6,1637600.0,23.85
2000-01-18,25.15,25.65,24.8,25.35,1674600.0,24.9,25.0,24.75,24.95,268800.0,24.95,24.95,24.5,24.65,1744500.0,25.2,25.55,24.95,25.0,874500.0,25.3,25.5,25.1,25.3,1028100.0,23.5
2000-01-19,25.4,25.4,25.0,25.0,1263400.0,25.15,25.65,24.8,25.35,1674600.0,24.9,25.0,24.75,24.95,268800.0,24.95,24.95,24.5,24.65,1744500.0,25.2,25.55,24.95,25.0,874500.0,24.4
2000-01-20,24.95,24.95,24.6,24.75,1091300.0,25.4,25.4,25.0,25.0,1263400.0,25.15,25.65,24.8,25.35,1674600.0,24.9,25.0,24.75,24.95,268800.0,24.95,24.95,24.5,24.65,1744500.0,23.65
2000-01-21,24.65,24.95,24.5,24.65,1428100.0,24.95,24.95,24.6,24.75,1091300.0,25.4,25.4,25.0,25.0,1263400.0,25.15,25.65,24.8,25.35,1674600.0,24.9,25.0,24.75,24.95,268800.0,23.4
2000-01-24,24.5,24.5,23.75,24.0,1612500.0,24.65,24.95,24.5,24.65,1428100.0,24.95,24.95,24.6,24.75,1091300.0,25.4,25.4,25.0,25.0,1263400.0,25.15,25.65,24.8,25.35,1674600.0,23.5
2000-01-25,24.2,24.2,23.6,23.85,1378000.0,24.5,24.5,23.75,24.0,1612500.0,24.65,24.95,24.5,24.65,1428100.0,24.95,24.95,24.6,24.75,1091300.0,25.4,25.4,25.0,25.0,1263400.0,23.45
2000-01-26,23.65,24.0,23.25,23.5,645500.0,24.2,24.2,23.6,23.85,1378000.0,24.5,24.5,23.75,24.0,1612500.0,24.65,24.95,24.5,24.65,1428100.0,24.95,24.95,24.6,24.75,1091300.0,23.7
2000-01-27,23.5,24.4,23.15,24.4,2633800.0,23.65,24.0,23.25,23.5,645500.0,24.2,24.2,23.6,23.85,1378000.0,24.5,24.5,23.75,24.0,1612500.0,24.65,24.95,24.5,24.65,1428100.0,26.3
2000-01-28,24.4,24.6,23.55,23.65,1063200.0,23.5,24.4,23.15,24.4,2633800.0,23.65,24.0,23.25,23.5,645500.0,24.2,24.2,23.6,23.85,1378000.0,24.5,24.5,23.75,24.0,1612500.0,25.8
2000-01-31,23.85,24.05,23.4,23.4,721100.0,24.4,24.6,23.55,23.65,1063200.0,23.5,24.4,23.15,24.4,2633800.0,23.65,24.0,23.25,23.5,645500.0,24.2,24.2,23.6,23.85,1378000.0,25.0
2000-02-01,23.6,23.65,23.15,23.5,594900.0,23.85,24.05,23.4,23.4,721100.0,24.4,24.6,23.55,23.65,1063200.0,23.5,24.4,23.15,24.4,2633800.0,23.65,24.0,23.25,23.5,645500.0,26.6
2000-02-02,24.0,24.25,23.45,23.45,2611500.0,23.6,23.65,23.15,23.5,594900.0,23.85,24.05,23.4,23.4,721100.0,24.4,24.6,23.55,23.65,1063200.0,23.5,24.4,23.15,24.4,2633800.0,26.85
2000-02-03,23.4,24.05,23.25,23.7,1611600.0,24.0,24.25,23.45,23.45,2611500.0,23.6,23.65,23.15,23.5,594900.0,23.85,24.05,23.4,23.4,721100.0,24.4,24.6,23.55,23.65,1063200.0,26.4
2000-02-04,24.75,26.55,24.5,26.3,3789400.0,23.4,24.05,23.25,23.7,1611600.0,24.0,24.25,23.45,23.45,2611500.0,23.6,23.65,23.15,23.5,594900.0,23.85,24.05,23.4,23.4,721100.0,25.5
2000-02-07,28.0,28.3,25.6,25.8,5581300.0,24.75,26.55,24.5,26.3,3789400.0,23.4,24.05,23.25,23.7,1611600.0,24.0,24.25,23.45,23.45,2611500.0,23.6,23.65,23.15,23.5,594900.0,25.9
2000-02-08,25.65,25.7,24.8,25.0,1577400.0,28.0,28.3,25.6,25.8,5581300.0,24.75,26.55,24.5,26.3,3789400.0,23.4,24.05,23.25,23.7,1611600.0,24.0,24.25,23.45,23.45,2611500.0,25.9
2000-02-09,25.9,26.75,25.8,26.6,2277700.0,25.65,25.7,24.8,25.0,1577400.0,28.0,28.3,25.6,25.8,5581300.0,24.75,26.55,24.5,26.3,3789400.0,23.4,24.05,23.25,23.7,1611600.0,25.05
2000-02-10,26.85,27.1,26.1,26.85,3439200.0,25.9,26.75,25.8,26.6,2277700.0,25.65,25.7,24.8,25.0,1577400.0,28.0,28.3,25.6,25.8,5581300.0,24.75,26.55,24.5,26.3,3789400.0,25.8
2000-02-11,26.5,26.55,25.65,26.4,3035400.0,26.85,27.1,26.1,26.85,3439200.0,25.9,26.75,25.8,26.6,2277700.0,25.65,25.7,24.8,25.0,1577400.0,28.0,28.3,25.6,25.8,5581300.0,26.25
2000-02-14,26.5,26.5,25.35,25.5,1437900.0,26.5,26.55,25.65,26.4,3035400.0,26.85,27.1,26.1,26.85,3439200.0,25.9,26.75,25.8,26.6,2277700.0,25.65,25.7,24.8,25.0,1577400.0,26.45
2000-02-15,25.35,26.0,25.05,25.9,940200.0,26.5,26.5,25.35,25.5,1437900.0,26.5,26.55,25.65,26.4,3035400.0,26.85,27.1,26.1,26.85,3439200.0,25.9,26.75,25.8,26.6,2277700.0,25.2
2000-02-16,26.0,26.7,25.9,25.9,1103500.0,25.35,26.0,25.05,25.9,940200.0,26.5,26.5,25.35,25.5,1437900.0,26.5,26.55,25.65,26.4,3035400.0,26.85,27.1,26.1,26.85,3439200.0,24.1
2000-02-17,26.5,26.55,25.05,25.05,982100.0,26.0,26.7,25.9,25.9,1103500.0,25.35,26.0,25.05,25.9,940200.0,26.5,26.5,25.35,25.5,1437900.0,26.5,26.55,25.65,26.4,3035400.0,24.2
2000-02-18,25.3,26.0,25.3,25.8,936300.0,26.5,26.55,25.05,25.05,982100.0,26.0,26.7,25.9,25.9,1103500.0,25.35,26.0,25.05,25.9,940200.0,26.5,26.5,25.35,25.5,1437900.0,23.95
2000-02-21,26.05,26.25,26.0,26.25,421900.0,25.3,26.0,25.3,25.8,936300.0,26.5,26.55,25.05,25.05,982100.0,26.0,26.7,25.9,25.9,1103500.0,25.35,26.0,25.05,25.9,940200.0,23.65
2000-02-22,26.05,26.9,25.6,26.45,747000.0,26.05,26.25,26.0,26.25,421900.0,25.3,26.0,25.3,25.8,936300.0,26.5,26.55,25.05,25.05,982100.0,26.0,26.7,25.9,25.9,1103500.0,24.1
