date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2009-11-06,7.01,7.25,7.0,7.2,9000.0,7.0,7.1,7.0,7.1,11700.0,7.0,7.01,7.0,7.01,8100.0,7.3,7.3,6.9,6.9,4400.0,7.02,7.25,6.9,7.25,7900.0,7.7
2009-11-09,7.35,7.36,7.35,7.35,3400.0,7.01,7.25,7.0,7.2,9000.0,7.0,7.1,7.0,7.1,11700.0,7.0,7.01,7.0,7.01,8100.0,7.3,7.3,6.9,6.9,4400.0,7.75
2009-11-10,7.35,7.4,7.35,7.4,1200.0,7.35,7.36,7.35,7.35,3400.0,7.01,7.25,7.0,7.2,9000.0,7.0,7.1,7.0,7.1,11700.0,7.0,7.01,7.0,7.01,8100.0,8.25
2009-11-11,7.25,7.4,7.25,7.4,2500.0,7.35,7.4,7.35,7.4,1200.0,7.35,7.36,7.35,7.35,3400.0,7.01,7.25,7.0,7.2,9000.0,7.0,7.1,7.0,7.1,11700.0,8.25
2009-11-12,7.2,7.4,7.2,7.4,7200.0,7.25,7.4,7.25,7.4,2500.0,7.35,7.4,7.35,7.4,1200.0,7.35,7.36,7.35,7.35,3400.0,7.01,7.25,7.0,7.2,9000.0,8.25
2009-11-13,7.5,7.99,7.5,7.99,209900.0,7.2,7.4,7.2,7.4,7200.0,7.25,7.4,7.25,7.4,2500.0,7.35,7.4,7.35,7.4,1200.0,7.35,7.36,7.35,7.35,3400.0,8.01
2009-11-16,7.9,7.9,7.7,7.7,1300.0,7.5,7.99,7.5,7.99,209900.0,7.2,7.4,7.2,7.4,7200.0,7.25,7.4,7.25,7.4,2500.0,7.35,7.4,7.35,7.4,1200.0,8.01
2009-11-17,7.75,7.75,7.75,7.75,600.0,7.9,7.9,7.7,7.7,1300.0,7.5,7.99,7.5,7.99,209900.0,7.2,7.4,7.2,7.4,7200.0,7.25,7.4,7.25,7.4,2500.0,8.0
2009-11-18,8.0,8.75,8.0,8.25,5700.0,7.75,7.75,7.75,7.75,600.0,7.9,7.9,7.7,7.7,1300.0,7.5,7.99,7.5,7.99,209900.0,7.2,7.4,7.2,7.4,7200.0,8.25
2009-11-19,8.25,8.25,8.25,8.25,0.0,8.0,8.75,8.0,8.25,5700.0,7.75,7.75,7.75,7.75,600.0,7.9,7.9,7.7,7.7,1300.0,7.5,7.99,7.5,7.99,209900.0,8.25
2009-11-20,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,0.0,8.0,8.75,8.0,8.25,5700.0,7.75,7.75,7.75,7.75,600.0,7.9,7.9,7.7,7.7,1300.0,8.75
2009-11-23,8.25,8.25,7.99,8.01,500.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,0.0,8.0,8.75,8.0,8.25,5700.0,7.75,7.75,7.75,7.75,600.0,8.5
2009-11-24,8.01,8.01,8.01,8.01,0.0,8.25,8.25,7.99,8.01,500.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,0.0,8.0,8.75,8.0,8.25,5700.0,8.0
2009-11-25,8.0,8.0,8.0,8.0,500.0,8.01,8.01,8.01,8.01,0.0,8.25,8.25,7.99,8.01,500.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,0.0,8.0
2009-11-26,8.25,8.25,8.25,8.25,100.0,8.0,8.0,8.0,8.0,500.0,8.01,8.01,8.01,8.01,0.0,8.25,8.25,7.99,8.01,500.0,8.25,8.25,8.25,8.25,0.0,8.0
2009-11-27,8.25,8.25,8.25,8.25,4900.0,8.25,8.25,8.25,8.25,100.0,8.0,8.0,8.0,8.0,500.0,8.01,8.01,8.01,8.01,0.0,8.25,8.25,7.99,8.01,500.0,8.0
2009-11-30,8.75,8.75,8.75,8.75,101200.0,8.25,8.25,8.25,8.25,4900.0,8.25,8.25,8.25,8.25,100.0,8.0,8.0,8.0,8.0,500.0,8.01,8.01,8.01,8.01,0.0,8.0
2009-12-01,8.5,8.5,8.5,8.5,100.0,8.75,8.75,8.75,8.75,101200.0,8.25,8.25,8.25,8.25,4900.0,8.25,8.25,8.25,8.25,100.0,8.0,8.0,8.0,8.0,500.0,8.0
2009-12-02,8.5,8.5,7.76,8.0,2900.0,8.5,8.5,8.5,8.5,100.0,8.75,8.75,8.75,8.75,101200.0,8.25,8.25,8.25,8.25,4900.0,8.25,8.25,8.25,8.25,100.0,7.95
2009-12-03,8.0,8.0,8.0,8.0,0.0,8.5,8.5,7.76,8.0,2900.0,8.5,8.5,8.5,8.5,100.0,8.75,8.75,8.75,8.75,101200.0,8.25,8.25,8.25,8.25,4900.0,7.95
2009-12-04,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.5,8.5,7.76,8.0,2900.0,8.5,8.5,8.5,8.5,100.0,8.75,8.75,8.75,8.75,101200.0,7.55
2009-12-07,8.0,8.0,8.0,8.0,1500.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.5,8.5,7.76,8.0,2900.0,8.5,8.5,8.5,8.5,100.0,7.9
2009-12-08,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1500.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.5,8.5,7.76,8.0,2900.0,7.9
2009-12-09,7.8,8.0,7.8,8.0,2400.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1500.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,7.9
2009-12-10,7.95,7.95,7.95,7.95,3800.0,7.8,8.0,7.8,8.0,2400.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1500.0,8.0,8.0,8.0,8.0,0.0,8.0
2009-12-11,7.85,7.95,7.76,7.95,2400.0,7.95,7.95,7.95,7.95,3800.0,7.8,8.0,7.8,8.0,2400.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1500.0,7.75
2009-12-14,8.0,8.0,7.55,7.55,8500.0,7.85,7.95,7.76,7.95,2400.0,7.95,7.95,7.95,7.95,3800.0,7.8,8.0,7.8,8.0,2400.0,8.0,8.0,8.0,8.0,0.0,8.25
2009-12-15,7.9,7.9,7.9,7.9,900.0,8.0,8.0,7.55,7.55,8500.0,7.85,7.95,7.76,7.95,2400.0,7.95,7.95,7.95,7.95,3800.0,7.8,8.0,7.8,8.0,2400.0,8.4
2009-12-16,7.9,7.9,7.9,7.9,0.0,7.9,7.9,7.9,7.9,900.0,8.0,8.0,7.55,7.55,8500.0,7.85,7.95,7.76,7.95,2400.0,7.95,7.95,7.95,7.95,3800.0,8.7
2009-12-17,7.9,7.9,7.9,7.9,0.0,7.9,7.9,7.9,7.9,0.0,7.9,7.9,7.9,7.9,900.0,8.0,8.0,7.55,7.55,8500.0,7.85,7.95,7.76,7.95,2400.0,8.85
2009-12-18,7.75,8.0,7.66,8.0,3800.0,7.9,7.9,7.9,7.9,0.0,7.9,7.9,7.9,7.9,0.0,7.9,7.9,7.9,7.9,900.0,8.0,8.0,7.55,7.55,8500.0,8.75
2009-12-21,8.0,8.0,7.75,7.75,8800.0,7.75,8.0,7.66,8.0,3800.0,7.9,7.9,7.9,7.9,0.0,7.9,7.9,7.9,7.9,0.0,7.9,7.9,7.9,7.9,900.0,9.15
2009-12-22,8.0,8.25,8.0,8.25,9100.0,8.0,8.0,7.75,7.75,8800.0,7.75,8.0,7.66,8.0,3800.0,7.9,7.9,7.9,7.9,0.0,7.9,7.9,7.9,7.9,0.0,9.15
2009-12-23,8.25,8.7,8.25,8.4,5800.0,8.0,8.25,8.0,8.25,9100.0,8.0,8.0,7.75,7.75,8800.0,7.75,8.0,7.66,8.0,3800.0,7.9,7.9,7.9,7.9,0.0,9.5
2009-12-24,8.7,8.7,8.7,8.7,100.0,8.25,8.7,8.25,8.4,5800.0,8.0,8.25,8.0,8.25,9100.0,8.0,8.0,7.75,7.75,8800.0,7.75,8.0,7.66,8.0,3800.0,9.25
2009-12-29,8.85,8.85,8.85,8.85,100.0,8.7,8.7,8.7,8.7,100.0,8.25,8.7,8.25,8.4,5800.0,8.0,8.25,8.0,8.25,9100.0,8.0,8.0,7.75,7.75,8800.0,8.8
2009-12-30,8.25,8.75,8.25,8.75,1500.0,8.85,8.85,8.85,8.85,100.0,8.7,8.7,8.7,8.7,100.0,8.25,8.7,8.25,8.4,5800.0,8.0,8.25,8.0,8.25,9100.0,9.0
2009-12-31,8.75,9.15,8.75,9.15,700.0,8.25,8.75,8.25,8.75,1500.0,8.85,8.85,8.85,8.85,100.0,8.7,8.7,8.7,8.7,100.0,8.25,8.7,8.25,8.4,5800.0,9.0
2010-01-04,9.15,9.15,9.15,9.15,100.0,8.75,9.15,8.75,9.15,700.0,8.25,8.75,8.25,8.75,1500.0,8.85,8.85,8.85,8.85,100.0,8.7,8.7,8.7,8.7,100.0,8.9
2010-01-05,9.15,9.99,9.15,9.5,3500.0,9.15,9.15,9.15,9.15,100.0,8.75,9.15,8.75,9.15,700.0,8.25,8.75,8.25,8.75,1500.0,8.85,8.85,8.85,8.85,100.0,8.9
