date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,10.0,10.55,10.0,10.5,56600.0,10.45,10.7,10.3,10.3,64900.0,10.5,10.7,10.35,10.55,40400.0,10.25,11.0,10.25,10.5,39100.0,10.1,10.35,10.0,10.35,69700.0,10.55
2000-01-13,10.5,10.6,10.4,10.4,15600.0,10.0,10.55,10.0,10.5,56600.0,10.45,10.7,10.3,10.3,64900.0,10.5,10.7,10.35,10.55,40400.0,10.25,11.0,10.25,10.5,39100.0,10.25
2000-01-14,10.4,10.75,10.3,10.5,80000.0,10.5,10.6,10.4,10.4,15600.0,10.0,10.55,10.0,10.5,56600.0,10.45,10.7,10.3,10.3,64900.0,10.5,10.7,10.35,10.55,40400.0,9.75
2000-01-17,10.3,10.4,10.15,10.15,24600.0,10.4,10.75,10.3,10.5,80000.0,10.5,10.6,10.4,10.4,15600.0,10.0,10.55,10.0,10.5,56600.0,10.45,10.7,10.3,10.3,64900.0,9.55
2000-01-18,10.15,10.6,10.15,10.6,112700.0,10.3,10.4,10.15,10.15,24600.0,10.4,10.75,10.3,10.5,80000.0,10.5,10.6,10.4,10.4,15600.0,10.0,10.55,10.0,10.5,56600.0,9.5
2000-01-19,10.35,10.95,10.35,10.95,335600.0,10.15,10.6,10.15,10.6,112700.0,10.3,10.4,10.15,10.15,24600.0,10.4,10.75,10.3,10.5,80000.0,10.5,10.6,10.4,10.4,15600.0,9.8
2000-01-20,10.8,10.85,10.45,10.55,33000.0,10.35,10.95,10.35,10.95,335600.0,10.15,10.6,10.15,10.6,112700.0,10.3,10.4,10.15,10.15,24600.0,10.4,10.75,10.3,10.5,80000.0,9.35
2000-01-21,10.4,10.5,10.1,10.25,40000.0,10.8,10.85,10.45,10.55,33000.0,10.35,10.95,10.35,10.95,335600.0,10.15,10.6,10.15,10.6,112700.0,10.3,10.4,10.15,10.15,24600.0,9.3
2000-01-24,10.0,10.2,9.6,9.75,197400.0,10.4,10.5,10.1,10.25,40000.0,10.8,10.85,10.45,10.55,33000.0,10.35,10.95,10.35,10.95,335600.0,10.15,10.6,10.15,10.6,112700.0,8.65
2000-01-25,9.85,10.0,9.5,9.55,125700.0,10.0,10.2,9.6,9.75,197400.0,10.4,10.5,10.1,10.25,40000.0,10.8,10.85,10.45,10.55,33000.0,10.35,10.95,10.35,10.95,335600.0,8.35
2000-01-26,9.4,9.6,9.15,9.5,75500.0,9.85,10.0,9.5,9.55,125700.0,10.0,10.2,9.6,9.75,197400.0,10.4,10.5,10.1,10.25,40000.0,10.8,10.85,10.45,10.55,33000.0,8.7
