date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2003-10-17,1.89,1.89,1.85,1.85,20100.0,1.85,1.93,1.81,1.82,156900.0,1.9,1.94,1.88,1.88,28700.0,1.84,1.94,1.84,1.9,35400.0,0.0,0.0,0.0,0.0,0.0,2.4
2003-10-20,1.87,1.89,1.84,1.85,33900.0,1.89,1.89,1.85,1.85,20100.0,1.85,1.93,1.81,1.82,156900.0,1.9,1.94,1.88,1.88,28700.0,1.84,1.94,1.84,1.9,35400.0,2.37
2003-10-21,1.85,2.19,1.85,2.12,440600.0,1.87,1.89,1.84,1.85,33900.0,1.89,1.89,1.85,1.85,20100.0,1.85,1.93,1.81,1.82,156900.0,1.9,1.94,1.88,1.88,28700.0,2.68
2003-10-22,2.2,2.23,2.17,2.21,287100.0,1.85,2.19,1.85,2.12,440600.0,1.87,1.89,1.84,1.85,33900.0,1.89,1.89,1.85,1.85,20100.0,1.85,1.93,1.81,1.82,156900.0,2.68
2003-10-23,2.21,2.22,2.15,2.19,142200.0,2.2,2.23,2.17,2.21,287100.0,1.85,2.19,1.85,2.12,440600.0,1.87,1.89,1.84,1.85,33900.0,1.89,1.89,1.85,1.85,20100.0,2.86
2003-10-24,2.2,2.25,2.16,2.25,260600.0,2.21,2.22,2.15,2.19,142200.0,2.2,2.23,2.17,2.21,287100.0,1.85,2.19,1.85,2.12,440600.0,1.87,1.89,1.84,1.85,33900.0,2.7
2003-10-27,2.2,2.4,2.2,2.4,431500.0,2.2,2.25,2.16,2.25,260600.0,2.21,2.22,2.15,2.19,142200.0,2.2,2.23,2.17,2.21,287100.0,1.85,2.19,1.85,2.12,440600.0,2.66
2003-10-28,2.42,2.5,2.35,2.37,1020200.0,2.2,2.4,2.2,2.4,431500.0,2.2,2.25,2.16,2.25,260600.0,2.21,2.22,2.15,2.19,142200.0,2.2,2.23,2.17,2.21,287100.0,2.6
2003-10-29,2.38,2.7,2.38,2.68,385800.0,2.42,2.5,2.35,2.37,1020200.0,2.2,2.4,2.2,2.4,431500.0,2.2,2.25,2.16,2.25,260600.0,2.21,2.22,2.15,2.19,142200.0,2.5
2003-10-30,2.61,2.68,2.54,2.68,150800.0,2.38,2.7,2.38,2.68,385800.0,2.42,2.5,2.35,2.37,1020200.0,2.2,2.4,2.2,2.4,431500.0,2.2,2.25,2.16,2.25,260600.0,2.65
2003-10-31,2.66,3.0,2.65,2.86,285300.0,2.61,2.68,2.54,2.68,150800.0,2.38,2.7,2.38,2.68,385800.0,2.42,2.5,2.35,2.37,1020200.0,2.2,2.4,2.2,2.4,431500.0,2.62
2003-11-03,2.86,2.87,2.65,2.7,87800.0,2.66,3.0,2.65,2.86,285300.0,2.61,2.68,2.54,2.68,150800.0,2.38,2.7,2.38,2.68,385800.0,2.42,2.5,2.35,2.37,1020200.0,2.58
2003-11-04,2.7,2.8,2.66,2.66,112900.0,2.86,2.87,2.65,2.7,87800.0,2.66,3.0,2.65,2.86,285300.0,2.61,2.68,2.54,2.68,150800.0,2.38,2.7,2.38,2.68,385800.0,2.53
2003-11-05,2.66,2.68,2.5,2.6,167100.0,2.7,2.8,2.66,2.66,112900.0,2.86,2.87,2.65,2.7,87800.0,2.66,3.0,2.65,2.86,285300.0,2.61,2.68,2.54,2.68,150800.0,2.4
2003-11-06,2.47,2.6,2.47,2.5,94100.0,2.66,2.68,2.5,2.6,167100.0,2.7,2.8,2.66,2.66,112900.0,2.86,2.87,2.65,2.7,87800.0,2.66,3.0,2.65,2.86,285300.0,2.4
2003-11-07,2.42,2.7,2.4,2.65,176400.0,2.47,2.6,2.47,2.5,94100.0,2.66,2.68,2.5,2.6,167100.0,2.7,2.8,2.66,2.66,112900.0,2.86,2.87,2.65,2.7,87800.0,2.27
2003-11-10,2.63,2.65,2.62,2.62,41500.0,2.42,2.7,2.4,2.65,176400.0,2.47,2.6,2.47,2.5,94100.0,2.66,2.68,2.5,2.6,167100.0,2.7,2.8,2.66,2.66,112900.0,2.49
2003-11-11,2.62,2.62,2.57,2.58,15400.0,2.63,2.65,2.62,2.62,41500.0,2.42,2.7,2.4,2.65,176400.0,2.47,2.6,2.47,2.5,94100.0,2.66,2.68,2.5,2.6,167100.0,2.45
2003-11-12,2.58,2.65,2.35,2.53,233100.0,2.62,2.62,2.57,2.58,15400.0,2.63,2.65,2.62,2.62,41500.0,2.42,2.7,2.4,2.65,176400.0,2.47,2.6,2.47,2.5,94100.0,2.52
2003-11-13,2.53,2.59,2.37,2.4,76600.0,2.58,2.65,2.35,2.53,233100.0,2.62,2.62,2.57,2.58,15400.0,2.63,2.65,2.62,2.62,41500.0,2.42,2.7,2.4,2.65,176400.0,2.65
2003-11-14,2.38,2.45,2.26,2.4,51800.0,2.53,2.59,2.37,2.4,76600.0,2.58,2.65,2.35,2.53,233100.0,2.62,2.62,2.57,2.58,15400.0,2.63,2.65,2.62,2.62,41500.0,2.65
2003-11-17,2.4,2.49,2.25,2.27,122400.0,2.38,2.45,2.26,2.4,51800.0,2.53,2.59,2.37,2.4,76600.0,2.58,2.65,2.35,2.53,233100.0,2.62,2.62,2.57,2.58,15400.0,2.8
2003-11-18,2.3,2.5,2.3,2.49,179900.0,2.4,2.49,2.25,2.27,122400.0,2.38,2.45,2.26,2.4,51800.0,2.53,2.59,2.37,2.4,76600.0,2.58,2.65,2.35,2.53,233100.0,2.89
2003-11-19,2.5,2.6,2.41,2.45,309400.0,2.3,2.5,2.3,2.49,179900.0,2.4,2.49,2.25,2.27,122400.0,2.38,2.45,2.26,2.4,51800.0,2.53,2.59,2.37,2.4,76600.0,2.76
2003-11-20,2.48,2.52,2.4,2.52,112000.0,2.5,2.6,2.41,2.45,309400.0,2.3,2.5,2.3,2.49,179900.0,2.4,2.49,2.25,2.27,122400.0,2.38,2.45,2.26,2.4,51800.0,2.74
2003-11-21,2.51,2.75,2.51,2.65,273500.0,2.48,2.52,2.4,2.52,112000.0,2.5,2.6,2.41,2.45,309400.0,2.3,2.5,2.3,2.49,179900.0,2.4,2.49,2.25,2.27,122400.0,2.65
2003-11-24,2.76,2.76,2.59,2.65,74400.0,2.51,2.75,2.51,2.65,273500.0,2.48,2.52,2.4,2.52,112000.0,2.5,2.6,2.41,2.45,309400.0,2.3,2.5,2.3,2.49,179900.0,2.6
2003-11-25,2.7,2.9,2.65,2.8,433700.0,2.76,2.76,2.59,2.65,74400.0,2.51,2.75,2.51,2.65,273500.0,2.48,2.52,2.4,2.52,112000.0,2.5,2.6,2.41,2.45,309400.0,2.73
2003-11-26,2.85,2.9,2.8,2.89,248700.0,2.7,2.9,2.65,2.8,433700.0,2.76,2.76,2.59,2.65,74400.0,2.51,2.75,2.51,2.65,273500.0,2.48,2.52,2.4,2.52,112000.0,2.8
2003-11-27,2.86,2.86,2.76,2.76,8600.0,2.85,2.9,2.8,2.89,248700.0,2.7,2.9,2.65,2.8,433700.0,2.76,2.76,2.59,2.65,74400.0,2.51,2.75,2.51,2.65,273500.0,2.65
2003-11-28,2.6,2.9,2.57,2.74,270900.0,2.86,2.86,2.76,2.76,8600.0,2.85,2.9,2.8,2.89,248700.0,2.7,2.9,2.65,2.8,433700.0,2.76,2.76,2.59,2.65,74400.0,2.55
2003-12-01,2.6,2.8,2.6,2.65,232000.0,2.6,2.9,2.57,2.74,270900.0,2.86,2.86,2.76,2.76,8600.0,2.85,2.9,2.8,2.89,248700.0,2.7,2.9,2.65,2.8,433700.0,2.5
2003-12-02,2.6,2.62,2.54,2.6,399500.0,2.6,2.8,2.6,2.65,232000.0,2.6,2.9,2.57,2.74,270900.0,2.86,2.86,2.76,2.76,8600.0,2.85,2.9,2.8,2.89,248700.0,2.25
2003-12-03,2.71,2.93,2.66,2.73,553600.0,2.6,2.62,2.54,2.6,399500.0,2.6,2.8,2.6,2.65,232000.0,2.6,2.9,2.57,2.74,270900.0,2.86,2.86,2.76,2.76,8600.0,2.38
2003-12-04,2.7,2.8,2.6,2.8,424100.0,2.71,2.93,2.66,2.73,553600.0,2.6,2.62,2.54,2.6,399500.0,2.6,2.8,2.6,2.65,232000.0,2.6,2.9,2.57,2.74,270900.0,2.7
2003-12-05,2.75,2.75,2.61,2.65,280300.0,2.7,2.8,2.6,2.8,424100.0,2.71,2.93,2.66,2.73,553600.0,2.6,2.62,2.54,2.6,399500.0,2.6,2.8,2.6,2.65,232000.0,2.55
2003-12-08,2.68,2.68,2.53,2.55,171800.0,2.75,2.75,2.61,2.65,280300.0,2.7,2.8,2.6,2.8,424100.0,2.71,2.93,2.66,2.73,553600.0,2.6,2.62,2.54,2.6,399500.0,2.4
2003-12-09,2.56,2.57,2.4,2.5,608100.0,2.68,2.68,2.53,2.55,171800.0,2.75,2.75,2.61,2.65,280300.0,2.7,2.8,2.6,2.8,424100.0,2.71,2.93,2.66,2.73,553600.0,2.49
2003-12-10,2.4,2.45,2.18,2.25,152300.0,2.56,2.57,2.4,2.5,608100.0,2.68,2.68,2.53,2.55,171800.0,2.75,2.75,2.61,2.65,280300.0,2.7,2.8,2.6,2.8,424100.0,2.35
2003-12-11,2.2,2.6,2.05,2.38,279200.0,2.4,2.45,2.18,2.25,152300.0,2.56,2.57,2.4,2.5,608100.0,2.68,2.68,2.53,2.55,171800.0,2.75,2.75,2.61,2.65,280300.0,2.39
2003-12-12,2.45,2.85,2.38,2.7,210300.0,2.2,2.6,2.05,2.38,279200.0,2.4,2.45,2.18,2.25,152300.0,2.56,2.57,2.4,2.5,608100.0,2.68,2.68,2.53,2.55,171800.0,2.45
2003-12-15,2.65,2.75,2.55,2.55,51100.0,2.45,2.85,2.38,2.7,210300.0,2.2,2.6,2.05,2.38,279200.0,2.4,2.45,2.18,2.25,152300.0,2.56,2.57,2.4,2.5,608100.0,2.26
2003-12-16,2.54,2.54,2.35,2.4,109400.0,2.65,2.75,2.55,2.55,51100.0,2.45,2.85,2.38,2.7,210300.0,2.2,2.6,2.05,2.38,279200.0,2.4,2.45,2.18,2.25,152300.0,2.4
2003-12-17,2.32,2.5,2.32,2.49,73900.0,2.54,2.54,2.35,2.4,109400.0,2.65,2.75,2.55,2.55,51100.0,2.45,2.85,2.38,2.7,210300.0,2.2,2.6,2.05,2.38,279200.0,0.0
2003-12-18,2.49,2.49,2.35,2.35,35500.0,2.32,2.5,2.32,2.49,73900.0,2.54,2.54,2.35,2.4,109400.0,2.65,2.75,2.55,2.55,51100.0,2.45,2.85,2.38,2.7,210300.0,2.4
2003-12-19,2.36,2.41,2.35,2.39,71200.0,2.49,2.49,2.35,2.35,35500.0,2.32,2.5,2.32,2.49,73900.0,2.54,2.54,2.35,2.4,109400.0,2.65,2.75,2.55,2.55,51100.0,2.6
2003-12-22,2.3,2.45,2.3,2.45,72300.0,2.36,2.41,2.35,2.39,71200.0,2.49,2.49,2.35,2.35,35500.0,2.32,2.5,2.32,2.49,73900.0,2.54,2.54,2.35,2.4,109400.0,2.7
2003-12-23,2.45,2.45,2.25,2.26,229400.0,2.3,2.45,2.3,2.45,72300.0,2.36,2.41,2.35,2.39,71200.0,2.49,2.49,2.35,2.35,35500.0,2.32,2.5,2.32,2.49,73900.0,2.62
2003-12-24,2.26,2.4,2.26,2.4,34800.0,2.45,2.45,2.25,2.26,229400.0,2.3,2.45,2.3,2.45,72300.0,2.36,2.41,2.35,2.39,71200.0,2.49,2.49,2.35,2.35,35500.0,0.0
2003-12-25,0.0,0.0,0.0,0.0,0.0,2.26,2.4,2.26,2.4,34800.0,2.45,2.45,2.25,2.26,229400.0,2.3,2.45,2.3,2.45,72300.0,2.36,2.41,2.35,2.39,71200.0,2.57
2003-12-26,2.4,2.4,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.26,2.4,2.26,2.4,34800.0,2.45,2.45,2.25,2.26,229400.0,2.3,2.45,2.3,2.45,72300.0,2.66
2003-12-29,2.45,2.6,2.35,2.6,115900.0,2.4,2.4,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.26,2.4,2.26,2.4,34800.0,2.45,2.45,2.25,2.26,229400.0,2.75
2003-12-30,2.6,2.7,2.55,2.7,227200.0,2.45,2.6,2.35,2.6,115900.0,2.4,2.4,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.26,2.4,2.26,2.4,34800.0,2.65
2003-12-31,2.69,2.69,2.62,2.62,6100.0,2.6,2.7,2.55,2.7,227200.0,2.45,2.6,2.35,2.6,115900.0,2.4,2.4,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.75
2004-01-01,0.0,0.0,0.0,0.0,0.0,2.69,2.69,2.62,2.62,6100.0,2.6,2.7,2.55,2.7,227200.0,2.45,2.6,2.35,2.6,115900.0,2.4,2.4,2.4,2.4,0.0,2.75
2004-01-02,2.75,2.75,2.56,2.57,24800.0,0.0,0.0,0.0,0.0,0.0,2.69,2.69,2.62,2.62,6100.0,2.6,2.7,2.55,2.7,227200.0,2.45,2.6,2.35,2.6,115900.0,2.76
2004-01-05,2.57,2.7,2.5,2.66,145000.0,2.75,2.75,2.56,2.57,24800.0,0.0,0.0,0.0,0.0,0.0,2.69,2.69,2.62,2.62,6100.0,2.6,2.7,2.55,2.7,227200.0,2.95
2004-01-06,2.65,2.79,2.6,2.75,565900.0,2.57,2.7,2.5,2.66,145000.0,2.75,2.75,2.56,2.57,24800.0,0.0,0.0,0.0,0.0,0.0,2.69,2.69,2.62,2.62,6100.0,3.0
