date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,3.1,3.1,3.0,3.0,1000.0,3.05,3.1,2.8,3.05,19400.0,3.14,3.14,3.05,3.1,9300.0,3.1,3.2,3.05,3.1,7600.0,3.15,3.15,3.0,3.15,15100.0,3.05
2000-01-13,3.1,3.15,3.0,3.15,34900.0,3.1,3.1,3.0,3.0,1000.0,3.05,3.1,2.8,3.05,19400.0,3.14,3.14,3.05,3.1,9300.0,3.1,3.2,3.05,3.1,7600.0,3.0
2000-01-14,3.15,3.15,3.0,3.15,47600.0,3.1,3.15,3.0,3.15,34900.0,3.1,3.1,3.0,3.0,1000.0,3.05,3.1,2.8,3.05,19400.0,3.14,3.14,3.05,3.1,9300.0,3.0
2000-01-17,3.15,3.15,3.0,3.05,12200.0,3.15,3.15,3.0,3.15,47600.0,3.1,3.15,3.0,3.15,34900.0,3.1,3.1,3.0,3.0,1000.0,3.05,3.1,2.8,3.05,19400.0,2.9
2000-01-18,3.0,3.15,3.0,3.15,3200.0,3.15,3.15,3.0,3.05,12200.0,3.15,3.15,3.0,3.15,47600.0,3.1,3.15,3.0,3.15,34900.0,3.1,3.1,3.0,3.0,1000.0,2.9
2000-01-19,3.15,3.15,3.15,3.15,0.0,3.0,3.15,3.0,3.15,3200.0,3.15,3.15,3.0,3.05,12200.0,3.15,3.15,3.0,3.15,47600.0,3.1,3.15,3.0,3.15,34900.0,2.9
2000-01-20,3.15,3.15,3.0,3.05,3900.0,3.15,3.15,3.15,3.15,0.0,3.0,3.15,3.0,3.15,3200.0,3.15,3.15,3.0,3.05,12200.0,3.15,3.15,3.0,3.15,47600.0,3.0
2000-01-21,3.0,3.0,2.87,3.0,15200.0,3.15,3.15,3.0,3.05,3900.0,3.15,3.15,3.15,3.15,0.0,3.0,3.15,3.0,3.15,3200.0,3.15,3.15,3.0,3.05,12200.0,3.05
2000-01-24,3.0,3.0,2.9,3.0,7500.0,3.0,3.0,2.87,3.0,15200.0,3.15,3.15,3.0,3.05,3900.0,3.15,3.15,3.15,3.15,0.0,3.0,3.15,3.0,3.15,3200.0,3.05
2000-01-25,2.95,2.99,2.9,2.9,12100.0,3.0,3.0,2.9,3.0,7500.0,3.0,3.0,2.87,3.0,15200.0,3.15,3.15,3.0,3.05,3900.0,3.15,3.15,3.15,3.15,0.0,3.05
2000-01-26,2.9,2.9,2.9,2.9,5000.0,2.95,2.99,2.9,2.9,12100.0,3.0,3.0,2.9,3.0,7500.0,3.0,3.0,2.87,3.0,15200.0,3.15,3.15,3.0,3.05,3900.0,3.15
2000-01-27,2.92,2.93,2.9,2.9,3400.0,2.9,2.9,2.9,2.9,5000.0,2.95,2.99,2.9,2.9,12100.0,3.0,3.0,2.9,3.0,7500.0,3.0,3.0,2.87,3.0,15200.0,3.1
2000-01-28,2.9,3.0,2.8,3.0,37900.0,2.92,2.93,2.9,2.9,3400.0,2.9,2.9,2.9,2.9,5000.0,2.95,2.99,2.9,2.9,12100.0,3.0,3.0,2.9,3.0,7500.0,3.06
2000-01-31,3.0,3.09,3.0,3.05,7200.0,2.9,3.0,2.8,3.0,37900.0,2.92,2.93,2.9,2.9,3400.0,2.9,2.9,2.9,2.9,5000.0,2.95,2.99,2.9,2.9,12100.0,3.15
2000-02-01,3.05,3.05,3.05,3.05,2200.0,3.0,3.09,3.0,3.05,7200.0,2.9,3.0,2.8,3.0,37900.0,2.92,2.93,2.9,2.9,3400.0,2.9,2.9,2.9,2.9,5000.0,3.0
2000-02-02,3.05,3.05,2.8,3.05,17400.0,3.05,3.05,3.05,3.05,2200.0,3.0,3.09,3.0,3.05,7200.0,2.9,3.0,2.8,3.0,37900.0,2.92,2.93,2.9,2.9,3400.0,3.1
2000-02-03,3.1,3.15,3.1,3.15,6200.0,3.05,3.05,2.8,3.05,17400.0,3.05,3.05,3.05,3.05,2200.0,3.0,3.09,3.0,3.05,7200.0,2.9,3.0,2.8,3.0,37900.0,3.1
2000-02-04,3.15,3.2,3.06,3.1,10800.0,3.1,3.15,3.1,3.15,6200.0,3.05,3.05,2.8,3.05,17400.0,3.05,3.05,3.05,3.05,2200.0,3.0,3.09,3.0,3.05,7200.0,3.15
2000-02-07,3.1,3.2,3.06,3.06,8100.0,3.15,3.2,3.06,3.1,10800.0,3.1,3.15,3.1,3.15,6200.0,3.05,3.05,2.8,3.05,17400.0,3.05,3.05,3.05,3.05,2200.0,3.2
2000-02-08,3.06,3.15,3.06,3.15,2000.0,3.1,3.2,3.06,3.06,8100.0,3.15,3.2,3.06,3.1,10800.0,3.1,3.15,3.1,3.15,6200.0,3.05,3.05,2.8,3.05,17400.0,3.15
2000-02-09,3.06,3.06,2.8,3.0,53300.0,3.06,3.15,3.06,3.15,2000.0,3.1,3.2,3.06,3.06,8100.0,3.15,3.2,3.06,3.1,10800.0,3.1,3.15,3.1,3.15,6200.0,3.2
2000-02-10,2.95,3.1,2.9,3.1,20500.0,3.06,3.06,2.8,3.0,53300.0,3.06,3.15,3.06,3.15,2000.0,3.1,3.2,3.06,3.06,8100.0,3.15,3.2,3.06,3.1,10800.0,3.15
2000-02-11,3.05,3.15,3.05,3.1,10700.0,2.95,3.1,2.9,3.1,20500.0,3.06,3.06,2.8,3.0,53300.0,3.06,3.15,3.06,3.15,2000.0,3.1,3.2,3.06,3.06,8100.0,3.15
2000-02-14,3.19,3.19,3.1,3.15,11400.0,3.05,3.15,3.05,3.1,10700.0,2.95,3.1,2.9,3.1,20500.0,3.06,3.06,2.8,3.0,53300.0,3.06,3.15,3.06,3.15,2000.0,3.1
2000-02-15,3.19,3.2,3.15,3.2,25700.0,3.19,3.19,3.1,3.15,11400.0,3.05,3.15,3.05,3.1,10700.0,2.95,3.1,2.9,3.1,20500.0,3.06,3.06,2.8,3.0,53300.0,3.19
2000-02-16,3.2,3.2,3.15,3.15,19900.0,3.19,3.2,3.15,3.2,25700.0,3.19,3.19,3.1,3.15,11400.0,3.05,3.15,3.05,3.1,10700.0,2.95,3.1,2.9,3.1,20500.0,3.12
2000-02-17,3.2,3.2,3.2,3.2,300.0,3.2,3.2,3.15,3.15,19900.0,3.19,3.2,3.15,3.2,25700.0,3.19,3.19,3.1,3.15,11400.0,3.05,3.15,3.05,3.1,10700.0,3.15
2000-02-18,3.15,3.15,3.14,3.15,7900.0,3.2,3.2,3.2,3.2,300.0,3.2,3.2,3.15,3.15,19900.0,3.19,3.2,3.15,3.2,25700.0,3.19,3.19,3.1,3.15,11400.0,3.1
2000-02-21,3.15,3.2,3.1,3.15,12300.0,3.15,3.15,3.14,3.15,7900.0,3.2,3.2,3.2,3.2,300.0,3.2,3.2,3.15,3.15,19900.0,3.19,3.2,3.15,3.2,25700.0,3.09
2000-02-22,3.1,3.1,3.1,3.1,1600.0,3.15,3.2,3.1,3.15,12300.0,3.15,3.15,3.14,3.15,7900.0,3.2,3.2,3.2,3.2,300.0,3.2,3.2,3.15,3.15,19900.0,3.1
2000-02-23,3.1,3.19,3.07,3.19,13200.0,3.1,3.1,3.1,3.1,1600.0,3.15,3.2,3.1,3.15,12300.0,3.15,3.15,3.14,3.15,7900.0,3.2,3.2,3.2,3.2,300.0,3.1
2000-02-24,3.2,3.2,3.12,3.12,8800.0,3.1,3.19,3.07,3.19,13200.0,3.1,3.1,3.1,3.1,1600.0,3.15,3.2,3.1,3.15,12300.0,3.15,3.15,3.14,3.15,7900.0,3.05
2000-02-25,3.12,3.15,3.12,3.15,6600.0,3.2,3.2,3.12,3.12,8800.0,3.1,3.19,3.07,3.19,13200.0,3.1,3.1,3.1,3.1,1600.0,3.15,3.2,3.1,3.15,12300.0,3.05
2000-02-28,3.2,3.2,3.1,3.1,52400.0,3.12,3.15,3.12,3.15,6600.0,3.2,3.2,3.12,3.12,8800.0,3.1,3.19,3.07,3.19,13200.0,3.1,3.1,3.1,3.1,1600.0,3.04
2000-02-29,3.1,3.1,3.05,3.09,11900.0,3.2,3.2,3.1,3.1,52400.0,3.12,3.15,3.12,3.15,6600.0,3.2,3.2,3.12,3.12,8800.0,3.1,3.19,3.07,3.19,13200.0,3.05
2000-03-01,3.09,3.1,3.0,3.1,14700.0,3.1,3.1,3.05,3.09,11900.0,3.2,3.2,3.1,3.1,52400.0,3.12,3.15,3.12,3.15,6600.0,3.2,3.2,3.12,3.12,8800.0,3.05
2000-03-02,3.0,3.1,3.0,3.1,11500.0,3.09,3.1,3.0,3.1,14700.0,3.1,3.1,3.05,3.09,11900.0,3.2,3.2,3.1,3.1,52400.0,3.12,3.15,3.12,3.15,6600.0,3.02
2000-03-03,3.0,3.1,2.91,3.05,63200.0,3.0,3.1,3.0,3.1,11500.0,3.09,3.1,3.0,3.1,14700.0,3.1,3.1,3.05,3.09,11900.0,3.2,3.2,3.1,3.1,52400.0,3.0
2000-03-06,3.05,3.1,3.05,3.05,21900.0,3.0,3.1,2.91,3.05,63200.0,3.0,3.1,3.0,3.1,11500.0,3.09,3.1,3.0,3.1,14700.0,3.1,3.1,3.05,3.09,11900.0,3.0
2000-03-07,3.05,3.1,3.04,3.04,12500.0,3.05,3.1,3.05,3.05,21900.0,3.0,3.1,2.91,3.05,63200.0,3.0,3.1,3.0,3.1,11500.0,3.09,3.1,3.0,3.1,14700.0,3.0
2000-03-08,3.03,3.1,3.03,3.05,7800.0,3.05,3.1,3.04,3.04,12500.0,3.05,3.1,3.05,3.05,21900.0,3.0,3.1,2.91,3.05,63200.0,3.0,3.1,3.0,3.1,11500.0,3.0
2000-03-09,3.02,3.05,3.02,3.05,3600.0,3.03,3.1,3.03,3.05,7800.0,3.05,3.1,3.04,3.04,12500.0,3.05,3.1,3.05,3.05,21900.0,3.0,3.1,2.91,3.05,63200.0,3.05
2000-03-10,3.0,3.04,3.0,3.02,10600.0,3.02,3.05,3.02,3.05,3600.0,3.03,3.1,3.03,3.05,7800.0,3.05,3.1,3.04,3.04,12500.0,3.05,3.1,3.05,3.05,21900.0,3.15
2000-03-13,3.1,3.1,3.0,3.0,5600.0,3.0,3.04,3.0,3.02,10600.0,3.02,3.05,3.02,3.05,3600.0,3.03,3.1,3.03,3.05,7800.0,3.05,3.1,3.04,3.04,12500.0,3.1
2000-03-14,3.0,3.0,3.0,3.0,7800.0,3.1,3.1,3.0,3.0,5600.0,3.0,3.04,3.0,3.02,10600.0,3.02,3.05,3.02,3.05,3600.0,3.03,3.1,3.03,3.05,7800.0,3.2
2000-03-15,3.0,3.05,2.95,3.0,45700.0,3.0,3.0,3.0,3.0,7800.0,3.1,3.1,3.0,3.0,5600.0,3.0,3.04,3.0,3.02,10600.0,3.02,3.05,3.02,3.05,3600.0,3.25
2000-03-16,3.0,3.0,3.0,3.0,0.0,3.0,3.05,2.95,3.0,45700.0,3.0,3.0,3.0,3.0,7800.0,3.1,3.1,3.0,3.0,5600.0,3.0,3.04,3.0,3.02,10600.0,3.2
2000-03-17,3.0,3.05,2.95,3.05,7100.0,3.0,3.0,3.0,3.0,0.0,3.0,3.05,2.95,3.0,45700.0,3.0,3.0,3.0,3.0,7800.0,3.1,3.1,3.0,3.0,5600.0,3.2
2000-03-20,3.15,3.15,3.1,3.15,4500.0,3.0,3.05,2.95,3.05,7100.0,3.0,3.0,3.0,3.0,0.0,3.0,3.05,2.95,3.0,45700.0,3.0,3.0,3.0,3.0,7800.0,3.15
2000-03-21,3.15,3.15,3.0,3.1,5600.0,3.15,3.15,3.1,3.15,4500.0,3.0,3.05,2.95,3.05,7100.0,3.0,3.0,3.0,3.0,0.0,3.0,3.05,2.95,3.0,45700.0,3.09
2000-03-22,3.2,3.3,3.2,3.2,56000.0,3.15,3.15,3.0,3.1,5600.0,3.15,3.15,3.1,3.15,4500.0,3.0,3.05,2.95,3.05,7100.0,3.0,3.0,3.0,3.0,0.0,3.1
2000-03-23,3.25,3.25,3.01,3.25,24600.0,3.2,3.3,3.2,3.2,56000.0,3.15,3.15,3.0,3.1,5600.0,3.15,3.15,3.1,3.15,4500.0,3.0,3.05,2.95,3.05,7100.0,3.05
2000-03-24,3.25,3.25,3.11,3.2,11400.0,3.25,3.25,3.01,3.25,24600.0,3.2,3.3,3.2,3.2,56000.0,3.15,3.15,3.0,3.1,5600.0,3.15,3.15,3.1,3.15,4500.0,3.0
2000-03-27,3.19,3.2,3.15,3.2,7400.0,3.25,3.25,3.11,3.2,11400.0,3.25,3.25,3.01,3.25,24600.0,3.2,3.3,3.2,3.2,56000.0,3.15,3.15,3.0,3.1,5600.0,3.0
2000-03-28,3.15,3.15,3.12,3.15,4900.0,3.19,3.2,3.15,3.2,7400.0,3.25,3.25,3.11,3.2,11400.0,3.25,3.25,3.01,3.25,24600.0,3.2,3.3,3.2,3.2,56000.0,3.0
2000-03-29,3.15,3.15,3.0,3.09,10400.0,3.15,3.15,3.12,3.15,4900.0,3.19,3.2,3.15,3.2,7400.0,3.25,3.25,3.11,3.2,11400.0,3.25,3.25,3.01,3.25,24600.0,3.1
2000-03-30,3.09,3.1,3.01,3.1,7200.0,3.15,3.15,3.0,3.09,10400.0,3.15,3.15,3.12,3.15,4900.0,3.19,3.2,3.15,3.2,7400.0,3.25,3.25,3.11,3.2,11400.0,3.0
2000-03-31,3.0,3.1,2.8,3.05,17100.0,3.09,3.1,3.01,3.1,7200.0,3.15,3.15,3.0,3.09,10400.0,3.15,3.15,3.12,3.15,4900.0,3.19,3.2,3.15,3.2,7400.0,3.0
2000-04-03,3.0,3.3,3.0,3.0,26000.0,3.0,3.1,2.8,3.05,17100.0,3.09,3.1,3.01,3.1,7200.0,3.15,3.15,3.0,3.09,10400.0,3.15,3.15,3.12,3.15,4900.0,3.0
2000-04-04,2.95,3.0,2.72,3.0,5300.0,3.0,3.3,3.0,3.0,26000.0,3.0,3.1,2.8,3.05,17100.0,3.09,3.1,3.01,3.1,7200.0,3.15,3.15,3.0,3.09,10400.0,3.05
2000-04-05,3.0,3.0,2.77,3.0,20700.0,2.95,3.0,2.72,3.0,5300.0,3.0,3.3,3.0,3.0,26000.0,3.0,3.1,2.8,3.05,17100.0,3.09,3.1,3.01,3.1,7200.0,3.0
2000-04-06,3.0,3.1,3.0,3.1,5400.0,3.0,3.0,2.77,3.0,20700.0,2.95,3.0,2.72,3.0,5300.0,3.0,3.3,3.0,3.0,26000.0,3.0,3.1,2.8,3.05,17100.0,3.0
2000-04-07,3.0,3.0,3.0,3.0,21000.0,3.0,3.1,3.0,3.1,5400.0,3.0,3.0,2.77,3.0,20700.0,2.95,3.0,2.72,3.0,5300.0,3.0,3.3,3.0,3.0,26000.0,3.04
2000-04-10,2.95,3.0,2.95,3.0,3000.0,3.0,3.0,3.0,3.0,21000.0,3.0,3.1,3.0,3.1,5400.0,3.0,3.0,2.77,3.0,20700.0,2.95,3.0,2.72,3.0,5300.0,3.0
2000-04-11,3.0,3.1,2.81,3.0,13500.0,2.95,3.0,2.95,3.0,3000.0,3.0,3.0,3.0,3.0,21000.0,3.0,3.1,3.0,3.1,5400.0,3.0,3.0,2.77,3.0,20700.0,3.0
2000-04-12,3.0,3.1,2.9,3.05,25900.0,3.0,3.1,2.81,3.0,13500.0,2.95,3.0,2.95,3.0,3000.0,3.0,3.0,3.0,3.0,21000.0,3.0,3.1,3.0,3.1,5400.0,3.0
2000-04-13,3.0,3.05,3.0,3.0,13100.0,3.0,3.1,2.9,3.05,25900.0,3.0,3.1,2.81,3.0,13500.0,2.95,3.0,2.95,3.0,3000.0,3.0,3.0,3.0,3.0,21000.0,0.0
2000-04-14,3.0,3.0,2.9,3.0,31700.0,3.0,3.05,3.0,3.0,13100.0,3.0,3.1,2.9,3.05,25900.0,3.0,3.1,2.81,3.0,13500.0,2.95,3.0,2.95,3.0,3000.0,3.0
2000-04-17,3.0,3.05,2.82,3.04,8000.0,3.0,3.0,2.9,3.0,31700.0,3.0,3.05,3.0,3.0,13100.0,3.0,3.1,2.9,3.05,25900.0,3.0,3.1,2.81,3.0,13500.0,3.0
2000-04-18,3.0,3.0,3.0,3.0,600.0,3.0,3.05,2.82,3.04,8000.0,3.0,3.0,2.9,3.0,31700.0,3.0,3.05,3.0,3.0,13100.0,3.0,3.1,2.9,3.05,25900.0,3.0
2000-04-19,3.1,3.1,3.0,3.0,12200.0,3.0,3.0,3.0,3.0,600.0,3.0,3.05,2.82,3.04,8000.0,3.0,3.0,2.9,3.0,31700.0,3.0,3.05,3.0,3.0,13100.0,3.0
2000-04-20,3.0,3.0,3.0,3.0,29700.0,3.1,3.1,3.0,3.0,12200.0,3.0,3.0,3.0,3.0,600.0,3.0,3.05,2.82,3.04,8000.0,3.0,3.0,2.9,3.0,31700.0,3.05
2000-04-21,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,29700.0,3.1,3.1,3.0,3.0,12200.0,3.0,3.0,3.0,3.0,600.0,3.0,3.05,2.82,3.04,8000.0,3.0
