date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,26.4,26.4,25.9,26.1,170700.0,25.5,26.5,25.5,26.0,194100.0,23.95,25.5,23.75,25.5,308300.0,23.0,23.75,22.75,23.75,513300.0,22.85,23.0,22.75,22.95,42200.0,22.5
2000-01-13,26.0,26.2,25.7,25.8,182700.0,26.4,26.4,25.9,26.1,170700.0,25.5,26.5,25.5,26.0,194100.0,23.95,25.5,23.75,25.5,308300.0,23.0,23.75,22.75,23.75,513300.0,22.55
2000-01-14,25.8,25.8,24.5,24.65,122300.0,26.0,26.2,25.7,25.8,182700.0,26.4,26.4,25.9,26.1,170700.0,25.5,26.5,25.5,26.0,194100.0,23.95,25.5,23.75,25.5,308300.0,22.25
2000-01-17,24.25,24.95,24.25,24.5,131300.0,25.8,25.8,24.5,24.65,122300.0,26.0,26.2,25.7,25.8,182700.0,26.4,26.4,25.9,26.1,170700.0,25.5,26.5,25.5,26.0,194100.0,22.0
2000-01-18,24.0,24.0,22.0,23.25,278900.0,24.25,24.95,24.25,24.5,131300.0,25.8,25.8,24.5,24.65,122300.0,26.0,26.2,25.7,25.8,182700.0,26.4,26.4,25.9,26.1,170700.0,21.45
2000-01-19,22.6,23.5,22.6,23.2,90100.0,24.0,24.0,22.0,23.25,278900.0,24.25,24.95,24.25,24.5,131300.0,25.8,25.8,24.5,24.65,122300.0,26.0,26.2,25.7,25.8,182700.0,22.4
2000-01-20,24.0,24.0,22.5,22.5,274400.0,22.6,23.5,22.6,23.2,90100.0,24.0,24.0,22.0,23.25,278900.0,24.25,24.95,24.25,24.5,131300.0,25.8,25.8,24.5,24.65,122300.0,22.5
2000-01-21,22.6,23.0,22.25,22.55,1091500.0,24.0,24.0,22.5,22.5,274400.0,22.6,23.5,22.6,23.2,90100.0,24.0,24.0,22.0,23.25,278900.0,24.25,24.95,24.25,24.5,131300.0,22.2
2000-01-24,22.7,23.5,22.25,22.25,58600.0,22.6,23.0,22.25,22.55,1091500.0,24.0,24.0,22.5,22.5,274400.0,22.6,23.5,22.6,23.2,90100.0,24.0,24.0,22.0,23.25,278900.0,22.35
2000-01-25,22.35,22.35,20.75,22.0,91600.0,22.7,23.5,22.25,22.25,58600.0,22.6,23.0,22.25,22.55,1091500.0,24.0,24.0,22.5,22.5,274400.0,22.6,23.5,22.6,23.2,90100.0,22.75
2000-01-26,22.25,22.25,21.4,21.45,429500.0,22.35,22.35,20.75,22.0,91600.0,22.7,23.5,22.25,22.25,58600.0,22.6,23.0,22.25,22.55,1091500.0,24.0,24.0,22.5,22.5,274400.0,24.0
2000-01-27,21.0,22.4,21.0,22.4,55600.0,22.25,22.25,21.4,21.45,429500.0,22.35,22.35,20.75,22.0,91600.0,22.7,23.5,22.25,22.25,58600.0,22.6,23.0,22.25,22.55,1091500.0,24.25
2000-01-28,22.5,23.1,22.0,22.5,896900.0,21.0,22.4,21.0,22.4,55600.0,22.25,22.25,21.4,21.45,429500.0,22.35,22.35,20.75,22.0,91600.0,22.7,23.5,22.25,22.25,58600.0,24.0
2000-01-31,22.0,22.5,21.2,22.2,73200.0,22.5,23.1,22.0,22.5,896900.0,21.0,22.4,21.0,22.4,55600.0,22.25,22.25,21.4,21.45,429500.0,22.35,22.35,20.75,22.0,91600.0,23.5
2000-02-01,22.65,22.65,22.2,22.35,78400.0,22.0,22.5,21.2,22.2,73200.0,22.5,23.1,22.0,22.5,896900.0,21.0,22.4,21.0,22.4,55600.0,22.25,22.25,21.4,21.45,429500.0,25.5
2000-02-02,22.2,22.75,21.75,22.75,144300.0,22.65,22.65,22.2,22.35,78400.0,22.0,22.5,21.2,22.2,73200.0,22.5,23.1,22.0,22.5,896900.0,21.0,22.4,21.0,22.4,55600.0,25.9
2000-02-03,23.0,24.0,23.0,24.0,683800.0,22.2,22.75,21.75,22.75,144300.0,22.65,22.65,22.2,22.35,78400.0,22.0,22.5,21.2,22.2,73200.0,22.5,23.1,22.0,22.5,896900.0,26.25
2000-02-04,23.9,24.5,23.9,24.25,358000.0,23.0,24.0,23.0,24.0,683800.0,22.2,22.75,21.75,22.75,144300.0,22.65,22.65,22.2,22.35,78400.0,22.0,22.5,21.2,22.2,73200.0,28.0
2000-02-07,24.2,24.25,24.0,24.0,53700.0,23.9,24.5,23.9,24.25,358000.0,23.0,24.0,23.0,24.0,683800.0,22.2,22.75,21.75,22.75,144300.0,22.65,22.65,22.2,22.35,78400.0,28.2
2000-02-08,24.05,24.5,22.0,23.5,208000.0,24.2,24.25,24.0,24.0,53700.0,23.9,24.5,23.9,24.25,358000.0,23.0,24.0,23.0,24.0,683800.0,22.2,22.75,21.75,22.75,144300.0,27.75
2000-02-09,22.0,25.8,22.0,25.5,113600.0,24.05,24.5,22.0,23.5,208000.0,24.2,24.25,24.0,24.0,53700.0,23.9,24.5,23.9,24.25,358000.0,23.0,24.0,23.0,24.0,683800.0,27.25
2000-02-10,25.5,26.0,25.25,25.9,356200.0,22.0,25.8,22.0,25.5,113600.0,24.05,24.5,22.0,23.5,208000.0,24.2,24.25,24.0,24.0,53700.0,23.9,24.5,23.9,24.25,358000.0,27.4
