date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,3.7253,3.7441,3.6596,3.7253,3893480.0,3.8004,3.8004,3.7253,3.7253,2556045.0,3.7816,3.8192,3.7159,3.8097,2444681.0,3.6784,3.7722,3.6596,3.7722,1765307.0,3.6878,3.7253,3.6878,3.6972,2799554.0,3.547
2000-01-13,3.6784,3.7347,3.6221,3.669,1741862.0,3.7253,3.7441,3.6596,3.7253,3893480.0,3.8004,3.8004,3.7253,3.7253,2556045.0,3.7816,3.8192,3.7159,3.8097,2444681.0,3.6784,3.7722,3.6596,3.7722,1765307.0,3.303
2000-01-14,3.669,3.669,3.5658,3.5752,1096057.0,3.6784,3.7347,3.6221,3.669,1741862.0,3.7253,3.7441,3.6596,3.7253,3893480.0,3.8004,3.8004,3.7253,3.7253,2556045.0,3.7816,3.8192,3.7159,3.8097,2444681.0,3.2561
2000-01-17,3.5658,3.6127,3.5658,3.5939,915956.0,3.669,3.669,3.5658,3.5752,1096057.0,3.6784,3.7347,3.6221,3.669,1741862.0,3.7253,3.7441,3.6596,3.7253,3893480.0,3.8004,3.8004,3.7253,3.7253,2556045.0,3.3781
2000-01-18,3.5846,3.6315,3.5658,3.6127,1348091.0,3.5658,3.6127,3.5658,3.5939,915956.0,3.669,3.669,3.5658,3.5752,1096057.0,3.6784,3.7347,3.6221,3.669,1741862.0,3.7253,3.7441,3.6596,3.7253,3893480.0,3.4251
2000-01-19,3.6596,3.6596,3.5939,3.5939,1994429.0,3.5846,3.6315,3.5658,3.6127,1348091.0,3.5658,3.6127,3.5658,3.5939,915956.0,3.669,3.669,3.5658,3.5752,1096057.0,3.6784,3.7347,3.6221,3.669,1741862.0,3.6502
2000-01-20,3.6596,3.6596,3.5377,3.547,1278289.0,3.6596,3.6596,3.5939,3.5939,1994429.0,3.5846,3.6315,3.5658,3.6127,1348091.0,3.5658,3.6127,3.5658,3.5939,915956.0,3.669,3.669,3.5658,3.5752,1096057.0,3.3781
2000-01-21,3.5282,3.547,3.303,3.303,1732271.0,3.6596,3.6596,3.5377,3.547,1278289.0,3.6596,3.6596,3.5939,3.5939,1994429.0,3.5846,3.6315,3.5658,3.6127,1348091.0,3.5658,3.6127,3.5658,3.5939,915956.0,3.3218
2000-01-24,3.3312,3.3969,3.2186,3.2561,1738665.0,3.5282,3.547,3.303,3.303,1732271.0,3.6596,3.6596,3.5377,3.547,1278289.0,3.6596,3.6596,3.5939,3.5939,1994429.0,3.5846,3.6315,3.5658,3.6127,1348091.0,3.3499
2000-01-25,3.2561,3.4156,3.2092,3.3781,7488034.0,3.3312,3.3969,3.2186,3.2561,1738665.0,3.5282,3.547,3.303,3.303,1732271.0,3.6596,3.6596,3.5377,3.547,1278289.0,3.6596,3.6596,3.5939,3.5939,1994429.0,3.2843
2000-01-26,3.3781,3.4532,3.2374,3.4251,924482.0,3.2561,3.4156,3.2092,3.3781,7488034.0,3.3312,3.3969,3.2186,3.2561,1738665.0,3.5282,3.547,3.303,3.303,1732271.0,3.6596,3.6596,3.5377,3.547,1278289.0,3.303
2000-01-27,3.4063,3.7253,3.3499,3.6502,1094458.0,3.3781,3.4532,3.2374,3.4251,924482.0,3.2561,3.4156,3.2092,3.3781,7488034.0,3.3312,3.3969,3.2186,3.2561,1738665.0,3.5282,3.547,3.303,3.303,1732271.0,3.3124
2000-01-28,3.4532,3.5939,3.3781,3.3781,1164794.0,3.4063,3.7253,3.3499,3.6502,1094458.0,3.3781,3.4532,3.2374,3.4251,924482.0,3.2561,3.4156,3.2092,3.3781,7488034.0,3.3312,3.3969,3.2186,3.2561,1738665.0,3.3499
2000-01-31,3.3594,3.4251,3.2937,3.3218,945262.0,3.4532,3.5939,3.3781,3.3781,1164794.0,3.4063,3.7253,3.3499,3.6502,1094458.0,3.3781,3.4532,3.2374,3.4251,924482.0,3.2561,3.4156,3.2092,3.3781,7488034.0,3.2374
2000-02-01,3.4063,3.4063,3.2843,3.3499,1602790.0,3.3594,3.4251,3.2937,3.3218,945262.0,3.4532,3.5939,3.3781,3.3781,1164794.0,3.4063,3.7253,3.3499,3.6502,1094458.0,3.3781,3.4532,3.2374,3.4251,924482.0,3.106
2000-02-02,3.4063,3.4251,3.2374,3.2843,2151618.0,3.4063,3.4063,3.2843,3.3499,1602790.0,3.3594,3.4251,3.2937,3.3218,945262.0,3.4532,3.5939,3.3781,3.3781,1164794.0,3.4063,3.7253,3.3499,3.6502,1094458.0,3.2374
2000-02-03,3.3312,3.3499,3.2561,3.303,3298295.0,3.4063,3.4251,3.2374,3.2843,2151618.0,3.4063,3.4063,3.2843,3.3499,1602790.0,3.3594,3.4251,3.2937,3.3218,945262.0,3.4532,3.5939,3.3781,3.3781,1164794.0,3.2467
2000-02-04,3.2843,3.3124,3.2561,3.3124,1177049.0,3.3312,3.3499,3.2561,3.303,3298295.0,3.4063,3.4251,3.2374,3.2843,2151618.0,3.4063,3.4063,3.2843,3.3499,1602790.0,3.3594,3.4251,3.2937,3.3218,945262.0,3.3124
