date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,13.675,13.675,12.5167,12.8333,789000.0,13.3333,13.9167,13.0833,13.7083,1184400.0,12.5083,13.6667,12.3417,13.5833,2918400.0,11.3333,11.9167,11.0833,11.75,1626600.0,11.7167,12.0,11.3333,11.5,3931800.0,16.5833
2000-01-13,13.0,13.25,11.6667,12.0833,1911600.0,13.675,13.675,12.5167,12.8333,789000.0,13.3333,13.9167,13.0833,13.7083,1184400.0,12.5083,13.6667,12.3417,13.5833,2918400.0,11.3333,11.9167,11.0833,11.75,1626600.0,16.5833
2000-01-14,12.35,12.6667,11.5167,11.9583,1460400.0,13.0,13.25,11.6667,12.0833,1911600.0,13.675,13.675,12.5167,12.8333,789000.0,13.3333,13.9167,13.0833,13.7083,1184400.0,12.5083,13.6667,12.3417,13.5833,2918400.0,17.1667
2000-01-17,11.9583,12.225,11.9083,12.1667,337800.0,12.35,12.6667,11.5167,11.9583,1460400.0,13.0,13.25,11.6667,12.0833,1911600.0,13.675,13.675,12.5167,12.8333,789000.0,13.3333,13.9167,13.0833,13.7083,1184400.0,17.6667
2000-01-18,13.3333,13.825,12.8333,13.4167,5151600.0,11.9583,12.225,11.9083,12.1667,337800.0,12.35,12.6667,11.5167,11.9583,1460400.0,13.0,13.25,11.6667,12.0833,1911600.0,13.675,13.675,12.5167,12.8333,789000.0,17.0833
2000-01-19,14.5,17.4167,14.4167,17.0833,7130400.0,13.3333,13.825,12.8333,13.4167,5151600.0,11.9583,12.225,11.9083,12.1667,337800.0,12.35,12.6667,11.5167,11.9583,1460400.0,13.0,13.25,11.6667,12.0833,1911600.0,16.25
2000-01-20,17.175,17.3167,16.0,16.5833,2053800.0,14.5,17.4167,14.4167,17.0833,7130400.0,13.3333,13.825,12.8333,13.4167,5151600.0,11.9583,12.225,11.9083,12.1667,337800.0,12.35,12.6667,11.5167,11.9583,1460400.0,15.175
2000-01-21,16.7083,17.1667,15.3333,16.5833,1632600.0,17.175,17.3167,16.0,16.5833,2053800.0,14.5,17.4167,14.4167,17.0833,7130400.0,13.3333,13.825,12.8333,13.4167,5151600.0,11.9583,12.225,11.9083,12.1667,337800.0,15.8833
2000-01-24,16.6667,19.3333,16.5833,17.1667,2294400.0,16.7083,17.1667,15.3333,16.5833,1632600.0,17.175,17.3167,16.0,16.5833,2053800.0,14.5,17.4167,14.4167,17.0833,7130400.0,13.3333,13.825,12.8333,13.4167,5151600.0,16.8333
2000-01-25,18.6667,18.6667,16.3333,17.6667,944400.0,16.6667,19.3333,16.5833,17.1667,2294400.0,16.7083,17.1667,15.3333,16.5833,1632600.0,17.175,17.3167,16.0,16.5833,2053800.0,14.5,17.4167,14.4167,17.0833,7130400.0,20.3167
2000-01-26,17.9167,17.9167,17.0,17.0833,529800.0,18.6667,18.6667,16.3333,17.6667,944400.0,16.6667,19.3333,16.5833,17.1667,2294400.0,16.7083,17.1667,15.3333,16.5833,1632600.0,17.175,17.3167,16.0,16.5833,2053800.0,21.8833
2000-01-27,17.0333,17.1667,15.75,16.25,982800.0,17.9167,17.9167,17.0,17.0833,529800.0,18.6667,18.6667,16.3333,17.6667,944400.0,16.6667,19.3333,16.5833,17.1667,2294400.0,16.7083,17.1667,15.3333,16.5833,1632600.0,22.5833
2000-01-28,15.6667,16.0,15.175,15.175,880800.0,17.0333,17.1667,15.75,16.25,982800.0,17.9167,17.9167,17.0,17.0833,529800.0,18.6667,18.6667,16.3333,17.6667,944400.0,16.6667,19.3333,16.5833,17.1667,2294400.0,24.8333
2000-01-31,15.3,17.0,15.0917,15.8833,1444200.0,15.6667,16.0,15.175,15.175,880800.0,17.0333,17.1667,15.75,16.25,982800.0,17.9167,17.9167,17.0,17.0833,529800.0,18.6667,18.6667,16.3333,17.6667,944400.0,30.0
2000-02-01,16.3333,17.3333,16.0,16.8333,1268400.0,15.3,17.0,15.0917,15.8833,1444200.0,15.6667,16.0,15.175,15.175,880800.0,17.0333,17.1667,15.75,16.25,982800.0,17.9167,17.9167,17.0,17.0833,529800.0,26.8333
2000-02-02,16.9,20.4667,16.9,20.3167,4863600.0,16.3333,17.3333,16.0,16.8333,1268400.0,15.3,17.0,15.0917,15.8833,1444200.0,15.6667,16.0,15.175,15.175,880800.0,17.0333,17.1667,15.75,16.25,982800.0,27.8333
2000-02-03,20.2,22.5,20.0,21.8833,5489400.0,16.9,20.4667,16.9,20.3167,4863600.0,16.3333,17.3333,16.0,16.8333,1268400.0,15.3,17.0,15.0917,15.8833,1444200.0,15.6667,16.0,15.175,15.175,880800.0,25.6583
2000-02-04,21.6667,23.3333,21.5833,22.5833,1167600.0,20.2,22.5,20.0,21.8833,5489400.0,16.9,20.4667,16.9,20.3167,4863600.0,16.3333,17.3333,16.0,16.8333,1268400.0,15.3,17.0,15.0917,15.8833,1444200.0,28.0833
