date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,126.15,127.5,121.0,122.8,1901400.0,126.5,131.4,125.05,126.3,2049500.0,131.0,131.35,128.0,129.25,1863700.0,116.65,126.9,116.3,126.9,4713500.0,117.85,118.5,113.0,114.0,2651500.0,134.25
2000-01-13,124.25,125.65,121.35,123.8,1246100.0,126.15,127.5,121.0,122.8,1901400.0,126.5,131.4,125.05,126.3,2049500.0,131.0,131.35,128.0,129.25,1863700.0,116.65,126.9,116.3,126.9,4713500.0,138.7
2000-01-14,126.1,127.85,121.75,122.25,1524600.0,124.25,125.65,121.35,123.8,1246100.0,126.15,127.5,121.0,122.8,1901400.0,126.5,131.4,125.05,126.3,2049500.0,131.0,131.35,128.0,129.25,1863700.0,136.4
2000-01-17,122.0,124.0,122.0,123.5,758300.0,126.1,127.85,121.75,122.25,1524600.0,124.25,125.65,121.35,123.8,1246100.0,126.15,127.5,121.0,122.8,1901400.0,126.5,131.4,125.05,126.3,2049500.0,135.9
2000-01-18,122.0,129.5,121.5,129.25,2123100.0,122.0,124.0,122.0,123.5,758300.0,126.1,127.85,121.75,122.25,1524600.0,124.25,125.65,121.35,123.8,1246100.0,126.15,127.5,121.0,122.8,1901400.0,142.45
2000-01-19,130.0,136.15,129.4,133.9,4041400.0,122.0,129.5,121.5,129.25,2123100.0,122.0,124.0,122.0,123.5,758300.0,126.1,127.85,121.75,122.25,1524600.0,124.25,125.65,121.35,123.8,1246100.0,150.0
2000-01-20,136.5,138.5,133.55,134.25,2079700.0,130.0,136.15,129.4,133.9,4041400.0,122.0,129.5,121.5,129.25,2123100.0,122.0,124.0,122.0,123.5,758300.0,126.1,127.85,121.75,122.25,1524600.0,142.25
2000-01-21,135.0,139.3,135.0,138.7,3061200.0,136.5,138.5,133.55,134.25,2079700.0,130.0,136.15,129.4,133.9,4041400.0,122.0,129.5,121.5,129.25,2123100.0,122.0,124.0,122.0,123.5,758300.0,147.25
2000-01-24,140.0,142.0,136.0,136.4,2411500.0,135.0,139.3,135.0,138.7,3061200.0,136.5,138.5,133.55,134.25,2079700.0,130.0,136.15,129.4,133.9,4041400.0,122.0,129.5,121.5,129.25,2123100.0,143.0
2000-01-25,139.8,139.8,133.0,135.9,2309300.0,140.0,142.0,136.0,136.4,2411500.0,135.0,139.3,135.0,138.7,3061200.0,136.5,138.5,133.55,134.25,2079700.0,130.0,136.15,129.4,133.9,4041400.0,154.3
2000-01-26,141.0,147.0,137.15,142.45,4738600.0,139.8,139.8,133.0,135.9,2309300.0,140.0,142.0,136.0,136.4,2411500.0,135.0,139.3,135.0,138.7,3061200.0,136.5,138.5,133.55,134.25,2079700.0,156.75
2000-01-27,155.0,156.0,147.2,150.0,9831900.0,141.0,147.0,137.15,142.45,4738600.0,139.8,139.8,133.0,135.9,2309300.0,140.0,142.0,136.0,136.4,2411500.0,135.0,139.3,135.0,138.7,3061200.0,171.0
2000-01-28,149.85,149.95,140.35,142.25,4328600.0,155.0,156.0,147.2,150.0,9831900.0,141.0,147.0,137.15,142.45,4738600.0,139.8,139.8,133.0,135.9,2309300.0,140.0,142.0,136.0,136.4,2411500.0,167.45
2000-01-31,140.6,148.0,136.25,147.25,4074900.0,149.85,149.95,140.35,142.25,4328600.0,155.0,156.0,147.2,150.0,9831900.0,141.0,147.0,137.15,142.45,4738600.0,139.8,139.8,133.0,135.9,2309300.0,171.5
2000-02-01,146.5,146.5,142.0,143.0,2958400.0,140.6,148.0,136.25,147.25,4074900.0,149.85,149.95,140.35,142.25,4328600.0,155.0,156.0,147.2,150.0,9831900.0,141.0,147.0,137.15,142.45,4738600.0,175.05
2000-02-02,144.1,155.5,144.1,154.3,6324700.0,146.5,146.5,142.0,143.0,2958400.0,140.6,148.0,136.25,147.25,4074900.0,149.85,149.95,140.35,142.25,4328600.0,155.0,156.0,147.2,150.0,9831900.0,175.65
2000-02-03,154.0,158.4,152.0,156.75,3520500.0,144.1,155.5,144.1,154.3,6324700.0,146.5,146.5,142.0,143.0,2958400.0,140.6,148.0,136.25,147.25,4074900.0,149.85,149.95,140.35,142.25,4328600.0,170.6
2000-02-04,158.05,173.8,158.05,171.0,3982800.0,154.0,158.4,152.0,156.75,3520500.0,144.1,155.5,144.1,154.3,6324700.0,146.5,146.5,142.0,143.0,2958400.0,140.6,148.0,136.25,147.25,4074900.0,174.0
2000-02-07,169.1,170.4,163.9,167.45,2554900.0,158.05,173.8,158.05,171.0,3982800.0,154.0,158.4,152.0,156.75,3520500.0,144.1,155.5,144.1,154.3,6324700.0,146.5,146.5,142.0,143.0,2958400.0,173.25
2000-02-08,170.0,172.5,168.05,171.5,2499700.0,169.1,170.4,163.9,167.45,2554900.0,158.05,173.8,158.05,171.0,3982800.0,154.0,158.4,152.0,156.75,3520500.0,144.1,155.5,144.1,154.3,6324700.0,177.65
2000-02-09,175.0,179.5,172.75,175.05,2852200.0,170.0,172.5,168.05,171.5,2499700.0,169.1,170.4,163.9,167.45,2554900.0,158.05,173.8,158.05,171.0,3982800.0,154.0,158.4,152.0,156.75,3520500.0,177.9
2000-02-10,175.0,176.45,171.5,175.65,1924900.0,175.0,179.5,172.75,175.05,2852200.0,170.0,172.5,168.05,171.5,2499700.0,169.1,170.4,163.9,167.45,2554900.0,158.05,173.8,158.05,171.0,3982800.0,172.9
2000-02-11,175.25,175.5,170.6,170.6,1787900.0,175.0,176.45,171.5,175.65,1924900.0,175.0,179.5,172.75,175.05,2852200.0,170.0,172.5,168.05,171.5,2499700.0,169.1,170.4,163.9,167.45,2554900.0,166.95
2000-02-14,171.25,175.0,171.0,174.0,1363000.0,175.25,175.5,170.6,170.6,1787900.0,175.0,176.45,171.5,175.65,1924900.0,175.0,179.5,172.75,175.05,2852200.0,170.0,172.5,168.05,171.5,2499700.0,165.1
2000-02-15,173.35,174.85,169.0,173.25,1615700.0,171.25,175.0,171.0,174.0,1363000.0,175.25,175.5,170.6,170.6,1787900.0,175.0,176.45,171.5,175.65,1924900.0,175.0,179.5,172.75,175.05,2852200.0,171.5
2000-02-16,168.0,179.25,165.0,177.65,6059800.0,173.35,174.85,169.0,173.25,1615700.0,171.25,175.0,171.0,174.0,1363000.0,175.25,175.5,170.6,170.6,1787900.0,175.0,176.45,171.5,175.65,1924900.0,167.0
2000-02-17,177.5,179.95,176.1,177.9,2748100.0,168.0,179.25,165.0,177.65,6059800.0,173.35,174.85,169.0,173.25,1615700.0,171.25,175.0,171.0,174.0,1363000.0,175.25,175.5,170.6,170.6,1787900.0,161.25
2000-02-18,177.65,178.7,172.9,172.9,2097900.0,177.5,179.95,176.1,177.9,2748100.0,168.0,179.25,165.0,177.65,6059800.0,173.35,174.85,169.0,173.25,1615700.0,171.25,175.0,171.0,174.0,1363000.0,160.75
2000-02-21,169.0,170.25,166.05,166.95,975800.0,177.65,178.7,172.9,172.9,2097900.0,177.5,179.95,176.1,177.9,2748100.0,168.0,179.25,165.0,177.65,6059800.0,173.35,174.85,169.0,173.25,1615700.0,158.0
2000-02-22,169.1,169.95,163.1,165.1,4192900.0,169.0,170.25,166.05,166.95,975800.0,177.65,178.7,172.9,172.9,2097900.0,177.5,179.95,176.1,177.9,2748100.0,168.0,179.25,165.0,177.65,6059800.0,165.0
2000-02-23,166.0,171.85,165.0,171.5,4796400.0,169.1,169.95,163.1,165.1,4192900.0,169.0,170.25,166.05,166.95,975800.0,177.65,178.7,172.9,172.9,2097900.0,177.5,179.95,176.1,177.9,2748100.0,166.75
2000-02-24,173.0,173.0,166.0,167.0,3321600.0,166.0,171.85,165.0,171.5,4796400.0,169.1,169.95,163.1,165.1,4192900.0,169.0,170.25,166.05,166.95,975800.0,177.65,178.7,172.9,172.9,2097900.0,167.4
