date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,12.5,12.5,12.2,12.3,84000.0,12.75,12.75,12.5,12.5,38900.0,13.0,13.0,12.5,12.75,28200.0,12.2,13.0,12.2,13.0,17500.0,12.0,12.1,11.8,12.0,16000.0,10.0
2000-01-12,12.25,12.4,12.15,12.15,27300.0,12.5,12.5,12.2,12.3,84000.0,12.75,12.75,12.5,12.5,38900.0,13.0,13.0,12.5,12.75,28200.0,12.2,13.0,12.2,13.0,17500.0,8.75
2000-01-13,12.25,12.25,11.9,11.95,42700.0,12.25,12.4,12.15,12.15,27300.0,12.5,12.5,12.2,12.3,84000.0,12.75,12.75,12.5,12.5,38900.0,13.0,13.0,12.5,12.75,28200.0,8.9
2000-01-14,11.75,11.75,11.55,11.75,37700.0,12.25,12.25,11.9,11.95,42700.0,12.25,12.4,12.15,12.15,27300.0,12.5,12.5,12.2,12.3,84000.0,12.75,12.75,12.5,12.5,38900.0,8.55
2000-01-17,11.5,11.5,11.05,11.35,7600.0,11.75,11.75,11.55,11.75,37700.0,12.25,12.25,11.9,11.95,42700.0,12.25,12.4,12.15,12.15,27300.0,12.5,12.5,12.2,12.3,84000.0,8.7
2000-01-18,11.45,11.75,11.35,11.75,16200.0,11.5,11.5,11.05,11.35,7600.0,11.75,11.75,11.55,11.75,37700.0,12.25,12.25,11.9,11.95,42700.0,12.25,12.4,12.15,12.15,27300.0,8.6
2000-01-19,11.75,11.75,9.75,10.0,443500.0,11.45,11.75,11.35,11.75,16200.0,11.5,11.5,11.05,11.35,7600.0,11.75,11.75,11.55,11.75,37700.0,12.25,12.25,11.9,11.95,42700.0,8.7
2000-01-20,10.0,10.0,8.75,8.75,185000.0,11.75,11.75,9.75,10.0,443500.0,11.45,11.75,11.35,11.75,16200.0,11.5,11.5,11.05,11.35,7600.0,11.75,11.75,11.55,11.75,37700.0,8.8
2000-01-21,9.0,9.5,8.8,8.9,93500.0,10.0,10.0,8.75,8.75,185000.0,11.75,11.75,9.75,10.0,443500.0,11.45,11.75,11.35,11.75,16200.0,11.5,11.5,11.05,11.35,7600.0,8.7
2000-01-24,9.0,9.0,8.5,8.55,66600.0,9.0,9.5,8.8,8.9,93500.0,10.0,10.0,8.75,8.75,185000.0,11.75,11.75,9.75,10.0,443500.0,11.45,11.75,11.35,11.75,16200.0,8.75
2000-01-25,8.8,8.8,8.5,8.7,374100.0,9.0,9.0,8.5,8.55,66600.0,9.0,9.5,8.8,8.9,93500.0,10.0,10.0,8.75,8.75,185000.0,11.75,11.75,9.75,10.0,443500.0,8.75
2000-01-26,8.75,9.0,8.6,8.6,571500.0,8.8,8.8,8.5,8.7,374100.0,9.0,9.0,8.5,8.55,66600.0,9.0,9.5,8.8,8.9,93500.0,10.0,10.0,8.75,8.75,185000.0,8.6
2000-01-27,8.7,8.9,8.6,8.7,29800.0,8.75,9.0,8.6,8.6,571500.0,8.8,8.8,8.5,8.7,374100.0,9.0,9.0,8.5,8.55,66600.0,9.0,9.5,8.8,8.9,93500.0,8.9
2000-01-28,8.8,9.0,8.7,8.8,12000.0,8.7,8.9,8.6,8.7,29800.0,8.75,9.0,8.6,8.6,571500.0,8.8,8.8,8.5,8.7,374100.0,9.0,9.0,8.5,8.55,66600.0,8.8
2000-01-31,8.75,8.75,8.6,8.7,8200.0,8.8,9.0,8.7,8.8,12000.0,8.7,8.9,8.6,8.7,29800.0,8.75,9.0,8.6,8.6,571500.0,8.8,8.8,8.5,8.7,374100.0,8.9
