date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,34.5,36.475,34.125,35.775,166600.0,35.5,35.725,33.95,34.025,317200.0,33.75,36.0,33.75,35.0,206800.0,32.1,33.625,32.075,33.5625,86800.0,31.7125,32.3125,31.3,31.375,263600.0,38.525
2000-01-13,35.775,35.775,35.0,35.425,241400.0,34.5,36.475,34.125,35.775,166600.0,35.5,35.725,33.95,34.025,317200.0,33.75,36.0,33.75,35.0,206800.0,32.1,33.625,32.075,33.5625,86800.0,38.0
2000-01-14,35.75,38.45,35.75,37.8,462000.0,35.775,35.775,35.0,35.425,241400.0,34.5,36.475,34.125,35.775,166600.0,35.5,35.725,33.95,34.025,317200.0,33.75,36.0,33.75,35.0,206800.0,36.95
2000-01-17,37.8,41.5,37.75,40.375,111000.0,35.75,38.45,35.75,37.8,462000.0,35.775,35.775,35.0,35.425,241400.0,34.5,36.475,34.125,35.775,166600.0,35.5,35.725,33.95,34.025,317200.0,37.275
2000-01-18,39.025,39.975,37.65,38.425,423400.0,37.8,41.5,37.75,40.375,111000.0,35.75,38.45,35.75,37.8,462000.0,35.775,35.775,35.0,35.425,241400.0,34.5,36.475,34.125,35.775,166600.0,36.8
2000-01-19,39.0,39.975,37.75,39.35,862800.0,39.025,39.975,37.65,38.425,423400.0,37.8,41.5,37.75,40.375,111000.0,35.75,38.45,35.75,37.8,462000.0,35.775,35.775,35.0,35.425,241400.0,37.1
2000-01-20,39.1,40.225,38.0,38.525,216000.0,39.0,39.975,37.75,39.35,862800.0,39.025,39.975,37.65,38.425,423400.0,37.8,41.5,37.75,40.375,111000.0,35.75,38.45,35.75,37.8,462000.0,36.5
2000-01-21,38.9,39.25,37.75,38.0,261400.0,39.1,40.225,38.0,38.525,216000.0,39.0,39.975,37.75,39.35,862800.0,39.025,39.975,37.65,38.425,423400.0,37.8,41.5,37.75,40.375,111000.0,36.0
2000-01-24,39.5,39.75,36.95,36.95,117400.0,38.9,39.25,37.75,38.0,261400.0,39.1,40.225,38.0,38.525,216000.0,39.0,39.975,37.75,39.35,862800.0,39.025,39.975,37.65,38.425,423400.0,36.0
2000-01-25,37.775,37.975,35.7,37.275,138600.0,39.5,39.75,36.95,36.95,117400.0,38.9,39.25,37.75,38.0,261400.0,39.1,40.225,38.0,38.525,216000.0,39.0,39.975,37.75,39.35,862800.0,36.65
