date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,3.8,3.95,3.8,3.8,5300.0,3.78,4.0,3.6,4.0,12200.0,3.55,3.75,3.55,3.6,4900.0,3.56,3.65,3.56,3.6,2200.0,3.55,3.65,3.55,3.55,6400.0,4.0
2000-01-13,3.85,4.0,3.85,4.0,7200.0,3.8,3.95,3.8,3.8,5300.0,3.78,4.0,3.6,4.0,12200.0,3.55,3.75,3.55,3.6,4900.0,3.56,3.65,3.56,3.6,2200.0,4.0
2000-01-14,3.95,3.95,3.8,3.8,3700.0,3.85,4.0,3.85,4.0,7200.0,3.8,3.95,3.8,3.8,5300.0,3.78,4.0,3.6,4.0,12200.0,3.55,3.75,3.55,3.6,4900.0,3.9
2000-01-17,4.0,4.0,3.8,4.0,7200.0,3.95,3.95,3.8,3.8,3700.0,3.85,4.0,3.85,4.0,7200.0,3.8,3.95,3.8,3.8,5300.0,3.78,4.0,3.6,4.0,12200.0,3.85
2000-01-18,3.95,4.5,3.9,4.1,37000.0,4.0,4.0,3.8,4.0,7200.0,3.95,3.95,3.8,3.8,3700.0,3.85,4.0,3.85,4.0,7200.0,3.8,3.95,3.8,3.8,5300.0,3.7
2000-01-19,3.95,4.1,3.85,4.0,13400.0,3.95,4.5,3.9,4.1,37000.0,4.0,4.0,3.8,4.0,7200.0,3.95,3.95,3.8,3.8,3700.0,3.85,4.0,3.85,4.0,7200.0,3.75
2000-01-20,3.9,4.1,3.9,4.0,5400.0,3.95,4.1,3.85,4.0,13400.0,3.95,4.5,3.9,4.1,37000.0,4.0,4.0,3.8,4.0,7200.0,3.95,3.95,3.8,3.8,3700.0,3.8
2000-01-21,3.9,4.0,3.9,4.0,3400.0,3.9,4.1,3.9,4.0,5400.0,3.95,4.1,3.85,4.0,13400.0,3.95,4.5,3.9,4.1,37000.0,4.0,4.0,3.8,4.0,7200.0,4.0
2000-01-24,4.0,4.0,3.9,3.9,3300.0,3.9,4.0,3.9,4.0,3400.0,3.9,4.1,3.9,4.0,5400.0,3.95,4.1,3.85,4.0,13400.0,3.95,4.5,3.9,4.1,37000.0,3.6
2000-01-25,3.95,3.95,3.85,3.85,3000.0,4.0,4.0,3.9,3.9,3300.0,3.9,4.0,3.9,4.0,3400.0,3.9,4.1,3.9,4.0,5400.0,3.95,4.1,3.85,4.0,13400.0,3.6
2000-01-26,3.8,3.8,3.7,3.7,6200.0,3.95,3.95,3.85,3.85,3000.0,4.0,4.0,3.9,3.9,3300.0,3.9,4.0,3.9,4.0,3400.0,3.9,4.1,3.9,4.0,5400.0,3.55
2000-01-27,3.6,3.8,3.6,3.75,7200.0,3.8,3.8,3.7,3.7,6200.0,3.95,3.95,3.85,3.85,3000.0,4.0,4.0,3.9,3.9,3300.0,3.9,4.0,3.9,4.0,3400.0,3.51
2000-01-28,3.65,3.8,3.5,3.8,7000.0,3.6,3.8,3.6,3.75,7200.0,3.8,3.8,3.7,3.7,6200.0,3.95,3.95,3.85,3.85,3000.0,4.0,4.0,3.9,3.9,3300.0,3.55
2000-01-31,3.7,4.0,3.7,4.0,2800.0,3.65,3.8,3.5,3.8,7000.0,3.6,3.8,3.6,3.75,7200.0,3.8,3.8,3.7,3.7,6200.0,3.95,3.95,3.85,3.85,3000.0,3.6
2000-02-01,3.75,3.8,3.6,3.6,8000.0,3.7,4.0,3.7,4.0,2800.0,3.65,3.8,3.5,3.8,7000.0,3.6,3.8,3.6,3.75,7200.0,3.8,3.8,3.7,3.7,6200.0,3.5
2000-02-02,3.58,3.6,3.58,3.6,16500.0,3.75,3.8,3.6,3.6,8000.0,3.7,4.0,3.7,4.0,2800.0,3.65,3.8,3.5,3.8,7000.0,3.6,3.8,3.6,3.75,7200.0,3.55
2000-02-03,3.6,3.6,3.55,3.55,8400.0,3.58,3.6,3.58,3.6,16500.0,3.75,3.8,3.6,3.6,8000.0,3.7,4.0,3.7,4.0,2800.0,3.65,3.8,3.5,3.8,7000.0,3.6
2000-02-04,3.55,3.55,3.5,3.51,5500.0,3.6,3.6,3.55,3.55,8400.0,3.58,3.6,3.58,3.6,16500.0,3.75,3.8,3.6,3.6,8000.0,3.7,4.0,3.7,4.0,2800.0,3.6
2000-02-07,3.52,3.59,3.51,3.55,3700.0,3.55,3.55,3.5,3.51,5500.0,3.6,3.6,3.55,3.55,8400.0,3.58,3.6,3.58,3.6,16500.0,3.75,3.8,3.6,3.6,8000.0,3.55
2000-02-08,3.6,3.6,3.5,3.6,15100.0,3.52,3.59,3.51,3.55,3700.0,3.55,3.55,3.5,3.51,5500.0,3.6,3.6,3.55,3.55,8400.0,3.58,3.6,3.58,3.6,16500.0,3.55
2000-02-09,3.55,3.55,3.5,3.5,4800.0,3.6,3.6,3.5,3.6,15100.0,3.52,3.59,3.51,3.55,3700.0,3.55,3.55,3.5,3.51,5500.0,3.6,3.6,3.55,3.55,8400.0,3.55
2000-02-10,3.6,3.6,3.5,3.55,7500.0,3.55,3.55,3.5,3.5,4800.0,3.6,3.6,3.5,3.6,15100.0,3.52,3.59,3.51,3.55,3700.0,3.55,3.55,3.5,3.51,5500.0,3.5
2000-02-11,3.55,3.6,3.5,3.6,12400.0,3.6,3.6,3.5,3.55,7500.0,3.55,3.55,3.5,3.5,4800.0,3.6,3.6,3.5,3.6,15100.0,3.52,3.59,3.51,3.55,3700.0,3.46
2000-02-14,3.6,3.6,3.55,3.6,7800.0,3.55,3.6,3.5,3.6,12400.0,3.6,3.6,3.5,3.55,7500.0,3.55,3.55,3.5,3.5,4800.0,3.6,3.6,3.5,3.6,15100.0,3.5
2000-02-15,3.55,3.6,3.55,3.55,6600.0,3.6,3.6,3.55,3.6,7800.0,3.55,3.6,3.5,3.6,12400.0,3.6,3.6,3.5,3.55,7500.0,3.55,3.55,3.5,3.5,4800.0,3.6
2000-02-16,3.6,3.6,3.5,3.55,16500.0,3.55,3.6,3.55,3.55,6600.0,3.6,3.6,3.55,3.6,7800.0,3.55,3.6,3.5,3.6,12400.0,3.6,3.6,3.5,3.55,7500.0,3.9
2000-02-17,3.5,3.6,3.5,3.55,3700.0,3.6,3.6,3.5,3.55,16500.0,3.55,3.6,3.55,3.55,6600.0,3.6,3.6,3.55,3.6,7800.0,3.55,3.6,3.5,3.6,12400.0,4.15
2000-02-18,3.6,3.6,3.5,3.5,7100.0,3.5,3.6,3.5,3.55,3700.0,3.6,3.6,3.5,3.55,16500.0,3.55,3.6,3.55,3.55,6600.0,3.6,3.6,3.55,3.6,7800.0,4.1
2000-02-21,3.5,3.6,3.45,3.46,7300.0,3.6,3.6,3.5,3.5,7100.0,3.5,3.6,3.5,3.55,3700.0,3.6,3.6,3.5,3.55,16500.0,3.55,3.6,3.55,3.55,6600.0,3.95
2000-02-22,3.5,3.5,3.48,3.5,19600.0,3.5,3.6,3.45,3.46,7300.0,3.6,3.6,3.5,3.5,7100.0,3.5,3.6,3.5,3.55,3700.0,3.6,3.6,3.5,3.55,16500.0,4.0
2000-02-23,3.6,3.6,3.48,3.6,20600.0,3.5,3.5,3.48,3.5,19600.0,3.5,3.6,3.45,3.46,7300.0,3.6,3.6,3.5,3.5,7100.0,3.5,3.6,3.5,3.55,3700.0,3.8
2000-02-24,4.0,4.0,3.85,3.9,40200.0,3.6,3.6,3.48,3.6,20600.0,3.5,3.5,3.48,3.5,19600.0,3.5,3.6,3.45,3.46,7300.0,3.6,3.6,3.5,3.5,7100.0,4.15
2000-02-25,3.95,4.15,3.9,4.15,37000.0,4.0,4.0,3.85,3.9,40200.0,3.6,3.6,3.48,3.6,20600.0,3.5,3.5,3.48,3.5,19600.0,3.5,3.6,3.45,3.46,7300.0,3.9
2000-02-28,4.1,4.2,3.9,4.1,19600.0,3.95,4.15,3.9,4.15,37000.0,4.0,4.0,3.85,3.9,40200.0,3.6,3.6,3.48,3.6,20600.0,3.5,3.5,3.48,3.5,19600.0,3.8
2000-02-29,4.2,4.2,3.95,3.95,8300.0,4.1,4.2,3.9,4.1,19600.0,3.95,4.15,3.9,4.15,37000.0,4.0,4.0,3.85,3.9,40200.0,3.6,3.6,3.48,3.6,20600.0,4.0
2000-03-01,4.05,4.1,3.75,4.0,8800.0,4.2,4.2,3.95,3.95,8300.0,4.1,4.2,3.9,4.1,19600.0,3.95,4.15,3.9,4.15,37000.0,4.0,4.0,3.85,3.9,40200.0,3.81
2000-03-02,4.0,4.0,3.75,3.8,5700.0,4.05,4.1,3.75,4.0,8800.0,4.2,4.2,3.95,3.95,8300.0,4.1,4.2,3.9,4.1,19600.0,3.95,4.15,3.9,4.15,37000.0,3.9
2000-03-03,4.0,4.15,4.0,4.15,12400.0,4.0,4.0,3.75,3.8,5700.0,4.05,4.1,3.75,4.0,8800.0,4.2,4.2,3.95,3.95,8300.0,4.1,4.2,3.9,4.1,19600.0,3.8
2000-03-06,4.0,4.1,3.9,3.9,9900.0,4.0,4.15,4.0,4.15,12400.0,4.0,4.0,3.75,3.8,5700.0,4.05,4.1,3.75,4.0,8800.0,4.2,4.2,3.95,3.95,8300.0,3.85
2000-03-07,3.9,3.9,3.8,3.8,1700.0,4.0,4.1,3.9,3.9,9900.0,4.0,4.15,4.0,4.15,12400.0,4.0,4.0,3.75,3.8,5700.0,4.05,4.1,3.75,4.0,8800.0,3.8
2000-03-08,3.9,4.0,3.9,4.0,3800.0,3.9,3.9,3.8,3.8,1700.0,4.0,4.1,3.9,3.9,9900.0,4.0,4.15,4.0,4.15,12400.0,4.0,4.0,3.75,3.8,5700.0,3.8
2000-03-09,4.0,4.0,3.81,3.81,1400.0,3.9,4.0,3.9,4.0,3800.0,3.9,3.9,3.8,3.8,1700.0,4.0,4.1,3.9,3.9,9900.0,4.0,4.15,4.0,4.15,12400.0,3.8
2000-03-10,3.8,3.9,3.75,3.9,9700.0,4.0,4.0,3.81,3.81,1400.0,3.9,4.0,3.9,4.0,3800.0,3.9,3.9,3.8,3.8,1700.0,4.0,4.1,3.9,3.9,9900.0,3.6
2000-03-13,3.85,3.85,3.8,3.8,1600.0,3.8,3.9,3.75,3.9,9700.0,4.0,4.0,3.81,3.81,1400.0,3.9,4.0,3.9,4.0,3800.0,3.9,3.9,3.8,3.8,1700.0,3.79
2000-03-14,3.7,3.85,3.6,3.85,11200.0,3.85,3.85,3.8,3.8,1600.0,3.8,3.9,3.75,3.9,9700.0,4.0,4.0,3.81,3.81,1400.0,3.9,4.0,3.9,4.0,3800.0,3.8
2000-03-15,3.8,3.85,3.7,3.8,3400.0,3.7,3.85,3.6,3.85,11200.0,3.85,3.85,3.8,3.8,1600.0,3.8,3.9,3.75,3.9,9700.0,4.0,4.0,3.81,3.81,1400.0,3.75
2000-03-16,3.75,3.8,3.65,3.8,1600.0,3.8,3.85,3.7,3.8,3400.0,3.7,3.85,3.6,3.85,11200.0,3.85,3.85,3.8,3.8,1600.0,3.8,3.9,3.75,3.9,9700.0,3.8
