date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,22.575,22.8,22.5,22.7,1725000.0,22.7,22.825,22.425,22.6,2579400.0,23.475,23.475,22.9,22.9,1728600.0,23.6,23.6,23.125,23.45,1610400.0,23.475,23.825,23.375,23.7,2243200.0,22.25
2000-01-13,23.0,23.2,22.7,22.925,2319600.0,22.575,22.8,22.5,22.7,1725000.0,22.7,22.825,22.425,22.6,2579400.0,23.475,23.475,22.9,22.9,1728600.0,23.6,23.6,23.125,23.45,1610400.0,21.625
2000-01-14,23.175,23.6,23.05,23.075,2539600.0,23.0,23.2,22.7,22.925,2319600.0,22.575,22.8,22.5,22.7,1725000.0,22.7,22.825,22.425,22.6,2579400.0,23.475,23.475,22.9,22.9,1728600.0,21.5
2000-01-17,23.475,23.875,23.25,23.725,838600.0,23.175,23.6,23.05,23.075,2539600.0,23.0,23.2,22.7,22.925,2319600.0,22.575,22.8,22.5,22.7,1725000.0,22.7,22.825,22.425,22.6,2579400.0,22.05
2000-01-18,23.75,23.975,23.175,23.3,1471200.0,23.475,23.875,23.25,23.725,838600.0,23.175,23.6,23.05,23.075,2539600.0,23.0,23.2,22.7,22.925,2319600.0,22.575,22.8,22.5,22.7,1725000.0,23.0
2000-01-19,23.25,23.25,22.5,22.525,2047800.0,23.75,23.975,23.175,23.3,1471200.0,23.475,23.875,23.25,23.725,838600.0,23.175,23.6,23.05,23.075,2539600.0,23.0,23.2,22.7,22.925,2319600.0,24.3
2000-01-20,22.75,22.75,22.2,22.25,2031600.0,23.25,23.25,22.5,22.525,2047800.0,23.75,23.975,23.175,23.3,1471200.0,23.475,23.875,23.25,23.725,838600.0,23.175,23.6,23.05,23.075,2539600.0,24.025
2000-01-21,22.3,22.475,21.6,21.625,2039400.0,22.75,22.75,22.2,22.25,2031600.0,23.25,23.25,22.5,22.525,2047800.0,23.75,23.975,23.175,23.3,1471200.0,23.475,23.875,23.25,23.725,838600.0,24.075
2000-01-24,21.675,21.675,21.0,21.5,2614200.0,22.3,22.475,21.6,21.625,2039400.0,22.75,22.75,22.2,22.25,2031600.0,23.25,23.25,22.5,22.525,2047800.0,23.75,23.975,23.175,23.3,1471200.0,24.675
2000-01-25,21.75,22.325,21.65,22.05,2252200.0,21.675,21.675,21.0,21.5,2614200.0,22.3,22.475,21.6,21.625,2039400.0,22.75,22.75,22.2,22.25,2031600.0,23.25,23.25,22.5,22.525,2047800.0,23.75
2000-01-26,22.5,23.0,22.3,23.0,2006000.0,21.75,22.325,21.65,22.05,2252200.0,21.675,21.675,21.0,21.5,2614200.0,22.3,22.475,21.6,21.625,2039400.0,22.75,22.75,22.2,22.25,2031600.0,23.05
2000-01-27,23.275,24.475,23.125,24.3,3429800.0,22.5,23.0,22.3,23.0,2006000.0,21.75,22.325,21.65,22.05,2252200.0,21.675,21.675,21.0,21.5,2614200.0,22.3,22.475,21.6,21.625,2039400.0,23.0
2000-01-28,24.275,24.275,23.625,24.025,2108800.0,23.275,24.475,23.125,24.3,3429800.0,22.5,23.0,22.3,23.0,2006000.0,21.75,22.325,21.65,22.05,2252200.0,21.675,21.675,21.0,21.5,2614200.0,22.85
2000-01-31,24.1,24.225,23.75,24.075,1195000.0,24.275,24.275,23.625,24.025,2108800.0,23.275,24.475,23.125,24.3,3429800.0,22.5,23.0,22.3,23.0,2006000.0,21.75,22.325,21.65,22.05,2252200.0,22.925
2000-02-01,24.15,24.9,23.9,24.675,1754800.0,24.1,24.225,23.75,24.075,1195000.0,24.275,24.275,23.625,24.025,2108800.0,23.275,24.475,23.125,24.3,3429800.0,22.5,23.0,22.3,23.0,2006000.0,22.425
2000-02-02,24.65,24.65,23.375,23.75,1887600.0,24.15,24.9,23.9,24.675,1754800.0,24.1,24.225,23.75,24.075,1195000.0,24.275,24.275,23.625,24.025,2108800.0,23.275,24.475,23.125,24.3,3429800.0,22.5
2000-02-03,24.0,24.025,23.025,23.05,1717200.0,24.65,24.65,23.375,23.75,1887600.0,24.15,24.9,23.9,24.675,1754800.0,24.1,24.225,23.75,24.075,1195000.0,24.275,24.275,23.625,24.025,2108800.0,22.3
2000-02-04,23.25,23.25,22.65,23.0,1534200.0,24.0,24.025,23.025,23.05,1717200.0,24.65,24.65,23.375,23.75,1887600.0,24.15,24.9,23.9,24.675,1754800.0,24.1,24.225,23.75,24.075,1195000.0,22.475
2000-02-07,23.075,23.25,22.775,22.85,1635000.0,23.25,23.25,22.65,23.0,1534200.0,24.0,24.025,23.025,23.05,1717200.0,24.65,24.65,23.375,23.75,1887600.0,24.15,24.9,23.9,24.675,1754800.0,22.325
2000-02-08,23.1,23.125,22.625,22.925,1740000.0,23.075,23.25,22.775,22.85,1635000.0,23.25,23.25,22.65,23.0,1534200.0,24.0,24.025,23.025,23.05,1717200.0,24.65,24.65,23.375,23.75,1887600.0,22.8
2000-02-09,23.0,23.05,22.125,22.425,1280000.0,23.1,23.125,22.625,22.925,1740000.0,23.075,23.25,22.775,22.85,1635000.0,23.25,23.25,22.65,23.0,1534200.0,24.0,24.025,23.025,23.05,1717200.0,23.025
2000-02-10,22.45,22.7,22.25,22.5,716600.0,23.0,23.05,22.125,22.425,1280000.0,23.1,23.125,22.625,22.925,1740000.0,23.075,23.25,22.775,22.85,1635000.0,23.25,23.25,22.65,23.0,1534200.0,22.5
2000-02-11,22.5,22.5,22.125,22.3,1059000.0,22.45,22.7,22.25,22.5,716600.0,23.0,23.05,22.125,22.425,1280000.0,23.1,23.125,22.625,22.925,1740000.0,23.075,23.25,22.775,22.85,1635000.0,22.625
2000-02-14,22.5,22.875,22.325,22.475,1980200.0,22.5,22.5,22.125,22.3,1059000.0,22.45,22.7,22.25,22.5,716600.0,23.0,23.05,22.125,22.425,1280000.0,23.1,23.125,22.625,22.925,1740000.0,22.375
2000-02-15,22.5,22.675,22.325,22.325,859600.0,22.5,22.875,22.325,22.475,1980200.0,22.5,22.5,22.125,22.3,1059000.0,22.45,22.7,22.25,22.5,716600.0,23.0,23.05,22.125,22.425,1280000.0,22.325
2000-02-16,22.5,22.925,22.425,22.8,933400.0,22.5,22.675,22.325,22.325,859600.0,22.5,22.875,22.325,22.475,1980200.0,22.5,22.5,22.125,22.3,1059000.0,22.45,22.7,22.25,22.5,716600.0,21.975
2000-02-17,23.05,23.25,22.725,23.025,1291000.0,22.5,22.925,22.425,22.8,933400.0,22.5,22.675,22.325,22.325,859600.0,22.5,22.875,22.325,22.475,1980200.0,22.5,22.5,22.125,22.3,1059000.0,22.0
2000-02-18,23.25,23.3,22.5,22.5,1499200.0,23.05,23.25,22.725,23.025,1291000.0,22.5,22.925,22.425,22.8,933400.0,22.5,22.675,22.325,22.325,859600.0,22.5,22.875,22.325,22.475,1980200.0,22.425
2000-02-21,22.65,22.825,22.55,22.625,495000.0,23.25,23.3,22.5,22.5,1499200.0,23.05,23.25,22.725,23.025,1291000.0,22.5,22.925,22.425,22.8,933400.0,22.5,22.675,22.325,22.325,859600.0,22.2
2000-02-22,22.825,22.825,22.325,22.375,1167000.0,22.65,22.825,22.55,22.625,495000.0,23.25,23.3,22.5,22.5,1499200.0,23.05,23.25,22.725,23.025,1291000.0,22.5,22.925,22.425,22.8,933400.0,22.3
2000-02-23,22.575,22.625,22.275,22.325,916600.0,22.825,22.825,22.325,22.375,1167000.0,22.65,22.825,22.55,22.625,495000.0,23.25,23.3,22.5,22.5,1499200.0,23.05,23.25,22.725,23.025,1291000.0,22.475
2000-02-24,22.525,22.525,21.95,21.975,1222600.0,22.575,22.625,22.275,22.325,916600.0,22.825,22.825,22.325,22.375,1167000.0,22.65,22.825,22.55,22.625,495000.0,23.25,23.3,22.5,22.5,1499200.0,22.25
2000-02-25,22.375,22.375,21.95,22.0,1606200.0,22.525,22.525,21.95,21.975,1222600.0,22.575,22.625,22.275,22.325,916600.0,22.825,22.825,22.325,22.375,1167000.0,22.65,22.825,22.55,22.625,495000.0,21.8
2000-02-28,22.125,22.625,22.0,22.425,1502400.0,22.375,22.375,21.95,22.0,1606200.0,22.525,22.525,21.95,21.975,1222600.0,22.575,22.625,22.275,22.325,916600.0,22.825,22.825,22.325,22.375,1167000.0,21.825
2000-02-29,23.0,23.0,22.0,22.2,1962000.0,22.125,22.625,22.0,22.425,1502400.0,22.375,22.375,21.95,22.0,1606200.0,22.525,22.525,21.95,21.975,1222600.0,22.575,22.625,22.275,22.325,916600.0,21.675
2000-03-01,22.5,22.55,22.2,22.3,2425600.0,23.0,23.0,22.0,22.2,1962000.0,22.125,22.625,22.0,22.425,1502400.0,22.375,22.375,21.95,22.0,1606200.0,22.525,22.525,21.95,21.975,1222600.0,21.975
2000-03-02,22.675,22.85,22.35,22.475,1674400.0,22.5,22.55,22.2,22.3,2425600.0,23.0,23.0,22.0,22.2,1962000.0,22.125,22.625,22.0,22.425,1502400.0,22.375,22.375,21.95,22.0,1606200.0,21.95
2000-03-03,22.75,22.75,22.25,22.25,1444000.0,22.675,22.85,22.35,22.475,1674400.0,22.5,22.55,22.2,22.3,2425600.0,23.0,23.0,22.0,22.2,1962000.0,22.125,22.625,22.0,22.425,1502400.0,22.15
2000-03-06,22.475,22.475,21.775,21.8,2160800.0,22.75,22.75,22.25,22.25,1444000.0,22.675,22.85,22.35,22.475,1674400.0,22.5,22.55,22.2,22.3,2425600.0,23.0,23.0,22.0,22.2,1962000.0,21.975
2000-03-07,21.825,22.0,21.8,21.825,688600.0,22.475,22.475,21.775,21.8,2160800.0,22.75,22.75,22.25,22.25,1444000.0,22.675,22.85,22.35,22.475,1674400.0,22.5,22.55,22.2,22.3,2425600.0,22.775
2000-03-08,22.0,22.0,21.575,21.675,1015000.0,21.825,22.0,21.8,21.825,688600.0,22.475,22.475,21.775,21.8,2160800.0,22.75,22.75,22.25,22.25,1444000.0,22.675,22.85,22.35,22.475,1674400.0,24.25
2000-03-09,21.875,22.0,21.65,21.975,1545400.0,22.0,22.0,21.575,21.675,1015000.0,21.825,22.0,21.8,21.825,688600.0,22.475,22.475,21.775,21.8,2160800.0,22.75,22.75,22.25,22.25,1444000.0,23.75
