date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,14.65,14.875,14.525,14.575,1699600.0,14.95,14.95,14.55,14.65,2308600.0,15.3,15.475,14.925,15.0,2650400.0,15.55,15.55,15.15,15.5,1419600.0,15.6,15.725,15.55,15.55,1159600.0,14.95
2000-01-13,14.85,14.85,14.625,14.675,1682200.0,14.65,14.875,14.525,14.575,1699600.0,14.95,14.95,14.55,14.65,2308600.0,15.3,15.475,14.925,15.0,2650400.0,15.55,15.55,15.15,15.5,1419600.0,14.3
2000-01-14,14.75,15.0,14.675,14.775,2782600.0,14.85,14.85,14.625,14.675,1682200.0,14.65,14.875,14.525,14.575,1699600.0,14.95,14.95,14.55,14.65,2308600.0,15.3,15.475,14.925,15.0,2650400.0,13.75
2000-01-17,14.975,15.15,14.8,15.075,1590400.0,14.75,15.0,14.675,14.775,2782600.0,14.85,14.85,14.625,14.675,1682200.0,14.65,14.875,14.525,14.575,1699600.0,14.95,14.95,14.55,14.65,2308600.0,14.3
2000-01-18,15.1,15.575,15.025,15.35,2281000.0,14.975,15.15,14.8,15.075,1590400.0,14.75,15.0,14.675,14.775,2782600.0,14.85,14.85,14.625,14.675,1682200.0,14.65,14.875,14.525,14.575,1699600.0,14.65
2000-01-19,15.35,15.45,15.05,15.075,2755000.0,15.1,15.575,15.025,15.35,2281000.0,14.975,15.15,14.8,15.075,1590400.0,14.75,15.0,14.675,14.775,2782600.0,14.85,14.85,14.625,14.675,1682200.0,15.15
2000-01-20,15.075,15.225,14.85,14.95,2922200.0,15.35,15.45,15.05,15.075,2755000.0,15.1,15.575,15.025,15.35,2281000.0,14.975,15.15,14.8,15.075,1590400.0,14.75,15.0,14.675,14.775,2782600.0,15.0
2000-01-21,14.925,14.925,14.125,14.3,2791600.0,15.075,15.225,14.85,14.95,2922200.0,15.35,15.45,15.05,15.075,2755000.0,15.1,15.575,15.025,15.35,2281000.0,14.975,15.15,14.8,15.075,1590400.0,14.775
2000-01-24,14.3,14.3,13.4,13.75,4373000.0,14.925,14.925,14.125,14.3,2791600.0,15.075,15.225,14.85,14.95,2922200.0,15.35,15.45,15.05,15.075,2755000.0,15.1,15.575,15.025,15.35,2281000.0,15.2
2000-01-25,14.0,14.475,13.75,14.3,3622600.0,14.3,14.3,13.4,13.75,4373000.0,14.925,14.925,14.125,14.3,2791600.0,15.075,15.225,14.85,14.95,2922200.0,15.35,15.45,15.05,15.075,2755000.0,14.95
