date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2013-04-02,22.75,23.75,22.75,23.29,12941.0,21.89,22.33,21.89,22.1,5125.0,21.8,22.0,21.63,21.63,18378.0,21.55,22.36,21.55,21.72,39022.0,21.87,22.15,21.53,21.53,18458.0,22.46
2013-04-03,23.29,23.5,23.02,23.26,20244.0,22.75,23.75,22.75,23.29,12941.0,21.89,22.33,21.89,22.1,5125.0,21.8,22.0,21.63,21.63,18378.0,21.55,22.36,21.55,21.72,39022.0,22.42
2013-04-04,23.26,23.26,23.0,23.05,51911.0,23.29,23.5,23.02,23.26,20244.0,22.75,23.75,22.75,23.29,12941.0,21.89,22.33,21.89,22.1,5125.0,21.8,22.0,21.63,21.63,18378.0,21.6
2013-04-05,23.12,23.12,22.83,22.89,165268.0,23.26,23.26,23.0,23.05,51911.0,23.29,23.5,23.02,23.26,20244.0,22.75,23.75,22.75,23.29,12941.0,21.89,22.33,21.89,22.1,5125.0,22.1
2013-04-08,23.12,23.12,22.7,22.7,10201.0,23.12,23.12,22.83,22.89,165268.0,23.26,23.26,23.0,23.05,51911.0,23.29,23.5,23.02,23.26,20244.0,22.75,23.75,22.75,23.29,12941.0,22.89
2013-04-09,23.0,23.0,22.5,22.5,33530.0,23.12,23.12,22.7,22.7,10201.0,23.12,23.12,22.83,22.89,165268.0,23.26,23.26,23.0,23.05,51911.0,23.29,23.5,23.02,23.26,20244.0,22.41
2013-04-10,22.65,22.7,22.46,22.46,258446.0,23.0,23.0,22.5,22.5,33530.0,23.12,23.12,22.7,22.7,10201.0,23.12,23.12,22.83,22.89,165268.0,23.26,23.26,23.0,23.05,51911.0,22.4
2013-04-11,22.54,22.56,22.05,22.42,63250.0,22.65,22.7,22.46,22.46,258446.0,23.0,23.0,22.5,22.5,33530.0,23.12,23.12,22.7,22.7,10201.0,23.12,23.12,22.83,22.89,165268.0,22.4
2013-04-12,22.4,22.45,21.15,21.6,2097291.0,22.54,22.56,22.05,22.42,63250.0,22.65,22.7,22.46,22.46,258446.0,23.0,23.0,22.5,22.5,33530.0,23.12,23.12,22.7,22.7,10201.0,22.4
2013-04-15,21.6,22.85,21.6,22.1,815659.0,22.4,22.45,21.15,21.6,2097291.0,22.54,22.56,22.05,22.42,63250.0,22.65,22.7,22.46,22.46,258446.0,23.0,23.0,22.5,22.5,33530.0,22.4
2013-04-16,22.33,22.89,22.09,22.89,837869.0,21.6,22.85,21.6,22.1,815659.0,22.4,22.45,21.15,21.6,2097291.0,22.54,22.56,22.05,22.42,63250.0,22.65,22.7,22.46,22.46,258446.0,22.4
2013-04-17,22.71,23.11,22.39,22.41,1148195.0,22.33,22.89,22.09,22.89,837869.0,21.6,22.85,21.6,22.1,815659.0,22.4,22.45,21.15,21.6,2097291.0,22.54,22.56,22.05,22.42,63250.0,22.4
2013-04-18,22.41,22.67,22.27,22.4,164994.0,22.71,23.11,22.39,22.41,1148195.0,22.33,22.89,22.09,22.89,837869.0,21.6,22.85,21.6,22.1,815659.0,22.4,22.45,21.15,21.6,2097291.0,22.4
2013-04-19,22.4,22.4,22.4,22.4,0.0,22.41,22.67,22.27,22.4,164994.0,22.71,23.11,22.39,22.41,1148195.0,22.33,22.89,22.09,22.89,837869.0,21.6,22.85,21.6,22.1,815659.0,22.4
2013-04-22,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.41,22.67,22.27,22.4,164994.0,22.71,23.11,22.39,22.41,1148195.0,22.33,22.89,22.09,22.89,837869.0,22.4
2013-04-23,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.41,22.67,22.27,22.4,164994.0,22.71,23.11,22.39,22.41,1148195.0,22.4
2013-04-24,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.41,22.67,22.27,22.4,164994.0,22.4
2013-04-25,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-04-26,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-04-29,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-04-30,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-01,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-02,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-03,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-06,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-07,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-08,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-09,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-10,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-13,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-14,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-15,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-16,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-17,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-21,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-22,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-23,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-24,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-27,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-28,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-29,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4
2013-05-30,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,22.4,22.4,22.4,22.4,0.0,21.47
