date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,9.2,9.3,9.1,9.3,189000.0,9.0,9.25,9.0,9.1,79900.0,8.4,9.1,8.4,9.0,235700.0,8.4,8.4,8.25,8.35,149300.0,8.55,8.55,8.25,8.4,98500.0,10.75
2000-01-12,9.3,9.3,9.15,9.2,247500.0,9.2,9.3,9.1,9.3,189000.0,9.0,9.25,9.0,9.1,79900.0,8.4,9.1,8.4,9.0,235700.0,8.4,8.4,8.25,8.35,149300.0,10.75
2000-01-13,9.2,9.55,9.2,9.5,300300.0,9.3,9.3,9.15,9.2,247500.0,9.2,9.3,9.1,9.3,189000.0,9.0,9.25,9.0,9.1,79900.0,8.4,9.1,8.4,9.0,235700.0,10.7
2000-01-14,9.65,9.8,9.5,9.8,32500.0,9.2,9.55,9.2,9.5,300300.0,9.3,9.3,9.15,9.2,247500.0,9.2,9.3,9.1,9.3,189000.0,9.0,9.25,9.0,9.1,79900.0,10.6
2000-01-17,10.0,10.7,9.95,10.5,45900.0,9.65,9.8,9.5,9.8,32500.0,9.2,9.55,9.2,9.5,300300.0,9.3,9.3,9.15,9.2,247500.0,9.2,9.3,9.1,9.3,189000.0,10.65
2000-01-18,10.6,11.0,10.55,10.9,488800.0,10.0,10.7,9.95,10.5,45900.0,9.65,9.8,9.5,9.8,32500.0,9.2,9.55,9.2,9.5,300300.0,9.3,9.3,9.15,9.2,247500.0,10.95
2000-01-19,11.0,11.0,10.5,10.75,207600.0,10.6,11.0,10.55,10.9,488800.0,10.0,10.7,9.95,10.5,45900.0,9.65,9.8,9.5,9.8,32500.0,9.2,9.55,9.2,9.5,300300.0,10.85
2000-01-20,10.75,10.9,10.65,10.75,82400.0,11.0,11.0,10.5,10.75,207600.0,10.6,11.0,10.55,10.9,488800.0,10.0,10.7,9.95,10.5,45900.0,9.65,9.8,9.5,9.8,32500.0,10.35
2000-01-21,10.7,10.85,10.6,10.7,58400.0,10.75,10.9,10.65,10.75,82400.0,11.0,11.0,10.5,10.75,207600.0,10.6,11.0,10.55,10.9,488800.0,10.0,10.7,9.95,10.5,45900.0,10.5
2000-01-24,10.7,10.8,10.6,10.6,49500.0,10.7,10.85,10.6,10.7,58400.0,10.75,10.9,10.65,10.75,82400.0,11.0,11.0,10.5,10.75,207600.0,10.6,11.0,10.55,10.9,488800.0,10.15
2000-01-25,10.6,10.7,10.4,10.65,67200.0,10.7,10.8,10.6,10.6,49500.0,10.7,10.85,10.6,10.7,58400.0,10.75,10.9,10.65,10.75,82400.0,11.0,11.0,10.5,10.75,207600.0,10.75
