date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,2.8,2.8,2.7,2.75,18600.0,11.2,11.4,11.2,11.4,2100.0,2.9,2.9,2.65,2.65,19400.0,2.55,2.8,2.46,2.8,36800.0,2.5,2.5,2.5,2.5,70500.0,2.85
2000-01-13,10.8,10.8,10.8,10.8,1400.0,2.8,2.8,2.7,2.75,18600.0,11.2,11.4,11.2,11.4,2100.0,2.9,2.9,2.65,2.65,19400.0,2.55,2.8,2.46,2.8,36800.0,2.75
2000-01-14,2.8,2.8,2.65,2.65,14100.0,10.8,10.8,10.8,10.8,1400.0,2.8,2.8,2.7,2.75,18600.0,11.2,11.4,11.2,11.4,2100.0,2.9,2.9,2.65,2.65,19400.0,2.85
2000-01-17,2.8,2.85,2.65,2.8,27200.0,2.8,2.8,2.65,2.65,14100.0,10.8,10.8,10.8,10.8,1400.0,2.8,2.8,2.7,2.75,18600.0,11.2,11.4,11.2,11.4,2100.0,2.75
2000-01-18,2.85,2.85,2.8,2.8,8100.0,2.8,2.85,2.65,2.8,27200.0,2.8,2.8,2.65,2.65,14100.0,10.8,10.8,10.8,10.8,1400.0,2.8,2.8,2.7,2.75,18600.0,2.85
2000-01-19,2.85,2.9,2.85,2.9,6600.0,2.85,2.85,2.8,2.8,8100.0,2.8,2.85,2.65,2.8,27200.0,2.8,2.8,2.65,2.65,14100.0,10.8,10.8,10.8,10.8,1400.0,2.75
2000-01-20,2.8,2.85,2.8,2.85,5000.0,2.85,2.9,2.85,2.9,6600.0,2.85,2.85,2.8,2.8,8100.0,2.8,2.85,2.65,2.8,27200.0,2.8,2.8,2.65,2.65,14100.0,2.75
2000-01-21,2.85,2.85,2.75,2.75,6100.0,2.8,2.85,2.8,2.85,5000.0,2.85,2.9,2.85,2.9,6600.0,2.85,2.85,2.8,2.8,8100.0,2.8,2.85,2.65,2.8,27200.0,2.6
2000-01-24,2.85,2.85,2.85,2.85,1000.0,2.85,2.85,2.75,2.75,6100.0,2.8,2.85,2.8,2.85,5000.0,2.85,2.9,2.85,2.9,6600.0,2.85,2.85,2.8,2.8,8100.0,2.8
2000-01-25,2.75,2.89,2.75,2.75,6000.0,2.85,2.85,2.85,2.85,1000.0,2.85,2.85,2.75,2.75,6100.0,2.8,2.85,2.8,2.85,5000.0,2.85,2.9,2.85,2.9,6600.0,2.65
2000-01-26,2.75,2.85,2.7,2.85,7900.0,2.75,2.89,2.75,2.75,6000.0,2.85,2.85,2.85,2.85,1000.0,2.85,2.85,2.75,2.75,6100.0,2.8,2.85,2.8,2.85,5000.0,10.8
2000-01-27,2.75,2.75,2.75,2.75,3500.0,2.75,2.85,2.7,2.85,7900.0,2.75,2.89,2.75,2.75,6000.0,2.85,2.85,2.85,2.85,1000.0,2.85,2.85,2.75,2.75,6100.0,2.7
2000-01-28,2.75,2.75,2.75,2.75,4700.0,2.75,2.75,2.75,2.75,3500.0,2.75,2.85,2.7,2.85,7900.0,2.75,2.89,2.75,2.75,6000.0,2.85,2.85,2.85,2.85,1000.0,2.63
2000-01-31,2.75,2.75,2.6,2.6,4000.0,2.75,2.75,2.75,2.75,4700.0,2.75,2.75,2.75,2.75,3500.0,2.75,2.85,2.7,2.85,7900.0,2.75,2.89,2.75,2.75,6000.0,2.65
2000-02-01,2.75,2.8,2.6,2.8,9100.0,2.75,2.75,2.6,2.6,4000.0,2.75,2.75,2.75,2.75,4700.0,2.75,2.75,2.75,2.75,3500.0,2.75,2.85,2.7,2.85,7900.0,2.7
2000-02-02,2.75,2.75,2.65,2.65,11100.0,2.75,2.8,2.6,2.8,9100.0,2.75,2.75,2.6,2.6,4000.0,2.75,2.75,2.75,2.75,4700.0,2.75,2.75,2.75,2.75,3500.0,2.7
2000-02-03,10.4,10.8,10.4,10.8,600.0,2.75,2.75,2.65,2.65,11100.0,2.75,2.8,2.6,2.8,9100.0,2.75,2.75,2.6,2.6,4000.0,2.75,2.75,2.75,2.75,4700.0,2.65
2000-02-04,2.6,2.7,2.6,2.7,13900.0,10.4,10.8,10.4,10.8,600.0,2.75,2.75,2.65,2.65,11100.0,2.75,2.8,2.6,2.8,9100.0,2.75,2.75,2.6,2.6,4000.0,2.7
2000-02-07,2.6,2.63,2.6,2.63,9300.0,2.6,2.7,2.6,2.7,13900.0,10.4,10.8,10.4,10.8,600.0,2.75,2.75,2.65,2.65,11100.0,2.75,2.8,2.6,2.8,9100.0,2.65
2000-02-08,2.63,2.65,2.62,2.65,3800.0,2.6,2.63,2.6,2.63,9300.0,2.6,2.7,2.6,2.7,13900.0,10.4,10.8,10.4,10.8,600.0,2.75,2.75,2.65,2.65,11100.0,2.7
2000-02-09,2.7,2.7,2.7,2.7,4100.0,2.63,2.65,2.62,2.65,3800.0,2.6,2.63,2.6,2.63,9300.0,2.6,2.7,2.6,2.7,13900.0,10.4,10.8,10.4,10.8,600.0,2.75
2000-02-10,2.63,2.7,2.63,2.7,4500.0,2.7,2.7,2.7,2.7,4100.0,2.63,2.65,2.62,2.65,3800.0,2.6,2.63,2.6,2.63,9300.0,2.6,2.7,2.6,2.7,13900.0,2.6
2000-02-11,2.62,2.65,2.62,2.65,7400.0,2.63,2.7,2.63,2.7,4500.0,2.7,2.7,2.7,2.7,4100.0,2.63,2.65,2.62,2.65,3800.0,2.6,2.63,2.6,2.63,9300.0,2.6
2000-02-14,2.65,2.75,2.65,2.7,4600.0,2.62,2.65,2.62,2.65,7400.0,2.63,2.7,2.63,2.7,4500.0,2.7,2.7,2.7,2.7,4100.0,2.63,2.65,2.62,2.65,3800.0,2.7
2000-02-15,2.7,2.7,2.65,2.65,3000.0,2.65,2.75,2.65,2.7,4600.0,2.62,2.65,2.62,2.65,7400.0,2.63,2.7,2.63,2.7,4500.0,2.7,2.7,2.7,2.7,4100.0,10.8
2000-02-16,2.65,2.7,2.38,2.7,33700.0,2.7,2.7,2.65,2.65,3000.0,2.65,2.75,2.65,2.7,4600.0,2.62,2.65,2.62,2.65,7400.0,2.63,2.7,2.63,2.7,4500.0,2.7
2000-02-17,2.7,2.75,2.7,2.75,5700.0,2.65,2.7,2.38,2.7,33700.0,2.7,2.7,2.65,2.65,3000.0,2.65,2.75,2.65,2.7,4600.0,2.62,2.65,2.62,2.65,7400.0,2.7
2000-02-18,2.8,2.8,2.6,2.6,26100.0,2.7,2.75,2.7,2.75,5700.0,2.65,2.7,2.38,2.7,33700.0,2.7,2.7,2.65,2.65,3000.0,2.65,2.75,2.65,2.7,4600.0,2.65
2000-02-21,2.6,2.6,2.5,2.6,7800.0,2.8,2.8,2.6,2.6,26100.0,2.7,2.75,2.7,2.75,5700.0,2.65,2.7,2.38,2.7,33700.0,2.7,2.7,2.65,2.65,3000.0,2.75
2000-02-22,2.65,2.7,2.65,2.7,33500.0,2.6,2.6,2.5,2.6,7800.0,2.8,2.8,2.6,2.6,26100.0,2.7,2.75,2.7,2.75,5700.0,2.65,2.7,2.38,2.7,33700.0,2.9
2000-02-23,11.0,11.0,10.8,10.8,1900.0,2.65,2.7,2.65,2.7,33500.0,2.6,2.6,2.5,2.6,7800.0,2.8,2.8,2.6,2.6,26100.0,2.7,2.75,2.7,2.75,5700.0,2.75
2000-02-24,2.75,2.75,2.65,2.7,3000.0,11.0,11.0,10.8,10.8,1900.0,2.65,2.7,2.65,2.7,33500.0,2.6,2.6,2.5,2.6,7800.0,2.8,2.8,2.6,2.6,26100.0,2.8
2000-02-25,2.7,2.7,2.7,2.7,3400.0,2.75,2.75,2.65,2.7,3000.0,11.0,11.0,10.8,10.8,1900.0,2.65,2.7,2.65,2.7,33500.0,2.6,2.6,2.5,2.6,7800.0,2.8
2000-02-28,2.7,2.7,2.65,2.65,3700.0,2.7,2.7,2.7,2.7,3400.0,2.75,2.75,2.65,2.7,3000.0,11.0,11.0,10.8,10.8,1900.0,2.65,2.7,2.65,2.7,33500.0,2.85
2000-02-29,2.55,2.75,2.55,2.75,19600.0,2.7,2.7,2.65,2.65,3700.0,2.7,2.7,2.7,2.7,3400.0,2.75,2.75,2.65,2.7,3000.0,11.0,11.0,10.8,10.8,1900.0,2.75
2000-03-01,2.7,2.9,2.65,2.9,47400.0,2.55,2.75,2.55,2.75,19600.0,2.7,2.7,2.65,2.65,3700.0,2.7,2.7,2.7,2.7,3400.0,2.75,2.75,2.65,2.7,3000.0,2.65
2000-03-02,2.4,2.75,2.4,2.75,10600.0,2.7,2.9,2.65,2.9,47400.0,2.55,2.75,2.55,2.75,19600.0,2.7,2.7,2.65,2.65,3700.0,2.7,2.7,2.7,2.7,3400.0,10.6
2000-03-03,2.65,2.8,2.65,2.8,8000.0,2.4,2.75,2.4,2.75,10600.0,2.7,2.9,2.65,2.9,47400.0,2.55,2.75,2.55,2.75,19600.0,2.7,2.7,2.65,2.65,3700.0,10.6
