date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,5.95,5.95,5.825,5.875,1034000.0,5.8,5.95,5.775,5.9,2129600.0,5.275,5.85,5.275,5.7,1881200.0,4.975,5.225,4.975,5.2,383600.0,5.0,5.0,4.925,4.975,399200.0,5.325
2000-01-13,5.8,5.875,5.525,5.55,608600.0,5.95,5.95,5.825,5.875,1034000.0,5.8,5.95,5.775,5.9,2129600.0,5.275,5.85,5.275,5.7,1881200.0,4.975,5.225,4.975,5.2,383600.0,5.15
2000-01-14,5.6,5.7,5.55,5.55,271000.0,5.8,5.875,5.525,5.55,608600.0,5.95,5.95,5.825,5.875,1034000.0,5.8,5.95,5.775,5.9,2129600.0,5.275,5.85,5.275,5.7,1881200.0,4.925
2000-01-17,5.625,5.75,5.625,5.625,335000.0,5.6,5.7,5.55,5.55,271000.0,5.8,5.875,5.525,5.55,608600.0,5.95,5.95,5.825,5.875,1034000.0,5.8,5.95,5.775,5.9,2129600.0,5.1
2000-01-18,5.625,5.65,5.375,5.5,1138400.0,5.625,5.75,5.625,5.625,335000.0,5.6,5.7,5.55,5.55,271000.0,5.8,5.875,5.525,5.55,608600.0,5.95,5.95,5.825,5.875,1034000.0,5.05
2000-01-19,5.375,5.5,5.375,5.425,317200.0,5.625,5.65,5.375,5.5,1138400.0,5.625,5.75,5.625,5.625,335000.0,5.6,5.7,5.55,5.55,271000.0,5.8,5.875,5.525,5.55,608600.0,5.2
2000-01-20,5.425,5.425,5.325,5.325,895200.0,5.375,5.5,5.375,5.425,317200.0,5.625,5.65,5.375,5.5,1138400.0,5.625,5.75,5.625,5.625,335000.0,5.6,5.7,5.55,5.55,271000.0,5.025
2000-01-21,5.375,5.375,5.15,5.15,322200.0,5.425,5.425,5.325,5.325,895200.0,5.375,5.5,5.375,5.425,317200.0,5.625,5.65,5.375,5.5,1138400.0,5.625,5.75,5.625,5.625,335000.0,5.125
2000-01-24,5.125,5.15,4.825,4.925,858600.0,5.375,5.375,5.15,5.15,322200.0,5.425,5.425,5.325,5.325,895200.0,5.375,5.5,5.375,5.425,317200.0,5.625,5.65,5.375,5.5,1138400.0,5.225
2000-01-25,4.9,5.2,4.9,5.1,1084000.0,5.125,5.15,4.825,4.925,858600.0,5.375,5.375,5.15,5.15,322200.0,5.425,5.425,5.325,5.325,895200.0,5.375,5.5,5.375,5.425,317200.0,5.7
2000-01-26,5.05,5.175,5.05,5.05,753800.0,4.9,5.2,4.9,5.1,1084000.0,5.125,5.15,4.825,4.925,858600.0,5.375,5.375,5.15,5.15,322200.0,5.425,5.425,5.325,5.325,895200.0,5.9
2000-01-27,5.2,5.2,5.1,5.2,444800.0,5.05,5.175,5.05,5.05,753800.0,4.9,5.2,4.9,5.1,1084000.0,5.125,5.15,4.825,4.925,858600.0,5.375,5.375,5.15,5.15,322200.0,6.3
