date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,10.2,10.25,9.8,10.0,17100.0,10.3,10.3,10.1,10.25,18000.0,10.5,10.65,10.3,10.4,37700.0,10.5,10.6,10.45,10.45,9500.0,10.4,10.6,10.35,10.5,20500.0,10.3
2000-01-12,10.0,10.25,10.0,10.25,11000.0,10.2,10.25,9.8,10.0,17100.0,10.3,10.3,10.1,10.25,18000.0,10.5,10.65,10.3,10.4,37700.0,10.5,10.6,10.45,10.45,9500.0,10.35
2000-01-13,10.25,10.25,9.9,10.0,12700.0,10.0,10.25,10.0,10.25,11000.0,10.2,10.25,9.8,10.0,17100.0,10.3,10.3,10.1,10.25,18000.0,10.5,10.65,10.3,10.4,37700.0,10.35
2000-01-14,10.0,10.3,9.9,9.9,14300.0,10.25,10.25,9.9,10.0,12700.0,10.0,10.25,10.0,10.25,11000.0,10.2,10.25,9.8,10.0,17100.0,10.3,10.3,10.1,10.25,18000.0,10.35
2000-01-17,10.0,10.25,9.9,10.25,7900.0,10.0,10.3,9.9,9.9,14300.0,10.25,10.25,9.9,10.0,12700.0,10.0,10.25,10.0,10.25,11000.0,10.2,10.25,9.8,10.0,17100.0,10.1
2000-01-18,10.3,10.4,10.25,10.4,6900.0,10.0,10.25,9.9,10.25,7900.0,10.0,10.3,9.9,9.9,14300.0,10.25,10.25,9.9,10.0,12700.0,10.0,10.25,10.0,10.25,11000.0,10.15
2000-01-19,10.3,10.5,10.25,10.3,12700.0,10.3,10.4,10.25,10.4,6900.0,10.0,10.25,9.9,10.25,7900.0,10.0,10.3,9.9,9.9,14300.0,10.25,10.25,9.9,10.0,12700.0,10.25
2000-01-20,10.4,10.4,10.35,10.35,13600.0,10.3,10.5,10.25,10.3,12700.0,10.3,10.4,10.25,10.4,6900.0,10.0,10.25,9.9,10.25,7900.0,10.0,10.3,9.9,9.9,14300.0,10.25
2000-01-21,10.4,10.5,10.35,10.35,11400.0,10.4,10.4,10.35,10.35,13600.0,10.3,10.5,10.25,10.3,12700.0,10.3,10.4,10.25,10.4,6900.0,10.0,10.25,9.9,10.25,7900.0,10.0
2000-01-24,10.35,10.5,10.35,10.35,14100.0,10.4,10.5,10.35,10.35,11400.0,10.4,10.4,10.35,10.35,13600.0,10.3,10.5,10.25,10.3,12700.0,10.3,10.4,10.25,10.4,6900.0,10.0
2000-01-25,10.3,10.3,10.0,10.1,7300.0,10.35,10.5,10.35,10.35,14100.0,10.4,10.5,10.35,10.35,11400.0,10.4,10.4,10.35,10.35,13600.0,10.3,10.5,10.25,10.3,12700.0,10.1
2000-01-26,10.05,10.25,10.0,10.15,8700.0,10.3,10.3,10.0,10.1,7300.0,10.35,10.5,10.35,10.35,14100.0,10.4,10.5,10.35,10.35,11400.0,10.4,10.4,10.35,10.35,13600.0,10.0
2000-01-27,10.1,10.35,10.0,10.25,7000.0,10.05,10.25,10.0,10.15,8700.0,10.3,10.3,10.0,10.1,7300.0,10.35,10.5,10.35,10.35,14100.0,10.4,10.5,10.35,10.35,11400.0,10.15
2000-01-28,10.15,10.25,10.0,10.25,4200.0,10.1,10.35,10.0,10.25,7000.0,10.05,10.25,10.0,10.15,8700.0,10.3,10.3,10.0,10.1,7300.0,10.35,10.5,10.35,10.35,14100.0,10.2
2000-01-31,10.35,10.35,10.0,10.0,8900.0,10.15,10.25,10.0,10.25,4200.0,10.1,10.35,10.0,10.25,7000.0,10.05,10.25,10.0,10.15,8700.0,10.3,10.3,10.0,10.1,7300.0,10.2
2000-02-01,10.0,10.0,9.9,10.0,13400.0,10.35,10.35,10.0,10.0,8900.0,10.15,10.25,10.0,10.25,4200.0,10.1,10.35,10.0,10.25,7000.0,10.05,10.25,10.0,10.15,8700.0,10.0
2000-02-02,10.0,10.1,9.9,10.1,6400.0,10.0,10.0,9.9,10.0,13400.0,10.35,10.35,10.0,10.0,8900.0,10.15,10.25,10.0,10.25,4200.0,10.1,10.35,10.0,10.25,7000.0,9.75
2000-02-03,10.05,10.1,10.0,10.0,180600.0,10.0,10.1,9.9,10.1,6400.0,10.0,10.0,9.9,10.0,13400.0,10.35,10.35,10.0,10.0,8900.0,10.15,10.25,10.0,10.25,4200.0,9.6
2000-02-04,10.15,10.15,9.95,10.15,3900.0,10.05,10.1,10.0,10.0,180600.0,10.0,10.1,9.9,10.1,6400.0,10.0,10.0,9.9,10.0,13400.0,10.35,10.35,10.0,10.0,8900.0,9.85
2000-02-07,10.2,10.2,10.1,10.2,15500.0,10.15,10.15,9.95,10.15,3900.0,10.05,10.1,10.0,10.0,180600.0,10.0,10.1,9.9,10.1,6400.0,10.0,10.0,9.9,10.0,13400.0,10.0
2000-02-08,10.3,10.35,10.2,10.2,19600.0,10.2,10.2,10.1,10.2,15500.0,10.15,10.15,9.95,10.15,3900.0,10.05,10.1,10.0,10.0,180600.0,10.0,10.1,9.9,10.1,6400.0,10.35
2000-02-09,10.25,10.25,10.0,10.0,13900.0,10.3,10.35,10.2,10.2,19600.0,10.2,10.2,10.1,10.2,15500.0,10.15,10.15,9.95,10.15,3900.0,10.05,10.1,10.0,10.0,180600.0,10.0
2000-02-10,9.75,10.15,9.75,9.75,10600.0,10.25,10.25,10.0,10.0,13900.0,10.3,10.35,10.2,10.2,19600.0,10.2,10.2,10.1,10.2,15500.0,10.15,10.15,9.95,10.15,3900.0,9.7
2000-02-11,9.95,9.95,9.6,9.6,5800.0,9.75,10.15,9.75,9.75,10600.0,10.25,10.25,10.0,10.0,13900.0,10.3,10.35,10.2,10.2,19600.0,10.2,10.2,10.1,10.2,15500.0,9.8
2000-02-14,9.85,10.2,9.85,9.85,9700.0,9.95,9.95,9.6,9.6,5800.0,9.75,10.15,9.75,9.75,10600.0,10.25,10.25,10.0,10.0,13900.0,10.3,10.35,10.2,10.2,19600.0,9.6
2000-02-15,9.85,10.0,9.7,10.0,27000.0,9.85,10.2,9.85,9.85,9700.0,9.95,9.95,9.6,9.6,5800.0,9.75,10.15,9.75,9.75,10600.0,10.25,10.25,10.0,10.0,13900.0,9.65
2000-02-16,10.05,10.5,10.0,10.35,23500.0,9.85,10.0,9.7,10.0,27000.0,9.85,10.2,9.85,9.85,9700.0,9.95,9.95,9.6,9.6,5800.0,9.75,10.15,9.75,9.75,10600.0,9.9
2000-02-17,10.3,10.3,10.0,10.0,9500.0,10.05,10.5,10.0,10.35,23500.0,9.85,10.0,9.7,10.0,27000.0,9.85,10.2,9.85,9.85,9700.0,9.95,9.95,9.6,9.6,5800.0,10.0
2000-02-18,10.05,10.05,9.7,9.7,6900.0,10.3,10.3,10.0,10.0,9500.0,10.05,10.5,10.0,10.35,23500.0,9.85,10.0,9.7,10.0,27000.0,9.85,10.2,9.85,9.85,9700.0,10.15
2000-02-21,9.85,9.85,9.8,9.8,11800.0,10.05,10.05,9.7,9.7,6900.0,10.3,10.3,10.0,10.0,9500.0,10.05,10.5,10.0,10.35,23500.0,9.85,10.0,9.7,10.0,27000.0,10.1
2000-02-22,9.85,9.85,9.6,9.6,120000.0,9.85,9.85,9.8,9.8,11800.0,10.05,10.05,9.7,9.7,6900.0,10.3,10.3,10.0,10.0,9500.0,10.05,10.5,10.0,10.35,23500.0,9.95
2000-02-23,9.75,9.9,9.65,9.65,14600.0,9.85,9.85,9.6,9.6,120000.0,9.85,9.85,9.8,9.8,11800.0,10.05,10.05,9.7,9.7,6900.0,10.3,10.3,10.0,10.0,9500.0,9.95
