date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,26.75,27.25,26.0,27.25,1044300.0,25.9,27.0,25.9,26.6,508300.0,24.1,25.25,24.1,25.0,77700.0,24.75,25.0,24.0,24.05,491400.0,25.25,25.25,24.75,25.0,30400.0,29.65
2000-01-13,27.3,28.75,27.3,28.75,144700.0,26.75,27.25,26.0,27.25,1044300.0,25.9,27.0,25.9,26.6,508300.0,24.1,25.25,24.1,25.0,77700.0,24.75,25.0,24.0,24.05,491400.0,29.25
2000-01-14,28.75,28.75,26.5,27.0,318700.0,27.3,28.75,27.3,28.75,144700.0,26.75,27.25,26.0,27.25,1044300.0,25.9,27.0,25.9,26.6,508300.0,24.1,25.25,24.1,25.0,77700.0,28.55
2000-01-17,27.0,27.0,26.5,26.85,20200.0,28.75,28.75,26.5,27.0,318700.0,27.3,28.75,27.3,28.75,144700.0,26.75,27.25,26.0,27.25,1044300.0,25.9,27.0,25.9,26.6,508300.0,32.0
2000-01-18,27.75,28.25,27.25,28.05,148000.0,27.0,27.0,26.5,26.85,20200.0,28.75,28.75,26.5,27.0,318700.0,27.3,28.75,27.3,28.75,144700.0,26.75,27.25,26.0,27.25,1044300.0,31.5
2000-01-19,28.25,30.5,28.05,30.0,586800.0,27.75,28.25,27.25,28.05,148000.0,27.0,27.0,26.5,26.85,20200.0,28.75,28.75,26.5,27.0,318700.0,27.3,28.75,27.3,28.75,144700.0,30.9
2000-01-20,30.25,31.0,29.65,29.65,292700.0,28.25,30.5,28.05,30.0,586800.0,27.75,28.25,27.25,28.05,148000.0,27.0,27.0,26.5,26.85,20200.0,28.75,28.75,26.5,27.0,318700.0,31.0
2000-01-21,29.65,30.25,29.0,29.25,15700.0,30.25,31.0,29.65,29.65,292700.0,28.25,30.5,28.05,30.0,586800.0,27.75,28.25,27.25,28.05,148000.0,27.0,27.0,26.5,26.85,20200.0,31.1
2000-01-24,28.5,30.0,28.25,28.55,13300.0,29.65,30.25,29.0,29.25,15700.0,30.25,31.0,29.65,29.65,292700.0,28.25,30.5,28.05,30.0,586800.0,27.75,28.25,27.25,28.05,148000.0,31.7
2000-01-25,29.0,32.0,28.55,32.0,203900.0,28.5,30.0,28.25,28.55,13300.0,29.65,30.25,29.0,29.25,15700.0,30.25,31.0,29.65,29.65,292700.0,28.25,30.5,28.05,30.0,586800.0,34.25
2000-01-26,30.25,31.95,30.25,31.5,70200.0,29.0,32.0,28.55,32.0,203900.0,28.5,30.0,28.25,28.55,13300.0,29.65,30.25,29.0,29.25,15700.0,30.25,31.0,29.65,29.65,292700.0,39.0
2000-01-27,30.9,31.95,30.9,30.9,27300.0,30.25,31.95,30.25,31.5,70200.0,29.0,32.0,28.55,32.0,203900.0,28.5,30.0,28.25,28.55,13300.0,29.65,30.25,29.0,29.25,15700.0,42.0
2000-01-28,30.9,31.2,30.45,31.0,184000.0,30.9,31.95,30.9,30.9,27300.0,30.25,31.95,30.25,31.5,70200.0,29.0,32.0,28.55,32.0,203900.0,28.5,30.0,28.25,28.55,13300.0,45.0
2000-01-31,31.0,31.75,30.95,31.1,175100.0,30.9,31.2,30.45,31.0,184000.0,30.9,31.95,30.9,30.9,27300.0,30.25,31.95,30.25,31.5,70200.0,29.0,32.0,28.55,32.0,203900.0,41.5
2000-02-01,30.9,31.7,30.9,31.7,12200.0,31.0,31.75,30.95,31.1,175100.0,30.9,31.2,30.45,31.0,184000.0,30.9,31.95,30.9,30.9,27300.0,30.25,31.95,30.25,31.5,70200.0,45.6
2000-02-02,31.25,35.0,31.25,34.25,336500.0,30.9,31.7,30.9,31.7,12200.0,31.0,31.75,30.95,31.1,175100.0,30.9,31.2,30.45,31.0,184000.0,30.9,31.95,30.9,30.9,27300.0,46.5
2000-02-03,34.95,40.4,34.75,39.0,1554500.0,31.25,35.0,31.25,34.25,336500.0,30.9,31.7,30.9,31.7,12200.0,31.0,31.75,30.95,31.1,175100.0,30.9,31.2,30.45,31.0,184000.0,45.25
2000-02-04,40.5,42.75,40.0,42.0,183000.0,34.95,40.4,34.75,39.0,1554500.0,31.25,35.0,31.25,34.25,336500.0,30.9,31.7,30.9,31.7,12200.0,31.0,31.75,30.95,31.1,175100.0,45.25
2000-02-07,42.25,48.0,42.25,45.0,345000.0,40.5,42.75,40.0,42.0,183000.0,34.95,40.4,34.75,39.0,1554500.0,31.25,35.0,31.25,34.25,336500.0,30.9,31.7,30.9,31.7,12200.0,44.75
2000-02-08,46.0,48.0,40.15,41.5,181800.0,42.25,48.0,42.25,45.0,345000.0,40.5,42.75,40.0,42.0,183000.0,34.95,40.4,34.75,39.0,1554500.0,31.25,35.0,31.25,34.25,336500.0,45.0
2000-02-09,42.0,47.2,42.0,45.6,303200.0,46.0,48.0,40.15,41.5,181800.0,42.25,48.0,42.25,45.0,345000.0,40.5,42.75,40.0,42.0,183000.0,34.95,40.4,34.75,39.0,1554500.0,45.0
2000-02-10,46.05,47.0,45.5,46.5,136300.0,42.0,47.2,42.0,45.6,303200.0,46.0,48.0,40.15,41.5,181800.0,42.25,48.0,42.25,45.0,345000.0,40.5,42.75,40.0,42.0,183000.0,45.8
2000-02-11,46.45,46.45,45.0,45.25,57000.0,46.05,47.0,45.5,46.5,136300.0,42.0,47.2,42.0,45.6,303200.0,46.0,48.0,40.15,41.5,181800.0,42.25,48.0,42.25,45.0,345000.0,44.0
2000-02-14,45.0,46.4,45.0,45.25,75300.0,46.45,46.45,45.0,45.25,57000.0,46.05,47.0,45.5,46.5,136300.0,42.0,47.2,42.0,45.6,303200.0,46.0,48.0,40.15,41.5,181800.0,40.6
2000-02-15,45.0,45.5,44.5,44.75,56300.0,45.0,46.4,45.0,45.25,75300.0,46.45,46.45,45.0,45.25,57000.0,46.05,47.0,45.5,46.5,136300.0,42.0,47.2,42.0,45.6,303200.0,44.0
2000-02-16,46.0,46.75,44.5,45.0,38600.0,45.0,45.5,44.5,44.75,56300.0,45.0,46.4,45.0,45.25,75300.0,46.45,46.45,45.0,45.25,57000.0,46.05,47.0,45.5,46.5,136300.0,43.5
2000-02-17,44.1,46.5,44.1,45.0,84500.0,46.0,46.75,44.5,45.0,38600.0,45.0,45.5,44.5,44.75,56300.0,45.0,46.4,45.0,45.25,75300.0,46.45,46.45,45.0,45.25,57000.0,44.05
2000-02-18,45.0,45.8,45.0,45.8,41500.0,44.1,46.5,44.1,45.0,84500.0,46.0,46.75,44.5,45.0,38600.0,45.0,45.5,44.5,44.75,56300.0,45.0,46.4,45.0,45.25,75300.0,44.4
2000-02-21,44.0,46.0,43.8,44.0,6600.0,45.0,45.8,45.0,45.8,41500.0,44.1,46.5,44.1,45.0,84500.0,46.0,46.75,44.5,45.0,38600.0,45.0,45.5,44.5,44.75,56300.0,44.25
2000-02-22,43.95,44.0,38.2,40.6,55200.0,44.0,46.0,43.8,44.0,6600.0,45.0,45.8,45.0,45.8,41500.0,44.1,46.5,44.1,45.0,84500.0,46.0,46.75,44.5,45.0,38600.0,44.75
2000-02-23,41.0,44.0,41.0,44.0,176600.0,43.95,44.0,38.2,40.6,55200.0,44.0,46.0,43.8,44.0,6600.0,45.0,45.8,45.0,45.8,41500.0,44.1,46.5,44.1,45.0,84500.0,47.45
2000-02-24,44.05,44.95,43.5,43.5,20400.0,41.0,44.0,41.0,44.0,176600.0,43.95,44.0,38.2,40.6,55200.0,44.0,46.0,43.8,44.0,6600.0,45.0,45.8,45.0,45.8,41500.0,46.5
2000-02-25,44.5,45.0,43.5,44.05,40900.0,44.05,44.95,43.5,43.5,20400.0,41.0,44.0,41.0,44.0,176600.0,43.95,44.0,38.2,40.6,55200.0,44.0,46.0,43.8,44.0,6600.0,45.9
2000-02-28,44.05,45.5,44.0,44.4,16000.0,44.5,45.0,43.5,44.05,40900.0,44.05,44.95,43.5,43.5,20400.0,41.0,44.0,41.0,44.0,176600.0,43.95,44.0,38.2,40.6,55200.0,45.0
2000-02-29,44.95,44.95,43.95,44.25,49900.0,44.05,45.5,44.0,44.4,16000.0,44.5,45.0,43.5,44.05,40900.0,44.05,44.95,43.5,43.5,20400.0,41.0,44.0,41.0,44.0,176600.0,45.55
2000-03-01,44.75,44.75,44.25,44.75,10800.0,44.95,44.95,43.95,44.25,49900.0,44.05,45.5,44.0,44.4,16000.0,44.5,45.0,43.5,44.05,40900.0,44.05,44.95,43.5,43.5,20400.0,46.05
2000-03-02,45.0,47.5,45.0,47.45,39600.0,44.75,44.75,44.25,44.75,10800.0,44.95,44.95,43.95,44.25,49900.0,44.05,45.5,44.0,44.4,16000.0,44.5,45.0,43.5,44.05,40900.0,46.25
2000-03-03,48.0,49.0,46.0,46.5,17200.0,45.0,47.5,45.0,47.45,39600.0,44.75,44.75,44.25,44.75,10800.0,44.95,44.95,43.95,44.25,49900.0,44.05,45.5,44.0,44.4,16000.0,46.5
