date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,2.66,2.78,2.66,2.7,21665.0,2.78,2.78,2.75,2.76,30850.0,2.65,2.76,2.65,2.76,35245.0,2.61,2.77,2.61,2.75,97930.0,2.63,2.63,2.6,2.61,768870.0,2.59
2000-01-12,2.52,2.7,2.52,2.63,88940.0,2.66,2.78,2.66,2.7,21665.0,2.78,2.78,2.75,2.76,30850.0,2.65,2.76,2.65,2.76,35245.0,2.61,2.77,2.61,2.75,97930.0,2.42
2000-01-13,2.52,2.67,2.52,2.6,776475.0,2.52,2.7,2.52,2.63,88940.0,2.66,2.78,2.66,2.7,21665.0,2.78,2.78,2.75,2.76,30850.0,2.65,2.76,2.65,2.76,35245.0,2.4
2000-01-14,2.6,2.65,2.6,2.64,125275.0,2.52,2.67,2.52,2.6,776475.0,2.52,2.7,2.52,2.63,88940.0,2.66,2.78,2.66,2.7,21665.0,2.78,2.78,2.75,2.76,30850.0,2.21
2000-01-17,2.6,2.65,2.6,2.65,9335.0,2.6,2.65,2.6,2.64,125275.0,2.52,2.67,2.52,2.6,776475.0,2.52,2.7,2.52,2.63,88940.0,2.66,2.78,2.66,2.7,21665.0,2.33
2000-01-18,2.65,2.69,2.6,2.62,87130.0,2.6,2.65,2.6,2.65,9335.0,2.6,2.65,2.6,2.64,125275.0,2.52,2.67,2.52,2.6,776475.0,2.52,2.7,2.52,2.63,88940.0,2.0
2000-01-19,2.68,2.68,2.59,2.59,116850.0,2.65,2.69,2.6,2.62,87130.0,2.6,2.65,2.6,2.65,9335.0,2.6,2.65,2.6,2.64,125275.0,2.52,2.67,2.52,2.6,776475.0,2.22
2000-01-20,2.59,2.6,2.42,2.42,68620.0,2.68,2.68,2.59,2.59,116850.0,2.65,2.69,2.6,2.62,87130.0,2.6,2.65,2.6,2.65,9335.0,2.6,2.65,2.6,2.64,125275.0,2.4
2000-01-21,2.2,2.49,2.2,2.4,438265.0,2.59,2.6,2.42,2.42,68620.0,2.68,2.68,2.59,2.59,116850.0,2.65,2.69,2.6,2.62,87130.0,2.6,2.65,2.6,2.65,9335.0,2.1
2000-01-24,2.4,2.4,2.21,2.21,149230.0,2.2,2.49,2.2,2.4,438265.0,2.59,2.6,2.42,2.42,68620.0,2.68,2.68,2.59,2.59,116850.0,2.65,2.69,2.6,2.62,87130.0,2.29
2000-01-25,2.21,2.33,2.21,2.33,136765.0,2.4,2.4,2.21,2.21,149230.0,2.2,2.49,2.2,2.4,438265.0,2.59,2.6,2.42,2.42,68620.0,2.68,2.68,2.59,2.59,116850.0,2.21
2000-01-26,1.92,2.3,1.92,2.0,352635.0,2.21,2.33,2.21,2.33,136765.0,2.4,2.4,2.21,2.21,149230.0,2.2,2.49,2.2,2.4,438265.0,2.59,2.6,2.42,2.42,68620.0,2.0
2000-01-27,2.05,2.4,2.05,2.22,109510.0,1.92,2.3,1.92,2.0,352635.0,2.21,2.33,2.21,2.33,136765.0,2.4,2.4,2.21,2.21,149230.0,2.2,2.49,2.2,2.4,438265.0,2.18
2000-01-28,2.24,2.4,2.2,2.4,208005.0,2.05,2.4,2.05,2.22,109510.0,1.92,2.3,1.92,2.0,352635.0,2.21,2.33,2.21,2.33,136765.0,2.4,2.4,2.21,2.21,149230.0,2.1
2000-01-31,2.3,2.3,2.1,2.1,64825.0,2.24,2.4,2.2,2.4,208005.0,2.05,2.4,2.05,2.22,109510.0,1.92,2.3,1.92,2.0,352635.0,2.21,2.33,2.21,2.33,136765.0,2.16
2000-02-01,2.2,2.3,2.2,2.29,146925.0,2.3,2.3,2.1,2.1,64825.0,2.24,2.4,2.2,2.4,208005.0,2.05,2.4,2.05,2.22,109510.0,1.92,2.3,1.92,2.0,352635.0,2.17
2000-02-02,2.17,2.36,2.17,2.21,202380.0,2.2,2.3,2.2,2.29,146925.0,2.3,2.3,2.1,2.1,64825.0,2.24,2.4,2.2,2.4,208005.0,2.05,2.4,2.05,2.22,109510.0,2.0
2000-02-03,2.27,2.28,2.0,2.0,2012100.0,2.17,2.36,2.17,2.21,202380.0,2.2,2.3,2.2,2.29,146925.0,2.3,2.3,2.1,2.1,64825.0,2.24,2.4,2.2,2.4,208005.0,1.96
2000-02-04,2.11,2.2,2.1,2.18,66225.0,2.27,2.28,2.0,2.0,2012100.0,2.17,2.36,2.17,2.21,202380.0,2.2,2.3,2.2,2.29,146925.0,2.3,2.3,2.1,2.1,64825.0,2.0
2000-02-07,2.18,2.18,2.1,2.1,145000.0,2.11,2.2,2.1,2.18,66225.0,2.27,2.28,2.0,2.0,2012100.0,2.17,2.36,2.17,2.21,202380.0,2.2,2.3,2.2,2.29,146925.0,2.08
2000-02-08,2.11,2.18,2.11,2.16,197000.0,2.18,2.18,2.1,2.1,145000.0,2.11,2.2,2.1,2.18,66225.0,2.27,2.28,2.0,2.0,2012100.0,2.17,2.36,2.17,2.21,202380.0,2.02
2000-02-09,2.11,2.2,2.11,2.17,159365.0,2.11,2.18,2.11,2.16,197000.0,2.18,2.18,2.1,2.1,145000.0,2.11,2.2,2.1,2.18,66225.0,2.27,2.28,2.0,2.0,2012100.0,2.06
2000-02-10,2.15,2.19,2.0,2.0,173350.0,2.11,2.2,2.11,2.17,159365.0,2.11,2.18,2.11,2.16,197000.0,2.18,2.18,2.1,2.1,145000.0,2.11,2.2,2.1,2.18,66225.0,2.1
2000-02-11,2.17,2.17,1.96,1.96,270415.0,2.15,2.19,2.0,2.0,173350.0,2.11,2.2,2.11,2.17,159365.0,2.11,2.18,2.11,2.16,197000.0,2.18,2.18,2.1,2.1,145000.0,2.24
2000-02-14,1.95,2.07,1.95,2.0,292550.0,2.17,2.17,1.96,1.96,270415.0,2.15,2.19,2.0,2.0,173350.0,2.11,2.2,2.11,2.17,159365.0,2.11,2.18,2.11,2.16,197000.0,2.06
2000-02-15,2.0,2.08,2.0,2.08,78665.0,1.95,2.07,1.95,2.0,292550.0,2.17,2.17,1.96,1.96,270415.0,2.15,2.19,2.0,2.0,173350.0,2.11,2.2,2.11,2.17,159365.0,2.06
2000-02-16,2.09,2.1,2.02,2.02,53350.0,2.0,2.08,2.0,2.08,78665.0,1.95,2.07,1.95,2.0,292550.0,2.17,2.17,1.96,1.96,270415.0,2.15,2.19,2.0,2.0,173350.0,2.06
2000-02-17,1.95,2.16,1.95,2.06,536675.0,2.09,2.1,2.02,2.02,53350.0,2.0,2.08,2.0,2.08,78665.0,1.95,2.07,1.95,2.0,292550.0,2.17,2.17,1.96,1.96,270415.0,2.04
2000-02-18,2.06,2.28,2.06,2.1,182325.0,1.95,2.16,1.95,2.06,536675.0,2.09,2.1,2.02,2.02,53350.0,2.0,2.08,2.0,2.08,78665.0,1.95,2.07,1.95,2.0,292550.0,2.11
2000-02-21,2.24,2.24,2.24,2.24,3075.0,2.06,2.28,2.06,2.1,182325.0,1.95,2.16,1.95,2.06,536675.0,2.09,2.1,2.02,2.02,53350.0,2.0,2.08,2.0,2.08,78665.0,2.04
2000-02-22,2.23,2.23,2.06,2.06,435240.0,2.24,2.24,2.24,2.24,3075.0,2.06,2.28,2.06,2.1,182325.0,1.95,2.16,1.95,2.06,536675.0,2.09,2.1,2.02,2.02,53350.0,2.07
2000-02-23,2.0,2.14,2.0,2.06,306475.0,2.23,2.23,2.06,2.06,435240.0,2.24,2.24,2.24,2.24,3075.0,2.06,2.28,2.06,2.1,182325.0,1.95,2.16,1.95,2.06,536675.0,1.95
