date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,3.55,3.6083,3.55,3.5917,1966200.0,3.55,3.6167,3.55,3.55,707400.0,3.5167,3.5833,3.4833,3.5833,755400.0,3.525,3.5833,3.525,3.55,5686200.0,3.5833,3.6333,3.55,3.5667,434400.0,3.4167
2000-01-13,3.5667,3.75,3.5667,3.6667,608400.0,3.55,3.6083,3.55,3.5917,1966200.0,3.55,3.6167,3.55,3.55,707400.0,3.5167,3.5833,3.4833,3.5833,755400.0,3.525,3.5833,3.525,3.55,5686200.0,3.3
2000-01-14,3.6667,3.8,3.625,3.75,1064400.0,3.5667,3.75,3.5667,3.6667,608400.0,3.55,3.6083,3.55,3.5917,1966200.0,3.55,3.6167,3.55,3.55,707400.0,3.5167,3.5833,3.4833,3.5833,755400.0,3.3833
2000-01-17,3.75,3.8,3.75,3.75,378600.0,3.6667,3.8,3.625,3.75,1064400.0,3.5667,3.75,3.5667,3.6667,608400.0,3.55,3.6083,3.55,3.5917,1966200.0,3.55,3.6167,3.55,3.55,707400.0,3.2917
2000-01-18,3.7583,3.8333,3.625,3.7083,3954600.0,3.75,3.8,3.75,3.75,378600.0,3.6667,3.8,3.625,3.75,1064400.0,3.5667,3.75,3.5667,3.6667,608400.0,3.55,3.6083,3.55,3.5917,1966200.0,3.1667
2000-01-19,3.6667,3.6667,3.5667,3.5667,567000.0,3.7583,3.8333,3.625,3.7083,3954600.0,3.75,3.8,3.75,3.75,378600.0,3.6667,3.8,3.625,3.75,1064400.0,3.5667,3.75,3.5667,3.6667,608400.0,3.2083
2000-01-20,3.5417,3.5417,3.375,3.4167,1246800.0,3.6667,3.6667,3.5667,3.5667,567000.0,3.7583,3.8333,3.625,3.7083,3954600.0,3.75,3.8,3.75,3.75,378600.0,3.6667,3.8,3.625,3.75,1064400.0,3.3083
2000-01-21,3.475,3.475,3.2083,3.3,941400.0,3.5417,3.5417,3.375,3.4167,1246800.0,3.6667,3.6667,3.5667,3.5667,567000.0,3.7583,3.8333,3.625,3.7083,3954600.0,3.75,3.8,3.75,3.75,378600.0,3.3583
2000-01-24,3.4167,3.4167,3.275,3.3833,1219800.0,3.475,3.475,3.2083,3.3,941400.0,3.5417,3.5417,3.375,3.4167,1246800.0,3.6667,3.6667,3.5667,3.5667,567000.0,3.7583,3.8333,3.625,3.7083,3954600.0,3.3583
2000-01-25,3.3667,3.4167,3.2917,3.2917,1687200.0,3.4167,3.4167,3.275,3.3833,1219800.0,3.475,3.475,3.2083,3.3,941400.0,3.5417,3.5417,3.375,3.4167,1246800.0,3.6667,3.6667,3.5667,3.5667,567000.0,3.4
2000-01-26,3.225,3.3083,3.0417,3.1667,297000.0,3.3667,3.4167,3.2917,3.2917,1687200.0,3.4167,3.4167,3.275,3.3833,1219800.0,3.475,3.475,3.2083,3.3,941400.0,3.5417,3.5417,3.375,3.4167,1246800.0,3.3667
2000-01-27,3.0417,3.2083,3.0417,3.2083,344400.0,3.225,3.3083,3.0417,3.1667,297000.0,3.3667,3.4167,3.2917,3.2917,1687200.0,3.4167,3.4167,3.275,3.3833,1219800.0,3.475,3.475,3.2083,3.3,941400.0,3.3667
2000-01-28,3.1667,3.3667,3.1667,3.3083,1106400.0,3.0417,3.2083,3.0417,3.2083,344400.0,3.225,3.3083,3.0417,3.1667,297000.0,3.3667,3.4167,3.2917,3.2917,1687200.0,3.4167,3.4167,3.275,3.3833,1219800.0,3.375
2000-01-31,3.3333,3.5,3.3333,3.3583,934800.0,3.1667,3.3667,3.1667,3.3083,1106400.0,3.0417,3.2083,3.0417,3.2083,344400.0,3.225,3.3083,3.0417,3.1667,297000.0,3.3667,3.4167,3.2917,3.2917,1687200.0,3.2917
2000-02-01,3.3333,3.4,3.3333,3.3583,978600.0,3.3333,3.5,3.3333,3.3583,934800.0,3.1667,3.3667,3.1667,3.3083,1106400.0,3.0417,3.2083,3.0417,3.2083,344400.0,3.225,3.3083,3.0417,3.1667,297000.0,3.3417
2000-02-02,3.35,3.4,3.3333,3.4,844800.0,3.3333,3.4,3.3333,3.3583,978600.0,3.3333,3.5,3.3333,3.3583,934800.0,3.1667,3.3667,3.1667,3.3083,1106400.0,3.0417,3.2083,3.0417,3.2083,344400.0,3.2917
2000-02-03,3.375,3.4167,3.3417,3.3667,1072800.0,3.35,3.4,3.3333,3.4,844800.0,3.3333,3.4,3.3333,3.3583,978600.0,3.3333,3.5,3.3333,3.3583,934800.0,3.1667,3.3667,3.1667,3.3083,1106400.0,3.3
2000-02-04,3.3333,3.4083,3.25,3.3667,2461200.0,3.375,3.4167,3.3417,3.3667,1072800.0,3.35,3.4,3.3333,3.4,844800.0,3.3333,3.4,3.3333,3.3583,978600.0,3.3333,3.5,3.3333,3.3583,934800.0,3.35
2000-02-07,3.4167,3.4167,3.3333,3.375,1806600.0,3.3333,3.4083,3.25,3.3667,2461200.0,3.375,3.4167,3.3417,3.3667,1072800.0,3.35,3.4,3.3333,3.4,844800.0,3.3333,3.4,3.3333,3.3583,978600.0,3.0833
2000-02-08,3.3667,3.3833,3.2917,3.2917,736200.0,3.4167,3.4167,3.3333,3.375,1806600.0,3.3333,3.4083,3.25,3.3667,2461200.0,3.375,3.4167,3.3417,3.3667,1072800.0,3.35,3.4,3.3333,3.4,844800.0,3.1833
2000-02-09,3.2917,3.4167,3.25,3.3417,1822800.0,3.3667,3.3833,3.2917,3.2917,736200.0,3.4167,3.4167,3.3333,3.375,1806600.0,3.3333,3.4083,3.25,3.3667,2461200.0,3.375,3.4167,3.3417,3.3667,1072800.0,3.2333
2000-02-10,3.35,3.4167,3.2917,3.2917,308400.0,3.2917,3.4167,3.25,3.3417,1822800.0,3.3667,3.3833,3.2917,3.2917,736200.0,3.4167,3.4167,3.3333,3.375,1806600.0,3.3333,3.4083,3.25,3.3667,2461200.0,3.1833
2000-02-11,3.2917,3.3333,3.2917,3.3,1216800.0,3.35,3.4167,3.2917,3.2917,308400.0,3.2917,3.4167,3.25,3.3417,1822800.0,3.3667,3.3833,3.2917,3.2917,736200.0,3.4167,3.4167,3.3333,3.375,1806600.0,3.25
2000-02-14,3.3167,3.35,3.2917,3.35,351600.0,3.2917,3.3333,3.2917,3.3,1216800.0,3.35,3.4167,3.2917,3.2917,308400.0,3.2917,3.4167,3.25,3.3417,1822800.0,3.3667,3.3833,3.2917,3.2917,736200.0,3.2333
2000-02-15,3.3333,3.3583,3.0833,3.0833,788400.0,3.3167,3.35,3.2917,3.35,351600.0,3.2917,3.3333,3.2917,3.3,1216800.0,3.35,3.4167,3.2917,3.2917,308400.0,3.2917,3.4167,3.25,3.3417,1822800.0,3.125
2000-02-16,3.1,3.2333,3.1,3.1833,831600.0,3.3333,3.3583,3.0833,3.0833,788400.0,3.3167,3.35,3.2917,3.35,351600.0,3.2917,3.3333,3.2917,3.3,1216800.0,3.35,3.4167,3.2917,3.2917,308400.0,2.9333
2000-02-17,3.1833,3.2333,3.1833,3.2333,1379400.0,3.1,3.2333,3.1,3.1833,831600.0,3.3333,3.3583,3.0833,3.0833,788400.0,3.3167,3.35,3.2917,3.35,351600.0,3.2917,3.3333,3.2917,3.3,1216800.0,3.0
2000-02-18,3.25,3.275,3.175,3.1833,1184400.0,3.1833,3.2333,3.1833,3.2333,1379400.0,3.1,3.2333,3.1,3.1833,831600.0,3.3333,3.3583,3.0833,3.0833,788400.0,3.3167,3.35,3.2917,3.35,351600.0,3.0917
2000-02-21,3.2,3.25,3.2,3.25,463200.0,3.25,3.275,3.175,3.1833,1184400.0,3.1833,3.2333,3.1833,3.2333,1379400.0,3.1,3.2333,3.1,3.1833,831600.0,3.3333,3.3583,3.0833,3.0833,788400.0,2.9417
2000-02-22,3.3167,3.3167,3.2083,3.2333,1316400.0,3.2,3.25,3.2,3.25,463200.0,3.25,3.275,3.175,3.1833,1184400.0,3.1833,3.2333,3.1833,3.2333,1379400.0,3.1,3.2333,3.1,3.1833,831600.0,2.8
2000-02-23,3.2667,3.325,3.125,3.125,1590600.0,3.3167,3.3167,3.2083,3.2333,1316400.0,3.2,3.25,3.2,3.25,463200.0,3.25,3.275,3.175,3.1833,1184400.0,3.1833,3.2333,3.1833,3.2333,1379400.0,2.8833
2000-02-24,3.125,3.2083,2.925,2.9333,875400.0,3.2667,3.325,3.125,3.125,1590600.0,3.3167,3.3167,3.2083,3.2333,1316400.0,3.2,3.25,3.2,3.25,463200.0,3.25,3.275,3.175,3.1833,1184400.0,2.9
2000-02-25,3.0833,3.0833,2.9667,3.0,536400.0,3.125,3.2083,2.925,2.9333,875400.0,3.2667,3.325,3.125,3.125,1590600.0,3.3167,3.3167,3.2083,3.2333,1316400.0,3.2,3.25,3.2,3.25,463200.0,2.7833
2000-02-28,3.0,3.2833,3.0,3.0917,969000.0,3.0833,3.0833,2.9667,3.0,536400.0,3.125,3.2083,2.925,2.9333,875400.0,3.2667,3.325,3.125,3.125,1590600.0,3.3167,3.3167,3.2083,3.2333,1316400.0,2.8583
2000-02-29,3.15,3.15,2.9417,2.9417,754200.0,3.0,3.2833,3.0,3.0917,969000.0,3.0833,3.0833,2.9667,3.0,536400.0,3.125,3.2083,2.925,2.9333,875400.0,3.2667,3.325,3.125,3.125,1590600.0,2.9167
2000-03-01,3.0,3.0,2.75,2.8,1425000.0,3.15,3.15,2.9417,2.9417,754200.0,3.0,3.2833,3.0,3.0917,969000.0,3.0833,3.0833,2.9667,3.0,536400.0,3.125,3.2083,2.925,2.9333,875400.0,2.9417
2000-03-02,2.8333,2.9917,2.825,2.8833,576000.0,3.0,3.0,2.75,2.8,1425000.0,3.15,3.15,2.9417,2.9417,754200.0,3.0,3.2833,3.0,3.0917,969000.0,3.0833,3.0833,2.9667,3.0,536400.0,2.9917
2000-03-03,2.9167,3.0,2.8417,2.9,798600.0,2.8333,2.9917,2.825,2.8833,576000.0,3.0,3.0,2.75,2.8,1425000.0,3.15,3.15,2.9417,2.9417,754200.0,3.0,3.2833,3.0,3.0917,969000.0,2.8667
2000-03-06,2.9,2.9,2.6583,2.7833,904200.0,2.9167,3.0,2.8417,2.9,798600.0,2.8333,2.9917,2.825,2.8833,576000.0,3.0,3.0,2.75,2.8,1425000.0,3.15,3.15,2.9417,2.9417,754200.0,2.8833
2000-03-07,2.8333,2.875,2.75,2.8583,157200.0,2.9,2.9,2.6583,2.7833,904200.0,2.9167,3.0,2.8417,2.9,798600.0,2.8333,2.9917,2.825,2.8833,576000.0,3.0,3.0,2.75,2.8,1425000.0,2.8917
2000-03-08,2.875,3.0,2.875,2.9167,279600.0,2.8333,2.875,2.75,2.8583,157200.0,2.9,2.9,2.6583,2.7833,904200.0,2.9167,3.0,2.8417,2.9,798600.0,2.8333,2.9917,2.825,2.8833,576000.0,2.8333
2000-03-09,2.9,3.0,2.8833,2.9417,823200.0,2.875,3.0,2.875,2.9167,279600.0,2.8333,2.875,2.75,2.8583,157200.0,2.9,2.9,2.6583,2.7833,904200.0,2.9167,3.0,2.8417,2.9,798600.0,2.875
2000-03-10,2.9417,3.0,2.9417,2.9917,451800.0,2.9,3.0,2.8833,2.9417,823200.0,2.875,3.0,2.875,2.9167,279600.0,2.8333,2.875,2.75,2.8583,157200.0,2.9,2.9,2.6583,2.7833,904200.0,2.95
2000-03-13,2.85,2.9667,2.85,2.8667,378600.0,2.9417,3.0,2.9417,2.9917,451800.0,2.9,3.0,2.8833,2.9417,823200.0,2.875,3.0,2.875,2.9167,279600.0,2.8333,2.875,2.75,2.8583,157200.0,2.95
2000-03-14,2.9167,2.9167,2.8667,2.8833,483600.0,2.85,2.9667,2.85,2.8667,378600.0,2.9417,3.0,2.9417,2.9917,451800.0,2.9,3.0,2.8833,2.9417,823200.0,2.875,3.0,2.875,2.9167,279600.0,2.9417
