date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,18.65,18.65,17.55,17.75,306900.0,19.0,19.4,18.25,18.75,242400.0,18.95,19.25,18.8,19.25,618000.0,18.6,19.25,17.85,19.0,709700.0,17.2,18.1,17.2,18.1,184900.0,17.0
2000-01-13,18.25,18.25,17.75,17.75,286900.0,18.65,18.65,17.55,17.75,306900.0,19.0,19.4,18.25,18.75,242400.0,18.95,19.25,18.8,19.25,618000.0,18.6,19.25,17.85,19.0,709700.0,16.65
2000-01-14,18.0,18.0,17.05,17.75,167000.0,18.25,18.25,17.75,17.75,286900.0,18.65,18.65,17.55,17.75,306900.0,19.0,19.4,18.25,18.75,242400.0,18.95,19.25,18.8,19.25,618000.0,16.6
2000-01-17,18.0,18.0,17.3,17.5,180100.0,18.0,18.0,17.05,17.75,167000.0,18.25,18.25,17.75,17.75,286900.0,18.65,18.65,17.55,17.75,306900.0,19.0,19.4,18.25,18.75,242400.0,16.6
2000-01-18,17.75,17.75,17.4,17.6,358100.0,18.0,18.0,17.3,17.5,180100.0,18.0,18.0,17.05,17.75,167000.0,18.25,18.25,17.75,17.75,286900.0,18.65,18.65,17.55,17.75,306900.0,16.95
2000-01-19,17.6,17.6,17.25,17.5,281700.0,17.75,17.75,17.4,17.6,358100.0,18.0,18.0,17.3,17.5,180100.0,18.0,18.0,17.05,17.75,167000.0,18.25,18.25,17.75,17.75,286900.0,17.0
2000-01-20,17.5,17.75,17.0,17.0,142000.0,17.6,17.6,17.25,17.5,281700.0,17.75,17.75,17.4,17.6,358100.0,18.0,18.0,17.3,17.5,180100.0,18.0,18.0,17.05,17.75,167000.0,16.75
2000-01-21,17.25,17.25,16.5,16.65,128800.0,17.5,17.75,17.0,17.0,142000.0,17.6,17.6,17.25,17.5,281700.0,17.75,17.75,17.4,17.6,358100.0,18.0,18.0,17.3,17.5,180100.0,16.6
2000-01-24,16.6,17.0,16.6,16.6,329600.0,17.25,17.25,16.5,16.65,128800.0,17.5,17.75,17.0,17.0,142000.0,17.6,17.6,17.25,17.5,281700.0,17.75,17.75,17.4,17.6,358100.0,16.65
2000-01-25,16.6,16.75,16.6,16.6,211700.0,16.6,17.0,16.6,16.6,329600.0,17.25,17.25,16.5,16.65,128800.0,17.5,17.75,17.0,17.0,142000.0,17.6,17.6,17.25,17.5,281700.0,16.25
2000-01-26,16.75,16.95,16.5,16.95,341900.0,16.6,16.75,16.6,16.6,211700.0,16.6,17.0,16.6,16.6,329600.0,17.25,17.25,16.5,16.65,128800.0,17.5,17.75,17.0,17.0,142000.0,15.9
2000-01-27,16.85,17.1,16.85,17.0,219500.0,16.75,16.95,16.5,16.95,341900.0,16.6,16.75,16.6,16.6,211700.0,16.6,17.0,16.6,16.6,329600.0,17.25,17.25,16.5,16.65,128800.0,15.75
2000-01-28,16.8,17.0,16.6,16.75,44000.0,16.85,17.1,16.85,17.0,219500.0,16.75,16.95,16.5,16.95,341900.0,16.6,16.75,16.6,16.6,211700.0,16.6,17.0,16.6,16.6,329600.0,15.8
2000-01-31,16.85,16.85,16.4,16.6,131500.0,16.8,17.0,16.6,16.75,44000.0,16.85,17.1,16.85,17.0,219500.0,16.75,16.95,16.5,16.95,341900.0,16.6,16.75,16.6,16.6,211700.0,16.2
2000-02-01,16.65,17.0,16.6,16.65,144400.0,16.85,16.85,16.4,16.6,131500.0,16.8,17.0,16.6,16.75,44000.0,16.85,17.1,16.85,17.0,219500.0,16.75,16.95,16.5,16.95,341900.0,16.15
2000-02-02,17.0,17.0,15.05,16.25,180600.0,16.65,17.0,16.6,16.65,144400.0,16.85,16.85,16.4,16.6,131500.0,16.8,17.0,16.6,16.75,44000.0,16.85,17.1,16.85,17.0,219500.0,16.5
2000-02-03,16.5,16.5,15.5,15.9,270900.0,17.0,17.0,15.05,16.25,180600.0,16.65,17.0,16.6,16.65,144400.0,16.85,16.85,16.4,16.6,131500.0,16.8,17.0,16.6,16.75,44000.0,16.45
