date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2010-10-08,21.0,21.46,21.0,21.36,309700.0,20.61,21.0,20.57,21.0,190000.0,20.53,20.59,20.46,20.55,136500.0,20.5,20.67,20.45,20.48,107200.0,20.6,20.7,20.47,20.5,88500.0,20.8
2010-10-12,21.45,21.45,21.17,21.43,50300.0,21.0,21.46,21.0,21.36,309700.0,20.61,21.0,20.57,21.0,190000.0,20.53,20.59,20.46,20.55,136500.0,20.5,20.67,20.45,20.48,107200.0,20.8
2010-10-13,21.44,21.77,21.31,21.74,104700.0,21.45,21.45,21.17,21.43,50300.0,21.0,21.46,21.0,21.36,309700.0,20.61,21.0,20.57,21.0,190000.0,20.53,20.59,20.46,20.55,136500.0,20.6
2010-10-14,21.74,21.84,21.48,21.48,70200.0,21.44,21.77,21.31,21.74,104700.0,21.45,21.45,21.17,21.43,50300.0,21.0,21.46,21.0,21.36,309700.0,20.61,21.0,20.57,21.0,190000.0,20.61
2010-10-15,21.58,21.62,21.31,21.36,85500.0,21.74,21.84,21.48,21.48,70200.0,21.44,21.77,21.31,21.74,104700.0,21.45,21.45,21.17,21.43,50300.0,21.0,21.46,21.0,21.36,309700.0,20.72
2010-10-18,21.34,21.46,21.1,21.17,85100.0,21.58,21.62,21.31,21.36,85500.0,21.74,21.84,21.48,21.48,70200.0,21.44,21.77,21.31,21.74,104700.0,21.45,21.45,21.17,21.43,50300.0,20.82
2010-10-19,21.15,21.15,20.77,20.8,171100.0,21.34,21.46,21.1,21.17,85100.0,21.58,21.62,21.31,21.36,85500.0,21.74,21.84,21.48,21.48,70200.0,21.44,21.77,21.31,21.74,104700.0,21.0
2010-10-20,20.98,20.98,20.75,20.8,172500.0,21.15,21.15,20.77,20.8,171100.0,21.34,21.46,21.1,21.17,85100.0,21.58,21.62,21.31,21.36,85500.0,21.74,21.84,21.48,21.48,70200.0,21.12
2010-10-21,20.9,20.9,20.54,20.6,259300.0,20.98,20.98,20.75,20.8,172500.0,21.15,21.15,20.77,20.8,171100.0,21.34,21.46,21.1,21.17,85100.0,21.58,21.62,21.31,21.36,85500.0,21.19
2010-10-22,20.7,20.81,20.59,20.61,182600.0,20.9,20.9,20.54,20.6,259300.0,20.98,20.98,20.75,20.8,172500.0,21.15,21.15,20.77,20.8,171100.0,21.34,21.46,21.1,21.17,85100.0,21.23
2010-10-25,20.64,20.76,20.56,20.72,114700.0,20.7,20.81,20.59,20.61,182600.0,20.9,20.9,20.54,20.6,259300.0,20.98,20.98,20.75,20.8,172500.0,21.15,21.15,20.77,20.8,171100.0,21.2
2010-10-26,20.75,20.96,20.75,20.82,512300.0,20.64,20.76,20.56,20.72,114700.0,20.7,20.81,20.59,20.61,182600.0,20.9,20.9,20.54,20.6,259300.0,20.98,20.98,20.75,20.8,172500.0,21.13
2010-10-27,20.92,21.1,20.76,21.0,127600.0,20.75,20.96,20.75,20.82,512300.0,20.64,20.76,20.56,20.72,114700.0,20.7,20.81,20.59,20.61,182600.0,20.9,20.9,20.54,20.6,259300.0,21.4
2010-10-28,21.08,21.14,21.01,21.12,160400.0,20.92,21.1,20.76,21.0,127600.0,20.75,20.96,20.75,20.82,512300.0,20.64,20.76,20.56,20.72,114700.0,20.7,20.81,20.59,20.61,182600.0,21.3
2010-10-29,21.19,21.24,21.03,21.19,89100.0,21.08,21.14,21.01,21.12,160400.0,20.92,21.1,20.76,21.0,127600.0,20.75,20.96,20.75,20.82,512300.0,20.64,20.76,20.56,20.72,114700.0,21.2
2010-11-01,21.22,21.43,21.1,21.23,139900.0,21.19,21.24,21.03,21.19,89100.0,21.08,21.14,21.01,21.12,160400.0,20.92,21.1,20.76,21.0,127600.0,20.75,20.96,20.75,20.82,512300.0,21.42
2010-11-02,21.2,21.4,21.15,21.2,63300.0,21.22,21.43,21.1,21.23,139900.0,21.19,21.24,21.03,21.19,89100.0,21.08,21.14,21.01,21.12,160400.0,20.92,21.1,20.76,21.0,127600.0,21.58
2010-11-03,21.21,21.36,21.13,21.13,162100.0,21.2,21.4,21.15,21.2,63300.0,21.22,21.43,21.1,21.23,139900.0,21.19,21.24,21.03,21.19,89100.0,21.08,21.14,21.01,21.12,160400.0,21.65
2010-11-04,21.37,21.46,21.3,21.4,189400.0,21.21,21.36,21.13,21.13,162100.0,21.2,21.4,21.15,21.2,63300.0,21.22,21.43,21.1,21.23,139900.0,21.19,21.24,21.03,21.19,89100.0,21.34
2010-11-05,21.46,21.52,21.26,21.3,409400.0,21.37,21.46,21.3,21.4,189400.0,21.21,21.36,21.13,21.13,162100.0,21.2,21.4,21.15,21.2,63300.0,21.22,21.43,21.1,21.23,139900.0,21.36
2010-11-08,21.25,21.25,21.12,21.2,377600.0,21.46,21.52,21.26,21.3,409400.0,21.37,21.46,21.3,21.4,189400.0,21.21,21.36,21.13,21.13,162100.0,21.2,21.4,21.15,21.2,63300.0,20.92
2010-11-09,21.2,21.45,21.02,21.42,473100.0,21.25,21.25,21.12,21.2,377600.0,21.46,21.52,21.26,21.3,409400.0,21.37,21.46,21.3,21.4,189400.0,21.21,21.36,21.13,21.13,162100.0,20.92
2010-11-10,21.5,21.62,21.43,21.58,119300.0,21.2,21.45,21.02,21.42,473100.0,21.25,21.25,21.12,21.2,377600.0,21.46,21.52,21.26,21.3,409400.0,21.37,21.46,21.3,21.4,189400.0,20.99
2010-11-11,21.72,21.72,21.5,21.65,129000.0,21.5,21.62,21.43,21.58,119300.0,21.2,21.45,21.02,21.42,473100.0,21.25,21.25,21.12,21.2,377600.0,21.46,21.52,21.26,21.3,409400.0,21.47
2010-11-12,21.65,21.75,21.3,21.34,89200.0,21.72,21.72,21.5,21.65,129000.0,21.5,21.62,21.43,21.58,119300.0,21.2,21.45,21.02,21.42,473100.0,21.25,21.25,21.12,21.2,377600.0,21.51
2010-11-15,21.5,21.5,21.29,21.36,146600.0,21.65,21.75,21.3,21.34,89200.0,21.72,21.72,21.5,21.65,129000.0,21.5,21.62,21.43,21.58,119300.0,21.2,21.45,21.02,21.42,473100.0,21.72
2010-11-16,21.34,21.34,20.8,20.92,518400.0,21.5,21.5,21.29,21.36,146600.0,21.65,21.75,21.3,21.34,89200.0,21.72,21.72,21.5,21.65,129000.0,21.5,21.62,21.43,21.58,119300.0,21.95
2010-11-17,20.92,21.07,20.92,20.92,131100.0,21.34,21.34,20.8,20.92,518400.0,21.5,21.5,21.29,21.36,146600.0,21.65,21.75,21.3,21.34,89200.0,21.72,21.72,21.5,21.65,129000.0,22.0
2010-11-18,21.23,21.24,20.96,20.99,142500.0,20.92,21.07,20.92,20.92,131100.0,21.34,21.34,20.8,20.92,518400.0,21.5,21.5,21.29,21.36,146600.0,21.65,21.75,21.3,21.34,89200.0,21.73
2010-11-19,21.14,21.5,21.05,21.47,136600.0,21.23,21.24,20.96,20.99,142500.0,20.92,21.07,20.92,20.92,131100.0,21.34,21.34,20.8,20.92,518400.0,21.5,21.5,21.29,21.36,146600.0,21.79
2010-11-22,21.5,21.75,21.46,21.51,525100.0,21.14,21.5,21.05,21.47,136600.0,21.23,21.24,20.96,20.99,142500.0,20.92,21.07,20.92,20.92,131100.0,21.34,21.34,20.8,20.92,518400.0,21.9
2010-11-23,21.65,21.83,21.55,21.72,212600.0,21.5,21.75,21.46,21.51,525100.0,21.14,21.5,21.05,21.47,136600.0,21.23,21.24,20.96,20.99,142500.0,20.92,21.07,20.92,20.92,131100.0,22.25
2010-11-24,21.96,22.09,21.92,21.95,195300.0,21.65,21.83,21.55,21.72,212600.0,21.5,21.75,21.46,21.51,525100.0,21.14,21.5,21.05,21.47,136600.0,21.23,21.24,20.96,20.99,142500.0,22.45
2010-11-25,22.05,22.26,21.9,22.0,100800.0,21.96,22.09,21.92,21.95,195300.0,21.65,21.83,21.55,21.72,212600.0,21.5,21.75,21.46,21.51,525100.0,21.14,21.5,21.05,21.47,136600.0,22.83
