date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2001-07-26,10.35,10.4,10.3,10.35,32200.0,10.3,10.35,10.25,10.35,72100.0,10.25,10.35,10.25,10.25,45900.0,10.28,10.35,10.25,10.25,60900.0,10.25,10.3,10.2,10.28,123000.0,10.6
2001-07-27,10.35,10.37,10.29,10.34,42900.0,10.35,10.4,10.3,10.35,32200.0,10.3,10.35,10.25,10.35,72100.0,10.25,10.35,10.25,10.25,45900.0,10.28,10.35,10.25,10.25,60900.0,10.6
2001-07-30,10.3,10.35,10.25,10.33,109100.0,10.35,10.37,10.29,10.34,42900.0,10.35,10.4,10.3,10.35,32200.0,10.3,10.35,10.25,10.35,72100.0,10.25,10.35,10.25,10.25,45900.0,10.95
2001-07-31,10.3,10.5,10.3,10.35,103100.0,10.3,10.35,10.25,10.33,109100.0,10.35,10.37,10.29,10.34,42900.0,10.35,10.4,10.3,10.35,32200.0,10.3,10.35,10.25,10.35,72100.0,10.7
2001-08-01,10.4,10.44,10.35,10.4,22800.0,10.3,10.5,10.3,10.35,103100.0,10.3,10.35,10.25,10.33,109100.0,10.35,10.37,10.29,10.34,42900.0,10.35,10.4,10.3,10.35,32200.0,10.85
2001-08-02,10.4,10.5,10.4,10.5,43400.0,10.4,10.44,10.35,10.4,22800.0,10.3,10.5,10.3,10.35,103100.0,10.3,10.35,10.25,10.33,109100.0,10.35,10.37,10.29,10.34,42900.0,10.85
2001-08-03,10.58,10.65,10.48,10.6,38100.0,10.4,10.5,10.4,10.5,43400.0,10.4,10.44,10.35,10.4,22800.0,10.3,10.5,10.3,10.35,103100.0,10.3,10.35,10.25,10.33,109100.0,10.7
2001-08-06,10.6,10.6,10.6,10.6,0.0,10.58,10.65,10.48,10.6,38100.0,10.4,10.5,10.4,10.5,43400.0,10.4,10.44,10.35,10.4,22800.0,10.3,10.5,10.3,10.35,103100.0,10.95
2001-08-07,10.65,11.05,10.3,10.95,48300.0,10.6,10.6,10.6,10.6,0.0,10.58,10.65,10.48,10.6,38100.0,10.4,10.5,10.4,10.5,43400.0,10.4,10.44,10.35,10.4,22800.0,10.9
2001-08-08,10.8,11.0,10.7,10.7,72800.0,10.65,11.05,10.3,10.95,48300.0,10.6,10.6,10.6,10.6,0.0,10.58,10.65,10.48,10.6,38100.0,10.4,10.5,10.4,10.5,43400.0,10.85
2001-08-09,10.7,10.85,10.7,10.85,32300.0,10.8,11.0,10.7,10.7,72800.0,10.65,11.05,10.3,10.95,48300.0,10.6,10.6,10.6,10.6,0.0,10.58,10.65,10.48,10.6,38100.0,10.75
2001-08-10,10.85,10.85,10.75,10.85,15400.0,10.7,10.85,10.7,10.85,32300.0,10.8,11.0,10.7,10.7,72800.0,10.65,11.05,10.3,10.95,48300.0,10.6,10.6,10.6,10.6,0.0,10.8
2001-08-13,10.8,10.85,10.6,10.7,35200.0,10.85,10.85,10.75,10.85,15400.0,10.7,10.85,10.7,10.85,32300.0,10.8,11.0,10.7,10.7,72800.0,10.65,11.05,10.3,10.95,48300.0,10.8
2001-08-14,10.7,10.95,10.55,10.95,114600.0,10.8,10.85,10.6,10.7,35200.0,10.85,10.85,10.75,10.85,15400.0,10.7,10.85,10.7,10.85,32300.0,10.8,11.0,10.7,10.7,72800.0,10.8
2001-08-15,10.85,10.9,10.75,10.9,61300.0,10.7,10.95,10.55,10.95,114600.0,10.8,10.85,10.6,10.7,35200.0,10.85,10.85,10.75,10.85,15400.0,10.7,10.85,10.7,10.85,32300.0,10.85
2001-08-16,10.85,10.9,10.75,10.85,24100.0,10.85,10.9,10.75,10.9,61300.0,10.7,10.95,10.55,10.95,114600.0,10.8,10.85,10.6,10.7,35200.0,10.85,10.85,10.75,10.85,15400.0,11.0
2001-08-17,10.8,10.85,10.75,10.75,10900.0,10.85,10.9,10.75,10.85,24100.0,10.85,10.9,10.75,10.9,61300.0,10.7,10.95,10.55,10.95,114600.0,10.8,10.85,10.6,10.7,35200.0,11.0
2001-08-20,10.94,10.94,10.7,10.8,22100.0,10.8,10.85,10.75,10.75,10900.0,10.85,10.9,10.75,10.85,24100.0,10.85,10.9,10.75,10.9,61300.0,10.7,10.95,10.55,10.95,114600.0,11.15
2001-08-21,10.8,10.8,10.7,10.8,19200.0,10.94,10.94,10.7,10.8,22100.0,10.8,10.85,10.75,10.75,10900.0,10.85,10.9,10.75,10.85,24100.0,10.85,10.9,10.75,10.9,61300.0,11.15
