date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2013-07-15,10.07,10.15,10.07,10.15,739360.0,10.05,10.07,10.04,10.05,311801.0,10.02,10.06,10.01,10.04,222880.0,10.05,10.05,10.0,10.01,322080.0,10.1,10.1,10.03,10.06,864616.0,10.5
2013-07-16,10.14,10.17,10.13,10.16,323416.0,10.07,10.15,10.07,10.15,739360.0,10.05,10.07,10.04,10.05,311801.0,10.02,10.06,10.01,10.04,222880.0,10.05,10.05,10.0,10.01,322080.0,10.31
2013-07-17,10.2,10.225,10.18,10.22,439105.0,10.14,10.17,10.13,10.16,323416.0,10.07,10.15,10.07,10.15,739360.0,10.05,10.07,10.04,10.05,311801.0,10.02,10.06,10.01,10.04,222880.0,10.31
2013-07-18,10.24,10.5,10.24,10.39,298135.0,10.2,10.225,10.18,10.22,439105.0,10.14,10.17,10.13,10.16,323416.0,10.07,10.15,10.07,10.15,739360.0,10.05,10.07,10.04,10.05,311801.0,10.39
2013-07-19,10.44,10.55,10.43,10.47,611856.0,10.24,10.5,10.24,10.39,298135.0,10.2,10.225,10.18,10.22,439105.0,10.14,10.17,10.13,10.16,323416.0,10.07,10.15,10.07,10.15,739360.0,10.44
2013-07-22,10.5,10.53,10.47,10.5,551659.0,10.44,10.55,10.43,10.47,611856.0,10.24,10.5,10.24,10.39,298135.0,10.2,10.225,10.18,10.22,439105.0,10.14,10.17,10.13,10.16,323416.0,10.4
2013-07-23,10.6,10.6,10.48,10.5,313914.0,10.5,10.53,10.47,10.5,551659.0,10.44,10.55,10.43,10.47,611856.0,10.24,10.5,10.24,10.39,298135.0,10.2,10.225,10.18,10.22,439105.0,10.31
2013-07-24,10.48,10.48,10.28,10.31,456776.0,10.6,10.6,10.48,10.5,313914.0,10.5,10.53,10.47,10.5,551659.0,10.44,10.55,10.43,10.47,611856.0,10.24,10.5,10.24,10.39,298135.0,10.3
2013-07-25,10.38,10.4,10.18,10.31,344285.0,10.48,10.48,10.28,10.31,456776.0,10.6,10.6,10.48,10.5,313914.0,10.5,10.53,10.47,10.5,551659.0,10.44,10.55,10.43,10.47,611856.0,10.25
2013-07-26,10.38,10.4,10.3,10.39,336139.0,10.38,10.4,10.18,10.31,344285.0,10.48,10.48,10.28,10.31,456776.0,10.6,10.6,10.48,10.5,313914.0,10.5,10.53,10.47,10.5,551659.0,10.2
