date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2016-06-01,6.25,6.26,6.07,6.11,280400.0,6.27,6.3,6.25,6.27,1872600.0,6.27,6.33,6.25,6.27,103600.0,6.35,6.35,6.22,6.27,153100.0,6.44,6.44,6.28,6.35,502500.0,6.24
2016-06-02,6.05,6.2,6.01,6.18,229200.0,6.25,6.26,6.07,6.11,280400.0,6.27,6.3,6.25,6.27,1872600.0,6.27,6.33,6.25,6.27,103600.0,6.35,6.35,6.22,6.27,153100.0,6.19
2016-06-03,6.12,6.16,6.05,6.13,190500.0,6.05,6.2,6.01,6.18,229200.0,6.25,6.26,6.07,6.11,280400.0,6.27,6.3,6.25,6.27,1872600.0,6.27,6.33,6.25,6.27,103600.0,6.07
2016-06-06,6.21,6.21,6.13,6.19,109000.0,6.12,6.16,6.05,6.13,190500.0,6.05,6.2,6.01,6.18,229200.0,6.25,6.26,6.07,6.11,280400.0,6.27,6.3,6.25,6.27,1872600.0,6.02
2016-06-07,6.22,6.26,6.16,6.23,324400.0,6.21,6.21,6.13,6.19,109000.0,6.12,6.16,6.05,6.13,190500.0,6.05,6.2,6.01,6.18,229200.0,6.25,6.26,6.07,6.11,280400.0,6.0
2016-06-08,6.28,6.28,6.2,6.22,174300.0,6.22,6.26,6.16,6.23,324400.0,6.21,6.21,6.13,6.19,109000.0,6.12,6.16,6.05,6.13,190500.0,6.05,6.2,6.01,6.18,229200.0,5.99
2016-06-09,6.27,6.28,6.24,6.24,218000.0,6.28,6.28,6.2,6.22,174300.0,6.22,6.26,6.16,6.23,324400.0,6.21,6.21,6.13,6.19,109000.0,6.12,6.16,6.05,6.13,190500.0,5.95
2016-06-10,6.25,6.25,6.15,6.19,214300.0,6.27,6.28,6.24,6.24,218000.0,6.28,6.28,6.2,6.22,174300.0,6.22,6.26,6.16,6.23,324400.0,6.21,6.21,6.13,6.19,109000.0,5.97
2016-06-13,6.14,6.14,6.06,6.07,196100.0,6.25,6.25,6.15,6.19,214300.0,6.27,6.28,6.24,6.24,218000.0,6.28,6.28,6.2,6.22,174300.0,6.22,6.26,6.16,6.23,324400.0,5.97
2016-06-14,6.05,6.1,5.95,6.02,393700.0,6.14,6.14,6.06,6.07,196100.0,6.25,6.25,6.15,6.19,214300.0,6.27,6.28,6.24,6.24,218000.0,6.28,6.28,6.2,6.22,174300.0,5.93
2016-06-15,6.0,6.05,5.97,6.0,202100.0,6.05,6.1,5.95,6.02,393700.0,6.14,6.14,6.06,6.07,196100.0,6.25,6.25,6.15,6.19,214300.0,6.27,6.28,6.24,6.24,218000.0,6.0
2016-06-16,6.0,6.07,5.95,5.99,129500.0,6.0,6.05,5.97,6.0,202100.0,6.05,6.1,5.95,6.02,393700.0,6.14,6.14,6.06,6.07,196100.0,6.25,6.25,6.15,6.19,214300.0,5.92
2016-06-17,5.95,6.0,5.95,5.95,177100.0,6.0,6.07,5.95,5.99,129500.0,6.0,6.05,5.97,6.0,202100.0,6.05,6.1,5.95,6.02,393700.0,6.14,6.14,6.06,6.07,196100.0,5.8
2016-06-20,5.99,6.01,5.95,5.97,130700.0,5.95,6.0,5.95,5.95,177100.0,6.0,6.07,5.95,5.99,129500.0,6.0,6.05,5.97,6.0,202100.0,6.05,6.1,5.95,6.02,393700.0,5.82
2016-06-21,6.03,6.03,5.89,5.97,1163800.0,5.99,6.01,5.95,5.97,130700.0,5.95,6.0,5.95,5.95,177100.0,6.0,6.07,5.95,5.99,129500.0,6.0,6.05,5.97,6.0,202100.0,6.03
2016-06-22,5.97,6.02,5.9,5.93,239200.0,6.03,6.03,5.89,5.97,1163800.0,5.99,6.01,5.95,5.97,130700.0,5.95,6.0,5.95,5.95,177100.0,6.0,6.07,5.95,5.99,129500.0,6.0
2016-06-23,5.98,6.08,5.94,6.0,189900.0,5.97,6.02,5.9,5.93,239200.0,6.03,6.03,5.89,5.97,1163800.0,5.99,6.01,5.95,5.97,130700.0,5.95,6.0,5.95,5.95,177100.0,6.18
2016-06-24,5.84,6.0,5.83,5.92,224400.0,5.98,6.08,5.94,6.0,189900.0,5.97,6.02,5.9,5.93,239200.0,6.03,6.03,5.89,5.97,1163800.0,5.99,6.01,5.95,5.97,130700.0,6.11
2016-06-27,5.92,5.95,5.7,5.8,273200.0,5.84,6.0,5.83,5.92,224400.0,5.98,6.08,5.94,6.0,189900.0,5.97,6.02,5.9,5.93,239200.0,6.03,6.03,5.89,5.97,1163800.0,6.17
2016-06-28,5.75,5.85,5.75,5.82,133600.0,5.92,5.95,5.7,5.8,273200.0,5.84,6.0,5.83,5.92,224400.0,5.98,6.08,5.94,6.0,189900.0,5.97,6.02,5.9,5.93,239200.0,6.17
2016-06-29,5.99,6.04,5.88,6.03,216100.0,5.75,5.85,5.75,5.82,133600.0,5.92,5.95,5.7,5.8,273200.0,5.84,6.0,5.83,5.92,224400.0,5.98,6.08,5.94,6.0,189900.0,6.12
2016-06-30,6.05,6.05,5.96,6.0,139500.0,5.99,6.04,5.88,6.03,216100.0,5.75,5.85,5.75,5.82,133600.0,5.92,5.95,5.7,5.8,273200.0,5.84,6.0,5.83,5.92,224400.0,6.11
2016-07-04,6.04,6.22,6.04,6.18,252000.0,6.05,6.05,5.96,6.0,139500.0,5.99,6.04,5.88,6.03,216100.0,5.75,5.85,5.75,5.82,133600.0,5.92,5.95,5.7,5.8,273200.0,6.16
2016-07-05,6.18,6.2,6.08,6.11,149400.0,6.04,6.22,6.04,6.18,252000.0,6.05,6.05,5.96,6.0,139500.0,5.99,6.04,5.88,6.03,216100.0,5.75,5.85,5.75,5.82,133600.0,6.15
2016-07-06,6.2,6.2,6.12,6.17,141200.0,6.18,6.2,6.08,6.11,149400.0,6.04,6.22,6.04,6.18,252000.0,6.05,6.05,5.96,6.0,139500.0,5.99,6.04,5.88,6.03,216100.0,6.12
2016-07-07,6.17,6.21,6.1,6.17,107200.0,6.2,6.2,6.12,6.17,141200.0,6.18,6.2,6.08,6.11,149400.0,6.04,6.22,6.04,6.18,252000.0,6.05,6.05,5.96,6.0,139500.0,6.1
2016-07-08,6.2,6.22,6.1,6.12,179100.0,6.17,6.21,6.1,6.17,107200.0,6.2,6.2,6.12,6.17,141200.0,6.18,6.2,6.08,6.11,149400.0,6.04,6.22,6.04,6.18,252000.0,6.11
2016-07-11,6.14,6.2,6.08,6.11,360900.0,6.2,6.22,6.1,6.12,179100.0,6.17,6.21,6.1,6.17,107200.0,6.2,6.2,6.12,6.17,141200.0,6.18,6.2,6.08,6.11,149400.0,6.1
2016-07-12,6.17,6.19,6.12,6.16,134200.0,6.14,6.2,6.08,6.11,360900.0,6.2,6.22,6.1,6.12,179100.0,6.17,6.21,6.1,6.17,107200.0,6.2,6.2,6.12,6.17,141200.0,6.08
2016-07-13,6.18,6.2,6.15,6.15,227900.0,6.17,6.19,6.12,6.16,134200.0,6.14,6.2,6.08,6.11,360900.0,6.2,6.22,6.1,6.12,179100.0,6.17,6.21,6.1,6.17,107200.0,6.06
2016-07-14,6.2,6.23,6.09,6.12,292300.0,6.18,6.2,6.15,6.15,227900.0,6.17,6.19,6.12,6.16,134200.0,6.14,6.2,6.08,6.11,360900.0,6.2,6.22,6.1,6.12,179100.0,6.13
2016-07-15,6.16,6.17,6.08,6.1,160700.0,6.2,6.23,6.09,6.12,292300.0,6.18,6.2,6.15,6.15,227900.0,6.17,6.19,6.12,6.16,134200.0,6.14,6.2,6.08,6.11,360900.0,6.12
2016-07-18,6.12,6.16,6.1,6.11,137100.0,6.16,6.17,6.08,6.1,160700.0,6.2,6.23,6.09,6.12,292300.0,6.18,6.2,6.15,6.15,227900.0,6.17,6.19,6.12,6.16,134200.0,6.07
2016-07-19,6.12,6.13,6.06,6.1,247400.0,6.12,6.16,6.1,6.11,137100.0,6.16,6.17,6.08,6.1,160700.0,6.2,6.23,6.09,6.12,292300.0,6.18,6.2,6.15,6.15,227900.0,6.1
2016-07-20,6.07,6.1,6.03,6.08,191300.0,6.12,6.13,6.06,6.1,247400.0,6.12,6.16,6.1,6.11,137100.0,6.16,6.17,6.08,6.1,160700.0,6.2,6.23,6.09,6.12,292300.0,6.08
