date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,5.5588,5.6466,5.2662,5.5588,33800.0,5.8514,5.8514,5.5588,5.5588,23900.0,5.8806,6.1439,5.8514,5.8514,106300.0,6.4365,6.4658,6.2902,6.2902,41700.0,6.0562,6.261,6.0562,6.261,10900.0,5.0907
2000-01-13,5.5588,5.5588,5.5588,5.5588,0.0,5.5588,5.6466,5.2662,5.5588,33800.0,5.8514,5.8514,5.5588,5.5588,23900.0,5.8806,6.1439,5.8514,5.8514,106300.0,6.4365,6.4658,6.2902,6.2902,41700.0,5.2662
2000-01-14,5.4125,5.5588,5.4125,5.4125,147000.0,5.5588,5.5588,5.5588,5.5588,0.0,5.5588,5.6466,5.2662,5.5588,33800.0,5.8514,5.8514,5.5588,5.5588,23900.0,5.8806,6.1439,5.8514,5.8514,106300.0,5.0468
2000-01-17,5.8221,5.8221,5.3394,5.3394,13000.0,5.4125,5.5588,5.4125,5.4125,147000.0,5.5588,5.5588,5.5588,5.5588,0.0,5.5588,5.6466,5.2662,5.5588,33800.0,5.8514,5.8514,5.5588,5.5588,23900.0,5.12
2000-01-18,5.5003,5.5003,5.3394,5.3394,12000.0,5.8221,5.8221,5.3394,5.3394,13000.0,5.4125,5.5588,5.4125,5.4125,147000.0,5.5588,5.5588,5.5588,5.5588,0.0,5.5588,5.6466,5.2662,5.5588,33800.0,4.9737
2000-01-19,5.2662,5.2662,5.2662,5.2662,5100.0,5.5003,5.5003,5.3394,5.3394,12000.0,5.8221,5.8221,5.3394,5.3394,13000.0,5.4125,5.5588,5.4125,5.4125,147000.0,5.5588,5.5588,5.5588,5.5588,0.0,4.9737
2000-01-20,5.2662,5.2662,5.0907,5.0907,6200.0,5.2662,5.2662,5.2662,5.2662,5100.0,5.5003,5.5003,5.3394,5.3394,12000.0,5.8221,5.8221,5.3394,5.3394,13000.0,5.4125,5.5588,5.4125,5.4125,147000.0,5.12
2000-01-21,5.2662,5.5588,5.2662,5.2662,18800.0,5.2662,5.2662,5.0907,5.0907,6200.0,5.2662,5.2662,5.2662,5.2662,5100.0,5.5003,5.5003,5.3394,5.3394,12000.0,5.8221,5.8221,5.3394,5.3394,13000.0,5.1785
2000-01-24,5.2662,5.2662,4.6226,5.0468,69000.0,5.2662,5.5588,5.2662,5.2662,18800.0,5.2662,5.2662,5.0907,5.0907,6200.0,5.2662,5.2662,5.2662,5.2662,5100.0,5.5003,5.5003,5.3394,5.3394,12000.0,5.471
2000-01-25,5.12,5.2662,5.0761,5.12,112800.0,5.2662,5.2662,4.6226,5.0468,69000.0,5.2662,5.5588,5.2662,5.2662,18800.0,5.2662,5.2662,5.0907,5.0907,6200.0,5.2662,5.2662,5.2662,5.2662,5100.0,5.1785
