date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,8.0,8.25,8.0,8.125,412400.0,7.8125,8.125,7.8125,8.0,368400.0,7.6875,8.0,7.3125,7.875,199200.0,7.6875,7.775,7.6875,7.75,407200.0,7.6875,7.875,7.6875,7.8125,179200.0,8.425
2000-01-13,8.3125,9.0,8.3125,8.875,1122800.0,8.0,8.25,8.0,8.125,412400.0,7.8125,8.125,7.8125,8.0,368400.0,7.6875,8.0,7.3125,7.875,199200.0,7.6875,7.775,7.6875,7.75,407200.0,9.0
2000-01-14,8.8625,8.8625,8.6625,8.6875,508800.0,8.3125,9.0,8.3125,8.875,1122800.0,8.0,8.25,8.0,8.125,412400.0,7.8125,8.125,7.8125,8.0,368400.0,7.6875,8.0,7.3125,7.875,199200.0,8.525
2000-01-17,8.6875,8.6875,8.5,8.6,124800.0,8.8625,8.8625,8.6625,8.6875,508800.0,8.3125,9.0,8.3125,8.875,1122800.0,8.0,8.25,8.0,8.125,412400.0,7.8125,8.125,7.8125,8.0,368400.0,7.85
2000-01-18,8.25,8.5625,8.125,8.25,227200.0,8.6875,8.6875,8.5,8.6,124800.0,8.8625,8.8625,8.6625,8.6875,508800.0,8.3125,9.0,8.3125,8.875,1122800.0,8.0,8.25,8.0,8.125,412400.0,8.15
2000-01-19,8.25,8.4375,8.25,8.4375,198000.0,8.25,8.5625,8.125,8.25,227200.0,8.6875,8.6875,8.5,8.6,124800.0,8.8625,8.8625,8.6625,8.6875,508800.0,8.3125,9.0,8.3125,8.875,1122800.0,8.375
2000-01-20,8.425,8.4375,8.25,8.425,203600.0,8.25,8.4375,8.25,8.4375,198000.0,8.25,8.5625,8.125,8.25,227200.0,8.6875,8.6875,8.5,8.6,124800.0,8.8625,8.8625,8.6625,8.6875,508800.0,8.275
2000-01-21,8.75,9.25,8.5,9.0,316400.0,8.425,8.4375,8.25,8.425,203600.0,8.25,8.4375,8.25,8.4375,198000.0,8.25,8.5625,8.125,8.25,227200.0,8.6875,8.6875,8.5,8.6,124800.0,8.7
2000-01-24,9.25,9.375,8.375,8.525,401000.0,8.75,9.25,8.5,9.0,316400.0,8.425,8.4375,8.25,8.425,203600.0,8.25,8.4375,8.25,8.4375,198000.0,8.25,8.5625,8.125,8.25,227200.0,9.0
2000-01-25,8.45,8.525,7.75,7.85,703200.0,9.25,9.375,8.375,8.525,401000.0,8.75,9.25,8.5,9.0,316400.0,8.425,8.4375,8.25,8.425,203600.0,8.25,8.4375,8.25,8.4375,198000.0,8.8
2000-01-26,8.0,8.375,8.0,8.15,741400.0,8.45,8.525,7.75,7.85,703200.0,9.25,9.375,8.375,8.525,401000.0,8.75,9.25,8.5,9.0,316400.0,8.425,8.4375,8.25,8.425,203600.0,8.875
2000-01-27,8.15,8.8,8.15,8.375,123600.0,8.0,8.375,8.0,8.15,741400.0,8.45,8.525,7.75,7.85,703200.0,9.25,9.375,8.375,8.525,401000.0,8.75,9.25,8.5,9.0,316400.0,9.0
2000-01-28,8.3,8.625,8.25,8.275,133000.0,8.15,8.8,8.15,8.375,123600.0,8.0,8.375,8.0,8.15,741400.0,8.45,8.525,7.75,7.85,703200.0,9.25,9.375,8.375,8.525,401000.0,9.475
2000-01-31,8.275,8.7,8.275,8.7,388600.0,8.3,8.625,8.25,8.275,133000.0,8.15,8.8,8.15,8.375,123600.0,8.0,8.375,8.0,8.15,741400.0,8.45,8.525,7.75,7.85,703200.0,9.8
2000-02-01,8.75,9.25,8.75,9.0,602400.0,8.275,8.7,8.275,8.7,388600.0,8.3,8.625,8.25,8.275,133000.0,8.15,8.8,8.15,8.375,123600.0,8.0,8.375,8.0,8.15,741400.0,9.5
2000-02-02,8.925,8.925,8.5,8.8,235600.0,8.75,9.25,8.75,9.0,602400.0,8.275,8.7,8.275,8.7,388600.0,8.3,8.625,8.25,8.275,133000.0,8.15,8.8,8.15,8.375,123600.0,9.125
2000-02-03,8.5,8.9,8.5,8.875,382200.0,8.925,8.925,8.5,8.8,235600.0,8.75,9.25,8.75,9.0,602400.0,8.275,8.7,8.275,8.7,388600.0,8.3,8.625,8.25,8.275,133000.0,9.0
2000-02-04,8.925,9.0,8.75,9.0,483400.0,8.5,8.9,8.5,8.875,382200.0,8.925,8.925,8.5,8.8,235600.0,8.75,9.25,8.75,9.0,602400.0,8.275,8.7,8.275,8.7,388600.0,8.825
2000-02-07,9.0,9.5,8.875,9.475,373000.0,8.925,9.0,8.75,9.0,483400.0,8.5,8.9,8.5,8.875,382200.0,8.925,8.925,8.5,8.8,235600.0,8.75,9.25,8.75,9.0,602400.0,9.6
2000-02-08,9.5,10.0,9.375,9.8,1100800.0,9.0,9.5,8.875,9.475,373000.0,8.925,9.0,8.75,9.0,483400.0,8.5,8.9,8.5,8.875,382200.0,8.925,8.925,8.5,8.8,235600.0,9.0
2000-02-09,9.75,9.8,9.375,9.5,388000.0,9.5,10.0,9.375,9.8,1100800.0,9.0,9.5,8.875,9.475,373000.0,8.925,9.0,8.75,9.0,483400.0,8.5,8.9,8.5,8.875,382200.0,9.0
2000-02-10,9.375,9.5,9.0,9.125,141800.0,9.75,9.8,9.375,9.5,388000.0,9.5,10.0,9.375,9.8,1100800.0,9.0,9.5,8.875,9.475,373000.0,8.925,9.0,8.75,9.0,483400.0,8.525
