date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,72.0,73.0,67.35,67.95,1328900.0,73.25,73.25,66.8,67.85,705200.0,69.5,72.5,68.5,72.5,1109500.0,63.7,66.95,63.65,66.4,1031600.0,63.85,65.0,63.7,63.8,980200.0,65.25
2000-01-13,71.0,71.75,67.9,68.1,1970300.0,72.0,73.0,67.35,67.95,1328900.0,73.25,73.25,66.8,67.85,705200.0,69.5,72.5,68.5,72.5,1109500.0,63.7,66.95,63.65,66.4,1031600.0,65.35
2000-01-14,69.45,69.45,68.0,68.25,897200.0,71.0,71.75,67.9,68.1,1970300.0,72.0,73.0,67.35,67.95,1328900.0,73.25,73.25,66.8,67.85,705200.0,69.5,72.5,68.5,72.5,1109500.0,63.0
2000-01-17,69.35,69.5,68.3,68.7,165300.0,69.45,69.45,68.0,68.25,897200.0,71.0,71.75,67.9,68.1,1970300.0,72.0,73.0,67.35,67.95,1328900.0,73.25,73.25,66.8,67.85,705200.0,58.9
2000-01-18,67.6,68.0,64.65,65.9,1228300.0,69.35,69.5,68.3,68.7,165300.0,69.45,69.45,68.0,68.25,897200.0,71.0,71.75,67.9,68.1,1970300.0,72.0,73.0,67.35,67.95,1328900.0,56.85
2000-01-19,66.0,66.75,61.5,64.0,967500.0,67.6,68.0,64.65,65.9,1228300.0,69.35,69.5,68.3,68.7,165300.0,69.45,69.45,68.0,68.25,897200.0,71.0,71.75,67.9,68.1,1970300.0,51.5
2000-01-20,64.55,65.65,62.75,65.25,932900.0,66.0,66.75,61.5,64.0,967500.0,67.6,68.0,64.65,65.9,1228300.0,69.35,69.5,68.3,68.7,165300.0,69.45,69.45,68.0,68.25,897200.0,55.25
2000-01-21,66.0,67.75,65.35,65.35,621600.0,64.55,65.65,62.75,65.25,932900.0,66.0,66.75,61.5,64.0,967500.0,67.6,68.0,64.65,65.9,1228300.0,69.35,69.5,68.3,68.7,165300.0,58.55
2000-01-24,65.45,66.35,62.5,63.0,378000.0,66.0,67.75,65.35,65.35,621600.0,64.55,65.65,62.75,65.25,932900.0,66.0,66.75,61.5,64.0,967500.0,67.6,68.0,64.65,65.9,1228300.0,60.85
2000-01-25,63.0,63.0,57.9,58.9,992400.0,65.45,66.35,62.5,63.0,378000.0,66.0,67.75,65.35,65.35,621600.0,64.55,65.65,62.75,65.25,932900.0,66.0,66.75,61.5,64.0,967500.0,66.9
2000-01-26,60.0,61.0,56.85,56.85,767400.0,63.0,63.0,57.9,58.9,992400.0,65.45,66.35,62.5,63.0,378000.0,66.0,67.75,65.35,65.35,621600.0,64.55,65.65,62.75,65.25,932900.0,73.1
2000-01-27,57.05,57.75,51.05,51.5,1765200.0,60.0,61.0,56.85,56.85,767400.0,63.0,63.0,57.9,58.9,992400.0,65.45,66.35,62.5,63.0,378000.0,66.0,67.75,65.35,65.35,621600.0,70.0
2000-01-28,55.0,57.5,54.5,55.25,662500.0,57.05,57.75,51.05,51.5,1765200.0,60.0,61.0,56.85,56.85,767400.0,63.0,63.0,57.9,58.9,992400.0,65.45,66.35,62.5,63.0,378000.0,73.55
2000-01-31,56.5,59.0,56.5,58.55,3031100.0,55.0,57.5,54.5,55.25,662500.0,57.05,57.75,51.05,51.5,1765200.0,60.0,61.0,56.85,56.85,767400.0,63.0,63.0,57.9,58.9,992400.0,77.9
2000-02-01,61.85,61.95,59.5,60.85,1237800.0,56.5,59.0,56.5,58.55,3031100.0,55.0,57.5,54.5,55.25,662500.0,57.05,57.75,51.05,51.5,1765200.0,60.0,61.0,56.85,56.85,767400.0,76.5
2000-02-02,62.25,66.9,62.25,66.9,2188100.0,61.85,61.95,59.5,60.85,1237800.0,56.5,59.0,56.5,58.55,3031100.0,55.0,57.5,54.5,55.25,662500.0,57.05,57.75,51.05,51.5,1765200.0,71.3
2000-02-03,69.0,73.65,68.5,73.1,1057500.0,62.25,66.9,62.25,66.9,2188100.0,61.85,61.95,59.5,60.85,1237800.0,56.5,59.0,56.5,58.55,3031100.0,55.0,57.5,54.5,55.25,662500.0,70.2
2000-02-04,74.75,74.75,67.1,70.0,941500.0,69.0,73.65,68.5,73.1,1057500.0,62.25,66.9,62.25,66.9,2188100.0,61.85,61.95,59.5,60.85,1237800.0,56.5,59.0,56.5,58.55,3031100.0,63.5
2000-02-07,73.0,74.0,71.1,73.55,519400.0,74.75,74.75,67.1,70.0,941500.0,69.0,73.65,68.5,73.1,1057500.0,62.25,66.9,62.25,66.9,2188100.0,61.85,61.95,59.5,60.85,1237800.0,63.75
2000-02-08,74.5,79.1,74.5,77.9,832500.0,73.0,74.0,71.1,73.55,519400.0,74.75,74.75,67.1,70.0,941500.0,69.0,73.65,68.5,73.1,1057500.0,62.25,66.9,62.25,66.9,2188100.0,65.75
2000-02-09,79.25,79.8,74.5,76.5,1205300.0,74.5,79.1,74.5,77.9,832500.0,73.0,74.0,71.1,73.55,519400.0,74.75,74.75,67.1,70.0,941500.0,69.0,73.65,68.5,73.1,1057500.0,69.5
2000-02-10,77.0,78.25,68.75,71.3,846600.0,79.25,79.8,74.5,76.5,1205300.0,74.5,79.1,74.5,77.9,832500.0,73.0,74.0,71.1,73.55,519400.0,74.75,74.75,67.1,70.0,941500.0,68.7
2000-02-11,71.3,74.5,69.0,70.2,866900.0,77.0,78.25,68.75,71.3,846600.0,79.25,79.8,74.5,76.5,1205300.0,74.5,79.1,74.5,77.9,832500.0,73.0,74.0,71.1,73.55,519400.0,67.25
2000-02-14,69.7,70.0,62.5,63.5,868600.0,71.3,74.5,69.0,70.2,866900.0,77.0,78.25,68.75,71.3,846600.0,79.25,79.8,74.5,76.5,1205300.0,74.5,79.1,74.5,77.9,832500.0,63.95
2000-02-15,64.0,65.5,59.25,63.75,1315900.0,69.7,70.0,62.5,63.5,868600.0,71.3,74.5,69.0,70.2,866900.0,77.0,78.25,68.75,71.3,846600.0,79.25,79.8,74.5,76.5,1205300.0,66.5
2000-02-16,64.0,66.5,64.0,65.75,492400.0,64.0,65.5,59.25,63.75,1315900.0,69.7,70.0,62.5,63.5,868600.0,71.3,74.5,69.0,70.2,866900.0,77.0,78.25,68.75,71.3,846600.0,65.7
2000-02-17,67.0,69.5,66.2,69.5,540900.0,64.0,66.5,64.0,65.75,492400.0,64.0,65.5,59.25,63.75,1315900.0,69.7,70.0,62.5,63.5,868600.0,71.3,74.5,69.0,70.2,866900.0,68.0
2000-02-18,69.0,70.25,67.55,68.7,638000.0,67.0,69.5,66.2,69.5,540900.0,64.0,66.5,64.0,65.75,492400.0,64.0,65.5,59.25,63.75,1315900.0,69.7,70.0,62.5,63.5,868600.0,67.5
2000-02-21,68.0,68.0,67.0,67.25,164600.0,69.0,70.25,67.55,68.7,638000.0,67.0,69.5,66.2,69.5,540900.0,64.0,66.5,64.0,65.75,492400.0,64.0,65.5,59.25,63.75,1315900.0,67.0
