date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,4.1563,4.2813,4.05,4.275,3267200.0,4.2687,4.2813,4.125,4.1375,8231200.0,4.3812,4.4063,4.2188,4.2188,2427200.0,4.3812,4.3812,4.2188,4.3688,2378400.0,4.35,4.5187,4.35,4.4375,2588800.0,4.6688
2000-01-13,4.2813,4.4063,4.2813,4.375,6931200.0,4.1563,4.2813,4.05,4.275,3267200.0,4.2687,4.2813,4.125,4.1375,8231200.0,4.3812,4.4063,4.2188,4.2188,2427200.0,4.3812,4.3812,4.2188,4.3688,2378400.0,4.7438
2000-01-14,4.3563,4.5313,4.3563,4.4437,8148800.0,4.2813,4.4063,4.2813,4.375,6931200.0,4.1563,4.2813,4.05,4.275,3267200.0,4.2687,4.2813,4.125,4.1375,8231200.0,4.3812,4.4063,4.2188,4.2188,2427200.0,4.75
2000-01-17,4.5062,4.7375,4.5062,4.7,4336000.0,4.3563,4.5313,4.3563,4.4437,8148800.0,4.2813,4.4063,4.2813,4.375,6931200.0,4.1563,4.2813,4.05,4.275,3267200.0,4.2687,4.2813,4.125,4.1375,8231200.0,4.5875
2000-01-18,4.7562,4.9375,4.7562,4.8625,6720800.0,4.5062,4.7375,4.5062,4.7,4336000.0,4.3563,4.5313,4.3563,4.4437,8148800.0,4.2813,4.4063,4.2813,4.375,6931200.0,4.1563,4.2813,4.05,4.275,3267200.0,4.5875
2000-01-19,4.9,4.9,4.6625,4.6625,3431200.0,4.7562,4.9375,4.7562,4.8625,6720800.0,4.5062,4.7375,4.5062,4.7,4336000.0,4.3563,4.5313,4.3563,4.4437,8148800.0,4.2813,4.4063,4.2813,4.375,6931200.0,4.4688
2000-01-20,4.7188,4.7687,4.6375,4.6688,2676800.0,4.9,4.9,4.6625,4.6625,3431200.0,4.7562,4.9375,4.7562,4.8625,6720800.0,4.5062,4.7375,4.5062,4.7,4336000.0,4.3563,4.5313,4.3563,4.4437,8148800.0,4.4063
2000-01-21,4.7313,4.7687,4.6875,4.7438,4930400.0,4.7188,4.7687,4.6375,4.6688,2676800.0,4.9,4.9,4.6625,4.6625,3431200.0,4.7562,4.9375,4.7562,4.8625,6720800.0,4.5062,4.7375,4.5062,4.7,4336000.0,4.1875
2000-01-24,4.75,4.8125,4.5062,4.75,4129600.0,4.7313,4.7687,4.6875,4.7438,4930400.0,4.7188,4.7687,4.6375,4.6688,2676800.0,4.9,4.9,4.6625,4.6625,3431200.0,4.7562,4.9375,4.7562,4.8625,6720800.0,4.3063
2000-01-25,4.725,4.7813,4.5187,4.5875,3292000.0,4.75,4.8125,4.5062,4.75,4129600.0,4.7313,4.7687,4.6875,4.7438,4930400.0,4.7188,4.7687,4.6375,4.6688,2676800.0,4.9,4.9,4.6625,4.6625,3431200.0,4.2875
