date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2002-10-09,3.1,3.1,3.1,3.1,300.0,3.11,3.15,3.0,3.15,36700.0,3.15,3.2,3.1,3.2,18700.0,3.15,3.15,3.15,3.15,373400.0,3.21,3.25,3.21,3.25,5400.0,3.15
2002-10-10,3.0,3.1,3.0,3.1,12300.0,3.1,3.1,3.1,3.1,300.0,3.11,3.15,3.0,3.15,36700.0,3.15,3.2,3.1,3.2,18700.0,3.15,3.15,3.15,3.15,373400.0,3.2
2002-10-11,3.1,3.1,3.1,3.1,2500.0,3.0,3.1,3.0,3.1,12300.0,3.1,3.1,3.1,3.1,300.0,3.11,3.15,3.0,3.15,36700.0,3.15,3.2,3.1,3.2,18700.0,3.4
2002-10-14,0.0,0.0,0.0,0.0,0.0,3.1,3.1,3.1,3.1,2500.0,3.0,3.1,3.0,3.1,12300.0,3.1,3.1,3.1,3.1,300.0,3.11,3.15,3.0,3.15,36700.0,3.25
2002-10-15,2.75,3.15,2.75,3.0,100100.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,3.1,3.1,2500.0,3.0,3.1,3.0,3.1,12300.0,3.1,3.1,3.1,3.1,300.0,3.25
2002-10-16,3.1,3.15,3.1,3.15,75000.0,2.75,3.15,2.75,3.0,100100.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,3.1,3.1,2500.0,3.0,3.1,3.0,3.1,12300.0,3.25
2002-10-17,3.15,3.17,3.13,3.15,161000.0,3.1,3.15,3.1,3.15,75000.0,2.75,3.15,2.75,3.0,100100.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,3.1,3.1,2500.0,3.21
2002-10-18,3.17,3.25,3.15,3.2,120800.0,3.15,3.17,3.13,3.15,161000.0,3.1,3.15,3.1,3.15,75000.0,2.75,3.15,2.75,3.0,100100.0,0.0,0.0,0.0,0.0,0.0,3.25
2002-10-21,3.15,3.4,3.15,3.4,267900.0,3.17,3.25,3.15,3.2,120800.0,3.15,3.17,3.13,3.15,161000.0,3.1,3.15,3.1,3.15,75000.0,2.75,3.15,2.75,3.0,100100.0,3.2
2002-10-22,3.15,3.25,3.15,3.25,202000.0,3.15,3.4,3.15,3.4,267900.0,3.17,3.25,3.15,3.2,120800.0,3.15,3.17,3.13,3.15,161000.0,3.1,3.15,3.1,3.15,75000.0,3.2
2002-10-23,3.2,3.25,3.2,3.25,100700.0,3.15,3.25,3.15,3.25,202000.0,3.15,3.4,3.15,3.4,267900.0,3.17,3.25,3.15,3.2,120800.0,3.15,3.17,3.13,3.15,161000.0,3.35
2002-10-24,3.2,3.25,3.2,3.25,128600.0,3.2,3.25,3.2,3.25,100700.0,3.15,3.25,3.15,3.25,202000.0,3.15,3.4,3.15,3.4,267900.0,3.17,3.25,3.15,3.2,120800.0,3.38
2002-10-25,3.25,3.25,3.21,3.21,204300.0,3.2,3.25,3.2,3.25,128600.0,3.2,3.25,3.2,3.25,100700.0,3.15,3.25,3.15,3.25,202000.0,3.15,3.4,3.15,3.4,267900.0,3.35
2002-10-28,3.21,3.25,3.2,3.25,28500.0,3.25,3.25,3.21,3.21,204300.0,3.2,3.25,3.2,3.25,128600.0,3.2,3.25,3.2,3.25,100700.0,3.15,3.25,3.15,3.25,202000.0,3.3
2002-10-29,3.3,3.4,3.2,3.2,45300.0,3.21,3.25,3.2,3.25,28500.0,3.25,3.25,3.21,3.21,204300.0,3.2,3.25,3.2,3.25,128600.0,3.2,3.25,3.2,3.25,100700.0,3.4
2002-10-30,3.3,3.3,3.2,3.2,213300.0,3.3,3.4,3.2,3.2,45300.0,3.21,3.25,3.2,3.25,28500.0,3.25,3.25,3.21,3.21,204300.0,3.2,3.25,3.2,3.25,128600.0,3.45
2002-10-31,3.25,3.35,3.25,3.35,52400.0,3.3,3.3,3.2,3.2,213300.0,3.3,3.4,3.2,3.2,45300.0,3.21,3.25,3.2,3.25,28500.0,3.25,3.25,3.21,3.21,204300.0,3.55
2002-11-01,3.4,3.4,3.35,3.38,132900.0,3.25,3.35,3.25,3.35,52400.0,3.3,3.3,3.2,3.2,213300.0,3.3,3.4,3.2,3.2,45300.0,3.21,3.25,3.2,3.25,28500.0,3.6
2002-11-04,3.31,3.45,3.31,3.35,135100.0,3.4,3.4,3.35,3.38,132900.0,3.25,3.35,3.25,3.35,52400.0,3.3,3.3,3.2,3.2,213300.0,3.3,3.4,3.2,3.2,45300.0,3.6
2002-11-05,3.4,3.4,3.3,3.3,89100.0,3.31,3.45,3.31,3.35,135100.0,3.4,3.4,3.35,3.38,132900.0,3.25,3.35,3.25,3.35,52400.0,3.3,3.3,3.2,3.2,213300.0,3.56
2002-11-06,3.4,3.4,3.4,3.4,37500.0,3.4,3.4,3.3,3.3,89100.0,3.31,3.45,3.31,3.35,135100.0,3.4,3.4,3.35,3.38,132900.0,3.25,3.35,3.25,3.35,52400.0,3.5
2002-11-07,3.4,3.45,3.4,3.45,11900.0,3.4,3.4,3.4,3.4,37500.0,3.4,3.4,3.3,3.3,89100.0,3.31,3.45,3.31,3.35,135100.0,3.4,3.4,3.35,3.38,132900.0,3.5
2002-11-08,3.45,3.55,3.4,3.55,362900.0,3.4,3.45,3.4,3.45,11900.0,3.4,3.4,3.4,3.4,37500.0,3.4,3.4,3.3,3.3,89100.0,3.31,3.45,3.31,3.35,135100.0,3.5
2002-11-11,3.5,3.6,3.5,3.6,103100.0,3.45,3.55,3.4,3.55,362900.0,3.4,3.45,3.4,3.45,11900.0,3.4,3.4,3.4,3.4,37500.0,3.4,3.4,3.3,3.3,89100.0,3.48
2002-11-12,3.7,3.7,3.6,3.6,23400.0,3.5,3.6,3.5,3.6,103100.0,3.45,3.55,3.4,3.55,362900.0,3.4,3.45,3.4,3.45,11900.0,3.4,3.4,3.4,3.4,37500.0,3.45
2002-11-13,3.6,3.75,3.56,3.56,22900.0,3.7,3.7,3.6,3.6,23400.0,3.5,3.6,3.5,3.6,103100.0,3.45,3.55,3.4,3.55,362900.0,3.4,3.45,3.4,3.45,11900.0,3.45
2002-11-14,3.56,3.56,3.5,3.5,8200.0,3.6,3.75,3.56,3.56,22900.0,3.7,3.7,3.6,3.6,23400.0,3.5,3.6,3.5,3.6,103100.0,3.45,3.55,3.4,3.55,362900.0,3.45
2002-11-15,3.55,3.55,3.46,3.5,18300.0,3.56,3.56,3.5,3.5,8200.0,3.6,3.75,3.56,3.56,22900.0,3.7,3.7,3.6,3.6,23400.0,3.5,3.6,3.5,3.6,103100.0,3.72
2002-11-18,3.5,3.5,3.46,3.5,29500.0,3.55,3.55,3.46,3.5,18300.0,3.56,3.56,3.5,3.5,8200.0,3.6,3.75,3.56,3.56,22900.0,3.7,3.7,3.6,3.6,23400.0,3.9
2002-11-19,3.5,3.5,3.45,3.48,102000.0,3.5,3.5,3.46,3.5,29500.0,3.55,3.55,3.46,3.5,18300.0,3.56,3.56,3.5,3.5,8200.0,3.6,3.75,3.56,3.56,22900.0,3.9
2002-11-20,3.5,3.5,3.45,3.45,20700.0,3.5,3.5,3.45,3.48,102000.0,3.5,3.5,3.46,3.5,29500.0,3.55,3.55,3.46,3.5,18300.0,3.56,3.56,3.5,3.5,8200.0,3.9
2002-11-21,3.45,3.45,3.4,3.45,26000.0,3.5,3.5,3.45,3.45,20700.0,3.5,3.5,3.45,3.48,102000.0,3.5,3.5,3.46,3.5,29500.0,3.55,3.55,3.46,3.5,18300.0,4.1
2002-11-22,3.45,3.45,3.4,3.45,335200.0,3.45,3.45,3.4,3.45,26000.0,3.5,3.5,3.45,3.45,20700.0,3.5,3.5,3.45,3.48,102000.0,3.5,3.5,3.46,3.5,29500.0,4.25
2002-11-25,3.45,3.73,3.45,3.72,89200.0,3.45,3.45,3.4,3.45,335200.0,3.45,3.45,3.4,3.45,26000.0,3.5,3.5,3.45,3.45,20700.0,3.5,3.5,3.45,3.48,102000.0,4.15
2002-11-26,3.75,4.0,3.75,3.9,77700.0,3.45,3.73,3.45,3.72,89200.0,3.45,3.45,3.4,3.45,335200.0,3.45,3.45,3.4,3.45,26000.0,3.5,3.5,3.45,3.45,20700.0,4.0
2002-11-27,3.9,4.0,3.9,3.9,64200.0,3.75,4.0,3.75,3.9,77700.0,3.45,3.73,3.45,3.72,89200.0,3.45,3.45,3.4,3.45,335200.0,3.45,3.45,3.4,3.45,26000.0,4.2
2002-11-28,3.9,4.0,3.85,3.9,23400.0,3.9,4.0,3.9,3.9,64200.0,3.75,4.0,3.75,3.9,77700.0,3.45,3.73,3.45,3.72,89200.0,3.45,3.45,3.4,3.45,335200.0,4.1
2002-11-29,4.0,4.11,4.0,4.1,288600.0,3.9,4.0,3.85,3.9,23400.0,3.9,4.0,3.9,3.9,64200.0,3.75,4.0,3.75,3.9,77700.0,3.45,3.73,3.45,3.72,89200.0,4.15
2002-12-02,4.25,4.25,4.2,4.25,20000.0,4.0,4.11,4.0,4.1,288600.0,3.9,4.0,3.85,3.9,23400.0,3.9,4.0,3.9,3.9,64200.0,3.75,4.0,3.75,3.9,77700.0,4.2
2002-12-03,4.2,4.25,4.0,4.15,287300.0,4.25,4.25,4.2,4.25,20000.0,4.0,4.11,4.0,4.1,288600.0,3.9,4.0,3.85,3.9,23400.0,3.9,4.0,3.9,3.9,64200.0,4.5
2002-12-04,4.01,4.05,4.0,4.0,329400.0,4.2,4.25,4.0,4.15,287300.0,4.25,4.25,4.2,4.25,20000.0,4.0,4.11,4.0,4.1,288600.0,3.9,4.0,3.85,3.9,23400.0,4.55
2002-12-05,4.05,4.2,4.0,4.2,122900.0,4.01,4.05,4.0,4.0,329400.0,4.2,4.25,4.0,4.15,287300.0,4.25,4.25,4.2,4.25,20000.0,4.0,4.11,4.0,4.1,288600.0,4.49
2002-12-06,4.2,4.2,4.1,4.1,79700.0,4.05,4.2,4.0,4.2,122900.0,4.01,4.05,4.0,4.0,329400.0,4.2,4.25,4.0,4.15,287300.0,4.25,4.25,4.2,4.25,20000.0,4.5
2002-12-09,4.15,4.15,4.05,4.15,23500.0,4.2,4.2,4.1,4.1,79700.0,4.05,4.2,4.0,4.2,122900.0,4.01,4.05,4.0,4.0,329400.0,4.2,4.25,4.0,4.15,287300.0,4.45
2002-12-10,4.15,4.2,4.15,4.2,73400.0,4.15,4.15,4.05,4.15,23500.0,4.2,4.2,4.1,4.1,79700.0,4.05,4.2,4.0,4.2,122900.0,4.01,4.05,4.0,4.0,329400.0,4.45
2002-12-11,4.25,4.5,4.15,4.5,139500.0,4.15,4.2,4.15,4.2,73400.0,4.15,4.15,4.05,4.15,23500.0,4.2,4.2,4.1,4.1,79700.0,4.05,4.2,4.0,4.2,122900.0,4.8
2002-12-12,4.6,4.6,4.5,4.55,144500.0,4.25,4.5,4.15,4.5,139500.0,4.15,4.2,4.15,4.2,73400.0,4.15,4.15,4.05,4.15,23500.0,4.2,4.2,4.1,4.1,79700.0,4.85
2002-12-13,4.55,4.55,4.45,4.49,35700.0,4.6,4.6,4.5,4.55,144500.0,4.25,4.5,4.15,4.5,139500.0,4.15,4.2,4.15,4.2,73400.0,4.15,4.15,4.05,4.15,23500.0,4.9
2002-12-16,4.6,4.6,4.4,4.5,12300.0,4.55,4.55,4.45,4.49,35700.0,4.6,4.6,4.5,4.55,144500.0,4.25,4.5,4.15,4.5,139500.0,4.15,4.2,4.15,4.2,73400.0,4.8
2002-12-17,4.5,4.5,4.26,4.45,15000.0,4.6,4.6,4.4,4.5,12300.0,4.55,4.55,4.45,4.49,35700.0,4.6,4.6,4.5,4.55,144500.0,4.25,4.5,4.15,4.5,139500.0,0.0
2002-12-18,4.45,4.55,4.4,4.45,70400.0,4.5,4.5,4.26,4.45,15000.0,4.6,4.6,4.4,4.5,12300.0,4.55,4.55,4.45,4.49,35700.0,4.6,4.6,4.5,4.55,144500.0,0.0
2002-12-19,4.5,4.85,4.5,4.8,362900.0,4.45,4.55,4.4,4.45,70400.0,4.5,4.5,4.26,4.45,15000.0,4.6,4.6,4.4,4.5,12300.0,4.55,4.55,4.45,4.49,35700.0,4.85
2002-12-20,4.8,5.0,4.8,4.85,42300.0,4.5,4.85,4.5,4.8,362900.0,4.45,4.55,4.4,4.45,70400.0,4.5,4.5,4.26,4.45,15000.0,4.6,4.6,4.4,4.5,12300.0,4.9
2002-12-23,4.89,4.9,4.85,4.9,30700.0,4.8,5.0,4.8,4.85,42300.0,4.5,4.85,4.5,4.8,362900.0,4.45,4.55,4.4,4.45,70400.0,4.5,4.5,4.26,4.45,15000.0,4.95
2002-12-24,4.95,5.0,4.75,4.8,55300.0,4.89,4.9,4.85,4.9,30700.0,4.8,5.0,4.8,4.85,42300.0,4.5,4.85,4.5,4.8,362900.0,4.45,4.55,4.4,4.45,70400.0,0.0
2002-12-25,0.0,0.0,0.0,0.0,0.0,4.95,5.0,4.75,4.8,55300.0,4.89,4.9,4.85,4.9,30700.0,4.8,5.0,4.8,4.85,42300.0,4.5,4.85,4.5,4.8,362900.0,5.05
2002-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,5.0,4.75,4.8,55300.0,4.89,4.9,4.85,4.9,30700.0,4.8,5.0,4.8,4.85,42300.0,5.1
2002-12-27,4.8,4.85,4.8,4.85,14900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,5.0,4.75,4.8,55300.0,4.89,4.9,4.85,4.9,30700.0,5.2
