date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2009-08-18,21.5,21.7,21.45,21.69,180700.0,21.37,21.6,21.05,21.2,101200.0,21.25,21.5,21.25,21.39,106100.0,21.0,21.25,20.65,21.25,137400.0,20.2,20.6,20.2,20.6,334100.0,21.58
2009-08-19,21.64,21.67,21.45,21.54,77800.0,21.5,21.7,21.45,21.69,180700.0,21.37,21.6,21.05,21.2,101200.0,21.25,21.5,21.25,21.39,106100.0,21.0,21.25,20.65,21.25,137400.0,21.54
2009-08-20,21.55,21.64,21.44,21.5,99100.0,21.64,21.67,21.45,21.54,77800.0,21.5,21.7,21.45,21.69,180700.0,21.37,21.6,21.05,21.2,101200.0,21.25,21.5,21.25,21.39,106100.0,21.8
2009-08-21,21.55,21.65,21.4,21.44,143600.0,21.55,21.64,21.44,21.5,99100.0,21.64,21.67,21.45,21.54,77800.0,21.5,21.7,21.45,21.69,180700.0,21.37,21.6,21.05,21.2,101200.0,21.64
2009-08-24,21.5,21.55,21.05,21.15,127400.0,21.55,21.65,21.4,21.44,143600.0,21.55,21.64,21.44,21.5,99100.0,21.64,21.67,21.45,21.54,77800.0,21.5,21.7,21.45,21.69,180700.0,21.3
2009-08-25,21.45,21.5,21.26,21.35,59100.0,21.5,21.55,21.05,21.15,127400.0,21.55,21.65,21.4,21.44,143600.0,21.55,21.64,21.44,21.5,99100.0,21.64,21.67,21.45,21.54,77800.0,21.09
2009-08-26,21.5,22.0,21.35,21.58,107700.0,21.45,21.5,21.26,21.35,59100.0,21.5,21.55,21.05,21.15,127400.0,21.55,21.65,21.4,21.44,143600.0,21.55,21.64,21.44,21.5,99100.0,21.2
2009-08-27,21.62,21.64,21.35,21.54,140400.0,21.5,22.0,21.35,21.58,107700.0,21.45,21.5,21.26,21.35,59100.0,21.5,21.55,21.05,21.15,127400.0,21.55,21.65,21.4,21.44,143600.0,21.13
2009-08-28,21.7,21.94,21.63,21.8,45800.0,21.62,21.64,21.35,21.54,140400.0,21.5,22.0,21.35,21.58,107700.0,21.45,21.5,21.26,21.35,59100.0,21.5,21.55,21.05,21.15,127400.0,21.0
2009-08-31,21.8,21.8,21.64,21.64,43100.0,21.7,21.94,21.63,21.8,45800.0,21.62,21.64,21.35,21.54,140400.0,21.5,22.0,21.35,21.58,107700.0,21.45,21.5,21.26,21.35,59100.0,20.98
2009-09-01,21.75,21.75,21.3,21.3,44400.0,21.8,21.8,21.64,21.64,43100.0,21.7,21.94,21.63,21.8,45800.0,21.62,21.64,21.35,21.54,140400.0,21.5,22.0,21.35,21.58,107700.0,21.0
2009-09-02,21.31,21.49,21.08,21.09,24000.0,21.75,21.75,21.3,21.3,44400.0,21.8,21.8,21.64,21.64,43100.0,21.7,21.94,21.63,21.8,45800.0,21.62,21.64,21.35,21.54,140400.0,20.57
2009-09-03,21.49,21.49,21.11,21.2,37500.0,21.31,21.49,21.08,21.09,24000.0,21.75,21.75,21.3,21.3,44400.0,21.8,21.8,21.64,21.64,43100.0,21.7,21.94,21.63,21.8,45800.0,20.6
2009-09-04,21.35,21.49,20.98,21.13,231600.0,21.49,21.49,21.11,21.2,37500.0,21.31,21.49,21.08,21.09,24000.0,21.75,21.75,21.3,21.3,44400.0,21.8,21.8,21.64,21.64,43100.0,20.76
2009-09-08,21.3,21.35,21.0,21.0,59500.0,21.35,21.49,20.98,21.13,231600.0,21.49,21.49,21.11,21.2,37500.0,21.31,21.49,21.08,21.09,24000.0,21.75,21.75,21.3,21.3,44400.0,20.6
2009-09-09,21.1,21.15,20.98,20.98,89800.0,21.3,21.35,21.0,21.0,59500.0,21.35,21.49,20.98,21.13,231600.0,21.49,21.49,21.11,21.2,37500.0,21.31,21.49,21.08,21.09,24000.0,20.29
2009-09-10,21.1,21.12,20.79,21.0,217900.0,21.1,21.15,20.98,20.98,89800.0,21.3,21.35,21.0,21.0,59500.0,21.35,21.49,20.98,21.13,231600.0,21.49,21.49,21.11,21.2,37500.0,20.3
2009-09-11,20.86,21.0,20.57,20.57,127900.0,21.1,21.12,20.79,21.0,217900.0,21.1,21.15,20.98,20.98,89800.0,21.3,21.35,21.0,21.0,59500.0,21.35,21.49,20.98,21.13,231600.0,20.1
2009-09-14,20.68,20.88,20.4,20.6,230100.0,20.86,21.0,20.57,20.57,127900.0,21.1,21.12,20.79,21.0,217900.0,21.1,21.15,20.98,20.98,89800.0,21.3,21.35,21.0,21.0,59500.0,20.15
2009-09-15,20.75,20.87,20.65,20.76,86400.0,20.68,20.88,20.4,20.6,230100.0,20.86,21.0,20.57,20.57,127900.0,21.1,21.12,20.79,21.0,217900.0,21.1,21.15,20.98,20.98,89800.0,20.1
2009-09-16,20.75,20.8,20.5,20.6,63500.0,20.75,20.87,20.65,20.76,86400.0,20.68,20.88,20.4,20.6,230100.0,20.86,21.0,20.57,20.57,127900.0,21.1,21.12,20.79,21.0,217900.0,20.1
2009-09-17,20.6,20.6,20.08,20.29,104500.0,20.75,20.8,20.5,20.6,63500.0,20.75,20.87,20.65,20.76,86400.0,20.68,20.88,20.4,20.6,230100.0,20.86,21.0,20.57,20.57,127900.0,19.99
2009-09-18,20.3,20.3,19.7,20.3,548900.0,20.6,20.6,20.08,20.29,104500.0,20.75,20.8,20.5,20.6,63500.0,20.75,20.87,20.65,20.76,86400.0,20.68,20.88,20.4,20.6,230100.0,19.75
2009-09-21,20.15,20.18,19.85,20.1,455200.0,20.3,20.3,19.7,20.3,548900.0,20.6,20.6,20.08,20.29,104500.0,20.75,20.8,20.5,20.6,63500.0,20.75,20.87,20.65,20.76,86400.0,19.85
2009-09-22,20.2,20.39,20.0,20.15,395100.0,20.15,20.18,19.85,20.1,455200.0,20.3,20.3,19.7,20.3,548900.0,20.6,20.6,20.08,20.29,104500.0,20.75,20.8,20.5,20.6,63500.0,19.75
2009-09-23,20.3,20.35,20.1,20.1,163300.0,20.2,20.39,20.0,20.15,395100.0,20.15,20.18,19.85,20.1,455200.0,20.3,20.3,19.7,20.3,548900.0,20.6,20.6,20.08,20.29,104500.0,19.72
2009-09-24,20.24,20.24,19.92,20.1,64700.0,20.3,20.35,20.1,20.1,163300.0,20.2,20.39,20.0,20.15,395100.0,20.15,20.18,19.85,20.1,455200.0,20.3,20.3,19.7,20.3,548900.0,19.73
2009-09-25,20.1,20.28,19.85,19.99,151300.0,20.24,20.24,19.92,20.1,64700.0,20.3,20.35,20.1,20.1,163300.0,20.2,20.39,20.0,20.15,395100.0,20.15,20.18,19.85,20.1,455200.0,20.08
2009-09-28,19.98,19.98,19.65,19.75,80700.0,20.1,20.28,19.85,19.99,151300.0,20.24,20.24,19.92,20.1,64700.0,20.3,20.35,20.1,20.1,163300.0,20.2,20.39,20.0,20.15,395100.0,20.26
2009-09-29,19.75,19.94,19.7,19.85,1475700.0,19.98,19.98,19.65,19.75,80700.0,20.1,20.28,19.85,19.99,151300.0,20.24,20.24,19.92,20.1,64700.0,20.3,20.35,20.1,20.1,163300.0,20.5
2009-09-30,19.86,19.88,19.67,19.75,110400.0,19.75,19.94,19.7,19.85,1475700.0,19.98,19.98,19.65,19.75,80700.0,20.1,20.28,19.85,19.99,151300.0,20.24,20.24,19.92,20.1,64700.0,20.89
2009-10-01,19.89,19.9,19.65,19.72,123300.0,19.86,19.88,19.67,19.75,110400.0,19.75,19.94,19.7,19.85,1475700.0,19.98,19.98,19.65,19.75,80700.0,20.1,20.28,19.85,19.99,151300.0,20.85
2009-10-02,19.69,19.77,19.64,19.73,428800.0,19.89,19.9,19.65,19.72,123300.0,19.86,19.88,19.67,19.75,110400.0,19.75,19.94,19.7,19.85,1475700.0,19.98,19.98,19.65,19.75,80700.0,20.6
2009-10-05,19.73,20.09,19.7,20.08,36700.0,19.69,19.77,19.64,19.73,428800.0,19.89,19.9,19.65,19.72,123300.0,19.86,19.88,19.67,19.75,110400.0,19.75,19.94,19.7,19.85,1475700.0,20.5
2009-10-06,20.05,20.26,19.95,20.26,280300.0,19.73,20.09,19.7,20.08,36700.0,19.69,19.77,19.64,19.73,428800.0,19.89,19.9,19.65,19.72,123300.0,19.86,19.88,19.67,19.75,110400.0,20.26
2009-10-07,20.3,20.5,20.3,20.5,43000.0,20.05,20.26,19.95,20.26,280300.0,19.73,20.09,19.7,20.08,36700.0,19.69,19.77,19.64,19.73,428800.0,19.89,19.9,19.65,19.72,123300.0,20.25
2009-10-08,20.68,21.19,20.55,20.89,63900.0,20.3,20.5,20.3,20.5,43000.0,20.05,20.26,19.95,20.26,280300.0,19.73,20.09,19.7,20.08,36700.0,19.69,19.77,19.64,19.73,428800.0,20.2
2009-10-09,20.89,20.95,20.65,20.85,20600.0,20.68,21.19,20.55,20.89,63900.0,20.3,20.5,20.3,20.5,43000.0,20.05,20.26,19.95,20.26,280300.0,19.73,20.09,19.7,20.08,36700.0,20.4
2009-10-13,20.85,20.85,20.5,20.6,35600.0,20.89,20.95,20.65,20.85,20600.0,20.68,21.19,20.55,20.89,63900.0,20.3,20.5,20.3,20.5,43000.0,20.05,20.26,19.95,20.26,280300.0,20.06
2009-10-14,20.65,20.7,20.46,20.5,43000.0,20.85,20.85,20.5,20.6,35600.0,20.89,20.95,20.65,20.85,20600.0,20.68,21.19,20.55,20.89,63900.0,20.3,20.5,20.3,20.5,43000.0,20.04
2009-10-15,20.46,20.47,20.2,20.26,46100.0,20.65,20.7,20.46,20.5,43000.0,20.85,20.85,20.5,20.6,35600.0,20.89,20.95,20.65,20.85,20600.0,20.68,21.19,20.55,20.89,63900.0,20.25
2009-10-16,20.25,20.34,20.1,20.25,42000.0,20.46,20.47,20.2,20.26,46100.0,20.65,20.7,20.46,20.5,43000.0,20.85,20.85,20.5,20.6,35600.0,20.89,20.95,20.65,20.85,20600.0,20.2
2009-10-19,20.34,20.34,20.11,20.2,59700.0,20.25,20.34,20.1,20.25,42000.0,20.46,20.47,20.2,20.26,46100.0,20.65,20.7,20.46,20.5,43000.0,20.85,20.85,20.5,20.6,35600.0,20.0
2009-10-20,20.25,20.4,20.1,20.4,209000.0,20.34,20.34,20.11,20.2,59700.0,20.25,20.34,20.1,20.25,42000.0,20.46,20.47,20.2,20.26,46100.0,20.65,20.7,20.46,20.5,43000.0,19.89
2009-10-21,20.35,20.45,20.06,20.06,154900.0,20.25,20.4,20.1,20.4,209000.0,20.34,20.34,20.11,20.2,59700.0,20.25,20.34,20.1,20.25,42000.0,20.46,20.47,20.2,20.26,46100.0,19.66
2009-10-22,20.26,20.3,19.97,20.04,88400.0,20.35,20.45,20.06,20.06,154900.0,20.25,20.4,20.1,20.4,209000.0,20.34,20.34,20.11,20.2,59700.0,20.25,20.34,20.1,20.25,42000.0,19.37
2009-10-23,19.97,20.3,19.75,20.25,34800.0,20.26,20.3,19.97,20.04,88400.0,20.35,20.45,20.06,20.06,154900.0,20.25,20.4,20.1,20.4,209000.0,20.34,20.34,20.11,20.2,59700.0,19.22
2009-10-26,20.33,20.33,20.05,20.2,33100.0,19.97,20.3,19.75,20.25,34800.0,20.26,20.3,19.97,20.04,88400.0,20.35,20.45,20.06,20.06,154900.0,20.25,20.4,20.1,20.4,209000.0,19.25
2009-10-27,20.21,20.24,20.0,20.0,42100.0,20.33,20.33,20.05,20.2,33100.0,19.97,20.3,19.75,20.25,34800.0,20.26,20.3,19.97,20.04,88400.0,20.35,20.45,20.06,20.06,154900.0,19.08
2009-10-28,20.1,20.1,19.8,19.89,30500.0,20.21,20.24,20.0,20.0,42100.0,20.33,20.33,20.05,20.2,33100.0,19.97,20.3,19.75,20.25,34800.0,20.26,20.3,19.97,20.04,88400.0,19.1
2009-10-29,19.98,20.0,19.62,19.66,44800.0,20.1,20.1,19.8,19.89,30500.0,20.21,20.24,20.0,20.0,42100.0,20.33,20.33,20.05,20.2,33100.0,19.97,20.3,19.75,20.25,34800.0,19.1
2009-10-30,19.81,19.82,19.37,19.37,87400.0,19.98,20.0,19.62,19.66,44800.0,20.1,20.1,19.8,19.89,30500.0,20.21,20.24,20.0,20.0,42100.0,20.33,20.33,20.05,20.2,33100.0,19.3
2009-11-02,19.68,19.68,19.1,19.22,102800.0,19.81,19.82,19.37,19.37,87400.0,19.98,20.0,19.62,19.66,44800.0,20.1,20.1,19.8,19.89,30500.0,20.21,20.24,20.0,20.0,42100.0,19.3
2009-11-03,19.2,19.25,19.15,19.25,65200.0,19.68,19.68,19.1,19.22,102800.0,19.81,19.82,19.37,19.37,87400.0,19.98,20.0,19.62,19.66,44800.0,20.1,20.1,19.8,19.89,30500.0,19.49
2009-11-04,19.25,19.25,19.06,19.08,126200.0,19.2,19.25,19.15,19.25,65200.0,19.68,19.68,19.1,19.22,102800.0,19.81,19.82,19.37,19.37,87400.0,19.98,20.0,19.62,19.66,44800.0,19.35
2009-11-05,19.09,19.1,19.01,19.1,196300.0,19.25,19.25,19.06,19.08,126200.0,19.2,19.25,19.15,19.25,65200.0,19.68,19.68,19.1,19.22,102800.0,19.81,19.82,19.37,19.37,87400.0,19.4
2009-11-06,19.1,19.1,19.01,19.1,30200.0,19.09,19.1,19.01,19.1,196300.0,19.25,19.25,19.06,19.08,126200.0,19.2,19.25,19.15,19.25,65200.0,19.68,19.68,19.1,19.22,102800.0,19.5
2009-11-09,19.1,19.31,18.95,19.3,1164700.0,19.1,19.1,19.01,19.1,30200.0,19.09,19.1,19.01,19.1,196300.0,19.25,19.25,19.06,19.08,126200.0,19.2,19.25,19.15,19.25,65200.0,19.58
2009-11-10,19.3,19.48,19.16,19.3,100100.0,19.1,19.31,18.95,19.3,1164700.0,19.1,19.1,19.01,19.1,30200.0,19.09,19.1,19.01,19.1,196300.0,19.25,19.25,19.06,19.08,126200.0,19.7
2009-11-11,19.47,19.55,19.37,19.49,188400.0,19.3,19.48,19.16,19.3,100100.0,19.1,19.31,18.95,19.3,1164700.0,19.1,19.1,19.01,19.1,30200.0,19.09,19.1,19.01,19.1,196300.0,19.8
2009-11-12,19.48,19.9,19.31,19.35,158400.0,19.47,19.55,19.37,19.49,188400.0,19.3,19.48,19.16,19.3,100100.0,19.1,19.31,18.95,19.3,1164700.0,19.1,19.1,19.01,19.1,30200.0,19.9
2009-11-13,19.4,19.55,19.36,19.4,82700.0,19.48,19.9,19.31,19.35,158400.0,19.47,19.55,19.37,19.49,188400.0,19.3,19.48,19.16,19.3,100100.0,19.1,19.31,18.95,19.3,1164700.0,19.81
2009-11-16,19.5,19.58,19.42,19.5,89000.0,19.4,19.55,19.36,19.4,82700.0,19.48,19.9,19.31,19.35,158400.0,19.47,19.55,19.37,19.49,188400.0,19.3,19.48,19.16,19.3,100100.0,20.02
2009-11-17,19.5,19.69,19.42,19.58,162500.0,19.5,19.58,19.42,19.5,89000.0,19.4,19.55,19.36,19.4,82700.0,19.48,19.9,19.31,19.35,158400.0,19.47,19.55,19.37,19.49,188400.0,19.9
2009-11-18,19.5,19.72,19.5,19.7,111700.0,19.5,19.69,19.42,19.58,162500.0,19.5,19.58,19.42,19.5,89000.0,19.4,19.55,19.36,19.4,82700.0,19.48,19.9,19.31,19.35,158400.0,19.95
2009-11-19,19.65,19.85,19.65,19.8,120800.0,19.5,19.72,19.5,19.7,111700.0,19.5,19.69,19.42,19.58,162500.0,19.5,19.58,19.42,19.5,89000.0,19.4,19.55,19.36,19.4,82700.0,20.01
2009-11-20,19.8,19.99,19.72,19.9,86100.0,19.65,19.85,19.65,19.8,120800.0,19.5,19.72,19.5,19.7,111700.0,19.5,19.69,19.42,19.58,162500.0,19.5,19.58,19.42,19.5,89000.0,20.69
2009-11-23,20.0,20.0,19.81,19.81,48200.0,19.8,19.99,19.72,19.9,86100.0,19.65,19.85,19.65,19.8,120800.0,19.5,19.72,19.5,19.7,111700.0,19.5,19.69,19.42,19.58,162500.0,20.57
2009-11-24,19.95,20.05,19.82,20.02,53300.0,20.0,20.0,19.81,19.81,48200.0,19.8,19.99,19.72,19.9,86100.0,19.65,19.85,19.65,19.8,120800.0,19.5,19.72,19.5,19.7,111700.0,20.58
2009-11-25,19.91,20.15,19.8,19.9,179100.0,19.95,20.05,19.82,20.02,53300.0,20.0,20.0,19.81,19.81,48200.0,19.8,19.99,19.72,19.9,86100.0,19.65,19.85,19.65,19.8,120800.0,20.56
2009-11-26,20.0,20.0,19.8,19.95,49300.0,19.91,20.15,19.8,19.9,179100.0,19.95,20.05,19.82,20.02,53300.0,20.0,20.0,19.81,19.81,48200.0,19.8,19.99,19.72,19.9,86100.0,20.58
2009-11-27,19.75,20.15,19.75,20.01,50400.0,20.0,20.0,19.8,19.95,49300.0,19.91,20.15,19.8,19.9,179100.0,19.95,20.05,19.82,20.02,53300.0,20.0,20.0,19.81,19.81,48200.0,20.6
2009-11-30,20.12,20.69,19.86,20.69,171600.0,19.75,20.15,19.75,20.01,50400.0,20.0,20.0,19.8,19.95,49300.0,19.91,20.15,19.8,19.9,179100.0,19.95,20.05,19.82,20.02,53300.0,20.55
2009-12-01,20.74,20.84,20.41,20.57,81100.0,20.12,20.69,19.86,20.69,171600.0,19.75,20.15,19.75,20.01,50400.0,20.0,20.0,19.8,19.95,49300.0,19.91,20.15,19.8,19.9,179100.0,20.6
2009-12-02,20.6,20.79,20.5,20.58,75300.0,20.74,20.84,20.41,20.57,81100.0,20.12,20.69,19.86,20.69,171600.0,19.75,20.15,19.75,20.01,50400.0,20.0,20.0,19.8,19.95,49300.0,20.75
2009-12-03,20.64,20.65,20.5,20.56,41700.0,20.6,20.79,20.5,20.58,75300.0,20.74,20.84,20.41,20.57,81100.0,20.12,20.69,19.86,20.69,171600.0,19.75,20.15,19.75,20.01,50400.0,20.87
2009-12-04,20.6,20.67,20.4,20.58,85500.0,20.64,20.65,20.5,20.56,41700.0,20.6,20.79,20.5,20.58,75300.0,20.74,20.84,20.41,20.57,81100.0,20.12,20.69,19.86,20.69,171600.0,21.01
2009-12-07,20.61,20.75,20.55,20.6,76600.0,20.6,20.67,20.4,20.58,85500.0,20.64,20.65,20.5,20.56,41700.0,20.6,20.79,20.5,20.58,75300.0,20.74,20.84,20.41,20.57,81100.0,21.38
2009-12-08,20.62,20.64,20.45,20.55,72000.0,20.61,20.75,20.55,20.6,76600.0,20.6,20.67,20.4,20.58,85500.0,20.64,20.65,20.5,20.56,41700.0,20.6,20.79,20.5,20.58,75300.0,21.73
2009-12-09,20.6,20.6,20.34,20.6,45900.0,20.62,20.64,20.45,20.55,72000.0,20.61,20.75,20.55,20.6,76600.0,20.6,20.67,20.4,20.58,85500.0,20.64,20.65,20.5,20.56,41700.0,21.48
2009-12-10,20.45,20.79,20.45,20.75,64100.0,20.6,20.6,20.34,20.6,45900.0,20.62,20.64,20.45,20.55,72000.0,20.61,20.75,20.55,20.6,76600.0,20.6,20.67,20.4,20.58,85500.0,21.45
2009-12-11,20.85,21.15,20.82,20.87,42300.0,20.45,20.79,20.45,20.75,64100.0,20.6,20.6,20.34,20.6,45900.0,20.62,20.64,20.45,20.55,72000.0,20.61,20.75,20.55,20.6,76600.0,21.37
2009-12-14,20.9,21.15,20.82,21.01,50700.0,20.85,21.15,20.82,20.87,42300.0,20.45,20.79,20.45,20.75,64100.0,20.6,20.6,20.34,20.6,45900.0,20.62,20.64,20.45,20.55,72000.0,21.31
2009-12-15,21.11,21.67,21.0,21.38,97200.0,20.9,21.15,20.82,21.01,50700.0,20.85,21.15,20.82,20.87,42300.0,20.45,20.79,20.45,20.75,64100.0,20.6,20.6,20.34,20.6,45900.0,21.39
2009-12-16,21.4,21.73,21.4,21.73,78100.0,21.11,21.67,21.0,21.38,97200.0,20.9,21.15,20.82,21.01,50700.0,20.85,21.15,20.82,20.87,42300.0,20.45,20.79,20.45,20.75,64100.0,21.34
2009-12-17,21.55,21.62,21.42,21.48,60300.0,21.4,21.73,21.4,21.73,78100.0,21.11,21.67,21.0,21.38,97200.0,20.9,21.15,20.82,21.01,50700.0,20.85,21.15,20.82,20.87,42300.0,21.55
2009-12-18,21.6,21.68,21.36,21.45,61900.0,21.55,21.62,21.42,21.48,60300.0,21.4,21.73,21.4,21.73,78100.0,21.11,21.67,21.0,21.38,97200.0,20.9,21.15,20.82,21.01,50700.0,21.71
2009-12-21,21.48,21.5,21.15,21.37,58900.0,21.6,21.68,21.36,21.45,61900.0,21.55,21.62,21.42,21.48,60300.0,21.4,21.73,21.4,21.73,78100.0,21.11,21.67,21.0,21.38,97200.0,21.37
2009-12-22,21.4,21.5,21.21,21.31,63500.0,21.48,21.5,21.15,21.37,58900.0,21.6,21.68,21.36,21.45,61900.0,21.55,21.62,21.42,21.48,60300.0,21.4,21.73,21.4,21.73,78100.0,21.39
2009-12-23,21.4,21.41,21.25,21.39,17800.0,21.4,21.5,21.21,21.31,63500.0,21.48,21.5,21.15,21.37,58900.0,21.6,21.68,21.36,21.45,61900.0,21.55,21.62,21.42,21.48,60300.0,21.63
2009-12-24,21.4,21.4,21.2,21.34,18400.0,21.4,21.41,21.25,21.39,17800.0,21.4,21.5,21.21,21.31,63500.0,21.48,21.5,21.15,21.37,58900.0,21.6,21.68,21.36,21.45,61900.0,21.5
2009-12-29,21.4,21.67,21.34,21.55,32900.0,21.4,21.4,21.2,21.34,18400.0,21.4,21.41,21.25,21.39,17800.0,21.4,21.5,21.21,21.31,63500.0,21.48,21.5,21.15,21.37,58900.0,21.43
2009-12-30,21.42,21.78,21.42,21.71,24300.0,21.4,21.67,21.34,21.55,32900.0,21.4,21.4,21.2,21.34,18400.0,21.4,21.41,21.25,21.39,17800.0,21.4,21.5,21.21,21.31,63500.0,21.76
2009-12-31,21.7,21.7,21.37,21.37,86700.0,21.42,21.78,21.42,21.71,24300.0,21.4,21.67,21.34,21.55,32900.0,21.4,21.4,21.2,21.34,18400.0,21.4,21.41,21.25,21.39,17800.0,21.72
2010-01-04,21.4,21.65,21.3,21.39,47100.0,21.7,21.7,21.37,21.37,86700.0,21.42,21.78,21.42,21.71,24300.0,21.4,21.67,21.34,21.55,32900.0,21.4,21.4,21.2,21.34,18400.0,21.62
2010-01-05,21.48,21.75,21.41,21.63,56700.0,21.4,21.65,21.3,21.39,47100.0,21.7,21.7,21.37,21.37,86700.0,21.42,21.78,21.42,21.71,24300.0,21.4,21.67,21.34,21.55,32900.0,21.44
2010-01-06,21.54,21.65,21.44,21.5,38100.0,21.48,21.75,21.41,21.63,56700.0,21.4,21.65,21.3,21.39,47100.0,21.7,21.7,21.37,21.37,86700.0,21.42,21.78,21.42,21.71,24300.0,21.45
