date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2006-03-31,11.45,11.45,11.18,11.34,221100.0,11.5,11.58,11.11,11.45,148700.0,11.15,11.5,11.0,11.5,221000.0,10.7,11.15,10.7,11.05,455400.0,10.62,10.68,10.52,10.65,385800.0,11.22
2006-04-03,11.39,11.5,11.3,11.37,119700.0,11.45,11.45,11.18,11.34,221100.0,11.5,11.58,11.11,11.45,148700.0,11.15,11.5,11.0,11.5,221000.0,10.7,11.15,10.7,11.05,455400.0,11.34
2006-04-04,11.4,11.4,11.23,11.23,77400.0,11.39,11.5,11.3,11.37,119700.0,11.45,11.45,11.18,11.34,221100.0,11.5,11.58,11.11,11.45,148700.0,11.15,11.5,11.0,11.5,221000.0,11.22
2006-04-05,11.38,11.48,11.38,11.45,106400.0,11.4,11.4,11.23,11.23,77400.0,11.39,11.5,11.3,11.37,119700.0,11.45,11.45,11.18,11.34,221100.0,11.5,11.58,11.11,11.45,148700.0,11.17
2006-04-06,11.45,11.48,11.3,11.3,52800.0,11.38,11.48,11.38,11.45,106400.0,11.4,11.4,11.23,11.23,77400.0,11.39,11.5,11.3,11.37,119700.0,11.45,11.45,11.18,11.34,221100.0,11.15
2006-04-07,11.33,11.38,11.22,11.33,53800.0,11.45,11.48,11.3,11.3,52800.0,11.38,11.48,11.38,11.45,106400.0,11.4,11.4,11.23,11.23,77400.0,11.39,11.5,11.3,11.37,119700.0,11.09
2006-04-10,11.35,11.4,11.22,11.22,46600.0,11.33,11.38,11.22,11.33,53800.0,11.45,11.48,11.3,11.3,52800.0,11.38,11.48,11.38,11.45,106400.0,11.4,11.4,11.23,11.23,77400.0,11.1
2006-04-11,11.22,11.34,11.03,11.34,72100.0,11.35,11.4,11.22,11.22,46600.0,11.33,11.38,11.22,11.33,53800.0,11.45,11.48,11.3,11.3,52800.0,11.38,11.48,11.38,11.45,106400.0,11.0
2006-04-12,11.34,11.35,11.21,11.22,122000.0,11.22,11.34,11.03,11.34,72100.0,11.35,11.4,11.22,11.22,46600.0,11.33,11.38,11.22,11.33,53800.0,11.45,11.48,11.3,11.3,52800.0,11.1
2006-04-13,11.2,11.2,11.04,11.17,56400.0,11.34,11.35,11.21,11.22,122000.0,11.22,11.34,11.03,11.34,72100.0,11.35,11.4,11.22,11.22,46600.0,11.33,11.38,11.22,11.33,53800.0,10.93
