date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2003-11-24,11.4563,11.4563,11.4078,11.4466,173967.0,11.4369,11.4563,11.4078,11.4466,187769.0,11.3495,11.4369,11.3301,11.4078,216712.0,11.3107,11.3495,11.2233,11.3301,395829.0,11.3592,11.3981,11.2136,11.2136,472461.0,11.4078
2003-11-25,11.4466,11.4563,11.3301,11.4078,561041.0,11.4563,11.4563,11.4078,11.4466,173967.0,11.4369,11.4563,11.4078,11.4466,187769.0,11.3495,11.4369,11.3301,11.4078,216712.0,11.3107,11.3495,11.2233,11.3301,395829.0,11.4078
2003-11-26,11.4272,11.5049,11.3689,11.4078,530862.0,11.4466,11.4563,11.3301,11.4078,561041.0,11.4563,11.4563,11.4078,11.4466,173967.0,11.4369,11.4563,11.4078,11.4466,187769.0,11.3495,11.4369,11.3301,11.4078,216712.0,11.3883
2003-11-27,11.4078,11.534,11.4078,11.534,134003.0,11.4272,11.5049,11.3689,11.4078,530862.0,11.4466,11.4563,11.3301,11.4078,561041.0,11.4563,11.4563,11.4078,11.4466,173967.0,11.4369,11.4563,11.4078,11.4466,187769.0,11.3592
2003-11-28,11.5534,11.6505,11.5534,11.5922,109077.0,11.4078,11.534,11.4078,11.534,134003.0,11.4272,11.5049,11.3689,11.4078,530862.0,11.4466,11.4563,11.3301,11.4078,561041.0,11.4563,11.4563,11.4078,11.4466,173967.0,11.4369
2003-12-01,11.6117,11.6505,11.5049,11.5146,185297.0,11.5534,11.6505,11.5534,11.5922,109077.0,11.4078,11.534,11.4078,11.534,134003.0,11.4272,11.5049,11.3689,11.4078,530862.0,11.4466,11.4563,11.3301,11.4078,561041.0,11.4369
2003-12-02,11.534,11.534,11.4078,11.4078,112785.0,11.6117,11.6505,11.5049,11.5146,185297.0,11.5534,11.6505,11.5534,11.5922,109077.0,11.4078,11.534,11.4078,11.534,134003.0,11.4272,11.5049,11.3689,11.4078,530862.0,11.4369
2003-12-03,11.4563,11.4563,11.3204,11.4078,276349.0,11.534,11.534,11.4078,11.4078,112785.0,11.6117,11.6505,11.5049,11.5146,185297.0,11.5534,11.6505,11.5534,11.5922,109077.0,11.4078,11.534,11.4078,11.534,134003.0,11.5534
2003-12-04,11.4078,11.4078,11.3592,11.3883,225570.0,11.4563,11.4563,11.3204,11.4078,276349.0,11.534,11.534,11.4078,11.4078,112785.0,11.6117,11.6505,11.5049,11.5146,185297.0,11.5534,11.6505,11.5534,11.5922,109077.0,11.7476
2003-12-05,11.4078,11.4078,11.3107,11.3592,121025.0,11.4078,11.4078,11.3592,11.3883,225570.0,11.4563,11.4563,11.3204,11.4078,276349.0,11.534,11.534,11.4078,11.4078,112785.0,11.6117,11.6505,11.5049,11.5146,185297.0,11.7476
2003-12-08,11.2816,11.4563,11.2816,11.4369,270890.0,11.4078,11.4078,11.3107,11.3592,121025.0,11.4078,11.4078,11.3592,11.3883,225570.0,11.4563,11.4563,11.3204,11.4078,276349.0,11.534,11.534,11.4078,11.4078,112785.0,11.7573
