date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,33.05,34.45,33.05,33.15,668224.0,34.3,35.4,34.3,34.5,225393.0,33.5,35.55,33.5,35.35,133305.0,35.0,35.65,34.5,34.5,81059.0,34.5,37.0,34.5,35.3,517296.0,28.25
2000-01-12,31.35,33.25,31.35,31.8,445020.0,33.05,34.45,33.05,33.15,668224.0,34.3,35.4,34.3,34.5,225393.0,33.5,35.55,33.5,35.35,133305.0,35.0,35.65,34.5,34.5,81059.0,27.0
2000-01-13,31.0,32.0,31.0,31.8,164656.0,31.35,33.25,31.35,31.8,445020.0,33.05,34.45,33.05,33.15,668224.0,34.3,35.4,34.3,34.5,225393.0,33.5,35.55,33.5,35.35,133305.0,26.1
2000-01-14,31.8,32.0,31.25,31.3,239201.0,31.0,32.0,31.0,31.8,164656.0,31.35,33.25,31.35,31.8,445020.0,33.05,34.45,33.05,33.15,668224.0,34.3,35.4,34.3,34.5,225393.0,26.2
2000-01-17,30.85,31.65,30.85,30.95,400293.0,31.8,32.0,31.25,31.3,239201.0,31.0,32.0,31.0,31.8,164656.0,31.35,33.25,31.35,31.8,445020.0,33.05,34.45,33.05,33.15,668224.0,25.8
2000-01-18,31.0,31.5,30.55,30.6,559016.0,30.85,31.65,30.85,30.95,400293.0,31.8,32.0,31.25,31.3,239201.0,31.0,32.0,31.0,31.8,164656.0,31.35,33.25,31.35,31.8,445020.0,26.4
2000-01-19,28.0,31.0,28.0,28.25,301417.0,31.0,31.5,30.55,30.6,559016.0,30.85,31.65,30.85,30.95,400293.0,31.8,32.0,31.25,31.3,239201.0,31.0,32.0,31.0,31.8,164656.0,28.0
2000-01-20,26.1,28.5,26.1,27.0,942939.0,28.0,31.0,28.0,28.25,301417.0,31.0,31.5,30.55,30.6,559016.0,30.85,31.65,30.85,30.95,400293.0,31.8,32.0,31.25,31.3,239201.0,28.3
2000-01-21,26.05,27.0,26.05,26.1,970388.0,26.1,28.5,26.1,27.0,942939.0,28.0,31.0,28.0,28.25,301417.0,31.0,31.5,30.55,30.6,559016.0,30.85,31.65,30.85,30.95,400293.0,27.5
2000-01-24,25.65,27.1,25.65,26.2,484321.0,26.05,27.0,26.05,26.1,970388.0,26.1,28.5,26.1,27.0,942939.0,28.0,31.0,28.0,28.25,301417.0,31.0,31.5,30.55,30.6,559016.0,27.25
2000-01-25,25.7,26.5,25.7,25.8,711847.0,25.65,27.1,25.65,26.2,484321.0,26.05,27.0,26.05,26.1,970388.0,26.1,28.5,26.1,27.0,942939.0,28.0,31.0,28.0,28.25,301417.0,26.75
2000-01-26,25.8,27.5,25.8,26.4,404022.0,25.7,26.5,25.7,25.8,711847.0,25.65,27.1,25.65,26.2,484321.0,26.05,27.0,26.05,26.1,970388.0,26.1,28.5,26.1,27.0,942939.0,26.5
2000-01-27,26.75,28.25,26.5,28.0,222428.0,25.8,27.5,25.8,26.4,404022.0,25.7,26.5,25.7,25.8,711847.0,25.65,27.1,25.65,26.2,484321.0,26.05,27.0,26.05,26.1,970388.0,22.9
2000-01-28,28.0,29.45,28.0,28.3,282792.0,26.75,28.25,26.5,28.0,222428.0,25.8,27.5,25.8,26.4,404022.0,25.7,26.5,25.7,25.8,711847.0,25.65,27.1,25.65,26.2,484321.0,21.8
2000-01-31,28.95,28.95,27.5,27.5,226950.0,28.0,29.45,28.0,28.3,282792.0,26.75,28.25,26.5,28.0,222428.0,25.8,27.5,25.8,26.4,404022.0,25.7,26.5,25.7,25.8,711847.0,21.2
2000-02-01,26.55,27.35,26.55,27.25,294378.0,28.95,28.95,27.5,27.5,226950.0,28.0,29.45,28.0,28.3,282792.0,26.75,28.25,26.5,28.0,222428.0,25.8,27.5,25.8,26.4,404022.0,19.9
2000-02-02,26.7,28.0,26.7,26.75,272710.0,26.55,27.35,26.55,27.25,294378.0,28.95,28.95,27.5,27.5,226950.0,28.0,29.45,28.0,28.3,282792.0,26.75,28.25,26.5,28.0,222428.0,18.55
2000-02-03,26.4,27.45,26.4,26.5,320850.0,26.7,28.0,26.7,26.75,272710.0,26.55,27.35,26.55,27.25,294378.0,28.95,28.95,27.5,27.5,226950.0,28.0,29.45,28.0,28.3,282792.0,20.5
2000-02-04,19.5,23.75,19.5,22.9,3184292.0,26.4,27.45,26.4,26.5,320850.0,26.7,28.0,26.7,26.75,272710.0,26.55,27.35,26.55,27.25,294378.0,28.95,28.95,27.5,27.5,226950.0,21.35
2000-02-07,24.6,24.6,21.8,21.8,991562.0,19.5,23.75,19.5,22.9,3184292.0,26.4,27.45,26.4,26.5,320850.0,26.7,28.0,26.7,26.75,272710.0,26.55,27.35,26.55,27.25,294378.0,20.9
2000-02-08,21.0,22.3,21.0,21.2,782389.0,24.6,24.6,21.8,21.8,991562.0,19.5,23.75,19.5,22.9,3184292.0,26.4,27.45,26.4,26.5,320850.0,26.7,28.0,26.7,26.75,272710.0,21.7
2000-02-09,19.75,21.25,19.75,19.9,1061766.0,21.0,22.3,21.0,21.2,782389.0,24.6,24.6,21.8,21.8,991562.0,19.5,23.75,19.5,22.9,3184292.0,26.4,27.45,26.4,26.5,320850.0,23.0
2000-02-10,18.4,19.9,18.4,18.55,1404079.0,19.75,21.25,19.75,19.9,1061766.0,21.0,22.3,21.0,21.2,782389.0,24.6,24.6,21.8,21.8,991562.0,19.5,23.75,19.5,22.9,3184292.0,22.9
2000-02-11,19.1,21.45,19.1,20.5,854646.0,18.4,19.9,18.4,18.55,1404079.0,19.75,21.25,19.75,19.9,1061766.0,21.0,22.3,21.0,21.2,782389.0,24.6,24.6,21.8,21.8,991562.0,22.95
2000-02-14,20.6,22.0,20.6,21.35,813341.0,19.1,21.45,19.1,20.5,854646.0,18.4,19.9,18.4,18.55,1404079.0,19.75,21.25,19.75,19.9,1061766.0,21.0,22.3,21.0,21.2,782389.0,22.3
2000-02-15,20.85,21.7,20.85,20.9,530555.0,20.6,22.0,20.6,21.35,813341.0,19.1,21.45,19.1,20.5,854646.0,18.4,19.9,18.4,18.55,1404079.0,19.75,21.25,19.75,19.9,1061766.0,22.0
2000-02-16,21.25,22.0,21.0,21.7,413197.0,20.85,21.7,20.85,20.9,530555.0,20.6,22.0,20.6,21.35,813341.0,19.1,21.45,19.1,20.5,854646.0,18.4,19.9,18.4,18.55,1404079.0,21.65
2000-02-17,22.0,23.0,21.85,23.0,746327.0,21.25,22.0,21.0,21.7,413197.0,20.85,21.7,20.85,20.9,530555.0,20.6,22.0,20.6,21.35,813341.0,19.1,21.45,19.1,20.5,854646.0,21.3
2000-02-18,22.55,23.7,22.55,22.9,587477.0,22.0,23.0,21.85,23.0,746327.0,21.25,22.0,21.0,21.7,413197.0,20.85,21.7,20.85,20.9,530555.0,20.6,22.0,20.6,21.35,813341.0,20.25
2000-02-21,23.0,23.0,22.7,22.95,176187.0,22.55,23.7,22.55,22.9,587477.0,22.0,23.0,21.85,23.0,746327.0,21.25,22.0,21.0,21.7,413197.0,20.85,21.7,20.85,20.9,530555.0,19.65
2000-02-22,23.1,23.1,22.3,22.3,389562.0,23.0,23.0,22.7,22.95,176187.0,22.55,23.7,22.55,22.9,587477.0,22.0,23.0,21.85,23.0,746327.0,21.25,22.0,21.0,21.7,413197.0,20.0
2000-02-23,21.9,22.6,21.9,22.0,153370.0,23.1,23.1,22.3,22.3,389562.0,23.0,23.0,22.7,22.95,176187.0,22.55,23.7,22.55,22.9,587477.0,22.0,23.0,21.85,23.0,746327.0,20.05
