date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,8.8,8.8,8.65,8.8,4100.0,8.8,8.85,8.6,8.85,5600.0,9.0,9.0,8.85,9.0,9500.0,9.1,9.1,8.85,9.05,9300.0,9.1,9.1,8.95,8.95,3400.0,8.65
2000-01-13,8.75,8.8,8.5,8.55,586200.0,8.8,8.8,8.65,8.8,4100.0,8.8,8.85,8.6,8.85,5600.0,9.0,9.0,8.85,9.0,9500.0,9.1,9.1,8.85,9.05,9300.0,8.65
2000-01-14,8.75,8.75,8.6,8.65,7500.0,8.75,8.8,8.5,8.55,586200.0,8.8,8.8,8.65,8.8,4100.0,8.8,8.85,8.6,8.85,5600.0,9.0,9.0,8.85,9.0,9500.0,8.5
2000-01-17,8.65,8.65,8.65,8.65,27000.0,8.75,8.75,8.6,8.65,7500.0,8.75,8.8,8.5,8.55,586200.0,8.8,8.8,8.65,8.8,4100.0,8.8,8.85,8.6,8.85,5600.0,8.65
2000-01-18,8.65,8.65,8.65,8.65,2700.0,8.65,8.65,8.65,8.65,27000.0,8.75,8.75,8.6,8.65,7500.0,8.75,8.8,8.5,8.55,586200.0,8.8,8.8,8.65,8.8,4100.0,8.65
2000-01-19,8.65,8.65,8.65,8.65,8600.0,8.65,8.65,8.65,8.65,2700.0,8.65,8.65,8.65,8.65,27000.0,8.75,8.75,8.6,8.65,7500.0,8.75,8.8,8.5,8.55,586200.0,9.0
2000-01-20,8.65,8.65,8.65,8.65,3600.0,8.65,8.65,8.65,8.65,8600.0,8.65,8.65,8.65,8.65,2700.0,8.65,8.65,8.65,8.65,27000.0,8.75,8.75,8.6,8.65,7500.0,8.95
2000-01-21,8.55,8.65,8.5,8.65,4500.0,8.65,8.65,8.65,8.65,3600.0,8.65,8.65,8.65,8.65,8600.0,8.65,8.65,8.65,8.65,2700.0,8.65,8.65,8.65,8.65,27000.0,8.8
2000-01-24,8.5,8.5,8.5,8.5,10300.0,8.55,8.65,8.5,8.65,4500.0,8.65,8.65,8.65,8.65,3600.0,8.65,8.65,8.65,8.65,8600.0,8.65,8.65,8.65,8.65,2700.0,9.05
2000-01-25,8.5,8.65,8.5,8.65,12000.0,8.5,8.5,8.5,8.5,10300.0,8.55,8.65,8.5,8.65,4500.0,8.65,8.65,8.65,8.65,3600.0,8.65,8.65,8.65,8.65,8600.0,8.9
2000-01-26,9.0,9.0,8.65,8.65,1800.0,8.5,8.65,8.5,8.65,12000.0,8.5,8.5,8.5,8.5,10300.0,8.55,8.65,8.5,8.65,4500.0,8.65,8.65,8.65,8.65,3600.0,8.85
2000-01-27,9.0,9.0,9.0,9.0,1000.0,9.0,9.0,8.65,8.65,1800.0,8.5,8.65,8.5,8.65,12000.0,8.5,8.5,8.5,8.5,10300.0,8.55,8.65,8.5,8.65,4500.0,8.85
2000-01-28,8.75,9.05,8.75,8.95,20100.0,9.0,9.0,9.0,9.0,1000.0,9.0,9.0,8.65,8.65,1800.0,8.5,8.65,8.5,8.65,12000.0,8.5,8.5,8.5,8.5,10300.0,8.7
2000-01-31,8.8,8.8,8.75,8.8,2900.0,8.75,9.05,8.75,8.95,20100.0,9.0,9.0,9.0,9.0,1000.0,9.0,9.0,8.65,8.65,1800.0,8.5,8.65,8.5,8.65,12000.0,8.65
2000-02-01,8.7,9.05,8.7,9.05,50700.0,8.8,8.8,8.75,8.8,2900.0,8.75,9.05,8.75,8.95,20100.0,9.0,9.0,9.0,9.0,1000.0,9.0,9.0,8.65,8.65,1800.0,8.6
2000-02-02,9.0,9.0,8.85,8.9,5600.0,8.7,9.05,8.7,9.05,50700.0,8.8,8.8,8.75,8.8,2900.0,8.75,9.05,8.75,8.95,20100.0,9.0,9.0,9.0,9.0,1000.0,8.45
2000-02-03,8.75,8.85,8.75,8.85,24500.0,9.0,9.0,8.85,8.9,5600.0,8.7,9.05,8.7,9.05,50700.0,8.8,8.8,8.75,8.8,2900.0,8.75,9.05,8.75,8.95,20100.0,8.8
2000-02-04,8.85,8.85,8.75,8.85,2600.0,8.75,8.85,8.75,8.85,24500.0,9.0,9.0,8.85,8.9,5600.0,8.7,9.05,8.7,9.05,50700.0,8.8,8.8,8.75,8.8,2900.0,8.85
2000-02-07,8.7,8.7,8.65,8.7,3900.0,8.85,8.85,8.75,8.85,2600.0,8.75,8.85,8.75,8.85,24500.0,9.0,9.0,8.85,8.9,5600.0,8.7,9.05,8.7,9.05,50700.0,8.9
2000-02-08,8.7,8.7,8.5,8.65,7200.0,8.7,8.7,8.65,8.7,3900.0,8.85,8.85,8.75,8.85,2600.0,8.75,8.85,8.75,8.85,24500.0,9.0,9.0,8.85,8.9,5600.0,8.7
2000-02-09,8.6,8.6,8.25,8.6,18400.0,8.7,8.7,8.5,8.65,7200.0,8.7,8.7,8.65,8.7,3900.0,8.85,8.85,8.75,8.85,2600.0,8.75,8.85,8.75,8.85,24500.0,8.65
2000-02-10,8.6,8.8,8.45,8.45,22800.0,8.6,8.6,8.25,8.6,18400.0,8.7,8.7,8.5,8.65,7200.0,8.7,8.7,8.65,8.7,3900.0,8.85,8.85,8.75,8.85,2600.0,8.65
2000-02-11,8.6,8.8,8.6,8.8,31100.0,8.6,8.8,8.45,8.45,22800.0,8.6,8.6,8.25,8.6,18400.0,8.7,8.7,8.5,8.65,7200.0,8.7,8.7,8.65,8.7,3900.0,8.65
2000-02-14,8.85,8.85,8.85,8.85,16200.0,8.6,8.8,8.6,8.8,31100.0,8.6,8.8,8.45,8.45,22800.0,8.6,8.6,8.25,8.6,18400.0,8.7,8.7,8.5,8.65,7200.0,8.5
2000-02-15,8.9,8.9,8.75,8.9,4500.0,8.85,8.85,8.85,8.85,16200.0,8.6,8.8,8.6,8.8,31100.0,8.6,8.8,8.45,8.45,22800.0,8.6,8.6,8.25,8.6,18400.0,8.5
2000-02-16,8.85,8.85,8.7,8.7,2000.0,8.9,8.9,8.75,8.9,4500.0,8.85,8.85,8.85,8.85,16200.0,8.6,8.8,8.6,8.8,31100.0,8.6,8.8,8.45,8.45,22800.0,8.45
2000-02-17,8.7,8.7,8.65,8.65,3200.0,8.85,8.85,8.7,8.7,2000.0,8.9,8.9,8.75,8.9,4500.0,8.85,8.85,8.85,8.85,16200.0,8.6,8.8,8.6,8.8,31100.0,8.4
2000-02-18,8.65,8.65,8.65,8.65,4000.0,8.7,8.7,8.65,8.65,3200.0,8.85,8.85,8.7,8.7,2000.0,8.9,8.9,8.75,8.9,4500.0,8.85,8.85,8.85,8.85,16200.0,8.8
2000-02-21,8.6,8.65,8.6,8.65,1700.0,8.65,8.65,8.65,8.65,4000.0,8.7,8.7,8.65,8.65,3200.0,8.85,8.85,8.7,8.7,2000.0,8.9,8.9,8.75,8.9,4500.0,8.8
2000-02-22,8.6,8.6,8.5,8.5,2500.0,8.6,8.65,8.6,8.65,1700.0,8.65,8.65,8.65,8.65,4000.0,8.7,8.7,8.65,8.65,3200.0,8.85,8.85,8.7,8.7,2000.0,8.8
2000-02-23,8.5,8.5,8.35,8.5,4500.0,8.6,8.6,8.5,8.5,2500.0,8.6,8.65,8.6,8.65,1700.0,8.65,8.65,8.65,8.65,4000.0,8.7,8.7,8.65,8.65,3200.0,8.75
2000-02-24,8.35,8.5,8.35,8.45,44100.0,8.5,8.5,8.35,8.5,4500.0,8.6,8.6,8.5,8.5,2500.0,8.6,8.65,8.6,8.65,1700.0,8.65,8.65,8.65,8.65,4000.0,8.7
2000-02-25,8.5,8.5,8.4,8.4,2500.0,8.35,8.5,8.35,8.45,44100.0,8.5,8.5,8.35,8.5,4500.0,8.6,8.6,8.5,8.5,2500.0,8.6,8.65,8.6,8.65,1700.0,8.7
2000-02-28,8.55,8.8,8.55,8.8,5800.0,8.5,8.5,8.4,8.4,2500.0,8.35,8.5,8.35,8.45,44100.0,8.5,8.5,8.35,8.5,4500.0,8.6,8.6,8.5,8.5,2500.0,8.75
2000-02-29,8.8,8.8,8.8,8.8,500.0,8.55,8.8,8.55,8.8,5800.0,8.5,8.5,8.4,8.4,2500.0,8.35,8.5,8.35,8.45,44100.0,8.5,8.5,8.35,8.5,4500.0,8.4
2000-03-01,8.8,8.8,8.7,8.8,3100.0,8.8,8.8,8.8,8.8,500.0,8.55,8.8,8.55,8.8,5800.0,8.5,8.5,8.4,8.4,2500.0,8.35,8.5,8.35,8.45,44100.0,8.7
2000-03-02,8.8,8.8,8.7,8.75,5500.0,8.8,8.8,8.7,8.8,3100.0,8.8,8.8,8.8,8.8,500.0,8.55,8.8,8.55,8.8,5800.0,8.5,8.5,8.4,8.4,2500.0,8.95
2000-03-03,8.7,8.7,8.4,8.7,6600.0,8.8,8.8,8.7,8.75,5500.0,8.8,8.8,8.7,8.8,3100.0,8.8,8.8,8.8,8.8,500.0,8.55,8.8,8.55,8.8,5800.0,9.0
2000-03-06,8.7,8.7,8.7,8.7,1000.0,8.7,8.7,8.4,8.7,6600.0,8.8,8.8,8.7,8.75,5500.0,8.8,8.8,8.7,8.8,3100.0,8.8,8.8,8.8,8.8,500.0,8.75
2000-03-07,8.5,8.75,8.5,8.75,3000.0,8.7,8.7,8.7,8.7,1000.0,8.7,8.7,8.4,8.7,6600.0,8.8,8.8,8.7,8.75,5500.0,8.8,8.8,8.7,8.8,3100.0,8.85
2000-03-08,8.75,8.75,8.4,8.4,7200.0,8.5,8.75,8.5,8.75,3000.0,8.7,8.7,8.7,8.7,1000.0,8.7,8.7,8.4,8.7,6600.0,8.8,8.8,8.7,8.75,5500.0,9.0
