date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2009-11-10,30.0,30.2,29.51,29.85,17400.0,29.8,32.0,29.8,30.1,33600.0,29.9,30.0,29.35,29.52,54500.0,29.2,30.0,29.2,29.55,67900.0,28.6,29.2,28.6,29.2,9700.0,27.05
2009-11-11,29.85,30.0,29.0,29.25,4100.0,30.0,30.2,29.51,29.85,17400.0,29.8,32.0,29.8,30.1,33600.0,29.9,30.0,29.35,29.52,54500.0,29.2,30.0,29.2,29.55,67900.0,28.0
2009-11-12,29.98,30.0,28.06,28.38,53700.0,29.85,30.0,29.0,29.25,4100.0,30.0,30.2,29.51,29.85,17400.0,29.8,32.0,29.8,30.1,33600.0,29.9,30.0,29.35,29.52,54500.0,27.68
2009-11-13,28.5,28.5,27.25,27.65,69000.0,29.98,30.0,28.06,28.38,53700.0,29.85,30.0,29.0,29.25,4100.0,30.0,30.2,29.51,29.85,17400.0,29.8,32.0,29.8,30.1,33600.0,27.4
2009-11-16,27.95,27.97,26.75,26.75,197000.0,28.5,28.5,27.25,27.65,69000.0,29.98,30.0,28.06,28.38,53700.0,29.85,30.0,29.0,29.25,4100.0,30.0,30.2,29.51,29.85,17400.0,28.12
2009-11-17,26.8,27.0,26.37,26.9,72900.0,27.95,27.97,26.75,26.75,197000.0,28.5,28.5,27.25,27.65,69000.0,29.98,30.0,28.06,28.38,53700.0,29.85,30.0,29.0,29.25,4100.0,27.9
2009-11-18,27.53,27.53,26.5,27.05,463400.0,26.8,27.0,26.37,26.9,72900.0,27.95,27.97,26.75,26.75,197000.0,28.5,28.5,27.25,27.65,69000.0,29.98,30.0,28.06,28.38,53700.0,27.25
2009-11-19,27.35,28.0,27.05,28.0,119100.0,27.53,27.53,26.5,27.05,463400.0,26.8,27.0,26.37,26.9,72900.0,27.95,27.97,26.75,26.75,197000.0,28.5,28.5,27.25,27.65,69000.0,27.7
2009-11-20,27.75,27.85,27.0,27.68,67900.0,27.35,28.0,27.05,28.0,119100.0,27.53,27.53,26.5,27.05,463400.0,26.8,27.0,26.37,26.9,72900.0,27.95,27.97,26.75,26.75,197000.0,26.81
2009-11-23,28.0,28.2,27.36,27.4,40200.0,27.75,27.85,27.0,27.68,67900.0,27.35,28.0,27.05,28.0,119100.0,27.53,27.53,26.5,27.05,463400.0,26.8,27.0,26.37,26.9,72900.0,27.69
