date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,4.65,4.65,4.625,4.625,22000.0,4.8125,4.8125,4.6375,4.75,45200.0,4.7375,4.8125,4.7375,4.75,71600.0,4.725,4.75,4.7125,4.75,42400.0,4.675,4.7875,4.675,4.75,18800.0,4.9625
2000-01-13,4.625,4.625,4.5,4.5125,54400.0,4.65,4.65,4.625,4.625,22000.0,4.8125,4.8125,4.6375,4.75,45200.0,4.7375,4.8125,4.7375,4.75,71600.0,4.725,4.75,4.7125,4.75,42400.0,4.875
2000-01-14,4.5125,4.625,4.5125,4.575,335600.0,4.625,4.625,4.5,4.5125,54400.0,4.65,4.65,4.625,4.625,22000.0,4.8125,4.8125,4.6375,4.75,45200.0,4.7375,4.8125,4.7375,4.75,71600.0,4.625
2000-01-17,4.575,5.0,4.575,4.85,31200.0,4.5125,4.625,4.5125,4.575,335600.0,4.625,4.625,4.5,4.5125,54400.0,4.65,4.65,4.625,4.625,22000.0,4.8125,4.8125,4.6375,4.75,45200.0,4.75
2000-01-18,4.825,4.9375,4.5,4.5,63200.0,4.575,5.0,4.575,4.85,31200.0,4.5125,4.625,4.5125,4.575,335600.0,4.625,4.625,4.5,4.5125,54400.0,4.65,4.65,4.625,4.625,22000.0,4.7375
2000-01-19,4.75,5.0,4.75,4.9375,83200.0,4.825,4.9375,4.5,4.5,63200.0,4.575,5.0,4.575,4.85,31200.0,4.5125,4.625,4.5125,4.575,335600.0,4.625,4.625,4.5,4.5125,54400.0,4.6875
2000-01-20,4.875,4.975,4.875,4.9625,58000.0,4.75,5.0,4.75,4.9375,83200.0,4.825,4.9375,4.5,4.5,63200.0,4.575,5.0,4.575,4.85,31200.0,4.5125,4.625,4.5125,4.575,335600.0,4.625
2000-01-21,4.8125,4.875,4.8125,4.875,1414400.0,4.875,4.975,4.875,4.9625,58000.0,4.75,5.0,4.75,4.9375,83200.0,4.825,4.9375,4.5,4.5,63200.0,4.575,5.0,4.575,4.85,31200.0,4.5625
2000-01-24,4.8,4.8,4.625,4.625,40000.0,4.8125,4.875,4.8125,4.875,1414400.0,4.875,4.975,4.875,4.9625,58000.0,4.75,5.0,4.75,4.9375,83200.0,4.825,4.9375,4.5,4.5,63200.0,4.5625
2000-01-25,4.625,4.75,4.5375,4.75,36800.0,4.8,4.8,4.625,4.625,40000.0,4.8125,4.875,4.8125,4.875,1414400.0,4.875,4.975,4.875,4.9625,58000.0,4.75,5.0,4.75,4.9375,83200.0,4.625
2000-01-26,4.65,4.8125,4.65,4.7375,30400.0,4.625,4.75,4.5375,4.75,36800.0,4.8,4.8,4.625,4.625,40000.0,4.8125,4.875,4.8125,4.875,1414400.0,4.875,4.975,4.875,4.9625,58000.0,4.55
2000-01-27,4.875,4.875,4.65,4.6875,36800.0,4.65,4.8125,4.65,4.7375,30400.0,4.625,4.75,4.5375,4.75,36800.0,4.8,4.8,4.625,4.625,40000.0,4.8125,4.875,4.8125,4.875,1414400.0,4.4375
2000-01-28,4.8125,4.8125,4.625,4.625,65600.0,4.875,4.875,4.65,4.6875,36800.0,4.65,4.8125,4.65,4.7375,30400.0,4.625,4.75,4.5375,4.75,36800.0,4.8,4.8,4.625,4.625,40000.0,4.3125
2000-01-31,4.5625,4.625,4.5,4.5625,24000.0,4.8125,4.8125,4.625,4.625,65600.0,4.875,4.875,4.65,4.6875,36800.0,4.65,4.8125,4.65,4.7375,30400.0,4.625,4.75,4.5375,4.75,36800.0,4.1875
