date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2007-02-08,3.45,3.45,3.45,3.45,0.0,3.5,3.5,3.45,3.45,87100.0,3.45,3.5,3.4,3.48,8300.0,3.6,3.6,3.6,3.6,0.0,3.6,3.6,3.49,3.6,25100.0,3.48
2007-02-09,3.48,3.5,3.48,3.5,2000.0,3.45,3.45,3.45,3.45,0.0,3.5,3.5,3.45,3.45,87100.0,3.45,3.5,3.4,3.48,8300.0,3.6,3.6,3.6,3.6,0.0,3.4
2007-02-12,3.45,3.55,3.41,3.41,87300.0,3.48,3.5,3.48,3.5,2000.0,3.45,3.45,3.45,3.45,0.0,3.5,3.5,3.45,3.45,87100.0,3.45,3.5,3.4,3.48,8300.0,3.43
2007-02-13,3.48,3.48,3.48,3.48,35000.0,3.45,3.55,3.41,3.41,87300.0,3.48,3.5,3.48,3.5,2000.0,3.45,3.45,3.45,3.45,0.0,3.5,3.5,3.45,3.45,87100.0,3.53
2007-02-14,3.48,3.48,3.48,3.48,0.0,3.48,3.48,3.48,3.48,35000.0,3.45,3.55,3.41,3.41,87300.0,3.48,3.5,3.48,3.5,2000.0,3.45,3.45,3.45,3.45,0.0,3.55
2007-02-15,3.47,3.48,3.45,3.45,34800.0,3.48,3.48,3.48,3.48,0.0,3.48,3.48,3.48,3.48,35000.0,3.45,3.55,3.41,3.41,87300.0,3.48,3.5,3.48,3.5,2000.0,3.58
2007-02-16,3.47,3.49,3.4,3.48,23400.0,3.47,3.48,3.45,3.45,34800.0,3.48,3.48,3.48,3.48,0.0,3.48,3.48,3.48,3.48,35000.0,3.45,3.55,3.41,3.41,87300.0,3.5
2007-02-19,3.4,3.4,3.4,3.4,5000.0,3.47,3.49,3.4,3.48,23400.0,3.47,3.48,3.45,3.45,34800.0,3.48,3.48,3.48,3.48,0.0,3.48,3.48,3.48,3.48,35000.0,3.55
2007-02-20,3.47,3.48,3.43,3.43,8100.0,3.4,3.4,3.4,3.4,5000.0,3.47,3.49,3.4,3.48,23400.0,3.47,3.48,3.45,3.45,34800.0,3.48,3.48,3.48,3.48,0.0,3.7
2007-02-21,3.48,3.53,3.47,3.53,68900.0,3.47,3.48,3.43,3.43,8100.0,3.4,3.4,3.4,3.4,5000.0,3.47,3.49,3.4,3.48,23400.0,3.47,3.48,3.45,3.45,34800.0,3.7
2007-02-22,3.53,3.59,3.45,3.55,39700.0,3.48,3.53,3.47,3.53,68900.0,3.47,3.48,3.43,3.43,8100.0,3.4,3.4,3.4,3.4,5000.0,3.47,3.49,3.4,3.48,23400.0,3.7
2007-02-23,3.55,3.58,3.5,3.58,188100.0,3.53,3.59,3.45,3.55,39700.0,3.48,3.53,3.47,3.53,68900.0,3.47,3.48,3.43,3.43,8100.0,3.4,3.4,3.4,3.4,5000.0,3.67
2007-02-26,3.7,3.7,3.46,3.5,44300.0,3.55,3.58,3.5,3.58,188100.0,3.53,3.59,3.45,3.55,39700.0,3.48,3.53,3.47,3.53,68900.0,3.47,3.48,3.43,3.43,8100.0,3.58
2007-02-27,3.42,3.6,3.42,3.55,50300.0,3.7,3.7,3.46,3.5,44300.0,3.55,3.58,3.5,3.58,188100.0,3.53,3.59,3.45,3.55,39700.0,3.48,3.53,3.47,3.53,68900.0,3.45
2007-02-28,3.55,3.7,3.5,3.7,41200.0,3.42,3.6,3.42,3.55,50300.0,3.7,3.7,3.46,3.5,44300.0,3.55,3.58,3.5,3.58,188100.0,3.53,3.59,3.45,3.55,39700.0,3.5
2007-03-01,3.6,3.7,3.6,3.7,23300.0,3.55,3.7,3.5,3.7,41200.0,3.42,3.6,3.42,3.55,50300.0,3.7,3.7,3.46,3.5,44300.0,3.55,3.58,3.5,3.58,188100.0,3.5
2007-03-02,3.75,3.75,3.7,3.7,23100.0,3.6,3.7,3.6,3.7,23300.0,3.55,3.7,3.5,3.7,41200.0,3.42,3.6,3.42,3.55,50300.0,3.7,3.7,3.46,3.5,44300.0,3.5
2007-03-05,3.7,3.7,3.6,3.67,6800.0,3.75,3.75,3.7,3.7,23100.0,3.6,3.7,3.6,3.7,23300.0,3.55,3.7,3.5,3.7,41200.0,3.42,3.6,3.42,3.55,50300.0,3.5
2007-03-06,3.6,3.6,3.57,3.58,22600.0,3.7,3.7,3.6,3.67,6800.0,3.75,3.75,3.7,3.7,23100.0,3.6,3.7,3.6,3.7,23300.0,3.55,3.7,3.5,3.7,41200.0,3.55
2007-03-07,3.48,3.5,3.42,3.45,47000.0,3.6,3.6,3.57,3.58,22600.0,3.7,3.7,3.6,3.67,6800.0,3.75,3.75,3.7,3.7,23100.0,3.6,3.7,3.6,3.7,23300.0,3.55
2007-03-08,3.5,3.5,3.5,3.5,59000.0,3.48,3.5,3.42,3.45,47000.0,3.6,3.6,3.57,3.58,22600.0,3.7,3.7,3.6,3.67,6800.0,3.75,3.75,3.7,3.7,23100.0,3.55
2007-03-09,3.5,3.5,3.5,3.5,0.0,3.5,3.5,3.5,3.5,59000.0,3.48,3.5,3.42,3.45,47000.0,3.6,3.6,3.57,3.58,22600.0,3.7,3.7,3.6,3.67,6800.0,3.4
2007-03-12,3.5,3.5,3.5,3.5,3000.0,3.5,3.5,3.5,3.5,0.0,3.5,3.5,3.5,3.5,59000.0,3.48,3.5,3.42,3.45,47000.0,3.6,3.6,3.57,3.58,22600.0,3.55
2007-03-13,3.5,3.5,3.5,3.5,23000.0,3.5,3.5,3.5,3.5,3000.0,3.5,3.5,3.5,3.5,0.0,3.5,3.5,3.5,3.5,59000.0,3.48,3.5,3.42,3.45,47000.0,3.6
2007-03-14,3.5,3.56,3.5,3.55,27600.0,3.5,3.5,3.5,3.5,23000.0,3.5,3.5,3.5,3.5,3000.0,3.5,3.5,3.5,3.5,0.0,3.5,3.5,3.5,3.5,59000.0,3.6
2007-03-15,3.54,3.59,3.5,3.55,14100.0,3.5,3.56,3.5,3.55,27600.0,3.5,3.5,3.5,3.5,23000.0,3.5,3.5,3.5,3.5,3000.0,3.5,3.5,3.5,3.5,0.0,3.55
2007-03-16,3.55,3.55,3.55,3.55,16700.0,3.54,3.59,3.5,3.55,14100.0,3.5,3.56,3.5,3.55,27600.0,3.5,3.5,3.5,3.5,23000.0,3.5,3.5,3.5,3.5,3000.0,3.64
2007-03-19,3.55,3.55,3.4,3.4,5800.0,3.55,3.55,3.55,3.55,16700.0,3.54,3.59,3.5,3.55,14100.0,3.5,3.56,3.5,3.55,27600.0,3.5,3.5,3.5,3.5,23000.0,3.75
2007-03-20,3.5,3.55,3.5,3.55,21000.0,3.55,3.55,3.4,3.4,5800.0,3.55,3.55,3.55,3.55,16700.0,3.54,3.59,3.5,3.55,14100.0,3.5,3.56,3.5,3.55,27600.0,4.15
2007-03-21,3.6,3.6,3.6,3.6,200.0,3.5,3.55,3.5,3.55,21000.0,3.55,3.55,3.4,3.4,5800.0,3.55,3.55,3.55,3.55,16700.0,3.54,3.59,3.5,3.55,14100.0,4.25
2007-03-22,3.55,3.75,3.5,3.6,94100.0,3.6,3.6,3.6,3.6,200.0,3.5,3.55,3.5,3.55,21000.0,3.55,3.55,3.4,3.4,5800.0,3.55,3.55,3.55,3.55,16700.0,4.2
2007-03-23,3.55,3.55,3.55,3.55,1200.0,3.55,3.75,3.5,3.6,94100.0,3.6,3.6,3.6,3.6,200.0,3.5,3.55,3.5,3.55,21000.0,3.55,3.55,3.4,3.4,5800.0,4.2
2007-03-26,3.51,3.64,3.46,3.64,26700.0,3.55,3.55,3.55,3.55,1200.0,3.55,3.75,3.5,3.6,94100.0,3.6,3.6,3.6,3.6,200.0,3.5,3.55,3.5,3.55,21000.0,4.3
2007-03-27,3.63,3.75,3.63,3.75,12500.0,3.51,3.64,3.46,3.64,26700.0,3.55,3.55,3.55,3.55,1200.0,3.55,3.75,3.5,3.6,94100.0,3.6,3.6,3.6,3.6,200.0,4.3
