date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,31.0,31.0,29.75,29.75,86991.0,27.5,30.5,27.5,30.5,42420.0,26.5,27.25,26.5,27.25,24135.0,25.0,26.5,24.95,26.5,16580.0,24.75,25.9,24.75,25.65,8791.0,30.0
2000-01-12,29.0,30.0,29.0,29.75,60035.0,31.0,31.0,29.75,29.75,86991.0,27.5,30.5,27.5,30.5,42420.0,26.5,27.25,26.5,27.25,24135.0,25.0,26.5,24.95,26.5,16580.0,29.1
2000-01-13,29.75,30.25,29.65,30.0,25450.0,29.0,30.0,29.0,29.75,60035.0,31.0,31.0,29.75,29.75,86991.0,27.5,30.5,27.5,30.5,42420.0,26.5,27.25,26.5,27.25,24135.0,26.6
2000-01-14,29.0,29.9,29.0,29.75,10712.0,29.75,30.25,29.65,30.0,25450.0,29.0,30.0,29.0,29.75,60035.0,31.0,31.0,29.75,29.75,86991.0,27.5,30.5,27.5,30.5,42420.0,26.0
2000-01-17,29.5,30.0,29.5,29.8,3554.0,29.0,29.9,29.0,29.75,10712.0,29.75,30.25,29.65,30.0,25450.0,29.0,30.0,29.0,29.75,60035.0,31.0,31.0,29.75,29.75,86991.0,28.6
2000-01-18,29.55,29.9,29.5,29.8,8698.0,29.5,30.0,29.5,29.8,3554.0,29.0,29.9,29.0,29.75,10712.0,29.75,30.25,29.65,30.0,25450.0,29.0,30.0,29.0,29.75,60035.0,28.9
2000-01-19,29.5,30.0,29.5,30.0,22675.0,29.55,29.9,29.5,29.8,8698.0,29.5,30.0,29.5,29.8,3554.0,29.0,29.9,29.0,29.75,10712.0,29.75,30.25,29.65,30.0,25450.0,27.25
2000-01-20,29.5,29.8,29.1,29.1,22390.0,29.5,30.0,29.5,30.0,22675.0,29.55,29.9,29.5,29.8,8698.0,29.5,30.0,29.5,29.8,3554.0,29.0,29.9,29.0,29.75,10712.0,26.6
2000-01-21,26.25,29.1,26.25,26.6,16050.0,29.5,29.8,29.1,29.1,22390.0,29.5,30.0,29.5,30.0,22675.0,29.55,29.9,29.5,29.8,8698.0,29.5,30.0,29.5,29.8,3554.0,26.5
2000-01-24,27.5,27.5,26.0,26.0,47625.0,26.25,29.1,26.25,26.6,16050.0,29.5,29.8,29.1,29.1,22390.0,29.5,30.0,29.5,30.0,22675.0,29.55,29.9,29.5,29.8,8698.0,27.25
2000-01-25,26.0,29.0,26.0,28.6,35535.0,27.5,27.5,26.0,26.0,47625.0,26.25,29.1,26.25,26.6,16050.0,29.5,29.8,29.1,29.1,22390.0,29.5,30.0,29.5,30.0,22675.0,28.25
2000-01-26,28.8,29.5,28.8,28.9,60525.0,26.0,29.0,26.0,28.6,35535.0,27.5,27.5,26.0,26.0,47625.0,26.25,29.1,26.25,26.6,16050.0,29.5,29.8,29.1,29.1,22390.0,27.9
2000-01-27,28.9,28.9,27.25,27.25,95600.0,28.8,29.5,28.8,28.9,60525.0,26.0,29.0,26.0,28.6,35535.0,27.5,27.5,26.0,26.0,47625.0,26.25,29.1,26.25,26.6,16050.0,27.5
