date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2009-10-20,3.0183,3.0183,2.995,2.9983,4489200.0,3.0817,3.0817,3.01,3.0183,960600.0,3.1267,3.1267,3.0433,3.0833,2872200.0,3.1583,3.165,3.1133,3.12,2167200.0,3.1817,3.205,3.1183,3.1583,2547000.0,3.1317
2009-10-21,2.9933,3.1333,2.9917,3.1317,2133000.0,3.0183,3.0183,2.995,2.9983,4489200.0,3.0817,3.0817,3.01,3.0183,960600.0,3.1267,3.1267,3.0433,3.0833,2872200.0,3.1583,3.165,3.1133,3.12,2167200.0,3.2167
2009-10-22,3.1317,3.175,3.0883,3.175,519000.0,2.9933,3.1333,2.9917,3.1317,2133000.0,3.0183,3.0183,2.995,2.9983,4489200.0,3.0817,3.0817,3.01,3.0183,960600.0,3.1267,3.1267,3.0433,3.0833,2872200.0,3.2167
2009-10-23,3.175,3.175,3.13,3.1583,537000.0,3.1317,3.175,3.0883,3.175,519000.0,2.9933,3.1333,2.9917,3.1317,2133000.0,3.0183,3.0183,2.995,2.9983,4489200.0,3.0817,3.0817,3.01,3.0183,960600.0,3.1567
2009-10-26,3.1333,3.1833,3.1267,3.1833,727800.0,3.175,3.175,3.13,3.1583,537000.0,3.1317,3.175,3.0883,3.175,519000.0,2.9933,3.1333,2.9917,3.1317,2133000.0,3.0183,3.0183,2.995,2.9983,4489200.0,3.1467
2009-10-27,3.1917,3.2383,3.16,3.2383,795000.0,3.1333,3.1833,3.1267,3.1833,727800.0,3.175,3.175,3.13,3.1583,537000.0,3.1317,3.175,3.0883,3.175,519000.0,2.9933,3.1333,2.9917,3.1317,2133000.0,3.1517
2009-10-28,3.2383,3.2383,3.1317,3.1317,1069200.0,3.1917,3.2383,3.16,3.2383,795000.0,3.1333,3.1833,3.1267,3.1833,727800.0,3.175,3.175,3.13,3.1583,537000.0,3.1317,3.175,3.0883,3.175,519000.0,3.1667
2009-10-29,3.15,3.2267,3.15,3.2167,164400.0,3.2383,3.2383,3.1317,3.1317,1069200.0,3.1917,3.2383,3.16,3.2383,795000.0,3.1333,3.1833,3.1267,3.1833,727800.0,3.175,3.175,3.13,3.1583,537000.0,3.175
2009-10-30,3.1717,3.265,3.17,3.2167,1833600.0,3.15,3.2267,3.15,3.2167,164400.0,3.2383,3.2383,3.1317,3.1317,1069200.0,3.1917,3.2383,3.16,3.2383,795000.0,3.1333,3.1833,3.1267,3.1833,727800.0,3.1667
2009-11-02,3.1667,3.2083,3.15,3.1567,2517600.0,3.1717,3.265,3.17,3.2167,1833600.0,3.15,3.2267,3.15,3.2167,164400.0,3.2383,3.2383,3.1317,3.1317,1069200.0,3.1917,3.2383,3.16,3.2383,795000.0,3.1667
2009-11-03,3.1567,3.1667,3.1317,3.1467,1018200.0,3.1667,3.2083,3.15,3.1567,2517600.0,3.1717,3.265,3.17,3.2167,1833600.0,3.15,3.2267,3.15,3.2167,164400.0,3.2383,3.2383,3.1317,3.1317,1069200.0,3.1833
2009-11-04,3.1583,3.16,3.1433,3.1517,184800.0,3.1567,3.1667,3.1317,3.1467,1018200.0,3.1667,3.2083,3.15,3.1567,2517600.0,3.1717,3.265,3.17,3.2167,1833600.0,3.15,3.2267,3.15,3.2167,164400.0,3.175
