date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2013-05-30,24.99,25.34,24.8,25.0,121400.0,24.66,25.19,24.66,25.0,296200.0,25.02,25.55,24.7,25.25,460100.0,24.6,25.28,24.6,24.95,116600.0,23.7,24.8,23.66,24.76,380400.0,24.4
2013-05-31,25.0,25.25,24.75,24.75,149500.0,24.99,25.34,24.8,25.0,121400.0,24.66,25.19,24.66,25.0,296200.0,25.02,25.55,24.7,25.25,460100.0,24.6,25.28,24.6,24.95,116600.0,24.65
2013-06-03,24.85,24.95,24.7,24.9,25100.0,25.0,25.25,24.75,24.75,149500.0,24.99,25.34,24.8,25.0,121400.0,24.66,25.19,24.66,25.0,296200.0,25.02,25.55,24.7,25.25,460100.0,24.45
2013-06-04,25.0,25.0,24.8,24.96,46900.0,24.85,24.95,24.7,24.9,25100.0,25.0,25.25,24.75,24.75,149500.0,24.99,25.34,24.8,25.0,121400.0,24.66,25.19,24.66,25.0,296200.0,24.5
2013-06-05,24.89,24.89,23.41,24.4,68800.0,25.0,25.0,24.8,24.96,46900.0,24.85,24.95,24.7,24.9,25100.0,25.0,25.25,24.75,24.75,149500.0,24.99,25.34,24.8,25.0,121400.0,24.49
2013-06-06,24.45,24.45,23.9,24.15,90600.0,24.89,24.89,23.41,24.4,68800.0,25.0,25.0,24.8,24.96,46900.0,24.85,24.95,24.7,24.9,25100.0,25.0,25.25,24.75,24.75,149500.0,24.6
2013-06-07,24.15,24.4,23.8,24.4,37000.0,24.45,24.45,23.9,24.15,90600.0,24.89,24.89,23.41,24.4,68800.0,25.0,25.0,24.8,24.96,46900.0,24.85,24.95,24.7,24.9,25100.0,24.7
2013-06-10,24.4,24.75,24.25,24.65,97900.0,24.15,24.4,23.8,24.4,37000.0,24.45,24.45,23.9,24.15,90600.0,24.89,24.89,23.41,24.4,68800.0,25.0,25.0,24.8,24.96,46900.0,24.6
2013-06-11,24.5,24.69,24.4,24.45,31700.0,24.4,24.75,24.25,24.65,97900.0,24.15,24.4,23.8,24.4,37000.0,24.45,24.45,23.9,24.15,90600.0,24.89,24.89,23.41,24.4,68800.0,24.95
2013-06-12,24.5,24.5,24.0,24.5,16700.0,24.5,24.69,24.4,24.45,31700.0,24.4,24.75,24.25,24.65,97900.0,24.15,24.4,23.8,24.4,37000.0,24.45,24.45,23.9,24.15,90600.0,24.6
2013-06-13,24.48,24.61,24.48,24.49,11700.0,24.5,24.5,24.0,24.5,16700.0,24.5,24.69,24.4,24.45,31700.0,24.4,24.75,24.25,24.65,97900.0,24.15,24.4,23.8,24.4,37000.0,24.7
2013-06-14,24.5,24.6,24.45,24.6,61300.0,24.48,24.61,24.48,24.49,11700.0,24.5,24.5,24.0,24.5,16700.0,24.5,24.69,24.4,24.45,31700.0,24.4,24.75,24.25,24.65,97900.0,24.3
2013-06-17,24.55,24.7,24.5,24.7,15800.0,24.5,24.6,24.45,24.6,61300.0,24.48,24.61,24.48,24.49,11700.0,24.5,24.5,24.0,24.5,16700.0,24.5,24.69,24.4,24.45,31700.0,24.475
2013-06-18,24.51,24.75,24.5,24.6,16300.0,24.55,24.7,24.5,24.7,15800.0,24.5,24.6,24.45,24.6,61300.0,24.48,24.61,24.48,24.49,11700.0,24.5,24.5,24.0,24.5,16700.0,24.6
2013-06-19,24.7,24.95,24.5,24.95,85000.0,24.51,24.75,24.5,24.6,16300.0,24.55,24.7,24.5,24.7,15800.0,24.5,24.6,24.45,24.6,61300.0,24.48,24.61,24.48,24.49,11700.0,24.9
2013-06-20,24.51,24.94,24.51,24.6,44800.0,24.7,24.95,24.5,24.95,85000.0,24.51,24.75,24.5,24.6,16300.0,24.55,24.7,24.5,24.7,15800.0,24.5,24.6,24.45,24.6,61300.0,24.5
2013-06-21,24.61,24.75,24.6,24.7,63300.0,24.51,24.94,24.51,24.6,44800.0,24.7,24.95,24.5,24.95,85000.0,24.51,24.75,24.5,24.6,16300.0,24.55,24.7,24.5,24.7,15800.0,24.76
2013-06-24,24.56,24.56,24.23,24.3,53400.0,24.61,24.75,24.6,24.7,63300.0,24.51,24.94,24.51,24.6,44800.0,24.7,24.95,24.5,24.95,85000.0,24.51,24.75,24.5,24.6,16300.0,24.76
2013-06-25,24.9,24.93,24.15,24.475,30000.0,24.56,24.56,24.23,24.3,53400.0,24.61,24.75,24.6,24.7,63300.0,24.51,24.94,24.51,24.6,44800.0,24.7,24.95,24.5,24.95,85000.0,24.89
2013-06-26,24.5,24.6,24.41,24.6,238700.0,24.9,24.93,24.15,24.475,30000.0,24.56,24.56,24.23,24.3,53400.0,24.61,24.75,24.6,24.7,63300.0,24.51,24.94,24.51,24.6,44800.0,25.05
2013-06-27,24.5,24.9,24.5,24.9,3200.0,24.5,24.6,24.41,24.6,238700.0,24.9,24.93,24.15,24.475,30000.0,24.56,24.56,24.23,24.3,53400.0,24.61,24.75,24.6,24.7,63300.0,25.68
2013-06-28,24.85,24.86,24.5,24.5,24000.0,24.5,24.9,24.5,24.9,3200.0,24.5,24.6,24.41,24.6,238700.0,24.9,24.93,24.15,24.475,30000.0,24.56,24.56,24.23,24.3,53400.0,26.6
2013-07-02,24.5,24.9,24.5,24.76,22200.0,24.85,24.86,24.5,24.5,24000.0,24.5,24.9,24.5,24.9,3200.0,24.5,24.6,24.41,24.6,238700.0,24.9,24.93,24.15,24.475,30000.0,26.62
2013-07-03,24.8,24.8,24.57,24.76,25100.0,24.5,24.9,24.5,24.76,22200.0,24.85,24.86,24.5,24.5,24000.0,24.5,24.9,24.5,24.9,3200.0,24.5,24.6,24.41,24.6,238700.0,26.7
2013-07-04,24.9,24.9,24.89,24.89,1700.0,24.8,24.8,24.57,24.76,25100.0,24.5,24.9,24.5,24.76,22200.0,24.85,24.86,24.5,24.5,24000.0,24.5,24.9,24.5,24.9,3200.0,26.61
2013-07-05,24.89,25.05,24.68,25.05,27900.0,24.9,24.9,24.89,24.89,1700.0,24.8,24.8,24.57,24.76,25100.0,24.5,24.9,24.5,24.76,22200.0,24.85,24.86,24.5,24.5,24000.0,26.75
2013-07-08,25.05,25.9,24.82,25.68,23000.0,24.89,25.05,24.68,25.05,27900.0,24.9,24.9,24.89,24.89,1700.0,24.8,24.8,24.57,24.76,25100.0,24.5,24.9,24.5,24.76,22200.0,26.67
2013-07-09,25.88,26.75,25.75,26.6,21200.0,25.05,25.9,24.82,25.68,23000.0,24.89,25.05,24.68,25.05,27900.0,24.9,24.9,24.89,24.89,1700.0,24.8,24.8,24.57,24.76,25100.0,26.69
2013-07-10,26.38,26.75,26.37,26.62,271400.0,25.88,26.75,25.75,26.6,21200.0,25.05,25.9,24.82,25.68,23000.0,24.89,25.05,24.68,25.05,27900.0,24.9,24.9,24.89,24.89,1700.0,27.22
2013-07-11,26.75,26.75,26.57,26.7,48000.0,26.38,26.75,26.37,26.62,271400.0,25.88,26.75,25.75,26.6,21200.0,25.05,25.9,24.82,25.68,23000.0,24.89,25.05,24.68,25.05,27900.0,27.02
2013-07-12,26.75,26.75,26.53,26.61,4400.0,26.75,26.75,26.57,26.7,48000.0,26.38,26.75,26.37,26.62,271400.0,25.88,26.75,25.75,26.6,21200.0,25.05,25.9,24.82,25.68,23000.0,27.5
2013-07-15,26.75,26.75,26.6,26.75,2400.0,26.75,26.75,26.53,26.61,4400.0,26.75,26.75,26.57,26.7,48000.0,26.38,26.75,26.37,26.62,271400.0,25.88,26.75,25.75,26.6,21200.0,27.05
2013-07-16,26.7,26.75,26.625,26.67,95300.0,26.75,26.75,26.6,26.75,2400.0,26.75,26.75,26.53,26.61,4400.0,26.75,26.75,26.57,26.7,48000.0,26.38,26.75,26.37,26.62,271400.0,27.26
2013-07-17,26.5,26.69,26.5,26.69,2000.0,26.7,26.75,26.625,26.67,95300.0,26.75,26.75,26.6,26.75,2400.0,26.75,26.75,26.53,26.61,4400.0,26.75,26.75,26.57,26.7,48000.0,27.49
2013-07-18,26.74,27.22,26.7,27.22,45600.0,26.5,26.69,26.5,26.69,2000.0,26.7,26.75,26.625,26.67,95300.0,26.75,26.75,26.6,26.75,2400.0,26.75,26.75,26.53,26.61,4400.0,27.2
2013-07-19,27.2,27.4,27.0,27.02,67300.0,26.74,27.22,26.7,27.22,45600.0,26.5,26.69,26.5,26.69,2000.0,26.7,26.75,26.625,26.67,95300.0,26.75,26.75,26.6,26.75,2400.0,27.13
2013-07-22,27.22,27.5,27.01,27.5,52000.0,27.2,27.4,27.0,27.02,67300.0,26.74,27.22,26.7,27.22,45600.0,26.5,26.69,26.5,26.69,2000.0,26.7,26.75,26.625,26.67,95300.0,27.5
2013-07-23,27.49,28.42,27.0,27.05,9500.0,27.22,27.5,27.01,27.5,52000.0,27.2,27.4,27.0,27.02,67300.0,26.74,27.22,26.7,27.22,45600.0,26.5,26.69,26.5,26.69,2000.0,27.62
2013-07-24,27.24,27.5,27.0,27.26,22100.0,27.49,28.42,27.0,27.05,9500.0,27.22,27.5,27.01,27.5,52000.0,27.2,27.4,27.0,27.02,67300.0,26.74,27.22,26.7,27.22,45600.0,28.0
2013-07-25,27.4,27.49,27.2,27.49,6500.0,27.24,27.5,27.0,27.26,22100.0,27.49,28.42,27.0,27.05,9500.0,27.22,27.5,27.01,27.5,52000.0,27.2,27.4,27.0,27.02,67300.0,27.77
2013-07-26,27.25,27.25,27.2,27.2,2300.0,27.4,27.49,27.2,27.49,6500.0,27.24,27.5,27.0,27.26,22100.0,27.49,28.42,27.0,27.05,9500.0,27.22,27.5,27.01,27.5,52000.0,27.5
2013-07-29,27.1,27.13,26.99,27.13,10400.0,27.25,27.25,27.2,27.2,2300.0,27.4,27.49,27.2,27.49,6500.0,27.24,27.5,27.0,27.26,22100.0,27.49,28.42,27.0,27.05,9500.0,29.0
2013-07-30,27.1,27.5,27.0,27.5,8100.0,27.1,27.13,26.99,27.13,10400.0,27.25,27.25,27.2,27.2,2300.0,27.4,27.49,27.2,27.49,6500.0,27.24,27.5,27.0,27.26,22100.0,28.9
2013-07-31,27.48,28.0,27.48,27.62,10000.0,27.1,27.5,27.0,27.5,8100.0,27.1,27.13,26.99,27.13,10400.0,27.25,27.25,27.2,27.2,2300.0,27.4,27.49,27.2,27.49,6500.0,28.8
2013-08-01,27.93,28.64,27.93,28.0,2600.0,27.48,28.0,27.48,27.62,10000.0,27.1,27.5,27.0,27.5,8100.0,27.1,27.13,26.99,27.13,10400.0,27.25,27.25,27.2,27.2,2300.0,28.73
2013-08-02,28.7,28.7,27.5,27.77,13500.0,27.93,28.64,27.93,28.0,2600.0,27.48,28.0,27.48,27.62,10000.0,27.1,27.5,27.0,27.5,8100.0,27.1,27.13,26.99,27.13,10400.0,28.75
2013-08-06,27.57,28.0,27.5,27.5,11500.0,28.7,28.7,27.5,27.77,13500.0,27.93,28.64,27.93,28.0,2600.0,27.48,28.0,27.48,27.62,10000.0,27.1,27.5,27.0,27.5,8100.0,28.95
2013-08-07,27.8,29.0,27.6,29.0,160500.0,27.57,28.0,27.5,27.5,11500.0,28.7,28.7,27.5,27.77,13500.0,27.93,28.64,27.93,28.0,2600.0,27.48,28.0,27.48,27.62,10000.0,29.0
2013-08-08,29.0,29.0,27.96,28.9,9500.0,27.8,29.0,27.6,29.0,160500.0,27.57,28.0,27.5,27.5,11500.0,28.7,28.7,27.5,27.77,13500.0,27.93,28.64,27.93,28.0,2600.0,29.4
2013-08-09,28.95,28.95,28.0,28.8,79400.0,29.0,29.0,27.96,28.9,9500.0,27.8,29.0,27.6,29.0,160500.0,27.57,28.0,27.5,27.5,11500.0,28.7,28.7,27.5,27.77,13500.0,29.0
2013-08-12,28.79,28.8,28.6,28.73,50500.0,28.95,28.95,28.0,28.8,79400.0,29.0,29.0,27.96,28.9,9500.0,27.8,29.0,27.6,29.0,160500.0,27.57,28.0,27.5,27.5,11500.0,29.0
2013-08-13,28.72,29.0,28.64,28.75,27900.0,28.79,28.8,28.6,28.73,50500.0,28.95,28.95,28.0,28.8,79400.0,29.0,29.0,27.96,28.9,9500.0,27.8,29.0,27.6,29.0,160500.0,29.45
2013-08-14,28.94,29.0,28.92,28.95,12600.0,28.72,29.0,28.64,28.75,27900.0,28.79,28.8,28.6,28.73,50500.0,28.95,28.95,28.0,28.8,79400.0,29.0,29.0,27.96,28.9,9500.0,29.1
2013-08-15,28.7,29.4,28.7,29.0,156000.0,28.94,29.0,28.92,28.95,12600.0,28.72,29.0,28.64,28.75,27900.0,28.79,28.8,28.6,28.73,50500.0,28.95,28.95,28.0,28.8,79400.0,29.49
2013-08-16,29.0,29.4,28.9,29.4,39500.0,28.7,29.4,28.7,29.0,156000.0,28.94,29.0,28.92,28.95,12600.0,28.72,29.0,28.64,28.75,27900.0,28.79,28.8,28.6,28.73,50500.0,29.1
2013-08-19,29.48,29.5,29.0,29.0,5000.0,29.0,29.4,28.9,29.4,39500.0,28.7,29.4,28.7,29.0,156000.0,28.94,29.0,28.92,28.95,12600.0,28.72,29.0,28.64,28.75,27900.0,28.51
2013-08-20,29.01,29.43,29.0,29.0,3700.0,29.48,29.5,29.0,29.0,5000.0,29.0,29.4,28.9,29.4,39500.0,28.7,29.4,28.7,29.0,156000.0,28.94,29.0,28.92,28.95,12600.0,28.5
2013-08-21,29.43,29.45,29.43,29.45,200.0,29.01,29.43,29.0,29.0,3700.0,29.48,29.5,29.0,29.0,5000.0,29.0,29.4,28.9,29.4,39500.0,28.7,29.4,28.7,29.0,156000.0,28.88
2013-08-22,29.14,29.37,29.0,29.1,2700.0,29.43,29.45,29.43,29.45,200.0,29.01,29.43,29.0,29.0,3700.0,29.48,29.5,29.0,29.0,5000.0,29.0,29.4,28.9,29.4,39500.0,29.49
2013-08-23,29.31,29.49,29.0,29.49,2600.0,29.14,29.37,29.0,29.1,2700.0,29.43,29.45,29.43,29.45,200.0,29.01,29.43,29.0,29.0,3700.0,29.48,29.5,29.0,29.0,5000.0,28.56
2013-08-26,29.22,29.45,29.0,29.1,16700.0,29.31,29.49,29.0,29.49,2600.0,29.14,29.37,29.0,29.1,2700.0,29.43,29.45,29.43,29.45,200.0,29.01,29.43,29.0,29.0,3700.0,27.95
2013-08-27,28.98,28.99,28.51,28.51,900.0,29.22,29.45,29.0,29.1,16700.0,29.31,29.49,29.0,29.49,2600.0,29.14,29.37,29.0,29.1,2700.0,29.43,29.45,29.43,29.45,200.0,28.49
2013-08-28,28.6,28.8,27.5,28.5,288500.0,28.98,28.99,28.51,28.51,900.0,29.22,29.45,29.0,29.1,16700.0,29.31,29.49,29.0,29.49,2600.0,29.14,29.37,29.0,29.1,2700.0,28.44
2013-08-29,28.51,28.91,28.5,28.88,2100.0,28.6,28.8,27.5,28.5,288500.0,28.98,28.99,28.51,28.51,900.0,29.22,29.45,29.0,29.1,16700.0,29.31,29.49,29.0,29.49,2600.0,27.5
2013-08-30,28.9,29.49,28.9,29.49,1800.0,28.51,28.91,28.5,28.88,2100.0,28.6,28.8,27.5,28.5,288500.0,28.98,28.99,28.51,28.51,900.0,29.22,29.45,29.0,29.1,16700.0,27.5
2013-09-03,29.5,29.5,28.56,28.56,3100.0,28.9,29.49,28.9,29.49,1800.0,28.51,28.91,28.5,28.88,2100.0,28.6,28.8,27.5,28.5,288500.0,28.98,28.99,28.51,28.51,900.0,27.33
2013-09-04,29.22,29.4,27.83,27.95,18700.0,29.5,29.5,28.56,28.56,3100.0,28.9,29.49,28.9,29.49,1800.0,28.51,28.91,28.5,28.88,2100.0,28.6,28.8,27.5,28.5,288500.0,27.15
2013-09-05,28.0,28.85,27.92,28.49,14000.0,29.22,29.4,27.83,27.95,18700.0,29.5,29.5,28.56,28.56,3100.0,28.9,29.49,28.9,29.49,1800.0,28.51,28.91,28.5,28.88,2100.0,27.83
2013-09-06,28.84,28.84,28.35,28.44,9400.0,28.0,28.85,27.92,28.49,14000.0,29.22,29.4,27.83,27.95,18700.0,29.5,29.5,28.56,28.56,3100.0,28.9,29.49,28.9,29.49,1800.0,28.13
2013-09-09,28.32,28.71,27.5,27.5,87800.0,28.84,28.84,28.35,28.44,9400.0,28.0,28.85,27.92,28.49,14000.0,29.22,29.4,27.83,27.95,18700.0,29.5,29.5,28.56,28.56,3100.0,27.5
2013-09-10,27.14,28.0,26.59,27.5,40600.0,28.32,28.71,27.5,27.5,87800.0,28.84,28.84,28.35,28.44,9400.0,28.0,28.85,27.92,28.49,14000.0,29.22,29.4,27.83,27.95,18700.0,27.65
2013-09-11,27.74,27.74,27.33,27.33,6100.0,27.14,28.0,26.59,27.5,40600.0,28.32,28.71,27.5,27.5,87800.0,28.84,28.84,28.35,28.44,9400.0,28.0,28.85,27.92,28.49,14000.0,28.07
2013-09-12,26.5,27.22,25.72,27.15,293500.0,27.74,27.74,27.33,27.33,6100.0,27.14,28.0,26.59,27.5,40600.0,28.32,28.71,27.5,27.5,87800.0,28.84,28.84,28.35,28.44,9400.0,27.78
2013-09-13,27.43,28.0,27.43,27.83,37300.0,26.5,27.22,25.72,27.15,293500.0,27.74,27.74,27.33,27.33,6100.0,27.14,28.0,26.59,27.5,40600.0,28.32,28.71,27.5,27.5,87800.0,27.74
2013-09-16,27.97,28.38,27.88,28.13,99100.0,27.43,28.0,27.43,27.83,37300.0,26.5,27.22,25.72,27.15,293500.0,27.74,27.74,27.33,27.33,6100.0,27.14,28.0,26.59,27.5,40600.0,27.75
2013-09-17,27.68,27.9,27.5,27.5,13700.0,27.97,28.38,27.88,28.13,99100.0,27.43,28.0,27.43,27.83,37300.0,26.5,27.22,25.72,27.15,293500.0,27.74,27.74,27.33,27.33,6100.0,27.6
2013-09-18,27.5,27.73,27.49,27.65,1400.0,27.68,27.9,27.5,27.5,13700.0,27.97,28.38,27.88,28.13,99100.0,27.43,28.0,27.43,27.83,37300.0,26.5,27.22,25.72,27.15,293500.0,27.5
2013-09-19,27.51,28.49,27.4,28.07,40000.0,27.5,27.73,27.49,27.65,1400.0,27.68,27.9,27.5,27.5,13700.0,27.97,28.38,27.88,28.13,99100.0,27.43,28.0,27.43,27.83,37300.0,27.49
2013-09-20,27.85,27.85,27.75,27.78,263300.0,27.51,28.49,27.4,28.07,40000.0,27.5,27.73,27.49,27.65,1400.0,27.68,27.9,27.5,27.5,13700.0,27.97,28.38,27.88,28.13,99100.0,27.05
2013-09-23,27.84,27.84,27.73,27.74,32500.0,27.85,27.85,27.75,27.78,263300.0,27.51,28.49,27.4,28.07,40000.0,27.5,27.73,27.49,27.65,1400.0,27.68,27.9,27.5,27.5,13700.0,27.05
2013-09-24,27.77,27.85,27.75,27.75,99100.0,27.84,27.84,27.73,27.74,32500.0,27.85,27.85,27.75,27.78,263300.0,27.51,28.49,27.4,28.07,40000.0,27.5,27.73,27.49,27.65,1400.0,27.16
2013-09-25,27.84,27.85,27.6,27.6,53000.0,27.77,27.85,27.75,27.75,99100.0,27.84,27.84,27.73,27.74,32500.0,27.85,27.85,27.75,27.78,263300.0,27.51,28.49,27.4,28.07,40000.0,27.06
2013-09-26,27.5,27.65,27.45,27.5,16100.0,27.84,27.85,27.6,27.6,53000.0,27.77,27.85,27.75,27.75,99100.0,27.84,27.84,27.73,27.74,32500.0,27.85,27.85,27.75,27.78,263300.0,27.39
2013-09-27,27.59,27.73,27.45,27.49,19400.0,27.5,27.65,27.45,27.5,16100.0,27.84,27.85,27.6,27.6,53000.0,27.77,27.85,27.75,27.75,99100.0,27.84,27.84,27.73,27.74,32500.0,26.86
2013-09-30,27.15,27.15,27.05,27.05,2700.0,27.59,27.73,27.45,27.49,19400.0,27.5,27.65,27.45,27.5,16100.0,27.84,27.85,27.6,27.6,53000.0,27.77,27.85,27.75,27.75,99100.0,26.85
2013-10-01,27.26,27.26,27.04,27.05,59400.0,27.15,27.15,27.05,27.05,2700.0,27.59,27.73,27.45,27.49,19400.0,27.5,27.65,27.45,27.5,16100.0,27.84,27.85,27.6,27.6,53000.0,26.76
2013-10-02,27.01,27.18,26.13,27.16,75600.0,27.26,27.26,27.04,27.05,59400.0,27.15,27.15,27.05,27.05,2700.0,27.59,27.73,27.45,27.49,19400.0,27.5,27.65,27.45,27.5,16100.0,26.76
2013-10-03,27.24,27.24,27.0,27.06,56600.0,27.01,27.18,26.13,27.16,75600.0,27.26,27.26,27.04,27.05,59400.0,27.15,27.15,27.05,27.05,2700.0,27.59,27.73,27.45,27.49,19400.0,26.25
2013-10-04,27.05,27.4,27.05,27.39,5300.0,27.24,27.24,27.0,27.06,56600.0,27.01,27.18,26.13,27.16,75600.0,27.26,27.26,27.04,27.05,59400.0,27.15,27.15,27.05,27.05,2700.0,25.77
