date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2011-12-20,9.9,10.02,9.9,9.99,70166.0,9.99,10.05,9.91,9.94,122304.0,9.78,10.14,9.78,10.14,154480.0,9.8,9.85,9.78,9.8,61550.0,9.79,9.8,9.7,9.8,34692.0,10.0
2011-12-21,10.0,10.04,9.95,9.97,65739.0,9.9,10.02,9.9,9.99,70166.0,9.99,10.05,9.91,9.94,122304.0,9.78,10.14,9.78,10.14,154480.0,9.8,9.85,9.78,9.8,61550.0,10.0
2011-12-22,9.93,10.0,9.87,9.97,39411.0,10.0,10.04,9.95,9.97,65739.0,9.9,10.02,9.9,9.99,70166.0,9.99,10.05,9.91,9.94,122304.0,9.78,10.14,9.78,10.14,154480.0,9.85
2011-12-23,9.97,10.03,9.97,10.0,59263.0,9.93,10.0,9.87,9.97,39411.0,10.0,10.04,9.95,9.97,65739.0,9.9,10.02,9.9,9.99,70166.0,9.99,10.05,9.91,9.94,122304.0,9.9
2011-12-28,9.97,10.04,9.93,9.93,25668.0,9.97,10.03,9.97,10.0,59263.0,9.93,10.0,9.87,9.97,39411.0,10.0,10.04,9.95,9.97,65739.0,9.9,10.02,9.9,9.99,70166.0,9.9
2011-12-29,9.94,9.99,9.94,9.96,17088.0,9.97,10.04,9.93,9.93,25668.0,9.97,10.03,9.97,10.0,59263.0,9.93,10.0,9.87,9.97,39411.0,10.0,10.04,9.95,9.97,65739.0,9.9
2011-12-30,9.94,10.0,9.93,10.0,14071.0,9.94,9.99,9.94,9.96,17088.0,9.97,10.04,9.93,9.93,25668.0,9.97,10.03,9.97,10.0,59263.0,9.93,10.0,9.87,9.97,39411.0,9.97
2012-01-03,10.0,10.02,9.98,10.0,42165.0,9.94,10.0,9.93,10.0,14071.0,9.94,9.99,9.94,9.96,17088.0,9.97,10.04,9.93,9.93,25668.0,9.97,10.03,9.97,10.0,59263.0,10.0
2012-01-04,9.98,9.98,9.8,9.85,63653.0,10.0,10.02,9.98,10.0,42165.0,9.94,10.0,9.93,10.0,14071.0,9.94,9.99,9.94,9.96,17088.0,9.97,10.04,9.93,9.93,25668.0,9.98
2012-01-05,9.9,9.92,9.84,9.9,64248.0,9.98,9.98,9.8,9.85,63653.0,10.0,10.02,9.98,10.0,42165.0,9.94,10.0,9.93,10.0,14071.0,9.94,9.99,9.94,9.96,17088.0,9.97
2012-01-06,9.95,10.02,9.9,9.9,111876.0,9.9,9.92,9.84,9.9,64248.0,9.98,9.98,9.8,9.85,63653.0,10.0,10.02,9.98,10.0,42165.0,9.94,10.0,9.93,10.0,14071.0,10.0
2012-01-09,9.86,9.93,9.86,9.9,87012.0,9.95,10.02,9.9,9.9,111876.0,9.9,9.92,9.84,9.9,64248.0,9.98,9.98,9.8,9.85,63653.0,10.0,10.02,9.98,10.0,42165.0,10.2
2012-01-10,9.95,10.0,9.94,9.97,141735.0,9.86,9.93,9.86,9.9,87012.0,9.95,10.02,9.9,9.9,111876.0,9.9,9.92,9.84,9.9,64248.0,9.98,9.98,9.8,9.85,63653.0,10.33
2012-01-11,10.0,10.0,9.97,10.0,77553.0,9.95,10.0,9.94,9.97,141735.0,9.86,9.93,9.86,9.9,87012.0,9.95,10.02,9.9,9.9,111876.0,9.9,9.92,9.84,9.9,64248.0,10.51
2012-01-12,10.0,10.03,9.98,9.98,123982.0,10.0,10.0,9.97,10.0,77553.0,9.95,10.0,9.94,9.97,141735.0,9.86,9.93,9.86,9.9,87012.0,9.95,10.02,9.9,9.9,111876.0,10.6
2012-01-13,10.01,10.04,9.97,9.97,54787.0,10.0,10.03,9.98,9.98,123982.0,10.0,10.0,9.97,10.0,77553.0,9.95,10.0,9.94,9.97,141735.0,9.86,9.93,9.86,9.9,87012.0,10.6
