date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,41.5,41.5,41.5,41.5,500.0,41.5,42.0,41.5,42.0,800.0,38.0,41.0,38.0,41.0,500.0,37.5,37.5,37.5,37.5,100.0,36.0,36.0,36.0,36.0,0.0,43.0
2000-01-13,41.5,41.5,41.5,41.5,100.0,41.5,41.5,41.5,41.5,500.0,41.5,42.0,41.5,42.0,800.0,38.0,41.0,38.0,41.0,500.0,37.5,37.5,37.5,37.5,100.0,46.0
2000-01-14,41.5,42.0,41.5,42.0,200.0,41.5,41.5,41.5,41.5,100.0,41.5,41.5,41.5,41.5,500.0,41.5,42.0,41.5,42.0,800.0,38.0,41.0,38.0,41.0,500.0,52.5
2000-01-17,41.5,41.5,41.5,41.5,300.0,41.5,42.0,41.5,42.0,200.0,41.5,41.5,41.5,41.5,100.0,41.5,41.5,41.5,41.5,500.0,41.5,42.0,41.5,42.0,800.0,50.0
2000-01-18,41.5,42.0,41.0,42.0,600.0,41.5,41.5,41.5,41.5,300.0,41.5,42.0,41.5,42.0,200.0,41.5,41.5,41.5,41.5,100.0,41.5,41.5,41.5,41.5,500.0,50.0
2000-01-19,42.0,42.0,42.0,42.0,600.0,41.5,42.0,41.0,42.0,600.0,41.5,41.5,41.5,41.5,300.0,41.5,42.0,41.5,42.0,200.0,41.5,41.5,41.5,41.5,100.0,50.0
2000-01-20,42.0,43.0,42.0,43.0,500.0,42.0,42.0,42.0,42.0,600.0,41.5,42.0,41.0,42.0,600.0,41.5,41.5,41.5,41.5,300.0,41.5,42.0,41.5,42.0,200.0,50.0
2000-01-21,44.0,47.5,44.0,46.0,1700.0,42.0,43.0,42.0,43.0,500.0,42.0,42.0,42.0,42.0,600.0,41.5,42.0,41.0,42.0,600.0,41.5,41.5,41.5,41.5,300.0,48.0
2000-01-24,47.5,52.5,47.5,52.5,1300.0,44.0,47.5,44.0,46.0,1700.0,42.0,43.0,42.0,43.0,500.0,42.0,42.0,42.0,42.0,600.0,41.5,42.0,41.0,42.0,600.0,47.5
2000-01-25,50.0,50.0,50.0,50.0,700.0,47.5,52.5,47.5,52.5,1300.0,44.0,47.5,44.0,46.0,1700.0,42.0,43.0,42.0,43.0,500.0,42.0,42.0,42.0,42.0,600.0,47.5
2000-01-26,48.0,50.0,47.5,50.0,500.0,50.0,50.0,50.0,50.0,700.0,47.5,52.5,47.5,52.5,1300.0,44.0,47.5,44.0,46.0,1700.0,42.0,43.0,42.0,43.0,500.0,47.5
2000-01-27,50.0,50.0,50.0,50.0,600.0,48.0,50.0,47.5,50.0,500.0,50.0,50.0,50.0,50.0,700.0,47.5,52.5,47.5,52.5,1300.0,44.0,47.5,44.0,46.0,1700.0,51.0
2000-01-28,50.0,50.0,50.0,50.0,200.0,50.0,50.0,50.0,50.0,600.0,48.0,50.0,47.5,50.0,500.0,50.0,50.0,50.0,50.0,700.0,47.5,52.5,47.5,52.5,1300.0,51.5
2000-01-31,48.0,48.0,48.0,48.0,100.0,50.0,50.0,50.0,50.0,200.0,50.0,50.0,50.0,50.0,600.0,48.0,50.0,47.5,50.0,500.0,50.0,50.0,50.0,50.0,700.0,50.0
2000-02-01,48.0,48.0,47.5,47.5,100.0,48.0,48.0,48.0,48.0,100.0,50.0,50.0,50.0,50.0,200.0,50.0,50.0,50.0,50.0,600.0,48.0,50.0,47.5,50.0,500.0,50.5
2000-02-02,47.5,47.5,47.5,47.5,100.0,48.0,48.0,47.5,47.5,100.0,48.0,48.0,48.0,48.0,100.0,50.0,50.0,50.0,50.0,200.0,50.0,50.0,50.0,50.0,600.0,50.0
2000-02-03,47.5,47.5,47.5,47.5,0.0,47.5,47.5,47.5,47.5,100.0,48.0,48.0,47.5,47.5,100.0,48.0,48.0,48.0,48.0,100.0,50.0,50.0,50.0,50.0,200.0,50.0
2000-02-04,50.0,51.0,48.0,51.0,600.0,47.5,47.5,47.5,47.5,0.0,47.5,47.5,47.5,47.5,100.0,48.0,48.0,47.5,47.5,100.0,48.0,48.0,48.0,48.0,100.0,50.0
2000-02-07,51.5,51.5,51.5,51.5,400.0,50.0,51.0,48.0,51.0,600.0,47.5,47.5,47.5,47.5,0.0,47.5,47.5,47.5,47.5,100.0,48.0,48.0,47.5,47.5,100.0,52.5
2000-02-08,50.0,50.0,50.0,50.0,200.0,51.5,51.5,51.5,51.5,400.0,50.0,51.0,48.0,51.0,600.0,47.5,47.5,47.5,47.5,0.0,47.5,47.5,47.5,47.5,100.0,46.5
2000-02-09,50.5,50.5,50.5,50.5,200.0,50.0,50.0,50.0,50.0,200.0,51.5,51.5,51.5,51.5,400.0,50.0,51.0,48.0,51.0,600.0,47.5,47.5,47.5,47.5,0.0,45.5
2000-02-10,50.0,50.0,50.0,50.0,200.0,50.5,50.5,50.5,50.5,200.0,50.0,50.0,50.0,50.0,200.0,51.5,51.5,51.5,51.5,400.0,50.0,51.0,48.0,51.0,600.0,47.0
2000-02-11,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,200.0,50.5,50.5,50.5,50.5,200.0,50.0,50.0,50.0,50.0,200.0,51.5,51.5,51.5,51.5,400.0,50.0
2000-02-14,50.0,52.5,50.0,50.0,400.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,200.0,50.5,50.5,50.5,50.5,200.0,50.0,50.0,50.0,50.0,200.0,50.0
2000-02-15,52.5,52.5,52.5,52.5,500.0,50.0,52.5,50.0,50.0,400.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,200.0,50.5,50.5,50.5,50.5,200.0,52.5
2000-02-16,51.0,51.0,46.5,46.5,700.0,52.5,52.5,52.5,52.5,500.0,50.0,52.5,50.0,50.0,400.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,200.0,52.5
2000-02-17,45.5,45.5,45.5,45.5,1900.0,51.0,51.0,46.5,46.5,700.0,52.5,52.5,52.5,52.5,500.0,50.0,52.5,50.0,50.0,400.0,50.0,50.0,50.0,50.0,0.0,52.5
2000-02-18,47.0,47.0,47.0,47.0,100.0,45.5,45.5,45.5,45.5,1900.0,51.0,51.0,46.5,46.5,700.0,52.5,52.5,52.5,52.5,500.0,50.0,52.5,50.0,50.0,400.0,52.5
2000-02-21,50.0,50.0,50.0,50.0,100.0,47.0,47.0,47.0,47.0,100.0,45.5,45.5,45.5,45.5,1900.0,51.0,51.0,46.5,46.5,700.0,52.5,52.5,52.5,52.5,500.0,52.0
2000-02-22,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0,47.0,47.0,47.0,47.0,100.0,45.5,45.5,45.5,45.5,1900.0,51.0,51.0,46.5,46.5,700.0,52.5
2000-02-23,50.0,52.5,50.0,52.5,100.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0,47.0,47.0,47.0,47.0,100.0,45.5,45.5,45.5,45.5,1900.0,55.0
2000-02-24,52.5,52.5,52.5,52.5,0.0,50.0,52.5,50.0,52.5,100.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0,47.0,47.0,47.0,47.0,100.0,52.5
2000-02-25,52.5,52.5,52.5,52.5,100.0,52.5,52.5,52.5,52.5,0.0,50.0,52.5,50.0,52.5,100.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0,57.5
2000-02-28,52.5,52.5,52.5,52.5,0.0,52.5,52.5,52.5,52.5,100.0,52.5,52.5,52.5,52.5,0.0,50.0,52.5,50.0,52.5,100.0,50.0,50.0,50.0,50.0,100.0,57.5
2000-02-29,52.0,52.0,52.0,52.0,100.0,52.5,52.5,52.5,52.5,0.0,52.5,52.5,52.5,52.5,100.0,52.5,52.5,52.5,52.5,0.0,50.0,52.5,50.0,52.5,100.0,55.0
2000-03-01,52.5,52.5,52.5,52.5,100.0,52.0,52.0,52.0,52.0,100.0,52.5,52.5,52.5,52.5,0.0,52.5,52.5,52.5,52.5,100.0,52.5,52.5,52.5,52.5,0.0,55.0
2000-03-02,55.0,55.0,55.0,55.0,100.0,52.5,52.5,52.5,52.5,100.0,52.0,52.0,52.0,52.0,100.0,52.5,52.5,52.5,52.5,0.0,52.5,52.5,52.5,52.5,100.0,67.5
2000-03-03,52.5,52.5,51.5,52.5,500.0,55.0,55.0,55.0,55.0,100.0,52.5,52.5,52.5,52.5,100.0,52.0,52.0,52.0,52.0,100.0,52.5,52.5,52.5,52.5,0.0,60.5
2000-03-06,57.5,57.5,57.5,57.5,100.0,52.5,52.5,51.5,52.5,500.0,55.0,55.0,55.0,55.0,100.0,52.5,52.5,52.5,52.5,100.0,52.0,52.0,52.0,52.0,100.0,67.5
2000-03-07,57.5,57.5,57.5,57.5,0.0,57.5,57.5,57.5,57.5,100.0,52.5,52.5,51.5,52.5,500.0,55.0,55.0,55.0,55.0,100.0,52.5,52.5,52.5,52.5,100.0,65.0
2000-03-08,59.5,59.5,55.0,55.0,300.0,57.5,57.5,57.5,57.5,0.0,57.5,57.5,57.5,57.5,100.0,52.5,52.5,51.5,52.5,500.0,55.0,55.0,55.0,55.0,100.0,65.0
2000-03-09,55.0,55.0,55.0,55.0,0.0,59.5,59.5,55.0,55.0,300.0,57.5,57.5,57.5,57.5,0.0,57.5,57.5,57.5,57.5,100.0,52.5,52.5,51.5,52.5,500.0,65.0
2000-03-10,57.5,70.0,57.5,67.5,1600.0,55.0,55.0,55.0,55.0,0.0,59.5,59.5,55.0,55.0,300.0,57.5,57.5,57.5,57.5,0.0,57.5,57.5,57.5,57.5,100.0,65.0
2000-03-13,65.0,65.0,60.5,60.5,200.0,57.5,70.0,57.5,67.5,1600.0,55.0,55.0,55.0,55.0,0.0,59.5,59.5,55.0,55.0,300.0,57.5,57.5,57.5,57.5,0.0,65.0
2000-03-14,67.5,67.5,67.5,67.5,100.0,65.0,65.0,60.5,60.5,200.0,57.5,70.0,57.5,67.5,1600.0,55.0,55.0,55.0,55.0,0.0,59.5,59.5,55.0,55.0,300.0,65.0
2000-03-15,67.5,67.5,65.0,65.0,200.0,67.5,67.5,67.5,67.5,100.0,65.0,65.0,60.5,60.5,200.0,57.5,70.0,57.5,67.5,1600.0,55.0,55.0,55.0,55.0,0.0,70.0
2000-03-16,65.0,65.0,65.0,65.0,0.0,67.5,67.5,65.0,65.0,200.0,67.5,67.5,67.5,67.5,100.0,65.0,65.0,60.5,60.5,200.0,57.5,70.0,57.5,67.5,1600.0,70.0
2000-03-17,65.0,65.0,65.0,65.0,100.0,65.0,65.0,65.0,65.0,0.0,67.5,67.5,65.0,65.0,200.0,67.5,67.5,67.5,67.5,100.0,65.0,65.0,60.5,60.5,200.0,72.5
2000-03-20,65.0,65.0,65.0,65.0,300.0,65.0,65.0,65.0,65.0,100.0,65.0,65.0,65.0,65.0,0.0,67.5,67.5,65.0,65.0,200.0,67.5,67.5,67.5,67.5,100.0,71.0
2000-03-21,65.0,65.0,65.0,65.0,1500.0,65.0,65.0,65.0,65.0,300.0,65.0,65.0,65.0,65.0,100.0,65.0,65.0,65.0,65.0,0.0,67.5,67.5,65.0,65.0,200.0,75.0
2000-03-22,65.0,65.0,65.0,65.0,0.0,65.0,65.0,65.0,65.0,1500.0,65.0,65.0,65.0,65.0,300.0,65.0,65.0,65.0,65.0,100.0,65.0,65.0,65.0,65.0,0.0,75.0
2000-03-23,70.0,70.0,70.0,70.0,200.0,65.0,65.0,65.0,65.0,0.0,65.0,65.0,65.0,65.0,1500.0,65.0,65.0,65.0,65.0,300.0,65.0,65.0,65.0,65.0,100.0,78.0
2000-03-24,72.0,72.0,70.0,70.0,100.0,70.0,70.0,70.0,70.0,200.0,65.0,65.0,65.0,65.0,0.0,65.0,65.0,65.0,65.0,1500.0,65.0,65.0,65.0,65.0,300.0,78.0
2000-03-27,70.0,72.5,70.0,72.5,100.0,72.0,72.0,70.0,70.0,100.0,70.0,70.0,70.0,70.0,200.0,65.0,65.0,65.0,65.0,0.0,65.0,65.0,65.0,65.0,1500.0,70.0
2000-03-28,72.5,72.5,71.0,71.0,900.0,70.0,72.5,70.0,72.5,100.0,72.0,72.0,70.0,70.0,100.0,70.0,70.0,70.0,70.0,200.0,65.0,65.0,65.0,65.0,0.0,67.5
2000-03-29,75.0,75.0,75.0,75.0,400.0,72.5,72.5,71.0,71.0,900.0,70.0,72.5,70.0,72.5,100.0,72.0,72.0,70.0,70.0,100.0,70.0,70.0,70.0,70.0,200.0,67.5
2000-03-30,75.0,75.0,75.0,75.0,200.0,75.0,75.0,75.0,75.0,400.0,72.5,72.5,71.0,71.0,900.0,70.0,72.5,70.0,72.5,100.0,72.0,72.0,70.0,70.0,100.0,70.0
2000-03-31,78.0,78.0,78.0,78.0,0.0,75.0,75.0,75.0,75.0,200.0,75.0,75.0,75.0,75.0,400.0,72.5,72.5,71.0,71.0,900.0,70.0,72.5,70.0,72.5,100.0,70.5
2000-04-03,78.0,78.0,78.0,78.0,0.0,78.0,78.0,78.0,78.0,0.0,75.0,75.0,75.0,75.0,200.0,75.0,75.0,75.0,75.0,400.0,72.5,72.5,71.0,71.0,900.0,70.0
2000-04-04,70.0,70.0,70.0,70.0,200.0,78.0,78.0,78.0,78.0,0.0,78.0,78.0,78.0,78.0,0.0,75.0,75.0,75.0,75.0,200.0,75.0,75.0,75.0,75.0,400.0,70.0
2000-04-05,67.5,67.5,67.5,67.5,0.0,70.0,70.0,70.0,70.0,200.0,78.0,78.0,78.0,78.0,0.0,78.0,78.0,78.0,78.0,0.0,75.0,75.0,75.0,75.0,200.0,70.5
2000-04-06,67.5,67.5,67.5,67.5,0.0,67.5,67.5,67.5,67.5,0.0,70.0,70.0,70.0,70.0,200.0,78.0,78.0,78.0,78.0,0.0,78.0,78.0,78.0,78.0,0.0,62.5
2000-04-07,70.0,70.0,70.0,70.0,100.0,67.5,67.5,67.5,67.5,0.0,67.5,67.5,67.5,67.5,0.0,70.0,70.0,70.0,70.0,200.0,78.0,78.0,78.0,78.0,0.0,49.5
2000-04-10,72.5,72.5,70.5,70.5,300.0,70.0,70.0,70.0,70.0,100.0,67.5,67.5,67.5,67.5,0.0,67.5,67.5,67.5,67.5,0.0,70.0,70.0,70.0,70.0,200.0,49.5
2000-04-11,71.0,71.0,70.0,70.0,200.0,72.5,72.5,70.5,70.5,300.0,70.0,70.0,70.0,70.0,100.0,67.5,67.5,67.5,67.5,0.0,67.5,67.5,67.5,67.5,0.0,49.5
2000-04-12,70.5,70.5,70.0,70.0,200.0,71.0,71.0,70.0,70.0,200.0,72.5,72.5,70.5,70.5,300.0,70.0,70.0,70.0,70.0,100.0,67.5,67.5,67.5,67.5,0.0,60.0
2000-04-13,70.5,70.5,70.5,70.5,100.0,70.5,70.5,70.0,70.0,200.0,71.0,71.0,70.0,70.0,200.0,72.5,72.5,70.5,70.5,300.0,70.0,70.0,70.0,70.0,100.0,0.0
2000-04-14,70.0,70.0,62.5,62.5,800.0,70.5,70.5,70.5,70.5,100.0,70.5,70.5,70.0,70.0,200.0,71.0,71.0,70.0,70.0,200.0,72.5,72.5,70.5,70.5,300.0,60.0
2000-04-17,55.0,55.0,49.5,49.5,900.0,70.0,70.0,62.5,62.5,800.0,70.5,70.5,70.5,70.5,100.0,70.5,70.5,70.0,70.0,200.0,71.0,71.0,70.0,70.0,200.0,60.0
2000-04-18,49.5,49.5,49.5,49.5,400.0,55.0,55.0,49.5,49.5,900.0,70.0,70.0,62.5,62.5,800.0,70.5,70.5,70.5,70.5,100.0,70.5,70.5,70.0,70.0,200.0,60.0
2000-04-19,49.5,49.5,49.5,49.5,0.0,49.5,49.5,49.5,49.5,400.0,55.0,55.0,49.5,49.5,900.0,70.0,70.0,62.5,62.5,800.0,70.5,70.5,70.5,70.5,100.0,55.0
