date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2011-12-28,4.8,4.8,4.75,4.75,171200.0,4.8,4.85,4.8,4.85,229300.0,4.8,4.8,4.7,4.8,344800.0,4.75,4.85,4.65,4.85,789900.0,4.7,4.85,4.6,4.85,226200.0,4.75
2011-12-29,4.75,4.75,4.75,4.75,23300.0,4.8,4.8,4.75,4.75,171200.0,4.8,4.85,4.8,4.85,229300.0,4.8,4.8,4.7,4.8,344800.0,4.75,4.85,4.65,4.85,789900.0,4.78
2011-12-30,4.75,4.8,4.75,4.8,9600.0,4.75,4.75,4.75,4.75,23300.0,4.8,4.8,4.75,4.75,171200.0,4.8,4.85,4.8,4.85,229300.0,4.8,4.8,4.7,4.8,344800.0,4.9
2012-01-03,4.8,4.85,4.75,4.85,202100.0,4.75,4.8,4.75,4.8,9600.0,4.75,4.75,4.75,4.75,23300.0,4.8,4.8,4.75,4.75,171200.0,4.8,4.85,4.8,4.85,229300.0,4.85
2012-01-04,4.84,4.84,4.75,4.8,60800.0,4.8,4.85,4.75,4.85,202100.0,4.75,4.8,4.75,4.8,9600.0,4.75,4.75,4.75,4.75,23300.0,4.8,4.8,4.75,4.75,171200.0,4.9
2012-01-05,4.8,4.8,4.7,4.75,203800.0,4.84,4.84,4.75,4.8,60800.0,4.8,4.85,4.75,4.85,202100.0,4.75,4.8,4.75,4.8,9600.0,4.75,4.75,4.75,4.75,23300.0,4.8
2012-01-06,4.75,4.75,4.7,4.75,253200.0,4.8,4.8,4.7,4.75,203800.0,4.84,4.84,4.75,4.8,60800.0,4.8,4.85,4.75,4.85,202100.0,4.75,4.8,4.75,4.8,9600.0,4.85
2012-01-09,4.79,4.79,4.75,4.78,19300.0,4.75,4.75,4.7,4.75,253200.0,4.8,4.8,4.7,4.75,203800.0,4.84,4.84,4.75,4.8,60800.0,4.8,4.85,4.75,4.85,202100.0,4.95
2012-01-10,4.8,4.9,4.76,4.9,55300.0,4.79,4.79,4.75,4.78,19300.0,4.75,4.75,4.7,4.75,253200.0,4.8,4.8,4.7,4.75,203800.0,4.84,4.84,4.75,4.8,60800.0,5.0
2012-01-11,4.9,4.9,4.8,4.85,770900.0,4.8,4.9,4.76,4.9,55300.0,4.79,4.79,4.75,4.78,19300.0,4.75,4.75,4.7,4.75,253200.0,4.8,4.8,4.7,4.75,203800.0,5.3
2012-01-12,4.85,4.9,4.85,4.9,33400.0,4.9,4.9,4.8,4.85,770900.0,4.8,4.9,4.76,4.9,55300.0,4.79,4.79,4.75,4.78,19300.0,4.75,4.75,4.7,4.75,253200.0,5.4
2012-01-13,4.9,4.9,4.8,4.8,501700.0,4.85,4.9,4.85,4.9,33400.0,4.9,4.9,4.8,4.85,770900.0,4.8,4.9,4.76,4.9,55300.0,4.79,4.79,4.75,4.78,19300.0,5.4
2012-01-16,4.85,4.85,4.8,4.85,238600.0,4.9,4.9,4.8,4.8,501700.0,4.85,4.9,4.85,4.9,33400.0,4.9,4.9,4.8,4.85,770900.0,4.8,4.9,4.76,4.9,55300.0,5.45
2012-01-17,4.9,4.95,4.9,4.95,64600.0,4.85,4.85,4.8,4.85,238600.0,4.9,4.9,4.8,4.8,501700.0,4.85,4.9,4.85,4.9,33400.0,4.9,4.9,4.8,4.85,770900.0,5.4
2012-01-18,4.99,5.0,4.9,5.0,1670000.0,4.9,4.95,4.9,4.95,64600.0,4.85,4.85,4.8,4.85,238600.0,4.9,4.9,4.8,4.8,501700.0,4.85,4.9,4.85,4.9,33400.0,5.35
