date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2011-06-13,13.3,13.6,13.3,13.35,27100.0,13.65,13.66,13.32,13.32,21200.0,13.6,13.65,13.55,13.65,81700.0,13.65,13.65,13.3,13.5,188400.0,13.25,13.72,13.22,13.58,1035300.0,12.66
2011-06-14,13.69,13.69,13.32,13.66,120800.0,13.3,13.6,13.3,13.35,27100.0,13.65,13.66,13.32,13.32,21200.0,13.6,13.65,13.55,13.65,81700.0,13.65,13.65,13.3,13.5,188400.0,12.33
2011-06-15,13.34,13.49,13.32,13.49,82300.0,13.69,13.69,13.32,13.66,120800.0,13.3,13.6,13.3,13.35,27100.0,13.65,13.66,13.32,13.32,21200.0,13.6,13.65,13.55,13.65,81700.0,12.2
2011-06-16,13.34,13.45,13.34,13.35,89100.0,13.34,13.49,13.32,13.49,82300.0,13.69,13.69,13.32,13.66,120800.0,13.3,13.6,13.3,13.35,27100.0,13.65,13.66,13.32,13.32,21200.0,12.01
2011-06-17,13.32,13.75,12.87,13.4,334400.0,13.34,13.45,13.34,13.35,89100.0,13.34,13.49,13.32,13.49,82300.0,13.69,13.69,13.32,13.66,120800.0,13.3,13.6,13.3,13.35,27100.0,12.04
2011-06-20,13.26,13.4,12.76,12.87,84600.0,13.32,13.75,12.87,13.4,334400.0,13.34,13.45,13.34,13.35,89100.0,13.34,13.49,13.32,13.49,82300.0,13.69,13.69,13.32,13.66,120800.0,12.17
2011-06-21,12.75,13.0,12.35,12.66,175200.0,13.26,13.4,12.76,12.87,84600.0,13.32,13.75,12.87,13.4,334400.0,13.34,13.45,13.34,13.35,89100.0,13.34,13.49,13.32,13.49,82300.0,12.15
2011-06-22,12.35,12.55,12.25,12.33,463700.0,12.75,13.0,12.35,12.66,175200.0,13.26,13.4,12.76,12.87,84600.0,13.32,13.75,12.87,13.4,334400.0,13.34,13.45,13.34,13.35,89100.0,12.41
2011-06-23,12.25,12.5,12.1,12.2,721100.0,12.35,12.55,12.25,12.33,463700.0,12.75,13.0,12.35,12.66,175200.0,13.26,13.4,12.76,12.87,84600.0,13.32,13.75,12.87,13.4,334400.0,12.58
2011-06-24,12.1,12.15,12.0,12.01,54800.0,12.25,12.5,12.1,12.2,721100.0,12.35,12.55,12.25,12.33,463700.0,12.75,13.0,12.35,12.66,175200.0,13.26,13.4,12.76,12.87,84600.0,12.64
2011-06-27,11.92,12.49,11.92,12.04,212400.0,12.1,12.15,12.0,12.01,54800.0,12.25,12.5,12.1,12.2,721100.0,12.35,12.55,12.25,12.33,463700.0,12.75,13.0,12.35,12.66,175200.0,12.25
2011-06-28,11.9,12.17,11.9,12.17,105900.0,11.92,12.49,11.92,12.04,212400.0,12.1,12.15,12.0,12.01,54800.0,12.25,12.5,12.1,12.2,721100.0,12.35,12.55,12.25,12.33,463700.0,12.3
2011-06-29,12.06,12.16,12.01,12.15,238000.0,11.9,12.17,11.9,12.17,105900.0,11.92,12.49,11.92,12.04,212400.0,12.1,12.15,12.0,12.01,54800.0,12.25,12.5,12.1,12.2,721100.0,12.38
