date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2004-05-18,8.5,8.5,8.5,8.5,2000.0,8.5,8.5,8.5,8.5,0.0,8.5,8.5,8.5,8.5,2800.0,8.4,8.4,8.4,8.4,2000.0,8.25,8.25,8.25,8.25,0.0,8.2
2004-05-19,8.5,8.5,8.5,8.5,0.0,8.5,8.5,8.5,8.5,2000.0,8.5,8.5,8.5,8.5,0.0,8.5,8.5,8.5,8.5,2800.0,8.4,8.4,8.4,8.4,2000.0,8.21
2004-05-20,8.3,8.35,8.3,8.35,1600.0,8.5,8.5,8.5,8.5,0.0,8.5,8.5,8.5,8.5,2000.0,8.5,8.5,8.5,8.5,0.0,8.5,8.5,8.5,8.5,2800.0,8.35
2004-05-21,8.25,8.25,8.25,8.25,1100.0,8.3,8.35,8.3,8.35,1600.0,8.5,8.5,8.5,8.5,0.0,8.5,8.5,8.5,8.5,2000.0,8.5,8.5,8.5,8.5,0.0,8.1
2004-05-24,0.0,0.0,0.0,0.0,0.0,8.25,8.25,8.25,8.25,1100.0,8.3,8.35,8.3,8.35,1600.0,8.5,8.5,8.5,8.5,0.0,8.5,8.5,8.5,8.5,2000.0,8.1
2004-05-25,8.1,8.2,8.1,8.2,1800.0,0.0,0.0,0.0,0.0,0.0,8.25,8.25,8.25,8.25,1100.0,8.3,8.35,8.3,8.35,1600.0,8.5,8.5,8.5,8.5,0.0,8.11
2004-05-26,8.2,8.2,8.2,8.2,0.0,8.1,8.2,8.1,8.2,1800.0,0.0,0.0,0.0,0.0,0.0,8.25,8.25,8.25,8.25,1100.0,8.3,8.35,8.3,8.35,1600.0,8.11
2004-05-27,8.21,8.21,8.21,8.21,1000.0,8.2,8.2,8.2,8.2,0.0,8.1,8.2,8.1,8.2,1800.0,0.0,0.0,0.0,0.0,0.0,8.25,8.25,8.25,8.25,1100.0,8.11
2004-05-28,8.21,8.35,8.2,8.35,1500.0,8.21,8.21,8.21,8.21,1000.0,8.2,8.2,8.2,8.2,0.0,8.1,8.2,8.1,8.2,1800.0,0.0,0.0,0.0,0.0,0.0,8.25
2004-05-31,8.1,8.1,8.1,8.1,900.0,8.21,8.35,8.2,8.35,1500.0,8.21,8.21,8.21,8.21,1000.0,8.2,8.2,8.2,8.2,0.0,8.1,8.2,8.1,8.2,1800.0,8.25
2004-06-01,8.1,8.1,8.1,8.1,0.0,8.1,8.1,8.1,8.1,900.0,8.21,8.35,8.2,8.35,1500.0,8.21,8.21,8.21,8.21,1000.0,8.2,8.2,8.2,8.2,0.0,8.25
2004-06-02,8.11,8.11,8.11,8.11,800.0,8.1,8.1,8.1,8.1,0.0,8.1,8.1,8.1,8.1,900.0,8.21,8.35,8.2,8.35,1500.0,8.21,8.21,8.21,8.21,1000.0,8.25
2004-06-03,8.11,8.11,8.11,8.11,0.0,8.11,8.11,8.11,8.11,800.0,8.1,8.1,8.1,8.1,0.0,8.1,8.1,8.1,8.1,900.0,8.21,8.35,8.2,8.35,1500.0,8.25
2004-06-04,8.11,8.11,8.11,8.11,0.0,8.11,8.11,8.11,8.11,0.0,8.11,8.11,8.11,8.11,800.0,8.1,8.1,8.1,8.1,0.0,8.1,8.1,8.1,8.1,900.0,8.25
2004-06-07,8.25,8.25,8.25,8.25,900.0,8.11,8.11,8.11,8.11,0.0,8.11,8.11,8.11,8.11,0.0,8.11,8.11,8.11,8.11,800.0,8.1,8.1,8.1,8.1,0.0,8.25
2004-06-08,8.25,8.25,8.25,8.25,1100.0,8.25,8.25,8.25,8.25,900.0,8.11,8.11,8.11,8.11,0.0,8.11,8.11,8.11,8.11,0.0,8.11,8.11,8.11,8.11,800.0,8.25
2004-06-09,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,1100.0,8.25,8.25,8.25,8.25,900.0,8.11,8.11,8.11,8.11,0.0,8.11,8.11,8.11,8.11,0.0,8.25
2004-06-10,8.25,8.25,8.25,8.25,2000.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,1100.0,8.25,8.25,8.25,8.25,900.0,8.11,8.11,8.11,8.11,0.0,8.45
2004-06-11,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,2000.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,1100.0,8.25,8.25,8.25,8.25,900.0,8.45
2004-06-14,8.32,8.32,8.1,8.25,4300.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,2000.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,1100.0,8.45
2004-06-15,8.25,8.25,8.25,8.25,0.0,8.32,8.32,8.1,8.25,4300.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,2000.0,8.25,8.25,8.25,8.25,0.0,8.45
2004-06-16,8.25,8.25,8.25,8.25,2000.0,8.25,8.25,8.25,8.25,0.0,8.32,8.32,8.1,8.25,4300.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,2000.0,8.25
2004-06-17,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,2000.0,8.25,8.25,8.25,8.25,0.0,8.32,8.32,8.1,8.25,4300.0,8.25,8.25,8.25,8.25,0.0,8.25
2004-06-18,8.45,8.45,8.45,8.45,800.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,2000.0,8.25,8.25,8.25,8.25,0.0,8.32,8.32,8.1,8.25,4300.0,8.11
2004-06-21,8.45,8.45,8.45,8.45,0.0,8.45,8.45,8.45,8.45,800.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,2000.0,8.25,8.25,8.25,8.25,0.0,8.11
2004-06-22,8.45,8.45,8.45,8.45,0.0,8.45,8.45,8.45,8.45,0.0,8.45,8.45,8.45,8.45,800.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,2000.0,8.11
2004-06-23,8.45,8.45,8.25,8.45,1600.0,8.45,8.45,8.45,8.45,0.0,8.45,8.45,8.45,8.45,0.0,8.45,8.45,8.45,8.45,800.0,8.25,8.25,8.25,8.25,0.0,0.0
2004-06-24,8.25,8.25,8.25,8.25,200.0,8.45,8.45,8.25,8.45,1600.0,8.45,8.45,8.45,8.45,0.0,8.45,8.45,8.45,8.45,0.0,8.45,8.45,8.45,8.45,800.0,8.11
2004-06-25,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,200.0,8.45,8.45,8.25,8.45,1600.0,8.45,8.45,8.45,8.45,0.0,8.45,8.45,8.45,8.45,0.0,8.11
2004-06-28,8.11,8.11,8.11,8.11,500.0,8.25,8.25,8.25,8.25,0.0,8.25,8.25,8.25,8.25,200.0,8.45,8.45,8.25,8.45,1600.0,8.45,8.45,8.45,8.45,0.0,8.11
