date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,14.1,14.45,14.1,14.4,75600.0,14.25,14.5,14.25,14.25,137500.0,14.25,14.5,14.15,14.25,64800.0,14.55,14.6,14.3,14.3,79500.0,14.5,14.6,14.2,14.55,362100.0,13.9
2000-01-13,14.3,14.4,14.0,14.25,772700.0,14.1,14.45,14.1,14.4,75600.0,14.25,14.5,14.25,14.25,137500.0,14.25,14.5,14.15,14.25,64800.0,14.55,14.6,14.3,14.3,79500.0,13.95
2000-01-14,14.25,14.25,13.75,14.1,125800.0,14.3,14.4,14.0,14.25,772700.0,14.1,14.45,14.1,14.4,75600.0,14.25,14.5,14.25,14.25,137500.0,14.25,14.5,14.15,14.25,64800.0,13.8
2000-01-17,14.2,14.2,13.95,14.1,207500.0,14.25,14.25,13.75,14.1,125800.0,14.3,14.4,14.0,14.25,772700.0,14.1,14.45,14.1,14.4,75600.0,14.25,14.5,14.25,14.25,137500.0,14.4
2000-01-18,14.1,14.2,14.05,14.15,45400.0,14.2,14.2,13.95,14.1,207500.0,14.25,14.25,13.75,14.1,125800.0,14.3,14.4,14.0,14.25,772700.0,14.1,14.45,14.1,14.4,75600.0,14.3
2000-01-19,14.15,14.45,14.0,14.15,78500.0,14.1,14.2,14.05,14.15,45400.0,14.2,14.2,13.95,14.1,207500.0,14.25,14.25,13.75,14.1,125800.0,14.3,14.4,14.0,14.25,772700.0,14.05
2000-01-20,14.1,14.25,13.75,13.9,93000.0,14.15,14.45,14.0,14.15,78500.0,14.1,14.2,14.05,14.15,45400.0,14.2,14.2,13.95,14.1,207500.0,14.25,14.25,13.75,14.1,125800.0,13.65
2000-01-21,14.45,14.45,13.75,13.95,63700.0,14.1,14.25,13.75,13.9,93000.0,14.15,14.45,14.0,14.15,78500.0,14.1,14.2,14.05,14.15,45400.0,14.2,14.2,13.95,14.1,207500.0,13.65
2000-01-24,14.15,14.2,13.75,13.8,127800.0,14.45,14.45,13.75,13.95,63700.0,14.1,14.25,13.75,13.9,93000.0,14.15,14.45,14.0,14.15,78500.0,14.1,14.2,14.05,14.15,45400.0,13.45
2000-01-25,13.7,14.45,13.15,14.4,128600.0,14.15,14.2,13.75,13.8,127800.0,14.45,14.45,13.75,13.95,63700.0,14.1,14.25,13.75,13.9,93000.0,14.15,14.45,14.0,14.15,78500.0,14.0
2000-01-26,14.0,14.35,14.0,14.3,62300.0,13.7,14.45,13.15,14.4,128600.0,14.15,14.2,13.75,13.8,127800.0,14.45,14.45,13.75,13.95,63700.0,14.1,14.25,13.75,13.9,93000.0,14.1
