date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,4.65,4.725,4.65,4.6667,193278.0,4.6417,4.7333,4.6417,4.7333,318840.0,4.6667,4.6667,4.625,4.625,39300.0,4.5833,4.7083,4.5833,4.6667,69780.0,4.5417,4.5833,4.5417,4.5833,242082.0,4.675
2000-01-12,4.6667,4.8,4.6667,4.7667,111420.0,4.65,4.725,4.65,4.6667,193278.0,4.6417,4.7333,4.6417,4.7333,318840.0,4.6667,4.6667,4.625,4.625,39300.0,4.5833,4.7083,4.5833,4.6667,69780.0,4.5417
2000-01-13,4.7083,4.7667,4.7083,4.75,494928.0,4.6667,4.8,4.6667,4.7667,111420.0,4.65,4.725,4.65,4.6667,193278.0,4.6417,4.7333,4.6417,4.7333,318840.0,4.6667,4.6667,4.625,4.625,39300.0,4.4167
2000-01-14,4.6,4.7917,4.6,4.7917,403470.0,4.7083,4.7667,4.7083,4.75,494928.0,4.6667,4.8,4.6667,4.7667,111420.0,4.65,4.725,4.65,4.6667,193278.0,4.6417,4.7333,4.6417,4.7333,318840.0,4.4167
2000-01-17,4.6667,4.7917,4.6667,4.75,48900.0,4.6,4.7917,4.6,4.7917,403470.0,4.7083,4.7667,4.7083,4.75,494928.0,4.6667,4.8,4.6667,4.7667,111420.0,4.65,4.725,4.65,4.6667,193278.0,4.4167
2000-01-18,4.7917,4.7917,4.7583,4.7583,31512.0,4.6667,4.7917,4.6667,4.75,48900.0,4.6,4.7917,4.6,4.7917,403470.0,4.7083,4.7667,4.7083,4.75,494928.0,4.6667,4.8,4.6667,4.7667,111420.0,4.4167
2000-01-19,4.5833,4.7167,4.5833,4.675,348990.0,4.7917,4.7917,4.7583,4.7583,31512.0,4.6667,4.7917,4.6667,4.75,48900.0,4.6,4.7917,4.6,4.7917,403470.0,4.7083,4.7667,4.7083,4.75,494928.0,4.4167
2000-01-20,4.7167,4.7167,4.5417,4.5417,233154.0,4.5833,4.7167,4.5833,4.675,348990.0,4.7917,4.7917,4.7583,4.7583,31512.0,4.6667,4.7917,4.6667,4.75,48900.0,4.6,4.7917,4.6,4.7917,403470.0,4.6667
2000-01-21,4.625,4.625,4.4167,4.4167,83430.0,4.7167,4.7167,4.5417,4.5417,233154.0,4.5833,4.7167,4.5833,4.675,348990.0,4.7917,4.7917,4.7583,4.7583,31512.0,4.6667,4.7917,4.6667,4.75,48900.0,4.6667
2000-01-24,4.4583,4.4583,4.4167,4.4167,95622.0,4.625,4.625,4.4167,4.4167,83430.0,4.7167,4.7167,4.5417,4.5417,233154.0,4.5833,4.7167,4.5833,4.675,348990.0,4.7917,4.7917,4.7583,4.7583,31512.0,4.5833
