date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,5.5333,5.5333,5.4167,5.4583,342000.0,5.5833,5.6417,5.4583,5.4583,807600.0,5.3833,5.6583,5.3833,5.6583,795000.0,5.5,5.5333,5.1667,5.5333,1665000.0,5.25,5.5,5.25,5.5,585600.0,6.2083
2000-01-13,5.5,5.575,5.5,5.525,277200.0,5.5333,5.5333,5.4167,5.4583,342000.0,5.5833,5.6417,5.4583,5.4583,807600.0,5.3833,5.6583,5.3833,5.6583,795000.0,5.5,5.5333,5.1667,5.5333,1665000.0,6.2083
2000-01-14,5.5833,5.6583,5.4583,5.5833,2064000.0,5.5,5.575,5.5,5.525,277200.0,5.5333,5.5333,5.4167,5.4583,342000.0,5.5833,5.6417,5.4583,5.4583,807600.0,5.3833,5.6583,5.3833,5.6583,795000.0,6.075
2000-01-17,5.6667,5.875,5.6667,5.8333,359400.0,5.5833,5.6583,5.4583,5.5833,2064000.0,5.5,5.575,5.5,5.525,277200.0,5.5333,5.5333,5.4167,5.4583,342000.0,5.5833,5.6417,5.4583,5.4583,807600.0,5.7917
2000-01-18,6.0,6.2417,5.9583,6.1667,1400400.0,5.6667,5.875,5.6667,5.8333,359400.0,5.5833,5.6583,5.4583,5.5833,2064000.0,5.5,5.575,5.5,5.525,277200.0,5.5333,5.5333,5.4167,5.4583,342000.0,5.8667
2000-01-19,6.25,6.3333,6.25,6.3167,2381400.0,6.0,6.2417,5.9583,6.1667,1400400.0,5.6667,5.875,5.6667,5.8333,359400.0,5.5833,5.6583,5.4583,5.5833,2064000.0,5.5,5.575,5.5,5.525,277200.0,5.75
2000-01-20,6.2833,6.2833,6.175,6.2083,1892400.0,6.25,6.3333,6.25,6.3167,2381400.0,6.0,6.2417,5.9583,6.1667,1400400.0,5.6667,5.875,5.6667,5.8333,359400.0,5.5833,5.6583,5.4583,5.5833,2064000.0,5.5667
2000-01-21,6.2,6.2333,6.1917,6.2083,1183800.0,6.2833,6.2833,6.175,6.2083,1892400.0,6.25,6.3333,6.25,6.3167,2381400.0,6.0,6.2417,5.9583,6.1667,1400400.0,5.6667,5.875,5.6667,5.8333,359400.0,5.5833
2000-01-24,6.25,6.25,6.05,6.075,562200.0,6.2,6.2333,6.1917,6.2083,1183800.0,6.2833,6.2833,6.175,6.2083,1892400.0,6.25,6.3333,6.25,6.3167,2381400.0,6.0,6.2417,5.9583,6.1667,1400400.0,5.6667
2000-01-25,6.075,6.075,5.75,5.7917,994800.0,6.25,6.25,6.05,6.075,562200.0,6.2,6.2333,6.1917,6.2083,1183800.0,6.2833,6.2833,6.175,6.2083,1892400.0,6.25,6.3333,6.25,6.3167,2381400.0,5.75
2000-01-26,5.95,6.0,5.8,5.8667,774000.0,6.075,6.075,5.75,5.7917,994800.0,6.25,6.25,6.05,6.075,562200.0,6.2,6.2333,6.1917,6.2083,1183800.0,6.2833,6.2833,6.175,6.2083,1892400.0,5.525
2000-01-27,5.7917,5.8583,5.75,5.75,453000.0,5.95,6.0,5.8,5.8667,774000.0,6.075,6.075,5.75,5.7917,994800.0,6.25,6.25,6.05,6.075,562200.0,6.2,6.2333,6.1917,6.2083,1183800.0,5.6583
2000-01-28,5.7417,5.7417,5.5667,5.5667,112800.0,5.7917,5.8583,5.75,5.75,453000.0,5.95,6.0,5.8,5.8667,774000.0,6.075,6.075,5.75,5.7917,994800.0,6.25,6.25,6.05,6.075,562200.0,5.0
2000-01-31,5.5667,5.6667,5.425,5.5833,468600.0,5.7417,5.7417,5.5667,5.5667,112800.0,5.7917,5.8583,5.75,5.75,453000.0,5.95,6.0,5.8,5.8667,774000.0,6.075,6.075,5.75,5.7917,994800.0,5.2583
2000-02-01,5.5833,5.6667,5.4667,5.6667,307800.0,5.5667,5.6667,5.425,5.5833,468600.0,5.7417,5.7417,5.5667,5.5667,112800.0,5.7917,5.8583,5.75,5.75,453000.0,5.95,6.0,5.8,5.8667,774000.0,5.1083
2000-02-02,5.6667,5.8333,5.6667,5.75,759000.0,5.5833,5.6667,5.4667,5.6667,307800.0,5.5667,5.6667,5.425,5.5833,468600.0,5.7417,5.7417,5.5667,5.5667,112800.0,5.7917,5.8583,5.75,5.75,453000.0,5.325
2000-02-03,5.6833,5.7333,5.525,5.525,379200.0,5.6667,5.8333,5.6667,5.75,759000.0,5.5833,5.6667,5.4667,5.6667,307800.0,5.5667,5.6667,5.425,5.5833,468600.0,5.7417,5.7417,5.5667,5.5667,112800.0,5.4167
2000-02-04,5.5,5.6583,5.5,5.6583,70800.0,5.6833,5.7333,5.525,5.525,379200.0,5.6667,5.8333,5.6667,5.75,759000.0,5.5833,5.6667,5.4667,5.6667,307800.0,5.5667,5.6667,5.425,5.5833,468600.0,5.6417
2000-02-07,5.5333,5.5333,5.0,5.0,52200.0,5.5,5.6583,5.5,5.6583,70800.0,5.6833,5.7333,5.525,5.525,379200.0,5.6667,5.8333,5.6667,5.75,759000.0,5.5833,5.6667,5.4667,5.6667,307800.0,5.9583
2000-02-08,5.1833,5.425,5.1833,5.2583,100200.0,5.5333,5.5333,5.0,5.0,52200.0,5.5,5.6583,5.5,5.6583,70800.0,5.6833,5.7333,5.525,5.525,379200.0,5.6667,5.8333,5.6667,5.75,759000.0,5.85
2000-02-09,5.0167,5.25,5.0167,5.1083,192000.0,5.1833,5.425,5.1833,5.2583,100200.0,5.5333,5.5333,5.0,5.0,52200.0,5.5,5.6583,5.5,5.6583,70800.0,5.6833,5.7333,5.525,5.525,379200.0,5.9083
2000-02-10,5.1667,5.3417,5.1583,5.325,127800.0,5.0167,5.25,5.0167,5.1083,192000.0,5.1833,5.425,5.1833,5.2583,100200.0,5.5333,5.5333,5.0,5.0,52200.0,5.5,5.6583,5.5,5.6583,70800.0,5.8333
2000-02-11,5.35,5.5,5.35,5.4167,67800.0,5.1667,5.3417,5.1583,5.325,127800.0,5.0167,5.25,5.0167,5.1083,192000.0,5.1833,5.425,5.1833,5.2583,100200.0,5.5333,5.5333,5.0,5.0,52200.0,5.6333
2000-02-14,5.5,5.675,5.4417,5.6417,457800.0,5.35,5.5,5.35,5.4167,67800.0,5.1667,5.3417,5.1583,5.325,127800.0,5.0167,5.25,5.0167,5.1083,192000.0,5.1833,5.425,5.1833,5.2583,100200.0,5.6083
