date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,225.0,225.5,223.0,223.0,7800.0,224.0,225.0,220.0,222.0,14300.0,212.0,220.0,212.0,220.0,14300.0,215.35,220.0,210.0,215.0,69000.0,236.0,236.0,215.35,218.0,35200.0,189.0
2000-01-13,225.0,225.0,219.0,219.0,9600.0,225.0,225.5,223.0,223.0,7800.0,224.0,225.0,220.0,222.0,14300.0,212.0,220.0,212.0,220.0,14300.0,215.35,220.0,210.0,215.0,69000.0,192.5
2000-01-14,219.0,219.0,205.0,207.0,40700.0,225.0,225.0,219.0,219.0,9600.0,225.0,225.5,223.0,223.0,7800.0,224.0,225.0,220.0,222.0,14300.0,212.0,220.0,212.0,220.0,14300.0,197.0
2000-01-17,207.0,209.0,205.0,207.0,10100.0,219.0,219.0,205.0,207.0,40700.0,225.0,225.0,219.0,219.0,9600.0,225.0,225.5,223.0,223.0,7800.0,224.0,225.0,220.0,222.0,14300.0,195.55
2000-01-18,210.0,210.0,201.5,204.45,9500.0,207.0,209.0,205.0,207.0,10100.0,219.0,219.0,205.0,207.0,40700.0,225.0,225.0,219.0,219.0,9600.0,225.0,225.5,223.0,223.0,7800.0,198.0
2000-01-19,202.0,204.0,185.0,185.0,58800.0,210.0,210.0,201.5,204.45,9500.0,207.0,209.0,205.0,207.0,10100.0,219.0,219.0,205.0,207.0,40700.0,225.0,225.0,219.0,219.0,9600.0,198.5
2000-01-20,198.0,198.0,181.0,189.0,87000.0,202.0,204.0,185.0,185.0,58800.0,210.0,210.0,201.5,204.45,9500.0,207.0,209.0,205.0,207.0,10100.0,219.0,219.0,205.0,207.0,40700.0,197.0
2000-01-21,191.1,194.0,190.0,192.5,19300.0,198.0,198.0,181.0,189.0,87000.0,202.0,204.0,185.0,185.0,58800.0,210.0,210.0,201.5,204.45,9500.0,207.0,209.0,205.0,207.0,10100.0,200.0
2000-01-24,195.0,198.0,193.0,197.0,40200.0,191.1,194.0,190.0,192.5,19300.0,198.0,198.0,181.0,189.0,87000.0,202.0,204.0,185.0,185.0,58800.0,210.0,210.0,201.5,204.45,9500.0,200.0
2000-01-25,199.0,199.0,195.0,195.55,45800.0,195.0,198.0,193.0,197.0,40200.0,191.1,194.0,190.0,192.5,19300.0,198.0,198.0,181.0,189.0,87000.0,202.0,204.0,185.0,185.0,58800.0,202.0
2000-01-26,198.5,199.0,195.55,198.0,9300.0,199.0,199.0,195.0,195.55,45800.0,195.0,198.0,193.0,197.0,40200.0,191.1,194.0,190.0,192.5,19300.0,198.0,198.0,181.0,189.0,87000.0,204.0
2000-01-27,197.75,198.5,196.0,198.5,27200.0,198.5,199.0,195.55,198.0,9300.0,199.0,199.0,195.0,195.55,45800.0,195.0,198.0,193.0,197.0,40200.0,191.1,194.0,190.0,192.5,19300.0,204.0
2000-01-28,198.45,200.0,195.5,197.0,27000.0,197.75,198.5,196.0,198.5,27200.0,198.5,199.0,195.55,198.0,9300.0,199.0,199.0,195.0,195.55,45800.0,195.0,198.0,193.0,197.0,40200.0,198.0
2000-01-31,196.85,200.0,195.05,200.0,18900.0,198.45,200.0,195.5,197.0,27000.0,197.75,198.5,196.0,198.5,27200.0,198.5,199.0,195.55,198.0,9300.0,199.0,199.0,195.0,195.55,45800.0,202.5
2000-02-01,204.5,209.0,200.0,200.0,30100.0,196.85,200.0,195.05,200.0,18900.0,198.45,200.0,195.5,197.0,27000.0,197.75,198.5,196.0,198.5,27200.0,198.5,199.0,195.55,198.0,9300.0,196.0
2000-02-02,210.0,210.0,200.0,202.0,27700.0,204.5,209.0,200.0,200.0,30100.0,196.85,200.0,195.05,200.0,18900.0,198.45,200.0,195.5,197.0,27000.0,197.75,198.5,196.0,198.5,27200.0,197.0
2000-02-03,202.0,207.0,201.0,204.0,9900.0,210.0,210.0,200.0,202.0,27700.0,204.5,209.0,200.0,200.0,30100.0,196.85,200.0,195.05,200.0,18900.0,198.45,200.0,195.5,197.0,27000.0,196.05
2000-02-04,208.0,208.0,200.0,204.0,13700.0,202.0,207.0,201.0,204.0,9900.0,210.0,210.0,200.0,202.0,27700.0,204.5,209.0,200.0,200.0,30100.0,196.85,200.0,195.05,200.0,18900.0,196.65
2000-02-07,190.0,199.5,181.0,198.0,69200.0,208.0,208.0,200.0,204.0,13700.0,202.0,207.0,201.0,204.0,9900.0,210.0,210.0,200.0,202.0,27700.0,204.5,209.0,200.0,200.0,30100.0,196.15
2000-02-08,198.05,207.0,198.05,202.5,73500.0,190.0,199.5,181.0,198.0,69200.0,208.0,208.0,200.0,204.0,13700.0,202.0,207.0,201.0,204.0,9900.0,210.0,210.0,200.0,202.0,27700.0,196.0
2000-02-09,203.0,203.0,196.0,196.0,62300.0,198.05,207.0,198.05,202.5,73500.0,190.0,199.5,181.0,198.0,69200.0,208.0,208.0,200.0,204.0,13700.0,202.0,207.0,201.0,204.0,9900.0,195.0
