date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-07-10,0.5,0.5,0.5,0.5,2500.0,0.5,0.504,0.492,0.5,31000.0,0.504,0.504,0.49,0.49,55000.0,0.5,0.5,0.5,0.5,862500.0,0.502,0.504,0.498,0.5,58500.0,0.484
2000-07-11,0.49,0.49,0.49,0.49,30000.0,0.5,0.5,0.5,0.5,2500.0,0.5,0.504,0.492,0.5,31000.0,0.504,0.504,0.49,0.49,55000.0,0.5,0.5,0.5,0.5,862500.0,0.48
2000-07-12,0.47,0.476,0.47,0.476,42000.0,0.49,0.49,0.49,0.49,30000.0,0.5,0.5,0.5,0.5,2500.0,0.5,0.504,0.492,0.5,31000.0,0.504,0.504,0.49,0.49,55000.0,0.482
2000-07-13,0.476,0.496,0.476,0.478,46000.0,0.47,0.476,0.47,0.476,42000.0,0.49,0.49,0.49,0.49,30000.0,0.5,0.5,0.5,0.5,2500.0,0.5,0.504,0.492,0.5,31000.0,0.498
2000-07-14,0.476,0.48,0.476,0.48,48000.0,0.476,0.496,0.476,0.478,46000.0,0.47,0.476,0.47,0.476,42000.0,0.49,0.49,0.49,0.49,30000.0,0.5,0.5,0.5,0.5,2500.0,0.504
2000-07-17,0.478,0.49,0.478,0.49,5000.0,0.476,0.48,0.476,0.48,48000.0,0.476,0.496,0.476,0.478,46000.0,0.47,0.476,0.47,0.476,42000.0,0.49,0.49,0.49,0.49,30000.0,0.52
2000-07-18,0.488,0.49,0.48,0.484,41500.0,0.478,0.49,0.478,0.49,5000.0,0.476,0.48,0.476,0.48,48000.0,0.476,0.496,0.476,0.478,46000.0,0.47,0.476,0.47,0.476,42000.0,0.502
2000-07-19,0.48,0.48,0.48,0.48,33000.0,0.488,0.49,0.48,0.484,41500.0,0.478,0.49,0.478,0.49,5000.0,0.476,0.48,0.476,0.48,48000.0,0.476,0.496,0.476,0.478,46000.0,0.502
2000-07-20,0.482,0.498,0.48,0.482,134500.0,0.48,0.48,0.48,0.48,33000.0,0.488,0.49,0.48,0.484,41500.0,0.478,0.49,0.478,0.49,5000.0,0.476,0.48,0.476,0.48,48000.0,0.51
2000-07-21,0.49,0.498,0.49,0.498,45500.0,0.482,0.498,0.48,0.482,134500.0,0.48,0.48,0.48,0.48,33000.0,0.488,0.49,0.48,0.484,41500.0,0.478,0.49,0.478,0.49,5000.0,0.502
2000-07-24,0.5,0.51,0.5,0.504,206500.0,0.49,0.498,0.49,0.498,45500.0,0.482,0.498,0.48,0.482,134500.0,0.48,0.48,0.48,0.48,33000.0,0.488,0.49,0.48,0.484,41500.0,0.504
2000-07-25,0.51,0.52,0.504,0.52,108500.0,0.5,0.51,0.5,0.504,206500.0,0.49,0.498,0.49,0.498,45500.0,0.482,0.498,0.48,0.482,134500.0,0.48,0.48,0.48,0.48,33000.0,0.502
2000-07-26,0.512,0.512,0.502,0.502,25000.0,0.51,0.52,0.504,0.52,108500.0,0.5,0.51,0.5,0.504,206500.0,0.49,0.498,0.49,0.498,45500.0,0.482,0.498,0.48,0.482,134500.0,0.502
2000-07-27,0.502,0.51,0.502,0.502,115000.0,0.512,0.512,0.502,0.502,25000.0,0.51,0.52,0.504,0.52,108500.0,0.5,0.51,0.5,0.504,206500.0,0.49,0.498,0.49,0.498,45500.0,0.51
2000-07-28,0.504,0.51,0.502,0.51,35000.0,0.502,0.51,0.502,0.502,115000.0,0.512,0.512,0.502,0.502,25000.0,0.51,0.52,0.504,0.52,108500.0,0.5,0.51,0.5,0.504,206500.0,0.0
2000-07-31,0.502,0.502,0.502,0.502,210000.0,0.504,0.51,0.502,0.51,35000.0,0.502,0.51,0.502,0.502,115000.0,0.512,0.512,0.502,0.502,25000.0,0.51,0.52,0.504,0.52,108500.0,0.5
2000-08-01,0.502,0.51,0.502,0.504,20500.0,0.502,0.502,0.502,0.502,210000.0,0.504,0.51,0.502,0.51,35000.0,0.502,0.51,0.502,0.502,115000.0,0.512,0.512,0.502,0.502,25000.0,0.5
2000-08-02,0.51,0.51,0.5,0.502,57000.0,0.502,0.51,0.502,0.504,20500.0,0.502,0.502,0.502,0.502,210000.0,0.504,0.51,0.502,0.51,35000.0,0.502,0.51,0.502,0.502,115000.0,0.5
2000-08-03,0.502,0.502,0.502,0.502,10000.0,0.51,0.51,0.5,0.502,57000.0,0.502,0.51,0.502,0.504,20500.0,0.502,0.502,0.502,0.502,210000.0,0.504,0.51,0.502,0.51,35000.0,0.5
2000-08-04,0.502,0.51,0.502,0.51,15000.0,0.502,0.502,0.502,0.502,10000.0,0.51,0.51,0.5,0.502,57000.0,0.502,0.51,0.502,0.504,20500.0,0.502,0.502,0.502,0.502,210000.0,0.49
2000-08-07,0.0,0.0,0.0,0.0,0.0,0.502,0.51,0.502,0.51,15000.0,0.502,0.502,0.502,0.502,10000.0,0.51,0.51,0.5,0.502,57000.0,0.502,0.51,0.502,0.504,20500.0,0.482
