date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2007-12-11,15.1,15.1,15.01,15.05,814700.0,15.05,15.15,15.01,15.06,2216400.0,15.14,15.14,15.0,15.07,629200.0,15.15,15.2,15.06,15.13,2071200.0,15.1,15.19,15.02,15.12,1891000.0,14.25
2007-12-12,15.05,15.08,15.0,15.05,935100.0,15.1,15.1,15.01,15.05,814700.0,15.05,15.15,15.01,15.06,2216400.0,15.14,15.14,15.0,15.07,629200.0,15.15,15.2,15.06,15.13,2071200.0,14.15
2007-12-13,15.0,15.02,14.69,14.75,4104600.0,15.05,15.08,15.0,15.05,935100.0,15.1,15.1,15.01,15.05,814700.0,15.05,15.15,15.01,15.06,2216400.0,15.14,15.14,15.0,15.07,629200.0,14.85
2007-12-14,14.4,14.97,14.4,14.7,956100.0,15.0,15.02,14.69,14.75,4104600.0,15.05,15.08,15.0,15.05,935100.0,15.1,15.1,15.01,15.05,814700.0,15.05,15.15,15.01,15.06,2216400.0,15.05
2007-12-17,14.85,14.85,14.47,14.55,3038300.0,14.4,14.97,14.4,14.7,956100.0,15.0,15.02,14.69,14.75,4104600.0,15.05,15.08,15.0,15.05,935100.0,15.1,15.1,15.01,15.05,814700.0,15.15
2007-12-18,14.5,14.65,13.63,14.16,1186800.0,14.85,14.85,14.47,14.55,3038300.0,14.4,14.97,14.4,14.7,956100.0,15.0,15.02,14.69,14.75,4104600.0,15.05,15.08,15.0,15.05,935100.0,15.18
2007-12-19,14.5,14.5,14.25,14.25,447100.0,14.5,14.65,13.63,14.16,1186800.0,14.85,14.85,14.47,14.55,3038300.0,14.4,14.97,14.4,14.7,956100.0,15.0,15.02,14.69,14.75,4104600.0,15.15
2007-12-20,14.35,14.35,14.02,14.15,357000.0,14.5,14.5,14.25,14.25,447100.0,14.5,14.65,13.63,14.16,1186800.0,14.85,14.85,14.47,14.55,3038300.0,14.4,14.97,14.4,14.7,956100.0,15.61
2007-12-21,14.16,15.2,14.16,14.85,445100.0,14.35,14.35,14.02,14.15,357000.0,14.5,14.5,14.25,14.25,447100.0,14.5,14.65,13.63,14.16,1186800.0,14.85,14.85,14.47,14.55,3038300.0,16.3
2007-12-24,14.85,15.18,14.85,15.05,3084300.0,14.16,15.2,14.16,14.85,445100.0,14.35,14.35,14.02,14.15,357000.0,14.5,14.5,14.25,14.25,447100.0,14.5,14.65,13.63,14.16,1186800.0,16.45
2007-12-27,15.05,15.17,15.05,15.15,797900.0,14.85,15.18,14.85,15.05,3084300.0,14.16,15.2,14.16,14.85,445100.0,14.35,14.35,14.02,14.15,357000.0,14.5,14.5,14.25,14.25,447100.0,16.4
2007-12-28,15.13,15.2,15.13,15.18,646100.0,15.05,15.17,15.05,15.15,797900.0,14.85,15.18,14.85,15.05,3084300.0,14.16,15.2,14.16,14.85,445100.0,14.35,14.35,14.02,14.15,357000.0,17.74
2007-12-31,15.17,15.17,15.09,15.15,109800.0,15.13,15.2,15.13,15.18,646100.0,15.05,15.17,15.05,15.15,797900.0,14.85,15.18,14.85,15.05,3084300.0,14.16,15.2,14.16,14.85,445100.0,18.4
2008-01-02,15.19,15.61,15.15,15.61,2255700.0,15.17,15.17,15.09,15.15,109800.0,15.13,15.2,15.13,15.18,646100.0,15.05,15.17,15.05,15.15,797900.0,14.85,15.18,14.85,15.05,3084300.0,18.5
2008-01-03,15.7,16.55,15.4,16.3,1579200.0,15.19,15.61,15.15,15.61,2255700.0,15.17,15.17,15.09,15.15,109800.0,15.13,15.2,15.13,15.18,646100.0,15.05,15.17,15.05,15.15,797900.0,19.35
2008-01-04,16.24,16.65,16.2,16.45,1259000.0,15.7,16.55,15.4,16.3,1579200.0,15.19,15.61,15.15,15.61,2255700.0,15.17,15.17,15.09,15.15,109800.0,15.13,15.2,15.13,15.18,646100.0,20.51
2008-01-07,16.5,16.65,15.9,16.4,754500.0,16.24,16.65,16.2,16.45,1259000.0,15.7,16.55,15.4,16.3,1579200.0,15.19,15.61,15.15,15.61,2255700.0,15.17,15.17,15.09,15.15,109800.0,19.2
2008-01-08,17.0,17.75,16.7,17.74,3310600.0,16.5,16.65,15.9,16.4,754500.0,16.24,16.65,16.2,16.45,1259000.0,15.7,16.55,15.4,16.3,1579200.0,15.19,15.61,15.15,15.61,2255700.0,18.61
2008-01-09,17.73,18.93,17.55,18.4,1123100.0,17.0,17.75,16.7,17.74,3310600.0,16.5,16.65,15.9,16.4,754500.0,16.24,16.65,16.2,16.45,1259000.0,15.7,16.55,15.4,16.3,1579200.0,17.95
2008-01-10,18.24,18.65,18.11,18.5,971200.0,17.73,18.93,17.55,18.4,1123100.0,17.0,17.75,16.7,17.74,3310600.0,16.5,16.65,15.9,16.4,754500.0,16.24,16.65,16.2,16.45,1259000.0,18.22
2008-01-11,18.67,19.75,18.5,19.35,1138600.0,18.24,18.65,18.11,18.5,971200.0,17.73,18.93,17.55,18.4,1123100.0,17.0,17.75,16.7,17.74,3310600.0,16.5,16.65,15.9,16.4,754500.0,16.5
2008-01-14,20.5,20.7,20.15,20.51,1913100.0,18.67,19.75,18.5,19.35,1138600.0,18.24,18.65,18.11,18.5,971200.0,17.73,18.93,17.55,18.4,1123100.0,17.0,17.75,16.7,17.74,3310600.0,17.8
2008-01-15,20.4,20.45,19.02,19.2,1415500.0,20.5,20.7,20.15,20.51,1913100.0,18.67,19.75,18.5,19.35,1138600.0,18.24,18.65,18.11,18.5,971200.0,17.73,18.93,17.55,18.4,1123100.0,17.5
