date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-11-28,8.9,9.15,8.75,8.95,32400.0,9.0,9.1,8.9,9.1,15700.0,8.85,8.95,8.75,8.95,31600.0,8.9,8.95,8.8,8.85,16600.0,8.8,8.95,8.65,8.9,31000.0,8.35
2000-11-29,8.9,9.1,8.8,9.1,30200.0,8.9,9.15,8.75,8.95,32400.0,9.0,9.1,8.9,9.1,15700.0,8.85,8.95,8.75,8.95,31600.0,8.9,8.95,8.8,8.85,16600.0,8.25
2000-11-30,9.0,9.1,8.6,8.85,25200.0,8.9,9.1,8.8,9.1,30200.0,8.9,9.15,8.75,8.95,32400.0,9.0,9.1,8.9,9.1,15700.0,8.85,8.95,8.75,8.95,31600.0,8.3
2000-12-01,8.6,8.65,8.55,8.55,3700.0,9.0,9.1,8.6,8.85,25200.0,8.9,9.1,8.8,9.1,30200.0,8.9,9.15,8.75,8.95,32400.0,9.0,9.1,8.9,9.1,15700.0,8.35
2000-12-04,8.6,8.7,8.5,8.5,19800.0,8.6,8.65,8.55,8.55,3700.0,9.0,9.1,8.6,8.85,25200.0,8.9,9.1,8.8,9.1,30200.0,8.9,9.15,8.75,8.95,32400.0,8.5
2000-12-05,8.55,8.7,8.55,8.55,15600.0,8.6,8.7,8.5,8.5,19800.0,8.6,8.65,8.55,8.55,3700.0,9.0,9.1,8.6,8.85,25200.0,8.9,9.1,8.8,9.1,30200.0,8.65
2000-12-06,8.55,8.75,8.35,8.35,35100.0,8.55,8.7,8.55,8.55,15600.0,8.6,8.7,8.5,8.5,19800.0,8.6,8.65,8.55,8.55,3700.0,9.0,9.1,8.6,8.85,25200.0,8.6
2000-12-07,8.4,8.5,8.2,8.25,28300.0,8.55,8.75,8.35,8.35,35100.0,8.55,8.7,8.55,8.55,15600.0,8.6,8.7,8.5,8.5,19800.0,8.6,8.65,8.55,8.55,3700.0,8.55
2000-12-08,8.45,8.5,8.25,8.3,21500.0,8.4,8.5,8.2,8.25,28300.0,8.55,8.75,8.35,8.35,35100.0,8.55,8.7,8.55,8.55,15600.0,8.6,8.7,8.5,8.5,19800.0,8.5
2000-12-11,8.75,8.75,8.3,8.35,15600.0,8.45,8.5,8.25,8.3,21500.0,8.4,8.5,8.2,8.25,28300.0,8.55,8.75,8.35,8.35,35100.0,8.55,8.7,8.55,8.55,15600.0,8.75
2000-12-12,8.45,8.6,8.4,8.5,24900.0,8.75,8.75,8.3,8.35,15600.0,8.45,8.5,8.25,8.3,21500.0,8.4,8.5,8.2,8.25,28300.0,8.55,8.75,8.35,8.35,35100.0,8.6
2000-12-13,8.65,8.7,8.5,8.65,21500.0,8.45,8.6,8.4,8.5,24900.0,8.75,8.75,8.3,8.35,15600.0,8.45,8.5,8.25,8.3,21500.0,8.4,8.5,8.2,8.25,28300.0,8.45
2000-12-14,8.65,8.75,8.35,8.6,35500.0,8.65,8.7,8.5,8.65,21500.0,8.45,8.6,8.4,8.5,24900.0,8.75,8.75,8.3,8.35,15600.0,8.45,8.5,8.25,8.3,21500.0,8.75
2000-12-15,8.4,8.6,8.3,8.55,22900.0,8.65,8.75,8.35,8.6,35500.0,8.65,8.7,8.5,8.65,21500.0,8.45,8.6,8.4,8.5,24900.0,8.75,8.75,8.3,8.35,15600.0,8.75
2000-12-18,8.6,8.6,8.3,8.5,22700.0,8.4,8.6,8.3,8.55,22900.0,8.65,8.75,8.35,8.6,35500.0,8.65,8.7,8.5,8.65,21500.0,8.45,8.6,8.4,8.5,24900.0,8.75
2000-12-19,8.5,8.75,8.45,8.75,20200.0,8.6,8.6,8.3,8.5,22700.0,8.4,8.6,8.3,8.55,22900.0,8.65,8.75,8.35,8.6,35500.0,8.65,8.7,8.5,8.65,21500.0,8.6
2000-12-20,8.45,8.7,8.45,8.6,37600.0,8.5,8.75,8.45,8.75,20200.0,8.6,8.6,8.3,8.5,22700.0,8.4,8.6,8.3,8.55,22900.0,8.65,8.75,8.35,8.6,35500.0,8.6
2000-12-21,8.55,8.7,8.45,8.45,22600.0,8.45,8.7,8.45,8.6,37600.0,8.5,8.75,8.45,8.75,20200.0,8.6,8.6,8.3,8.5,22700.0,8.4,8.6,8.3,8.55,22900.0,8.7
2000-12-22,8.4,8.75,8.3,8.75,42900.0,8.55,8.7,8.45,8.45,22600.0,8.45,8.7,8.45,8.6,37600.0,8.5,8.75,8.45,8.75,20200.0,8.6,8.6,8.3,8.5,22700.0,8.7
2000-12-25,8.75,8.75,8.75,8.75,0.0,8.4,8.75,8.3,8.75,42900.0,8.55,8.7,8.45,8.45,22600.0,8.45,8.7,8.45,8.6,37600.0,8.5,8.75,8.45,8.75,20200.0,8.5
2000-12-26,8.75,8.75,8.75,8.75,0.0,8.75,8.75,8.75,8.75,0.0,8.4,8.75,8.3,8.75,42900.0,8.55,8.7,8.45,8.45,22600.0,8.45,8.7,8.45,8.6,37600.0,8.4
