date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2015-06-04,34.39,35.61,34.33,35.23,243900.0,0.0,0.0,0.0,0.0,0.0,34.34,34.34,30.55,33.51,278000.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,0.0,31.71
2015-06-05,35.16,35.27,34.35,34.76,92700.0,34.39,35.61,34.33,35.23,243900.0,0.0,0.0,0.0,0.0,0.0,34.34,34.34,30.55,33.51,278000.0,0.0,0.0,0.0,0.0,0.0,31.35
2015-06-08,34.75,35.25,34.5,34.5,144700.0,35.16,35.27,34.35,34.76,92700.0,34.39,35.61,34.33,35.23,243900.0,0.0,0.0,0.0,0.0,0.0,34.34,34.34,30.55,33.51,278000.0,30.84
2015-06-09,0.0,0.0,0.0,0.0,0.0,34.75,35.25,34.5,34.5,144700.0,35.16,35.27,34.35,34.76,92700.0,34.39,35.61,34.33,35.23,243900.0,0.0,0.0,0.0,0.0,0.0,30.49
2015-06-10,31.92,32.29,31.26,31.91,170200.0,0.0,0.0,0.0,0.0,0.0,34.75,35.25,34.5,34.5,144700.0,35.16,35.27,34.35,34.76,92700.0,34.39,35.61,34.33,35.23,243900.0,30.45
2015-06-11,32.0,32.05,31.5,32.0,108700.0,31.92,32.29,31.26,31.91,170200.0,0.0,0.0,0.0,0.0,0.0,34.75,35.25,34.5,34.5,144700.0,35.16,35.27,34.35,34.76,92700.0,30.37
2015-06-12,31.99,32.0,31.48,31.71,43900.0,32.0,32.05,31.5,32.0,108700.0,31.92,32.29,31.26,31.91,170200.0,0.0,0.0,0.0,0.0,0.0,34.75,35.25,34.5,34.5,144700.0,31.05
2015-06-15,30.9,31.75,30.78,31.35,12400.0,31.99,32.0,31.48,31.71,43900.0,32.0,32.05,31.5,32.0,108700.0,31.92,32.29,31.26,31.91,170200.0,0.0,0.0,0.0,0.0,0.0,31.89
2015-06-16,31.26,31.64,30.25,30.84,56600.0,30.9,31.75,30.78,31.35,12400.0,31.99,32.0,31.48,31.71,43900.0,32.0,32.05,31.5,32.0,108700.0,31.92,32.29,31.26,31.91,170200.0,32.17
2015-06-17,30.84,30.84,30.25,30.49,70400.0,31.26,31.64,30.25,30.84,56600.0,30.9,31.75,30.78,31.35,12400.0,31.99,32.0,31.48,31.71,43900.0,32.0,32.05,31.5,32.0,108700.0,32.51
