date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,7.875,7.9375,7.85,7.9125,37600.0,7.925,7.925,7.85,7.8875,48000.0,7.875,7.9375,7.85,7.925,26800.0,7.925,7.9375,7.7875,7.9375,31600.0,7.9375,7.9375,7.8125,7.925,24000.0,7.7
2000-01-13,7.875,7.9375,7.875,7.9,8400.0,7.875,7.9375,7.85,7.9125,37600.0,7.925,7.925,7.85,7.8875,48000.0,7.875,7.9375,7.85,7.925,26800.0,7.925,7.9375,7.7875,7.9375,31600.0,7.6125
2000-01-14,7.9375,7.9375,7.9,7.9,30400.0,7.875,7.9375,7.875,7.9,8400.0,7.875,7.9375,7.85,7.9125,37600.0,7.925,7.925,7.85,7.8875,48000.0,7.875,7.9375,7.85,7.925,26800.0,7.375
2000-01-17,7.925,7.925,7.7875,7.85,23200.0,7.9375,7.9375,7.9,7.9,30400.0,7.875,7.9375,7.875,7.9,8400.0,7.875,7.9375,7.85,7.9125,37600.0,7.925,7.925,7.85,7.8875,48000.0,7.625
2000-01-18,7.85,7.85,7.7625,7.7625,36400.0,7.925,7.925,7.7875,7.85,23200.0,7.9375,7.9375,7.9,7.9,30400.0,7.875,7.9375,7.875,7.9,8400.0,7.875,7.9375,7.85,7.9125,37600.0,7.5625
2000-01-19,7.85,7.85,7.65,7.65,44800.0,7.85,7.85,7.7625,7.7625,36400.0,7.925,7.925,7.7875,7.85,23200.0,7.9375,7.9375,7.9,7.9,30400.0,7.875,7.9375,7.875,7.9,8400.0,7.4375
2000-01-20,7.7,7.875,7.7,7.7,34800.0,7.85,7.85,7.65,7.65,44800.0,7.85,7.85,7.7625,7.7625,36400.0,7.925,7.925,7.7875,7.85,23200.0,7.9375,7.9375,7.9,7.9,30400.0,7.5625
2000-01-21,7.6875,7.725,7.5625,7.6125,42400.0,7.7,7.875,7.7,7.7,34800.0,7.85,7.85,7.65,7.65,44800.0,7.85,7.85,7.7625,7.7625,36400.0,7.925,7.925,7.7875,7.85,23200.0,7.5125
2000-01-24,7.7,7.7,7.375,7.375,50400.0,7.6875,7.725,7.5625,7.6125,42400.0,7.7,7.875,7.7,7.7,34800.0,7.85,7.85,7.65,7.65,44800.0,7.85,7.85,7.7625,7.7625,36400.0,7.625
2000-01-25,7.6125,7.75,7.3875,7.625,553600.0,7.7,7.7,7.375,7.375,50400.0,7.6875,7.725,7.5625,7.6125,42400.0,7.7,7.875,7.7,7.7,34800.0,7.85,7.85,7.65,7.65,44800.0,7.5625
