date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,6.5,6.5,6.25,6.45,91400.0,6.575,6.625,6.25,6.25,255800.0,6.5,6.75,6.375,6.5,26800.0,6.725,6.975,6.625,6.9,742800.0,6.25,6.725,6.25,6.725,67600.0,6.2
2000-01-13,6.5,6.6,6.375,6.6,2210200.0,6.5,6.5,6.25,6.45,91400.0,6.575,6.625,6.25,6.25,255800.0,6.5,6.75,6.375,6.5,26800.0,6.725,6.975,6.625,6.9,742800.0,6.25
2000-01-14,6.5,6.55,6.375,6.375,367600.0,6.5,6.6,6.375,6.6,2210200.0,6.5,6.5,6.25,6.45,91400.0,6.575,6.625,6.25,6.25,255800.0,6.5,6.75,6.375,6.5,26800.0,5.9
2000-01-17,6.375,6.5,6.375,6.425,104200.0,6.5,6.55,6.375,6.375,367600.0,6.5,6.6,6.375,6.6,2210200.0,6.5,6.5,6.25,6.45,91400.0,6.575,6.625,6.25,6.25,255800.0,6.125
2000-01-18,6.4,6.5,6.4,6.5,472200.0,6.375,6.5,6.375,6.425,104200.0,6.5,6.55,6.375,6.375,367600.0,6.5,6.6,6.375,6.6,2210200.0,6.5,6.5,6.25,6.45,91400.0,6.0
2000-01-19,6.5,6.525,6.425,6.425,432600.0,6.4,6.5,6.4,6.5,472200.0,6.375,6.5,6.375,6.425,104200.0,6.5,6.55,6.375,6.375,367600.0,6.5,6.6,6.375,6.6,2210200.0,6.25
2000-01-20,6.4,6.4,6.2,6.2,812200.0,6.5,6.525,6.425,6.425,432600.0,6.4,6.5,6.4,6.5,472200.0,6.375,6.5,6.375,6.425,104200.0,6.5,6.55,6.375,6.375,367600.0,6.5
2000-01-21,6.25,6.3,6.225,6.25,236000.0,6.4,6.4,6.2,6.2,812200.0,6.5,6.525,6.425,6.425,432600.0,6.4,6.5,6.4,6.5,472200.0,6.375,6.5,6.375,6.425,104200.0,6.225
2000-01-24,6.2,6.375,5.9,5.9,153600.0,6.25,6.3,6.225,6.25,236000.0,6.4,6.4,6.2,6.2,812200.0,6.5,6.525,6.425,6.425,432600.0,6.4,6.5,6.4,6.5,472200.0,6.5
2000-01-25,6.125,6.375,5.9,6.125,1235000.0,6.2,6.375,5.9,5.9,153600.0,6.25,6.3,6.225,6.25,236000.0,6.4,6.4,6.2,6.2,812200.0,6.5,6.525,6.425,6.425,432600.0,6.475
