date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2002-04-17,13.0,13.25,12.855,13.0,1291800.0,12.95,13.0,12.525,12.8,570000.0,13.0,13.15,12.9,13.0,500800.0,13.09,13.15,12.75,13.0,664200.0,13.525,13.55,13.025,13.05,5550400.0,13.75
2002-04-18,13.34,13.585,12.86,12.875,2631600.0,13.0,13.25,12.855,13.0,1291800.0,12.95,13.0,12.525,12.8,570000.0,13.0,13.15,12.9,13.0,500800.0,13.09,13.15,12.75,13.0,664200.0,14.335
2002-04-19,12.875,13.375,12.8,13.275,778200.0,13.34,13.585,12.86,12.875,2631600.0,13.0,13.25,12.855,13.0,1291800.0,12.95,13.0,12.525,12.8,570000.0,13.0,13.15,12.9,13.0,500800.0,14.48
2002-04-22,13.4,13.55,13.205,13.375,475400.0,12.875,13.375,12.8,13.275,778200.0,13.34,13.585,12.86,12.875,2631600.0,13.0,13.25,12.855,13.0,1291800.0,12.95,13.0,12.525,12.8,570000.0,13.96
2002-04-23,13.45,13.75,13.325,13.68,434600.0,13.4,13.55,13.205,13.375,475400.0,12.875,13.375,12.8,13.275,778200.0,13.34,13.585,12.86,12.875,2631600.0,13.0,13.25,12.855,13.0,1291800.0,14.215
2002-04-24,13.7,13.75,13.525,13.7,986600.0,13.45,13.75,13.325,13.68,434600.0,13.4,13.55,13.205,13.375,475400.0,12.875,13.375,12.8,13.275,778200.0,13.34,13.585,12.86,12.875,2631600.0,14.67
2002-04-25,14.2,14.345,13.625,13.75,1829000.0,13.7,13.75,13.525,13.7,986600.0,13.45,13.75,13.325,13.68,434600.0,13.4,13.55,13.205,13.375,475400.0,12.875,13.375,12.8,13.275,778200.0,14.975
2002-04-26,13.575,14.36,13.535,14.335,1029400.0,14.2,14.345,13.625,13.75,1829000.0,13.7,13.75,13.525,13.7,986600.0,13.45,13.75,13.325,13.68,434600.0,13.4,13.55,13.205,13.375,475400.0,15.09
2002-04-29,14.245,14.7,14.125,14.48,1599400.0,13.575,14.36,13.535,14.335,1029400.0,14.2,14.345,13.625,13.75,1829000.0,13.7,13.75,13.525,13.7,986600.0,13.45,13.75,13.325,13.68,434600.0,14.875
2002-04-30,14.235,14.3,13.9,13.96,850000.0,14.245,14.7,14.125,14.48,1599400.0,13.575,14.36,13.535,14.335,1029400.0,14.2,14.345,13.625,13.75,1829000.0,13.7,13.75,13.525,13.7,986600.0,14.175
2002-05-01,13.95,14.5,13.775,14.215,985400.0,14.235,14.3,13.9,13.96,850000.0,14.245,14.7,14.125,14.48,1599400.0,13.575,14.36,13.535,14.335,1029400.0,14.2,14.345,13.625,13.75,1829000.0,14.325
2002-05-02,14.215,14.675,14.025,14.67,1632800.0,13.95,14.5,13.775,14.215,985400.0,14.235,14.3,13.9,13.96,850000.0,14.245,14.7,14.125,14.48,1599400.0,13.575,14.36,13.535,14.335,1029400.0,14.6
2002-05-03,14.95,15.0,14.725,14.975,1338600.0,14.215,14.675,14.025,14.67,1632800.0,13.95,14.5,13.775,14.215,985400.0,14.235,14.3,13.9,13.96,850000.0,14.245,14.7,14.125,14.48,1599400.0,15.25
2002-05-06,14.975,15.15,14.71,15.09,2291000.0,14.95,15.0,14.725,14.975,1338600.0,14.215,14.675,14.025,14.67,1632800.0,13.95,14.5,13.775,14.215,985400.0,14.235,14.3,13.9,13.96,850000.0,14.13
2002-05-07,14.925,15.085,14.765,14.875,1180000.0,14.975,15.15,14.71,15.09,2291000.0,14.95,15.0,14.725,14.975,1338600.0,14.215,14.675,14.025,14.67,1632800.0,13.95,14.5,13.775,14.215,985400.0,13.8
2002-05-08,14.7,14.7,13.98,14.175,2086000.0,14.925,15.085,14.765,14.875,1180000.0,14.975,15.15,14.71,15.09,2291000.0,14.95,15.0,14.725,14.975,1338600.0,14.215,14.675,14.025,14.67,1632800.0,14.075
2002-05-09,14.275,14.395,14.115,14.325,1186600.0,14.7,14.7,13.98,14.175,2086000.0,14.925,15.085,14.765,14.875,1180000.0,14.975,15.15,14.71,15.09,2291000.0,14.95,15.0,14.725,14.975,1338600.0,14.55
2002-05-10,14.4,14.725,14.25,14.6,1190600.0,14.275,14.395,14.115,14.325,1186600.0,14.7,14.7,13.98,14.175,2086000.0,14.925,15.085,14.765,14.875,1180000.0,14.975,15.15,14.71,15.09,2291000.0,0.0
2002-05-13,14.5,15.25,14.5,15.25,980200.0,14.4,14.725,14.25,14.6,1190600.0,14.275,14.395,14.115,14.325,1186600.0,14.7,14.7,13.98,14.175,2086000.0,14.925,15.085,14.765,14.875,1180000.0,16.89
2002-05-14,14.575,14.84,14.0,14.13,2029400.0,14.5,15.25,14.5,15.25,980200.0,14.4,14.725,14.25,14.6,1190600.0,14.275,14.395,14.115,14.325,1186600.0,14.7,14.7,13.98,14.175,2086000.0,16.55
2002-05-15,14.25,14.325,13.765,13.8,1579400.0,14.575,14.84,14.0,14.13,2029400.0,14.5,15.25,14.5,15.25,980200.0,14.4,14.725,14.25,14.6,1190600.0,14.275,14.395,14.115,14.325,1186600.0,16.98
2002-05-16,13.875,14.175,13.85,14.075,639400.0,14.25,14.325,13.765,13.8,1579400.0,14.575,14.84,14.0,14.13,2029400.0,14.5,15.25,14.5,15.25,980200.0,14.4,14.725,14.25,14.6,1190600.0,17.03
2002-05-17,14.09,14.6,14.05,14.55,1589800.0,13.875,14.175,13.85,14.075,639400.0,14.25,14.325,13.765,13.8,1579400.0,14.575,14.84,14.0,14.13,2029400.0,14.5,15.25,14.5,15.25,980200.0,16.85
2002-05-20,0.0,0.0,0.0,0.0,0.0,14.09,14.6,14.05,14.55,1589800.0,13.875,14.175,13.85,14.075,639400.0,14.25,14.325,13.765,13.8,1579400.0,14.575,14.84,14.0,14.13,2029400.0,17.7
