date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2012-02-01,19.75,19.77,19.63,19.7,190400.0,19.72,19.78,19.68,19.73,352600.0,19.72,19.75,19.65,19.7,70600.0,19.71,19.81,19.6,19.76,190000.0,19.6,19.75,19.6,19.68,127200.0,20.72
2012-02-02,19.74,19.75,19.55,19.7,205700.0,19.75,19.77,19.63,19.7,190400.0,19.72,19.78,19.68,19.73,352600.0,19.72,19.75,19.65,19.7,70600.0,19.71,19.81,19.6,19.76,190000.0,20.69
2012-02-03,19.75,19.83,19.69,19.76,278000.0,19.74,19.75,19.55,19.7,205700.0,19.75,19.77,19.63,19.7,190400.0,19.72,19.78,19.68,19.73,352600.0,19.72,19.75,19.65,19.7,70600.0,20.85
2012-02-06,19.84,19.84,19.78,19.84,119000.0,19.75,19.83,19.69,19.76,278000.0,19.74,19.75,19.55,19.7,205700.0,19.75,19.77,19.63,19.7,190400.0,19.72,19.78,19.68,19.73,352600.0,20.74
2012-02-07,19.84,20.32,19.82,20.3,372400.0,19.84,19.84,19.78,19.84,119000.0,19.75,19.83,19.69,19.76,278000.0,19.74,19.75,19.55,19.7,205700.0,19.75,19.77,19.63,19.7,190400.0,20.87
2012-02-08,20.34,20.55,20.24,20.42,303600.0,19.84,20.32,19.82,20.3,372400.0,19.84,19.84,19.78,19.84,119000.0,19.75,19.83,19.69,19.76,278000.0,19.74,19.75,19.55,19.7,205700.0,20.93
2012-02-09,20.5,20.74,20.36,20.72,234500.0,20.34,20.55,20.24,20.42,303600.0,19.84,20.32,19.82,20.3,372400.0,19.84,19.84,19.78,19.84,119000.0,19.75,19.83,19.69,19.76,278000.0,21.12
2012-02-10,20.44,20.75,20.44,20.69,167500.0,20.5,20.74,20.36,20.72,234500.0,20.34,20.55,20.24,20.42,303600.0,19.84,20.32,19.82,20.3,372400.0,19.84,19.84,19.78,19.84,119000.0,21.23
2012-02-13,20.72,20.99,20.72,20.85,225400.0,20.44,20.75,20.44,20.69,167500.0,20.5,20.74,20.36,20.72,234500.0,20.34,20.55,20.24,20.42,303600.0,19.84,20.32,19.82,20.3,372400.0,21.26
2012-02-14,20.7,20.79,20.52,20.74,330300.0,20.72,20.99,20.72,20.85,225400.0,20.44,20.75,20.44,20.69,167500.0,20.5,20.74,20.36,20.72,234500.0,20.34,20.55,20.24,20.42,303600.0,20.91
2012-02-15,20.84,20.99,20.74,20.87,349500.0,20.7,20.79,20.52,20.74,330300.0,20.72,20.99,20.72,20.85,225400.0,20.44,20.75,20.44,20.69,167500.0,20.5,20.74,20.36,20.72,234500.0,20.85
2012-02-16,20.78,20.94,20.73,20.93,364300.0,20.84,20.99,20.74,20.87,349500.0,20.7,20.79,20.52,20.74,330300.0,20.72,20.99,20.72,20.85,225400.0,20.44,20.75,20.44,20.69,167500.0,20.97
2012-02-17,20.93,21.33,20.92,21.12,449000.0,20.78,20.94,20.73,20.93,364300.0,20.84,20.99,20.74,20.87,349500.0,20.7,20.79,20.52,20.74,330300.0,20.72,20.99,20.72,20.85,225400.0,21.25
2012-02-21,21.15,21.47,21.06,21.23,403200.0,20.93,21.33,20.92,21.12,449000.0,20.78,20.94,20.73,20.93,364300.0,20.84,20.99,20.74,20.87,349500.0,20.7,20.79,20.52,20.74,330300.0,21.33
2012-02-22,21.2,21.42,21.03,21.26,266400.0,21.15,21.47,21.06,21.23,403200.0,20.93,21.33,20.92,21.12,449000.0,20.78,20.94,20.73,20.93,364300.0,20.84,20.99,20.74,20.87,349500.0,21.1
2012-02-23,21.35,21.35,20.85,20.91,449900.0,21.2,21.42,21.03,21.26,266400.0,21.15,21.47,21.06,21.23,403200.0,20.93,21.33,20.92,21.12,449000.0,20.78,20.94,20.73,20.93,364300.0,20.93
2012-02-24,21.06,21.06,20.77,20.85,305600.0,21.35,21.35,20.85,20.91,449900.0,21.2,21.42,21.03,21.26,266400.0,21.15,21.47,21.06,21.23,403200.0,20.93,21.33,20.92,21.12,449000.0,20.8
2012-02-27,20.8,21.05,20.7,20.97,270900.0,21.06,21.06,20.77,20.85,305600.0,21.35,21.35,20.85,20.91,449900.0,21.2,21.42,21.03,21.26,266400.0,21.15,21.47,21.06,21.23,403200.0,20.46
2012-02-28,20.92,21.38,20.88,21.25,410900.0,20.8,21.05,20.7,20.97,270900.0,21.06,21.06,20.77,20.85,305600.0,21.35,21.35,20.85,20.91,449900.0,21.2,21.42,21.03,21.26,266400.0,21.3
2012-02-29,21.25,21.39,20.91,21.33,311500.0,20.92,21.38,20.88,21.25,410900.0,20.8,21.05,20.7,20.97,270900.0,21.06,21.06,20.77,20.85,305600.0,21.35,21.35,20.85,20.91,449900.0,20.66
2012-03-01,21.36,21.36,21.0,21.1,325700.0,21.25,21.39,20.91,21.33,311500.0,20.92,21.38,20.88,21.25,410900.0,20.8,21.05,20.7,20.97,270900.0,21.06,21.06,20.77,20.85,305600.0,20.63
2012-03-02,21.09,21.09,20.84,20.93,118400.0,21.36,21.36,21.0,21.1,325700.0,21.25,21.39,20.91,21.33,311500.0,20.92,21.38,20.88,21.25,410900.0,20.8,21.05,20.7,20.97,270900.0,20.7
2012-03-05,20.95,20.97,20.76,20.8,174600.0,21.09,21.09,20.84,20.93,118400.0,21.36,21.36,21.0,21.1,325700.0,21.25,21.39,20.91,21.33,311500.0,20.92,21.38,20.88,21.25,410900.0,20.73
2012-03-06,20.82,20.82,20.32,20.46,199100.0,20.95,20.97,20.76,20.8,174600.0,21.09,21.09,20.84,20.93,118400.0,21.36,21.36,21.0,21.1,325700.0,21.25,21.39,20.91,21.33,311500.0,20.71
2012-03-07,20.99,21.43,20.94,21.3,638900.0,20.82,20.82,20.32,20.46,199100.0,20.95,20.97,20.76,20.8,174600.0,21.09,21.09,20.84,20.93,118400.0,21.36,21.36,21.0,21.1,325700.0,20.84
2012-03-08,20.7,20.7,20.59,20.66,1074400.0,20.99,21.43,20.94,21.3,638900.0,20.82,20.82,20.32,20.46,199100.0,20.95,20.97,20.76,20.8,174600.0,21.09,21.09,20.84,20.93,118400.0,20.5
2012-03-09,20.56,20.67,20.52,20.63,606200.0,20.7,20.7,20.59,20.66,1074400.0,20.99,21.43,20.94,21.3,638900.0,20.82,20.82,20.32,20.46,199100.0,20.95,20.97,20.76,20.8,174600.0,20.63
2012-03-12,20.62,20.72,20.59,20.7,743600.0,20.56,20.67,20.52,20.63,606200.0,20.7,20.7,20.59,20.66,1074400.0,20.99,21.43,20.94,21.3,638900.0,20.82,20.82,20.32,20.46,199100.0,20.71
2012-03-13,20.7,20.74,20.66,20.73,578400.0,20.62,20.72,20.59,20.7,743600.0,20.56,20.67,20.52,20.63,606200.0,20.7,20.7,20.59,20.66,1074400.0,20.99,21.43,20.94,21.3,638900.0,20.66
2012-03-14,20.73,20.73,20.69,20.71,398600.0,20.7,20.74,20.66,20.73,578400.0,20.62,20.72,20.59,20.7,743600.0,20.56,20.67,20.52,20.63,606200.0,20.7,20.7,20.59,20.66,1074400.0,20.68
2012-03-15,20.71,20.87,20.71,20.84,777500.0,20.73,20.73,20.69,20.71,398600.0,20.7,20.74,20.66,20.73,578400.0,20.62,20.72,20.59,20.7,743600.0,20.56,20.67,20.52,20.63,606200.0,20.7
2012-03-16,20.85,20.95,20.5,20.5,5417400.0,20.71,20.87,20.71,20.84,777500.0,20.73,20.73,20.69,20.71,398600.0,20.7,20.74,20.66,20.73,578400.0,20.62,20.72,20.59,20.7,743600.0,20.95
2012-03-19,20.6,20.73,20.48,20.63,673000.0,20.85,20.95,20.5,20.5,5417400.0,20.71,20.87,20.71,20.84,777500.0,20.73,20.73,20.69,20.71,398600.0,20.7,20.74,20.66,20.73,578400.0,20.82
2012-03-20,20.64,20.75,20.56,20.71,240200.0,20.6,20.73,20.48,20.63,673000.0,20.85,20.95,20.5,20.5,5417400.0,20.71,20.87,20.71,20.84,777500.0,20.73,20.73,20.69,20.71,398600.0,21.01
2012-03-21,20.68,20.82,20.66,20.66,332700.0,20.64,20.75,20.56,20.71,240200.0,20.6,20.73,20.48,20.63,673000.0,20.85,20.95,20.5,20.5,5417400.0,20.71,20.87,20.71,20.84,777500.0,20.89
2012-03-22,20.65,20.68,20.38,20.68,383800.0,20.68,20.82,20.66,20.66,332700.0,20.64,20.75,20.56,20.71,240200.0,20.6,20.73,20.48,20.63,673000.0,20.85,20.95,20.5,20.5,5417400.0,21.08
2012-03-23,20.68,20.78,20.58,20.7,437800.0,20.65,20.68,20.38,20.68,383800.0,20.68,20.82,20.66,20.66,332700.0,20.64,20.75,20.56,20.71,240200.0,20.6,20.73,20.48,20.63,673000.0,21.72
2012-03-26,20.7,21.03,20.66,20.95,649200.0,20.68,20.78,20.58,20.7,437800.0,20.65,20.68,20.38,20.68,383800.0,20.68,20.82,20.66,20.66,332700.0,20.64,20.75,20.56,20.71,240200.0,21.63
