date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,29.85,31.75,29.85,29.95,409016.0,29.6,33.9,29.6,31.0,768439.0,32.35,33.9,32.0,33.45,898174.0,27.55,31.5,27.55,31.25,918194.0,29.5,31.95,29.5,30.05,747486.0,25.4
2000-01-13,30.3,31.25,30.25,30.85,627201.0,29.85,31.75,29.85,29.95,409016.0,29.6,33.9,29.6,31.0,768439.0,32.35,33.9,32.0,33.45,898174.0,27.55,31.5,27.55,31.25,918194.0,24.85
2000-01-14,30.0,31.9,30.0,30.5,528857.0,30.3,31.25,30.25,30.85,627201.0,29.85,31.75,29.85,29.95,409016.0,29.6,33.9,29.6,31.0,768439.0,32.35,33.9,32.0,33.45,898174.0,25.8
2000-01-17,30.0,31.25,30.0,30.75,312952.0,30.0,31.9,30.0,30.5,528857.0,30.3,31.25,30.25,30.85,627201.0,29.85,31.75,29.85,29.95,409016.0,29.6,33.9,29.6,31.0,768439.0,23.75
2000-01-18,28.05,30.75,28.05,28.1,1031347.0,30.0,31.25,30.0,30.75,312952.0,30.0,31.9,30.0,30.5,528857.0,30.3,31.25,30.25,30.85,627201.0,29.85,31.75,29.85,29.95,409016.0,22.75
2000-01-19,25.5,29.5,25.5,26.0,1341662.0,28.05,30.75,28.05,28.1,1031347.0,30.0,31.25,30.0,30.75,312952.0,30.0,31.9,30.0,30.5,528857.0,30.3,31.25,30.25,30.85,627201.0,25.0
2000-01-20,25.25,27.0,25.25,25.4,867845.0,25.5,29.5,25.5,26.0,1341662.0,28.05,30.75,28.05,28.1,1031347.0,30.0,31.25,30.0,30.75,312952.0,30.0,31.9,30.0,30.5,528857.0,25.15
2000-01-21,23.45,26.0,23.45,24.85,1281071.0,25.25,27.0,25.25,25.4,867845.0,25.5,29.5,25.5,26.0,1341662.0,28.05,30.75,28.05,28.1,1031347.0,30.0,31.25,30.0,30.75,312952.0,25.75
2000-01-24,25.5,26.95,25.5,25.8,1025834.0,23.45,26.0,23.45,24.85,1281071.0,25.25,27.0,25.25,25.4,867845.0,25.5,29.5,25.5,26.0,1341662.0,28.05,30.75,28.05,28.1,1031347.0,25.5
2000-01-25,22.2,26.4,22.2,23.75,1347106.0,25.5,26.95,25.5,25.8,1025834.0,23.45,26.0,23.45,24.85,1281071.0,25.25,27.0,25.25,25.4,867845.0,25.5,29.5,25.5,26.0,1341662.0,26.85
2000-01-26,21.1,24.75,21.1,22.75,2401533.0,22.2,26.4,22.2,23.75,1347106.0,25.5,26.95,25.5,25.8,1025834.0,23.45,26.0,23.45,24.85,1281071.0,25.25,27.0,25.25,25.4,867845.0,28.8
2000-01-27,23.8,26.45,23.5,25.0,1940274.0,21.1,24.75,21.1,22.75,2401533.0,22.2,26.4,22.2,23.75,1347106.0,25.5,26.95,25.5,25.8,1025834.0,23.45,26.0,23.45,24.85,1281071.0,28.5
2000-01-28,24.8,26.95,24.8,25.15,991303.0,23.8,26.45,23.5,25.0,1940274.0,21.1,24.75,21.1,22.75,2401533.0,22.2,26.4,22.2,23.75,1347106.0,25.5,26.95,25.5,25.8,1025834.0,26.5
2000-01-31,24.05,25.95,24.05,25.75,774300.0,24.8,26.95,24.8,25.15,991303.0,23.8,26.45,23.5,25.0,1940274.0,21.1,24.75,21.1,22.75,2401533.0,22.2,26.4,22.2,23.75,1347106.0,27.4
