date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,1.8,1.8125,1.8,1.8125,726400.0,1.8594,1.875,1.8125,1.8125,528000.0,1.8281,1.8594,1.825,1.8469,964800.0,1.8125,1.8281,1.8125,1.8281,792000.0,1.8125,1.8125,1.75,1.8125,414400.0,2.0906
2000-01-13,1.8281,1.8875,1.8281,1.8875,507200.0,1.8,1.8125,1.8,1.8125,726400.0,1.8594,1.875,1.8125,1.8125,528000.0,1.8281,1.8594,1.825,1.8469,964800.0,1.8125,1.8281,1.8125,1.8281,792000.0,2.0625
2000-01-14,1.9063,1.95,1.875,1.9375,251200.0,1.8281,1.8875,1.8281,1.8875,507200.0,1.8,1.8125,1.8,1.8125,726400.0,1.8594,1.875,1.8125,1.8125,528000.0,1.8281,1.8594,1.825,1.8469,964800.0,2.0625
2000-01-17,2.0,2.0,2.0,2.0,3200.0,1.9063,1.95,1.875,1.9375,251200.0,1.8281,1.8875,1.8281,1.8875,507200.0,1.8,1.8125,1.8,1.8125,726400.0,1.8594,1.875,1.8125,1.8125,528000.0,2.1594
2000-01-18,1.9375,1.9969,1.9375,1.9531,112000.0,2.0,2.0,2.0,2.0,3200.0,1.9063,1.95,1.875,1.9375,251200.0,1.8281,1.8875,1.8281,1.8875,507200.0,1.8,1.8125,1.8,1.8125,726400.0,2.2375
2000-01-19,2.0,2.0469,2.0,2.0469,94400.0,1.9375,1.9969,1.9375,1.9531,112000.0,2.0,2.0,2.0,2.0,3200.0,1.9063,1.95,1.875,1.9375,251200.0,1.8281,1.8875,1.8281,1.8875,507200.0,2.2188
2000-01-20,2.0625,2.125,2.0625,2.0906,60800.0,2.0,2.0469,2.0,2.0469,94400.0,1.9375,1.9969,1.9375,1.9531,112000.0,2.0,2.0,2.0,2.0,3200.0,1.9063,1.95,1.875,1.9375,251200.0,2.275
2000-01-21,2.0656,2.0938,2.0625,2.0625,1036800.0,2.0625,2.125,2.0625,2.0906,60800.0,2.0,2.0469,2.0,2.0469,94400.0,1.9375,1.9969,1.9375,1.9531,112000.0,2.0,2.0,2.0,2.0,3200.0,2.375
2000-01-24,2.0125,2.125,2.0063,2.0625,201600.0,2.0656,2.0938,2.0625,2.0625,1036800.0,2.0625,2.125,2.0625,2.0906,60800.0,2.0,2.0469,2.0,2.0469,94400.0,1.9375,1.9969,1.9375,1.9531,112000.0,2.3937
2000-01-25,2.15,2.2344,2.15,2.1594,913600.0,2.0125,2.125,2.0063,2.0625,201600.0,2.0656,2.0938,2.0625,2.0625,1036800.0,2.0625,2.125,2.0625,2.0906,60800.0,2.0,2.0469,2.0,2.0469,94400.0,2.4312
