date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2017-03-24,21.11,21.49,20.91,20.95,248500.0,21.38,21.66,21.34,21.34,135600.0,22.0,22.12,21.4,21.4,400500.0,22.66,23.0,22.05,22.05,335700.0,22.9,22.9,22.12,22.75,494100.0,21.0
2017-03-27,20.9,20.9,20.53,20.6,358400.0,21.11,21.49,20.91,20.95,248500.0,21.38,21.66,21.34,21.34,135600.0,22.0,22.12,21.4,21.4,400500.0,22.66,23.0,22.05,22.05,335700.0,21.49
2017-03-28,20.5,21.88,20.32,21.79,159200.0,20.9,20.9,20.53,20.6,358400.0,21.11,21.49,20.91,20.95,248500.0,21.38,21.66,21.34,21.34,135600.0,22.0,22.12,21.4,21.4,400500.0,22.1
2017-03-29,21.63,22.02,21.46,21.93,164000.0,20.5,21.88,20.32,21.79,159200.0,20.9,20.9,20.53,20.6,358400.0,21.11,21.49,20.91,20.95,248500.0,21.38,21.66,21.34,21.34,135600.0,22.36
2017-03-30,21.95,21.95,21.6,21.92,123300.0,21.63,22.02,21.46,21.93,164000.0,20.5,21.88,20.32,21.79,159200.0,20.9,20.9,20.53,20.6,358400.0,21.11,21.49,20.91,20.95,248500.0,22.48
2017-03-31,21.81,21.81,21.08,21.21,99000.0,21.95,21.95,21.6,21.92,123300.0,21.63,22.02,21.46,21.93,164000.0,20.5,21.88,20.32,21.79,159200.0,20.9,20.9,20.53,20.6,358400.0,22.43
2017-04-03,21.5,21.5,20.75,21.0,50800.0,21.81,21.81,21.08,21.21,99000.0,21.95,21.95,21.6,21.92,123300.0,21.63,22.02,21.46,21.93,164000.0,20.5,21.88,20.32,21.79,159200.0,21.61
2017-04-04,21.04,21.59,20.98,21.49,71900.0,21.5,21.5,20.75,21.0,50800.0,21.81,21.81,21.08,21.21,99000.0,21.95,21.95,21.6,21.92,123300.0,21.63,22.02,21.46,21.93,164000.0,21.32
2017-04-05,21.74,22.2,21.58,22.1,214400.0,21.04,21.59,20.98,21.49,71900.0,21.5,21.5,20.75,21.0,50800.0,21.81,21.81,21.08,21.21,99000.0,21.95,21.95,21.6,21.92,123300.0,21.55
2017-04-06,22.1,22.4,21.58,22.36,121500.0,21.74,22.2,21.58,22.1,214400.0,21.04,21.59,20.98,21.49,71900.0,21.5,21.5,20.75,21.0,50800.0,21.81,21.81,21.08,21.21,99000.0,21.31
2017-04-07,22.29,22.55,22.09,22.48,131000.0,22.1,22.4,21.58,22.36,121500.0,21.74,22.2,21.58,22.1,214400.0,21.04,21.59,20.98,21.49,71900.0,21.5,21.5,20.75,21.0,50800.0,21.81
2017-04-10,22.8,23.0,22.13,22.43,142000.0,22.29,22.55,22.09,22.48,131000.0,22.1,22.4,21.58,22.36,121500.0,21.74,22.2,21.58,22.1,214400.0,21.04,21.59,20.98,21.49,71900.0,21.93
2017-04-11,22.66,22.66,21.49,21.61,119600.0,22.8,23.0,22.13,22.43,142000.0,22.29,22.55,22.09,22.48,131000.0,22.1,22.4,21.58,22.36,121500.0,21.74,22.2,21.58,22.1,214400.0,21.71
2017-04-12,21.7,21.7,21.0,21.32,116000.0,22.66,22.66,21.49,21.61,119600.0,22.8,23.0,22.13,22.43,142000.0,22.29,22.55,22.09,22.48,131000.0,22.1,22.4,21.58,22.36,121500.0,21.58
2017-04-13,21.36,21.57,21.05,21.55,71500.0,21.7,21.7,21.0,21.32,116000.0,22.66,22.66,21.49,21.61,119600.0,22.8,23.0,22.13,22.43,142000.0,22.29,22.55,22.09,22.48,131000.0,21.55
2017-04-17,21.55,21.55,21.29,21.31,46900.0,21.36,21.57,21.05,21.55,71500.0,21.7,21.7,21.0,21.32,116000.0,22.66,22.66,21.49,21.61,119600.0,22.8,23.0,22.13,22.43,142000.0,22.21
2017-04-18,21.27,21.82,21.25,21.81,66500.0,21.55,21.55,21.29,21.31,46900.0,21.36,21.57,21.05,21.55,71500.0,21.7,21.7,21.0,21.32,116000.0,22.66,22.66,21.49,21.61,119600.0,22.95
2017-04-19,21.93,22.0,21.81,21.93,76400.0,21.27,21.82,21.25,21.81,66500.0,21.55,21.55,21.29,21.31,46900.0,21.36,21.57,21.05,21.55,71500.0,21.7,21.7,21.0,21.32,116000.0,22.83
2017-04-20,21.96,21.96,21.7,21.71,42100.0,21.93,22.0,21.81,21.93,76400.0,21.27,21.82,21.25,21.81,66500.0,21.55,21.55,21.29,21.31,46900.0,21.36,21.57,21.05,21.55,71500.0,22.97
2017-04-21,21.9,21.9,21.55,21.58,24300.0,21.96,21.96,21.7,21.71,42100.0,21.93,22.0,21.81,21.93,76400.0,21.27,21.82,21.25,21.81,66500.0,21.55,21.55,21.29,21.31,46900.0,22.68
2017-04-24,21.55,21.6,21.37,21.55,48500.0,21.9,21.9,21.55,21.58,24300.0,21.96,21.96,21.7,21.71,42100.0,21.93,22.0,21.81,21.93,76400.0,21.27,21.82,21.25,21.81,66500.0,22.19
2017-04-25,21.78,22.21,21.62,22.21,149500.0,21.55,21.6,21.37,21.55,48500.0,21.9,21.9,21.55,21.58,24300.0,21.96,21.96,21.7,21.71,42100.0,21.93,22.0,21.81,21.93,76400.0,22.49
2017-04-26,22.19,22.95,22.15,22.95,159200.0,21.78,22.21,21.62,22.21,149500.0,21.55,21.6,21.37,21.55,48500.0,21.9,21.9,21.55,21.58,24300.0,21.96,21.96,21.7,21.71,42100.0,23.6
2017-04-27,22.8,22.95,22.43,22.83,67700.0,22.19,22.95,22.15,22.95,159200.0,21.78,22.21,21.62,22.21,149500.0,21.55,21.6,21.37,21.55,48500.0,21.9,21.9,21.55,21.58,24300.0,23.62
2017-04-28,22.9,23.0,22.72,22.97,47700.0,22.8,22.95,22.43,22.83,67700.0,22.19,22.95,22.15,22.95,159200.0,21.78,22.21,21.62,22.21,149500.0,21.55,21.6,21.37,21.55,48500.0,23.53
2017-05-01,22.98,23.27,22.42,22.68,78300.0,22.9,23.0,22.72,22.97,47700.0,22.8,22.95,22.43,22.83,67700.0,22.19,22.95,22.15,22.95,159200.0,21.78,22.21,21.62,22.21,149500.0,23.46
2017-05-02,22.7,22.9,22.18,22.19,100900.0,22.98,23.27,22.42,22.68,78300.0,22.9,23.0,22.72,22.97,47700.0,22.8,22.95,22.43,22.83,67700.0,22.19,22.95,22.15,22.95,159200.0,23.5
2017-05-03,22.19,22.55,21.97,22.49,42900.0,22.7,22.9,22.18,22.19,100900.0,22.98,23.27,22.42,22.68,78300.0,22.9,23.0,22.72,22.97,47700.0,22.8,22.95,22.43,22.83,67700.0,23.57
2017-05-04,22.53,23.85,22.3,23.6,190900.0,22.19,22.55,21.97,22.49,42900.0,22.7,22.9,22.18,22.19,100900.0,22.98,23.27,22.42,22.68,78300.0,22.9,23.0,22.72,22.97,47700.0,24.29
2017-05-05,23.51,23.94,23.37,23.62,456100.0,22.53,23.85,22.3,23.6,190900.0,22.19,22.55,21.97,22.49,42900.0,22.7,22.9,22.18,22.19,100900.0,22.98,23.27,22.42,22.68,78300.0,24.49
2017-05-08,23.62,23.7,23.4,23.53,299500.0,23.51,23.94,23.37,23.62,456100.0,22.53,23.85,22.3,23.6,190900.0,22.19,22.55,21.97,22.49,42900.0,22.7,22.9,22.18,22.19,100900.0,24.95
2017-05-09,23.51,23.86,23.43,23.46,59700.0,23.62,23.7,23.4,23.53,299500.0,23.51,23.94,23.37,23.62,456100.0,22.53,23.85,22.3,23.6,190900.0,22.19,22.55,21.97,22.49,42900.0,23.8
2017-05-10,23.42,23.55,23.04,23.5,32200.0,23.51,23.86,23.43,23.46,59700.0,23.62,23.7,23.4,23.53,299500.0,23.51,23.94,23.37,23.62,456100.0,22.53,23.85,22.3,23.6,190900.0,23.69
2017-05-11,23.5,23.77,23.42,23.57,58300.0,23.42,23.55,23.04,23.5,32200.0,23.51,23.86,23.43,23.46,59700.0,23.62,23.7,23.4,23.53,299500.0,23.51,23.94,23.37,23.62,456100.0,23.69
2017-05-12,23.6,24.44,23.53,24.29,74500.0,23.5,23.77,23.42,23.57,58300.0,23.42,23.55,23.04,23.5,32200.0,23.51,23.86,23.43,23.46,59700.0,23.62,23.7,23.4,23.53,299500.0,24.74
2017-05-15,24.45,24.65,23.65,24.49,83200.0,23.6,24.44,23.53,24.29,74500.0,23.5,23.77,23.42,23.57,58300.0,23.42,23.55,23.04,23.5,32200.0,23.51,23.86,23.43,23.46,59700.0,24.12
2017-05-16,24.54,25.47,24.37,24.95,218500.0,24.45,24.65,23.65,24.49,83200.0,23.6,24.44,23.53,24.29,74500.0,23.5,23.77,23.42,23.57,58300.0,23.42,23.55,23.04,23.5,32200.0,24.26
2017-05-17,24.85,24.9,23.78,23.8,174300.0,24.54,25.47,24.37,24.95,218500.0,24.45,24.65,23.65,24.49,83200.0,23.6,24.44,23.53,24.29,74500.0,23.5,23.77,23.42,23.57,58300.0,24.22
2017-05-18,23.7,24.15,23.66,23.69,49800.0,24.85,24.9,23.78,23.8,174300.0,24.54,25.47,24.37,24.95,218500.0,24.45,24.65,23.65,24.49,83200.0,23.6,24.44,23.53,24.29,74500.0,24.51
2017-05-19,23.74,24.1,23.59,23.69,68900.0,23.7,24.15,23.66,23.69,49800.0,24.85,24.9,23.78,23.8,174300.0,24.54,25.47,24.37,24.95,218500.0,24.45,24.65,23.65,24.49,83200.0,24.21
2017-05-23,24.4,25.15,24.4,24.74,221000.0,23.74,24.1,23.59,23.69,68900.0,23.7,24.15,23.66,23.69,49800.0,24.85,24.9,23.78,23.8,174300.0,24.54,25.47,24.37,24.95,218500.0,24.37
2017-05-24,24.77,24.77,24.05,24.12,67000.0,24.4,25.15,24.4,24.74,221000.0,23.74,24.1,23.59,23.69,68900.0,23.7,24.15,23.66,23.69,49800.0,24.85,24.9,23.78,23.8,174300.0,25.2
2017-05-25,24.2,24.46,24.07,24.26,56700.0,24.77,24.77,24.05,24.12,67000.0,24.4,25.15,24.4,24.74,221000.0,23.74,24.1,23.59,23.69,68900.0,23.7,24.15,23.66,23.69,49800.0,29.17
2017-05-26,24.3,24.59,24.14,24.22,44900.0,24.2,24.46,24.07,24.26,56700.0,24.77,24.77,24.05,24.12,67000.0,24.4,25.15,24.4,24.74,221000.0,23.74,24.1,23.59,23.69,68900.0,30.335
2017-05-29,24.3,24.6,24.15,24.51,23700.0,24.3,24.59,24.14,24.22,44900.0,24.2,24.46,24.07,24.26,56700.0,24.77,24.77,24.05,24.12,67000.0,24.4,25.15,24.4,24.74,221000.0,31.44
2017-05-30,24.54,24.54,24.15,24.21,33400.0,24.3,24.6,24.15,24.51,23700.0,24.3,24.59,24.14,24.22,44900.0,24.2,24.46,24.07,24.26,56700.0,24.77,24.77,24.05,24.12,67000.0,31.16
2017-05-31,24.32,24.4,23.8,24.37,75100.0,24.54,24.54,24.15,24.21,33400.0,24.3,24.6,24.15,24.51,23700.0,24.3,24.59,24.14,24.22,44900.0,24.2,24.46,24.07,24.26,56700.0,29.92
2017-06-01,24.26,26.18,24.26,25.2,193000.0,24.32,24.4,23.8,24.37,75100.0,24.54,24.54,24.15,24.21,33400.0,24.3,24.6,24.15,24.51,23700.0,24.3,24.59,24.14,24.22,44900.0,29.77
2017-06-02,28.08,29.39,27.18,29.17,795200.0,24.26,26.18,24.26,25.2,193000.0,24.32,24.4,23.8,24.37,75100.0,24.54,24.54,24.15,24.21,33400.0,24.3,24.6,24.15,24.51,23700.0,28.47
2017-06-05,29.15,30.405,28.65,30.335,592900.0,28.08,29.39,27.18,29.17,795200.0,24.26,26.18,24.26,25.2,193000.0,24.32,24.4,23.8,24.37,75100.0,24.54,24.54,24.15,24.21,33400.0,29.63
2017-06-06,30.13,32.44,29.8,31.44,484500.0,29.15,30.405,28.65,30.335,592900.0,28.08,29.39,27.18,29.17,795200.0,24.26,26.18,24.26,25.2,193000.0,24.32,24.4,23.8,24.37,75100.0,28.61
2017-06-07,31.65,32.8,30.95,31.16,469000.0,30.13,32.44,29.8,31.44,484500.0,29.15,30.405,28.65,30.335,592900.0,28.08,29.39,27.18,29.17,795200.0,24.26,26.18,24.26,25.2,193000.0,28.15
2017-06-08,31.29,31.3,29.27,29.92,352900.0,31.65,32.8,30.95,31.16,469000.0,30.13,32.44,29.8,31.44,484500.0,29.15,30.405,28.65,30.335,592900.0,28.08,29.39,27.18,29.17,795200.0,27.15
2017-06-09,29.84,30.51,29.38,29.77,187100.0,31.29,31.3,29.27,29.92,352900.0,31.65,32.8,30.95,31.16,469000.0,30.13,32.44,29.8,31.44,484500.0,29.15,30.405,28.65,30.335,592900.0,27.94
2017-06-12,29.84,29.9,28.0,28.47,268000.0,29.84,30.51,29.38,29.77,187100.0,31.29,31.3,29.27,29.92,352900.0,31.65,32.8,30.95,31.16,469000.0,30.13,32.44,29.8,31.44,484500.0,27.65
2017-06-13,28.34,29.68,28.33,29.63,211800.0,29.84,29.9,28.0,28.47,268000.0,29.84,30.51,29.38,29.77,187100.0,31.29,31.3,29.27,29.92,352900.0,31.65,32.8,30.95,31.16,469000.0,29.74
2017-06-14,28.56,29.15,28.0,28.61,208200.0,28.34,29.68,28.33,29.63,211800.0,29.84,29.9,28.0,28.47,268000.0,29.84,30.51,29.38,29.77,187100.0,31.29,31.3,29.27,29.92,352900.0,29.38
2017-06-15,28.31,28.59,27.72,28.15,135400.0,28.56,29.15,28.0,28.61,208200.0,28.34,29.68,28.33,29.63,211800.0,29.84,29.9,28.0,28.47,268000.0,29.84,30.51,29.38,29.77,187100.0,29.0
2017-06-16,28.0,28.2,27.11,27.15,137100.0,28.31,28.59,27.72,28.15,135400.0,28.56,29.15,28.0,28.61,208200.0,28.34,29.68,28.33,29.63,211800.0,29.84,29.9,28.0,28.47,268000.0,28.24
2017-06-19,27.3,28.04,27.3,27.94,86700.0,28.0,28.2,27.11,27.15,137100.0,28.31,28.59,27.72,28.15,135400.0,28.56,29.15,28.0,28.61,208200.0,28.34,29.68,28.33,29.63,211800.0,27.76
2017-06-20,28.01,28.01,27.45,27.65,81000.0,27.3,28.04,27.3,27.94,86700.0,28.0,28.2,27.11,27.15,137100.0,28.31,28.59,27.72,28.15,135400.0,28.56,29.15,28.0,28.61,208200.0,27.05
