date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2003-08-28,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.8
2003-08-29,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.9
2003-09-01,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,28.5
2003-09-02,26.0,26.0,26.0,26.0,250.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,31.6
2003-09-03,26.0,26.0,26.0,26.0,0.0,26.0,26.0,26.0,26.0,250.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,32.2
2003-09-04,27.4,28.0,27.4,28.0,874.0,26.0,26.0,26.0,26.0,0.0,26.0,26.0,26.0,26.0,250.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,32.2
2003-09-05,27.5,27.8,27.0,27.8,2652.0,27.4,28.0,27.4,28.0,874.0,26.0,26.0,26.0,26.0,0.0,26.0,26.0,26.0,26.0,250.0,27.0,27.0,27.0,27.0,0.0,32.25
2003-09-08,27.9,27.9,27.9,27.9,599.0,27.5,27.8,27.0,27.8,2652.0,27.4,28.0,27.4,28.0,874.0,26.0,26.0,26.0,26.0,0.0,26.0,26.0,26.0,26.0,250.0,31.5
2003-09-09,28.1,28.5,28.1,28.5,902.0,27.9,27.9,27.9,27.9,599.0,27.5,27.8,27.0,27.8,2652.0,27.4,28.0,27.4,28.0,874.0,26.0,26.0,26.0,26.0,0.0,31.8
2003-09-10,30.0,31.6,30.0,31.6,598.0,28.1,28.5,28.1,28.5,902.0,27.9,27.9,27.9,27.9,599.0,27.5,27.8,27.0,27.8,2652.0,27.4,28.0,27.4,28.0,874.0,32.0
